"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter","P1","P2","Experimenter 2",
00:12:00.635,00:12:06.481,00:00:05.846,,,,,,,,,,"pause filler ninety-seven minus forty-eight",,,
00:12:06.481,00:12:09.285,00:00:02.804,,,,,,,,,,"pause filler fifty",,,
00:12:09.754,00:12:12.029,00:00:02.275,,,,,,,,,,"forty-nine",,,
00:12:13.595,00:12:16.459,00:00:02.864,,,,,,,,,,"forty-nine equals",,,
00:12:18.334,00:12:21.348,00:00:03.014,,,,,,,,,,"negative twelve fifths",,,
00:12:21.348,00:12:25.329,00:00:03.981,,,"SV",,"SV1A",,,,,"that's a bad number",,,
00:12:27.953,00:12:31.854,00:00:03.901,,,,,,,,,,"pause filler forty-nine times negative twelve fifths is",,,
00:12:32.183,00:12:46.740,00:00:14.557,,,,,,,,,,"pause filler forty-nine",,,
00:12:47.967,00:12:50.042,00:00:02.075,,,,,,,,,,"this is right",,,
00:12:50.042,00:12:52.198,00:00:02.156,,,,,,,,,,"but I'm just not sure how to reduce it",,,
00:12:52.198,00:12:53.415,00:00:01.217,,,,,,,,,,"what's forty-nine times twelve",,,
00:12:53.415,00:12:55.141,00:00:01.726,,,,,,,,,,"forty-nine minus twelve",,,
00:12:55.450,00:13:00.299,00:00:04.849,,,,,,,,,,"pause filler times times negative twelve pause filler",,,
00:13:01.387,00:13:02.065,00:00:00.678,,,,,,,,,,,"pause filler I see it",,
00:13:02.065,00:13:07.702,00:00:05.637,,,,,,,,,,"pause filler four hundred ninety plus twenty ninety twenty",,,
00:13:07.702,00:13:08.590,00:00:00.888,,,,,,,,,,"four and a half",,,
00:13:09.049,00:13:14.297,00:00:05.248,,,,,,,,,,"it's like approximately five hundred",,,
00:13:14.447,00:13:17.919,00:00:03.472,,,,,,,,,,"pause filler y equals five hundred",,,
00:13:17.919,00:13:22.120,00:00:04.201,,,,,,,,,,"pause filler I think it's five hundred fourteen and a half",,,
00:13:24.255,00:13:26.400,00:00:02.145,,,,,,,,,,,"negative",,
00:13:26.480,00:13:28.445,00:00:01.965,,,,,,,,,,"negative five hundred fourteen and a half",,,
00:13:29.523,00:13:31.488,00:00:01.965,,,,,,,,,,"there we go",,,
00:13:32.805,00:13:37.524,00:00:04.719,,,,,,,,,,,"And then over five",,
00:13:38.003,00:13:38.333,00:00:00.330,,,,,,,,,,"oh yeah",,,
00:13:38.333,00:13:39.121,00:00:00.788,,,,,,,,,,"thank you",,,
00:13:39.710,00:13:42.443,00:00:02.733,,,"SV",,"SV1A",,,,,"I yeah I forget stuff (laughter)",,,
00:13:44.030,00:13:46.534,00:00:02.504,,,,,,,,"UL",,,"that�s I think that was good",,
00:13:46.534,00:13:47.991,00:00:01.457,,,,,,,,,,"okay yeah",,,
00:13:47.991,00:13:48.424,00:00:00.433,,,"SV",,"SV1A",,,,,"ops",,,
00:13:48.424,00:13:48.450,00:00:00.026,"TRC",,"SV",,"SV1A",,,,,"ops",,,
00:13:48.450,00:13:49.855,00:00:01.405,"TRC",,"SV",,"SV1A",,,,,"oh I just went to the next page (laughter)",,,
00:13:49.855,00:13:49.856,00:00:00.001,"TRC",,"SV",,"SV1A",,,,,"oh I just went to the next page (laughter)",,,
00:13:49.856,00:13:52.000,00:00:02.144,"TRC",,"SV",,"SV1A",,,,,"pause filler oh you have to",,,
00:13:52.000,00:13:52.286,00:00:00.286,"TRC",,"SV",,"SV1A",,,,,"pause filler oh you have to","pause filler",,
00:13:52.286,00:13:52.311,00:00:00.025,"TRC",,"SV",,"SV1A",,,,,"pause filler oh you have to","pause filler",,
00:13:52.311,00:13:52.571,00:00:00.260,"TRC",,"SV",,"SV1A",,,,,"darn it","pause filler",,
00:13:52.571,00:13:54.256,00:00:01.685,"TRC",,"SV",,"SV1A",,,,,"darn it",,,
00:13:54.256,00:13:54.284,00:00:00.028,"TRC",,,,,,,,,"I want to just multiply by the variables and get rid of them",,,
00:13:54.284,00:13:58.467,00:00:04.183,,,,,,,,,,"I want to just multiply by the variables and get rid of them",,,
00:13:59.784,00:14:03.855,00:00:04.071,,,,,,,,,,"but negative six sevenths",,,
00:14:04.204,00:14:05.251,00:00:01.047,,,,,,,,,,"pause filler y plus yz",,,
00:14:05.251,00:14:07.157,00:00:01.906,,,,,,,,,,"subtract negative six-sevens",,,
00:14:07.157,00:14:12.655,00:00:05.498,,,,,,,,,,"minus sixty-one equals twenty-five because you subtract the y from both sides",,,
00:14:12.655,00:14:13.403,00:00:00.748,,,,,,,,,,"you get rid of that y",,,
00:14:13.403,00:14:14.291,00:00:00.888,,,,,,,,,,"you get rid of that y",,,
00:14:14.291,00:14:14.461,00:00:00.170,,,,,,,,,,,"yeah",,
00:14:14.461,00:14:24.059,00:00:09.598,,,,,,,,,,"I think",,,
00:14:32.140,00:14:32.549,00:00:00.409,,,,,,,,,,"yeah",,,
00:14:32.549,00:14:36.032,00:00:03.483,,,,,,,,,,"pause filler wait I did something wrong",,,
00:14:37.069,00:14:38.466,00:00:01.397,,,,,,,,,,,"yeah",,
00:14:38.506,00:14:39.214,00:00:00.708,,,,,,,,,,"pause filler you don�t",,,
00:14:39.214,00:14:40.701,00:00:01.487,,,,,,,,,,"you move the sixty-one first",,,
00:14:40.701,00:14:44.772,00:00:04.071,,,,,,,,,,"but oh I bet yeah you move the sixty-one first",,,
00:14:44.772,00:14:45.979,00:00:01.207,,,,,,,,,,"it's not in",,,
00:14:45.979,00:14:50.199,00:00:04.220,,,,,,,,,,"pause filler if you move the variables it's okay",,,
00:14:50.199,00:14:57.273,00:00:07.074,,,"SV",,"SV1A",,,,,"pause filler tap tap tap tap tap tap tap tap tap tap",,,
00:14:57.273,00:15:06.602,00:00:09.329,,,,,,,,,,"okay it's negative six sevenths y equals pause filler twenty-five",,,
00:15:06.602,00:15:09.545,00:00:02.943,,,,,,,,,,"plus sixty-one is eight-six",,,
00:15:09.545,00:15:11.930,00:00:02.385,,,,,,,,,,"eighty-six plus y",,,
00:15:11.930,00:15:26.656,00:00:14.726,,,,,,,,,,"pause filler moving to the other side oh because it's not oh it's negative one seventh y equals eighty-six",,,
00:15:26.716,00:15:27.165,00:00:00.449,,,,,,,,,,"okay that�s yeah",,,
00:15:27.205,00:15:27.255,00:00:00.050,,,,,,,,,,,"mm-hmm oh",,
00:15:27.973,00:15:37.003,00:00:09.030,,,,,,,,,,"add eighty-three",,,
00:15:37.003,00:15:38.330,00:00:01.327,,,,,,,,,,"get a hundred",,,
00:15:38.330,00:15:45.025,00:00:06.695,,,,,,,,,,"so negative eleven x equals one hundred",,,
00:15:45.025,00:15:54.802,00:00:09.777,,,,,,,,,,"pause filler plus ten thirds x pause filler ten thirds eleven",,,
00:15:54.802,00:15:58.704,00:00:03.902,,,,,,,,,,"so pause filler negative thirty-three thirds x",,,
00:15:58.704,00:16:03.802,00:00:05.098,,,,,,,,,,"pause filler move over there thirty-three thirds",,,
00:16:03.802,00:16:06.536,00:00:02.734,,,,,,,,,,"okay oh on I have to",,,
00:16:07.284,00:16:08.581,00:00:01.297,,,,,,,,,,"okay all right",,,
00:16:08.841,00:16:18.419,00:00:09.578,,,,,,,,,,"pause filler negative pause filler forty-three thirds x equals a hundred",,,
00:16:18.419,00:16:21.332,00:00:02.913,,,,,,,,,,"and then you get x equals",,,
00:16:21.332,00:16:25.363,00:00:04.031,,,,,,,,,,"pause filler you multiply the reciprocal",,,
00:16:25.363,00:16:34.393,00:00:09.030,,,,,,,,,,"you get three hundred negative three hundred forty-thirds",,,
00:16:37.336,00:16:37.595,00:00:00.259,,,,,,,,,,,"yeah",,
00:16:44.869,00:16:48.161,00:00:03.292,,,,,,,,,,"okay okay",,,
00:16:49.827,00:16:52.970,00:00:03.143,,,,,,,,,,"pause filler nineteen fourths",,,
00:16:54.377,00:16:56.482,00:00:02.105,,,,,,,,,,"pause filler fifty-five or thirty-four",,,
00:16:56.482,00:16:58.857,00:00:02.375,,,,,,,,,,"so you subtract thirty-four from the side",,,
00:16:58.857,00:17:00.194,00:00:01.337,,,,,,,,,,"you cancel thirty-four",,,
00:17:00.194,00:17:04.095,00:00:03.901,,,,,,,,,,"pause filler fifty-five minus thirty-four is twenty-five",,,
00:17:04.095,00:17:05.133,00:00:01.038,,,,,,,,,,"minus twenty-one",,,
00:17:05.133,00:17:09.672,00:00:04.539,,,,,,,,,,"so you have nineteen fourths y",,,
00:17:10.910,00:17:19.849,00:00:08.939,,,,,,,,,,"plus twenty-one equals fourteen y fourths",,,
00:17:20.428,00:17:21.994,00:00:01.566,,,,,,,,,,"pause filler nineteen fourths y",,,
00:17:21.994,00:17:22.453,00:00:00.459,,,,,,,,,,"you move that",,,
00:17:22.453,00:17:24.030,00:00:01.577,,,,,,,,,,"you subtract nineteen fourths y",,,
00:17:24.030,00:17:27.382,00:00:03.352,,,,,,,,,,"fourteen times four is",,,
00:17:27.382,00:17:35.324,00:00:07.942,,,,,,,,,,"pause filler fourteen times four is fifty-six fourths",,,
00:17:35.324,00:17:38.297,00:00:02.973,,,,,,,,,,"so nineteen plus fifty-six is",,,
00:17:38.297,00:17:47.247,00:00:08.950,,,,,,,,,,"pause filler nineteen fifty-six is sixty-six plus nine is pause filler seventy-five",,,
00:17:47.247,00:17:54.041,00:00:06.794,,,,,,,,,,"so you have twenty-one equals seventy-five fourths of y",,,
00:17:54.041,00:17:57.663,00:00:03.622,,,,,,,,,,"and then you get",,,
00:17:57.663,00:18:00.227,00:00:02.564,,,,,,,,,,"did I do something wrong",,,
00:18:00.227,00:18:04.627,00:00:04.400,,,,,,,,,,,"no no you didn't",,
00:18:04.967,00:18:05.056,00:00:00.089,,,,,,,,,,"okay",,,
00:18:05.056,00:18:10.195,00:00:05.139,,,,,,,,,,"x equals y y",,,
00:18:13.028,00:18:13.517,00:00:00.489,,,,,,,,,,,"that�s an interestingy",,
00:18:13.517,00:18:16.850,00:00:03.333,,,,,,,,,,"it is very interesting",,,
00:18:16.929,00:18:23.574,00:00:06.645,,,,,,,,,,"pause filler two hundred two",,,
00:18:23.774,00:18:38.091,00:00:14.317,,,,,,,,,,"see at a hundred and forty-two one hundred forty-two plus seventy-six x equals fifty fourteenths x",,,
00:18:38.091,00:18:40.536,00:00:02.445,,,,,,,,,,"pause filler you move the seventy-seven",,,
00:18:40.536,00:18:49.685,00:00:09.149,,,,,,,,,,"get pause filler fifty fourteen six three pause filler seventy-seven times fourteen",,,
00:18:49.735,00:18:50.074,00:00:00.339,,,,,,,,,,"oh jeez",,,
00:18:50.074,00:19:02.895,00:00:12.821,,,,,,,,,,"pause filler seven hundred seventy plus oh jeez seventy-seven times four is twenty twenty two hundred eighty three hundred eight",,,
00:19:02.895,00:19:05.808,00:00:02.913,,,,,,,,,,"so like a thousand seventy-eight",,,
00:19:07.375,00:19:12.982,00:00:05.607,,,,,,,,,,"pause filler one four two equals a thousand seventy-eight",,,
00:19:12.982,00:19:15.616,00:00:02.634,,,,,,,,,,"plus fifty a thousand and one",,,
00:19:15.616,00:19:25.474,00:00:09.858,,,,,,,,,,"okay one two or no one one two eight fourteenths x",,,
00:19:25.544,00:19:34.503,00:00:08.959,,,,,,,,,,"and then one forty-two times fourteen equals one",,,
00:19:34.703,00:19:38.744,00:00:04.041,,,,,,,,,,"one two eight equals x",,,
00:19:41.637,00:19:43.612,00:00:01.975,,,,,,,,,,"I really don�t want to reduce that number",,,
00:19:44.880,00:19:45.578,00:00:00.698,,,,,,,,,,"but it's pause filler",,,
00:19:45.578,00:19:49.768,00:00:04.190,,,,,,,,,,,"one forty-two times fourteen",,
00:19:49.768,00:19:51.544,00:00:01.776,,,,,,,,,,,"and then you're good",,
00:19:51.544,00:19:57.481,00:00:05.937,,,,,,,,,,"yeah pause filler one forty-two times fourteen is one thousand four hundred twenty",,,
00:19:57.621,00:20:15.390,00:00:17.769,,,,,,,,,,"pause filler one thousand four hundred twenty plus pause filler four hundred five hundred sixty five hundred sixty-eight one thousand four hundred twenty-five sixteenth plus four hundred twenty pause filler (inaudible)",,,
00:20:15.480,00:20:21.496,00:00:06.016,,,,,,,,,,"one thousand nine hundred eighty",,,
00:20:21.496,00:20:34.168,00:00:12.672,,,,,,,,,,"so it's like one thousand nine hundred eighty-eight over one one two eight equals x",,,
00:20:35.225,00:20:35.395,00:00:00.170,,,,,,,,,,"yeah",,,
00:20:35.395,00:20:38.049,00:00:02.654,,,"SV",,"SV1A",,,,,"stop come and get",,,
00:20:42.858,00:21:05.786,00:00:22.928,,,,,,,,,"okay so we are going to continue",,,,
00:21:05.836,00:21:06.444,00:00:00.608,,,,,,,,,,"okay",,,
00:21:06.444,00:21:08.529,00:00:02.085,,,,,,,,,,"the next one",,,
00:21:08.549,00:21:13.678,00:00:05.129,,,,,,,,,"please go ahead continue",,,,
00:21:14.177,00:21:24.433,00:00:10.256,,,,,,,,,,"all right then twenty-two y minus ninety",,,
00:21:24.503,00:21:26.159,00:00:01.656,,,,,,,,,,"pause filler you add ninety to both sides",,,
00:21:26.159,00:21:33.982,00:00:07.823,,,,,,,,,,"you get twenty-two y equals fifteen fourths of y",,,
00:21:34.490,00:21:39.958,00:00:05.468,,,,,,,,,,"plus pause filler forty-seven",,,
00:21:43.510,00:21:46.633,00:00:03.123,,,,,,,,,,"pause filler twenty-two y",,,
00:21:50.694,00:21:53.567,00:00:02.873,,,,,,,,,,"pause filler okay so pause filler move the fifteen fourths",,,
00:21:53.567,00:21:56.540,00:00:02.973,,,,,,,,,,"you get twenty-two times four",,,
00:21:56.760,00:22:07.815,00:00:11.055,,,,,,,,,,"eighty-eight plus fifteen plus fifteen pause filler four equals thirty-seven",,,
00:22:07.815,00:22:09.291,00:00:01.476,,,,,,,,,,"plus y pause filler",,,
00:22:09.291,00:22:12.255,00:00:02.964,,,,,,,,,,"so eighty-eight plus fifteen is ninety",,,
00:22:13.013,00:22:15.228,00:00:02.215,,,,,,,,,,"pause filler is a hundred and three fourths",,,
00:22:19.039,00:22:22.322,00:00:03.283,,,,,,,,,,"equals forty minus seven",,,
00:22:22.322,00:22:23.798,00:00:01.476,,,,,,,,,,"oh hundred and three-fourth",,,
00:22:24.297,00:22:27.400,00:00:03.103,,,,,,,,,,"y equals forty-seven",,,
00:22:27.530,00:22:30.214,00:00:02.684,,,,,,,,,,,"yeah y",,
00:22:30.214,00:22:33.197,00:00:02.983,,,,,,,,,,"and then oh jeez pause filler you move that over there",,,
00:22:33.347,00:22:35.761,00:00:02.414,,,,,,,,,,"pause filler forty-seven times four is",,,
00:22:35.761,00:22:36.939,00:00:01.178,,,,,,,,,,"so y",,,
00:22:37.846,00:22:43.923,00:00:06.077,,,,,,,,,,"y equals pause filler one hundred-thirds",,,
00:22:46.397,00:22:53.032,00:00:06.635,,,,,,,,,,"four pause filler four times forty-seven six",,,
00:22:53.032,00:22:55.706,00:00:02.674,,,,,,,,,,"one hundred sixty plus twenty one",,,
00:22:55.706,00:22:57.212,00:00:01.506,,,,,,,,,,"hundred eighty-eight",,,
00:22:58.978,00:22:59.178,00:00:00.200,,,,,,,,,,,"okay",,
00:23:00.685,00:23:01.453,00:00:00.768,,,,,,,,,,"next page",,,
00:23:04.386,00:23:08.567,00:00:04.181,,,,,,,,,,"ninety-nine plus thirteen equals three hundred thirteen",,,
00:23:09.135,00:23:12.947,00:00:03.812,,,,,,,,,,"okay pause filler add ninety-nine to both sides",,,
00:23:12.947,00:23:22.974,00:00:10.027,,,,,,,,,,"you get thirteen x equals three hundred thirteen plus ninety-nine is four hundred",,,
00:23:22.974,00:23:29.479,00:00:06.505,,,,,,,,,,"pause filler four hundred times twelve",,,
00:23:29.479,00:23:33.151,00:00:03.672,,,,,,,,,,"twenty-two plus nine is eleven",,,
00:23:34.139,00:23:39.000,00:00:04.861,,,,,,,,,,"so four hundred and twelve I think",,,
00:23:39.000,00:23:39.536,00:00:00.536,,,,,,,,,,"so four hundred and twelve I think","mm-hmm",,
00:23:39.536,00:23:39.935,00:00:00.399,,,,,,,,,,,"mm-hmm",,
00:23:39.935,00:23:40.000,00:00:00.065,,,,,,,,,,"okay oh that equal sign should be there","mm-hmm",,
00:23:40.000,00:23:45.223,00:00:05.223,,,,,,,,,,"okay oh that equal sign should be there",,,
00:23:45.243,00:23:57.236,00:00:11.993,,,,,,,,,,"it's now plus pause filler plus four thirteenths x",,,
00:23:58.373,00:23:59.860,00:00:01.487,,,,,,,,,,"pause filler you move that to the other side",,,
00:23:59.860,00:24:03.252,00:00:03.392,,,,,,,,,,"you multiply thirteen by thirteen which is a hundred sixty-nine",,,
00:24:05.398,00:24:07.433,00:00:02.035,,,,,,,,,,"so you have a hundred sixty-nine",,,
00:24:07.433,00:24:10.336,00:00:02.903,,,,,,,,,,"pause filler oh god plus four pause filler",,,
00:24:10.925,00:24:15.076,00:00:04.151,,,,,,,,,,"so a hundred and seventy pause filler three",,,
00:24:17.700,00:24:19.815,00:00:02.115,,,,,,,,,,"pause filler it's just clear some of these numbers",,,
00:24:25.262,00:24:26.659,00:00:01.397,,,,,,,,,,"there you go oh one more",,,
00:24:28.415,00:24:31.698,00:00:03.283,,,,,,,,,,"okay a hundred seventy-three x",,,
00:24:33.993,00:24:43.980,00:00:09.987,,,,,,,,,,"over thirteen equals pause filler four hundred and twelve",,,
00:24:44.808,00:24:56.631,00:00:11.823,,,,,,,,,,"(sfx) pause filler four hundred twelve times thirteen is four thousand one hundred twenty",,,
00:24:56.631,00:25:09.522,00:00:12.891,,,,,,,,,,"plus pause filler six thirty and twelve four six five three five three five six",,,
00:25:10.410,00:25:17.314,00:00:06.904,,,,,,,,,,"so x equals one hundred seventy-three five three five sixes",,,
00:25:19.140,00:25:19.399,00:00:00.259,,,,,,,,,,,"okay",,
00:25:25.645,00:25:27.601,00:00:01.956,,,,,,,,,,"one fifteenths of x",,,
00:25:27.601,00:25:33.218,00:00:05.617,,,,,,,,,,"just cancel",,,
00:25:33.687,00:25:35.533,00:00:01.846,,,,,,,,,,"pause filler really they shouldn't cancel",,,
00:25:35.533,00:25:39.204,00:00:03.671,,,,,,,,,,"but I'll solve the equation anyways",,,
00:25:39.204,00:25:44.961,00:00:05.757,,,,,,,,,,"pause filler so one fifteenths of x equals fifteen x",,,
00:25:45.201,00:25:53.242,00:00:08.041,,,,,,,,,,"plus pause filler one hundred and thirty-five",,,
00:25:55.986,00:25:57.523,00:00:01.537,,,,,,,,,,"so you move the fifteen x",,,
00:25:57.523,00:26:01.773,00:00:04.250,,,,,,,,,,"pause filler you divide by fifteen x",,,
00:26:02.641,00:26:04.836,00:00:02.195,,,,,,,,,,"divided by fifteen x",,,
00:26:05.345,00:26:11.072,00:00:05.727,,,,,,,,,,"pause filler fifteen divided by one fifteenth divided by one",,,
00:26:16.749,00:26:19.483,00:00:02.734,,,,,,,,,,,"you just have to multiply the reciprocal of this",,
00:26:19.513,00:26:25.858,00:00:06.345,,,,,,,,,,"okay so you oh so you don�t oh my god these are like hugely yeah okay",,,
00:26:26.128,00:26:27.445,00:00:01.317,,,,,,,,,,,"yeah so instead of one hundred",,
00:26:27.445,00:26:32.393,00:00:04.948,,,,,,,,,,"fifteen times fifteen is two hundred twenty-five isn't it yeah",,,
00:26:32.753,00:26:33.551,00:00:00.798,,,,,,,,,,,"one wait pause filler",,
00:26:33.720,00:26:37.093,00:00:03.373,,,,,,,,,,"because you multiply by the reciprocal",,,
00:26:37.093,00:26:39.098,00:00:02.005,,,,,,,,,,"so you get one pause filler over fifty",,,
00:26:39.098,00:26:44.815,00:00:05.717,,,,,,,,,,"times fifteen x equals one thirty-five",,,
