"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","Experimenter 2-1","P1","P2",
00:02:28.226,00:02:29.104,00:00:00.878,,,,,,,,,,,,,,"that would be nice",,
00:02:29.104,00:02:31.448,00:00:02.344,,,,,,,,,,,,,,"I hope that it works out",,
00:02:31.618,00:02:34.671,00:00:03.053,,,,,,,,,,,,,,,"yeah so what are you doing for Easter",
00:02:36.277,00:02:41.386,00:00:05.109,,,,,,,,,,,,,,"pause filler oh wow I think you realize I was coming up",,
00:02:41.386,00:02:42.094,00:00:00.708,,,,,,,,,,,,,,"I don't know",,
00:02:42.094,00:02:46.025,00:00:03.931,,,,,,,,,,,,,,"not much I don't think",,
00:02:46.025,00:02:49.368,00:00:03.343,,,,,,,,,,,,,,"so I'm ever going to do anything",,
00:02:49.368,00:02:50.345,00:00:00.977,,,,,,,,,,,,,,"are you going to do anything",,
00:02:50.515,00:02:50.814,00:00:00.299,,,,,,,,,,,,,,,"I don't know",
00:02:50.814,00:02:54.167,00:00:03.353,,,,,,,,,,,,,,,"I'm probably just going to have dinner with my family or something like that",
00:02:54.167,00:02:55.813,00:00:01.646,,,,,,,,,,,,,,,"maybe some family will come over",
00:02:56.242,00:02:58.656,00:00:02.414,,,,,,,,,,,,,,,"and I'll go to church probably on that day",
00:03:01.450,00:03:03.605,00:00:02.155,,,,,,,,,,,,,,"that's nice",,
00:03:04.014,00:03:10.909,00:00:06.895,,,,,,,,,,,,,,,"so are you tired",
00:03:10.909,00:03:12.525,00:00:01.616,,,,,,,,,,,,,,,"I'm tired (laughter)",
00:03:12.884,00:03:17.194,00:00:04.310,,,,,,,,,,,,,,"yeah I guess I probably I stayed up a little bit late last night",,
00:03:17.364,00:03:23.470,00:00:06.106,,,,,,,,,,,,,,,"yeah but sometimes and like I want to sleep but I don't but I should (laughter)",
00:03:23.470,00:03:25.196,00:00:01.726,,,,,,,,,,,,,,"yeah and me too",,
00:03:25.196,00:03:30.674,00:00:05.478,,,,,,,,,,,,,,"I was reading and I'm like this book is good but I probably should go to bed",,
00:03:30.674,00:03:30.993,00:00:00.319,,,,,,,,,,,,,,,"yeah",
00:03:33.308,00:03:36.241,00:00:02.933,,,,,,,,,,,,,,"but you know since I didn't have to wake up as early",,
00:03:36.301,00:03:39.743,00:00:03.442,,,,,,,,,,,,,,"so I (inaudible) myself stay up later",,
00:03:40.432,00:03:42.527,00:00:02.095,,,,,,,,,,,,,,,"why do usually have to wake up early",
00:03:42.627,00:03:45.490,00:00:02.863,,,,,,,,,,,,,,"yeah school starts at seven thirty-six for me",,
00:03:45.490,00:03:46.977,00:00:01.487,,,,,,,,,,,,,,"so I have to wake up at six o'clock",,
00:03:46.977,00:03:50.499,00:00:03.522,,,,,,,,,,,,,,,"oh yeah I have to wake up at seven o'clock also",
00:03:50.499,00:03:53.013,00:00:02.514,,,,,,,,,,,,,,,"I'm at eight six o'clock I can't yet",
00:03:53.013,00:03:55.108,00:00:02.095,,,,,,,,,,,,,,"yeah because it's just so annoying entire and waking up like that",,
00:03:55.108,00:03:56.016,00:00:00.908,,,,,,,,,,,,,,,"yeah I agree",
00:03:56.016,00:04:05.085,00:00:09.069,,,,,,,,,,,,,,"I was really lucky because like other people that takes a bus for like the first stop",,
00:04:05.085,00:04:07.859,00:00:02.774,,,,,,,,,,,,,,"they have to wake up like around five so",,
00:04:09.266,00:04:14.933,00:00:05.667,,,,,,,,,,,,,,,"yeah my bus comes at like seven o four or something like that",
00:04:14.933,00:04:17.757,00:00:02.824,,,,,,,,,,,,,,"yeah my bus comes like yeah around that time",,
00:04:17.757,00:04:20.760,00:00:03.003,,,,,,,,,,,,,,"somewhere between like six fifty-five",,
00:04:20.780,00:04:24.461,00:00:03.681,,,,,,,,,,,,,,"so instead of five so usually on the earlier side on that",,
00:04:24.821,00:04:25.739,00:00:00.918,,,,,,,,,,,,,,,"so where do you live",
00:04:26.547,00:04:28.163,00:00:01.616,,,,,,,,,,,,,,"I live in Squirrel Hill",,
00:04:28.163,00:04:31.256,00:00:03.093,,,,,,,,,,,,,,,"oh okay that's pretty far away then from my house I mean",
00:04:31.256,00:04:33.441,00:00:02.185,,,,,,,,,,,,,,,"I live in pause filler I live in Imperial",
00:04:33.441,00:04:34.958,00:00:01.517,,,,,,,,,,,,,,,"do you know where the airport is",
00:04:35.237,00:04:35.756,00:00:00.519,,,,,,,,,,,,,,"yeah",,
00:04:35.965,00:04:38.869,00:00:02.904,,,,,,,,,,,,,,,"I live like a few minutes away from the airport so",
00:04:38.959,00:04:40.774,00:00:01.815,,,,,,,,,,,,,,"oh yeah that is far away",,
00:04:40.884,00:04:43.149,00:00:02.265,,,,,,,,,,,,,,,"yeah (laughter)",
00:04:46.731,00:04:48.547,00:00:01.816,,,,,,,,,,,,,,,"so are you going on vacation this summer",
00:04:48.547,00:04:49.764,00:00:01.217,,,,,,,,,,,,,,,"or doing anything fun",
00:04:50.732,00:04:51.819,00:00:01.087,,,,,,,,,,,,,,"yeah because summer pause filler really",,
00:04:51.819,00:04:53.875,00:00:02.056,,,,,,,,,,,,,,"so I'm not figured out what we're going to do",,
00:04:53.875,00:05:01.976,00:00:08.101,,,,,,,,,,,,,,"but yeah we're probably going to end up going to Maryland because my grandparents are over there",,
00:05:02.196,00:05:02.794,00:00:00.598,,,,,,,,,,,,,,,"that sounds fun",
00:05:02.794,00:05:03.892,00:00:01.098,,,,,,,,,,,,,,"yeah we usually go to Colorado",,
00:05:04.191,00:05:07.833,00:00:03.642,,,,,,,,,,,,,,"but we're not sure we're going to go this year",,
00:05:08.382,00:05:10.836,00:00:02.454,,,,,,,,,,,,,,"so we need to figure that out",,
00:05:15.126,00:05:17.222,00:00:02.096,,,,,,,,,,,,,,,"so it was just warm",
00:05:17.222,00:05:18.568,00:00:01.346,,,,,,,,,,,,,,,"and then it's not even warm again",
00:05:18.568,00:05:19.636,00:00:01.068,,,,,,,,,,,,,,,"it's just cold again",
00:05:19.895,00:05:20.953,00:00:01.058,,,,,,,,,,,,,,"I know it sucks",,
00:05:20.953,00:05:22.240,00:00:01.287,,,,,,,,,,,,,,"it's like all cool",,
00:05:22.240,00:05:24.196,00:00:01.956,,,,,,,,,,,,,,"I want it to be warm",,
00:05:24.196,00:05:26.910,00:00:02.714,,,,,,,,,,,,,,"and it's like somewhat snowing outside",,
00:05:27.029,00:05:28.546,00:00:01.517,,,,,,,,,,,,,,,"it was snowing yeah",
00:05:28.765,00:05:29.224,00:00:00.459,,,,,,,,,,,,,,"yeah",,
00:05:29.464,00:05:32.008,00:00:02.544,,,,,,,,,,,,,,,"so are you excited for spring summer though",
00:05:33.066,00:05:35.939,00:00:02.873,,,,,,,,,,,,,,"yeah I can't wait just not waking up as early",,
00:05:36.398,00:05:40.219,00:00:03.821,,,,,,,,,,,,,,,"yeah the only thing I really like about winter is when it actually snows",
00:05:40.219,00:05:41.975,00:00:01.756,,,,,,,,,,,,,,,"and then it barely even snowed this winter",
00:05:41.975,00:05:42.464,00:00:00.489,,,,,,,,,,,,,,,"so I'm done",
00:05:42.464,00:05:46.984,00:00:04.520,,,,,,,,,,,,,,"I know it was just sort of like annoying like enough that you had to shovel it",,
00:05:47.084,00:05:49.359,00:00:02.275,,,,,,,,,,,,,,"but you didn't get any days off",,
00:05:49.608,00:05:50.057,00:00:00.449,,,,,,,,,,,,,,,"yeah",
00:05:50.636,00:05:54.207,00:00:03.571,,,,,,,,,,,,,,"I actually got like one day off this entire winter",,
00:05:54.207,00:05:54.597,00:00:00.390,,,,,,,,,,,,,,,"yeah me too",
00:05:55.445,00:05:57.879,00:00:02.434,,,,,,,,,,,,,,"yeah but it was like not even cold out",,
00:05:58.528,00:06:01.690,00:00:03.162,,,,,,,,,,,,,,,"and I only got like two-hour delays probably",
00:06:01.690,00:06:04.245,00:00:02.555,,,,,,,,,,,,,,"yeah we didn't get yeah the same for us",,
00:06:04.245,00:06:08.585,00:00:04.340,,,,,,,,,,,,,,"it is like winter wasn't even here",,
00:06:09.163,00:06:09.543,00:00:00.380,,,,,,,,,,,,,,,"yeah (laughter)",
00:06:09.622,00:06:15.320,00:00:05.698,,,,,,,,,,,,,,,"I don't know if they go to your school or not",
00:06:15.320,00:06:18.931,00:00:03.611,,,,,,,,,,,,,,,"but a couple of my friends are at Squirrel Hill and then pause filler",
00:06:19.001,00:06:20.777,00:00:01.776,,,,,,,,,,,,,,,"do you know Sophia Doyna or Trisha Soreta",
00:06:20.777,00:06:21.136,00:00:00.359,,,,,,,,,,,,,,"I (inaudible)",,
00:06:21.635,00:06:26.275,00:00:04.640,,,,,,,,,,,,,,,"okay because I think they go to Falk",
00:06:26.275,00:06:28.090,00:00:01.815,,,,,,,,,,,,,,,"never mind (laughter)",
00:06:29.118,00:06:29.667,00:00:00.549,,,,,,,,,,,,,,"yeah",,
00:06:38.587,00:06:48.175,00:00:09.588,,,,,,,,,,,,,,,"so what made you decide to do the CMU thing",
00:06:48.674,00:06:53.054,00:00:04.380,,,,,,,,,,,,,,"oh well I guess pause filler my mom works here",,
00:06:53.054,00:06:54.301,00:00:01.247,,,,,,,,,,,,,,"so she noticed it",,
00:06:54.381,00:06:57.933,00:00:03.552,,,,,,,,,,,,,,"and yeah I decided I'd do it",,
00:06:58.082,00:06:58.312,00:00:00.230,,,,,,,,,,,,,,,"yeah",
00:06:58.621,00:06:58.970,00:00:00.349,,,,,,,,,,,,,,"so",,
00:06:59.349,00:07:02.891,00:00:03.542,,,,,,,,,,,,,,,"it's not too long you get money",
00:07:03.470,00:07:04.717,00:00:01.247,,,,,,,,,,,,,,"yeah money is nice",,
00:07:04.987,00:07:07.222,00:00:02.235,,,,,,,,,,,,,,,"yeah but it's a good experience also",
00:07:08.259,00:07:08.668,00:00:00.409,,,,,,,,,,,,,,"yeah (inaudible)",,
00:07:08.668,00:07:10.893,00:00:02.225,,,,,,,,,,,,,"all right so",,,
00:07:10.993,00:07:16.321,00:00:05.328,,,,,,,,,,,,"okay so I'm just going to come in (inaudible)",,,,
00:07:16.351,00:07:17.528,00:00:01.177,,,,,,,,,,,,,,,"thank you",
00:07:17.528,00:07:18.855,00:00:01.327,,,,,,,,,,,,,,"I have a question",,
00:07:18.915,00:07:24.283,00:00:05.368,,,,,,,,,,,,,,"is there a way to turn this down a little bit",,
00:07:24.283,00:07:25.221,00:00:00.938,,,,,,,,,,,,,,,"all right",
00:07:25.221,00:07:26.328,00:00:01.107,,,,,,,,,,,,,,"(inaudible) all right thanks",,
00:07:26.328,00:07:36.675,00:00:10.347,,,,,,,,,,,,"so you're going to have twenty minutes to help them work through as many problems as you can",,,,
00:07:36.934,00:07:42.531,00:00:05.597,,,,,,,,,,,,"so remember that you're not solving the problems yourself",,,,
00:07:42.531,00:07:52.259,00:00:09.728,,,,,,,,,,,,"you're just going to try to help her understand the problems better",,,,
00:07:52.339,00:07:56.330,00:00:03.991,,,,,,,,,,,,"and let's just use the stylus to circle or underline anything you need to",,,,
00:07:56.330,00:08:02.296,00:00:05.966,,,,,,,,,,,,"there's no pressure if you don't get through all of them though",,,,
00:08:02.296,00:08:08.173,00:00:05.877,,,,,,,,,,,,"and you can go ahead and get started",,,,
00:08:08.612,00:08:09.151,00:00:00.539,,,,,,,,,,,,,,"pause filler okay (laughter)",,
00:08:09.859,00:08:12.593,00:00:02.734,,,,,,,,,,,,,,,"so do you know how to do this",
00:08:12.593,00:08:13.990,00:00:01.397,,,,,,,,,,,,,,,"you've learned this in school right",
00:08:14.189,00:08:18.769,00:00:04.580,,,,,,,,,,,,,,"yeah so okay so yeah",,
00:08:18.769,00:08:21.912,00:00:03.143,,,,,,,,,,,,,,"the first thing is you want to get x alone",,
00:08:21.912,00:08:25.055,00:00:03.143,,,,,,,,,,,,,,"you want to get rid of those the three over seven pause filler",,
00:08:26.262,00:08:35.351,00:00:09.089,,,,,,,,,,,,,,,"yes so then you would have to well on the sheet it was like saying that you would have to do seven x",
00:08:35.351,00:08:36.908,00:00:01.557,,,,,,,,,,,,,,,"but I guess that's not",
00:08:37.496,00:08:38.265,00:00:00.769,,,,,,,,,,,,,,,"well never mind",
00:08:39.103,00:08:41.896,00:00:02.793,,,,,,,,,,,,,,"yeah so there's like two ways to do this",,
00:08:41.956,00:08:45.458,00:00:03.502,,,,,,,,,,,,,,"you could either divide x plus three over seven",,
00:08:45.458,00:08:48.352,00:00:02.894,,,,,,,,,,,,,,"or you could multiply it plus three over seven",,
00:08:49.579,00:08:52.333,00:00:02.754,,,,,,,,,,,,,,,"yes so you would have to divide it by three sevens",
00:08:53.151,00:08:56.543,00:00:03.392,,,,,,,,,,,,,,"yeah or we could multiply it by the reciprocal",,
00:08:57.062,00:08:58.159,00:00:01.097,,,,,,,,,,,,,,"because that would also work",,
00:08:58.159,00:08:59.846,00:00:01.687,,,,,,,,,,,,,,"because that would turn it into one",,
00:09:00.534,00:09:01.322,00:00:00.788,,,,,,,,,,,,,,,"yeah yeah yeah",
00:09:02.041,00:09:03.398,00:00:01.357,,,,,,,,,,,,,,,"so what do you think",
00:09:03.398,00:09:04.126,00:00:00.728,,,,,,,,,,,,,,,"what do you",
00:09:05.054,00:09:08.925,00:00:03.871,,,,,,,,,,,,,,"pause filler I mean it all depends",,
00:09:09.035,00:09:11.759,00:00:02.724,,,,,,,,,,,,,,"would you rather divide forty or",,
00:09:11.759,00:09:13.604,00:00:01.845,,,,,,,,,,,,,,"would you rather multiply over forty",,
00:09:13.604,00:09:17.755,00:00:04.151,,,,,,,,,,,,,,"probably multiplying might be easier than dividing forty",,
00:09:17.934,00:09:20.828,00:00:02.894,,,,,,,,,,,,,,,"all right then teach me how to do that then",
00:09:22.454,00:09:27.463,00:00:05.009,,,,,,,,,,,,,,"okay okay that's weird oh okay yeah",,
00:09:27.463,00:09:30.017,00:00:02.554,,,,,,,,,,,,,,"so you would want to do is",,
00:09:30.017,00:09:34.696,00:00:04.679,,,,,,,,,,,,,,"you would want to just put like forty over here",,
00:09:35.734,00:09:38.907,00:00:03.173,,,,,,,,,,,,,,"so that works",,
00:09:38.907,00:09:44.614,00:00:05.707,,,,,,,,,,,,,,"so you I guess you would want to write out forty if you're going to multiply that",,
00:09:44.863,00:09:49.543,00:00:04.680,,,,,,,,,,,,,,,"all right so then",
00:09:49.543,00:09:57.993,00:00:08.450,,,,,,,,,,,,,,"so then pause filler if we're going to multiply it pause filler you're going to just write over here three over seven",,
00:09:57.993,00:10:00.009,00:00:02.016,,,,,,,,,,,,,,"or seven over three yeah",,
00:10:00.009,00:10:01.406,00:00:01.397,,,,,,,,,,,,,,"and you want to do a reciprocal",,
00:10:01.515,00:10:01.855,00:00:00.340,,,,,,,,,,,,,,,"yeah",
00:10:03.651,00:10:06.225,00:00:02.574,,,,,,,,,,,,,,"and I assume you know how to multiply fractions right",,
00:10:06.783,00:10:09.896,00:00:03.113,,,,,,,,,,,,,,,"I actually haven't learned this for like a year or two",
00:10:09.896,00:10:12.620,00:00:02.724,,,,,,,,,,,,,,,"so just refresh me on it",
00:10:12.670,00:10:16.152,00:00:03.482,,,,,,,,,,,,,,,"I kind of remember but",
00:10:16.382,00:10:19.495,00:00:03.113,,,,,,,,,,,,,,"so pause filler basically it's like multiplying normally except",,
00:10:19.574,00:10:25.621,00:00:06.047,,,,,,,,,,,,,,"you want to multiply the forty times seven and the one times three",,
00:10:26.149,00:10:28.384,00:00:02.235,,,,,,,,,,,,,,,"okay okay yeah yeah",
00:10:28.384,00:10:30.639,00:00:02.255,,,,,,,,,,,,,,"you just multiply straight across so you get",,
00:10:31.248,00:10:32.166,00:00:00.918,,,,,,,,,,,,,,,"two hundred eighty",
00:10:32.804,00:10:33.223,00:00:00.419,,,,,,,,,,,,,,"yeah",,
00:10:36.725,00:10:40.277,00:00:03.552,,,,,,,,,,,,,,,"over three right",
00:10:40.277,00:10:43.729,00:00:03.452,,,,,,,,,,,,,,,"and then does that pause filler does that simplify",
00:10:44.737,00:10:45.406,00:00:00.669,,,,,,,,,,,,,,"pause filler no",,
00:10:46.134,00:10:47.451,00:00:01.317,,,,,,,,,,,,,,,"all right",
00:10:47.531,00:10:51.701,00:00:04.170,,,,,,,,,,,,,,"see pause filler I guess you could just say that",,
00:10:52.609,00:10:58.745,00:00:06.136,,,,,,,,,,,,,,"because it would be okay",,
00:10:58.745,00:11:04.333,00:00:05.588,,,,,,,,,,,,,,"because you know you probably know (inaudible) okay",,
00:11:04.333,00:11:05.570,00:00:01.237,,,,,,,,,,,,,,,"all right next up",
00:11:05.570,00:11:09.940,00:00:04.370,,,,,,,,,,,,,,,"so now do you want to multiply from the reciprocal again",
00:11:10.080,00:11:11.147,00:00:01.067,,,,,,,,,,,,,,,"so fourteen",
00:11:11.496,00:11:11.885,00:00:00.389,,,,,,,,,,,,,,"yeah",,
00:11:13.592,00:11:18.201,00:00:04.609,,,,,,,,,,,,,,,"time eight over three",
00:11:19.778,00:11:22.910,00:00:03.132,,,,,,,,,,,,,,,"and then that's over one so fourteen times eight",
00:11:24.188,00:11:25.894,00:00:01.706,,,,,,,,,,,,,,,"oh gosh what is fourteen times eight",
00:11:26.283,00:11:28.927,00:00:02.644,,,,,,,,,,,,,,"see pause filler seven time eight is fifty-six",,
00:11:28.927,00:11:31.890,00:00:02.963,,,,,,,,,,,,,,"fifty-six times two a hundred and twelve",,
00:11:32.429,00:11:34.205,00:00:01.776,,,,,,,,,,,,,,,"all right thank you",
00:11:34.893,00:11:36.949,00:00:02.056,,,,,,,,,,,,,,,"over three",
00:11:37.607,00:11:37.966,00:00:00.359,,,,,,,,,,,,,,"yeah",,
00:11:37.966,00:11:40.261,00:00:02.295,,,,,,,,,,,,,,,"all right so next up",
00:11:42.326,00:11:43.683,00:00:01.357,,,,,,,,,,,,,,,"okay so",
00:11:45.918,00:11:51.625,00:00:05.707,,,,,,,,,,,,,,"okay yeah for this one this one you just have you're adding an extra step to it",,
00:11:51.625,00:11:55.137,00:00:03.512,,,,,,,,,,,,,,"so the first thing want to do is make sure y is alone on this",,
00:11:56.354,00:12:03.857,00:00:07.503,,,,,,,,,,,,,,,"all right so you're adding eighteen to both sides",
00:12:04.775,00:12:09.355,00:00:04.580,,,,,,,,,,,,,,,"so that will equal seventy right",
00:12:09.554,00:12:09.784,00:00:00.230,,,,,,,,,,,,,,"pause filler yeah",,
00:12:11.500,00:12:23.283,00:00:11.783,,,,"SV",,"SV1A",,,,,,,,,"so seventy negative two thirds y sorry my writing is so messy equals seventy",
00:12:25.229,00:12:36.124,00:00:10.895,,,,,,,,,,,,,,,"so you want to do seventy times wait three",
00:12:36.184,00:12:37.770,00:00:01.586,,,,,,,,,,,,,,"yeah you wanted to make sure there's a three",,
00:12:37.770,00:12:49.005,00:00:11.235,,,,,,,,,,,,,,,"yeah wait let me go back",
00:12:50.422,00:12:53.375,00:00:02.953,,,,,,,,,,,,,,"okay you want to just multiply",,
00:12:53.375,00:13:03.881,00:00:10.506,,,,,,,,,,,,,,,"seven times two equals (inaudible)",
00:13:07.453,00:13:13.729,00:00:06.276,,,,,,,,,,,,,,,"and then that would equal to one hundred five",
00:13:13.988,00:13:16.901,00:00:02.913,,,,,,,,,,,,,,"yeah maybe you could probably just put a y equals",,
00:13:17.550,00:13:24.384,00:00:06.834,,,,,,,,,,,,,,,"yeah so finally it's our y equals one hundred",
00:13:24.614,00:13:27.028,00:00:02.414,,,,,,,,,,,,,,"except one thing you forgot to do is",,
00:13:27.028,00:13:31.708,00:00:04.680,,,,,,,,,,,,,,"I'm pretty sure the one o five would be a negative because yeah",,
00:13:32.326,00:13:34.910,00:00:02.584,,,,,,,,,,,,,,"you know y was a negative so",,
00:13:34.910,00:13:39.809,00:00:04.899,,,,,,,,,,,,,,,"all right next up",
00:13:41.505,00:13:46.324,00:00:04.819,,,,,,,,,,,,,,,"all right so same thing here",
00:13:46.903,00:13:47.262,00:00:00.359,,,,,,,,,,,,,,"yeah",,
00:13:47.262,00:13:53.987,00:00:06.725,,,,,,,,,,,,,,,"so you would want to do minus thirteen on both sides",
00:13:54.705,00:14:06.379,00:00:11.674,,,,,,,,,,,,,,,"and that would equal one x equals thirty-one",
00:14:07.456,00:14:15.249,00:00:07.793,,,,,,,,,,,,,,,"then thirty-one over three times two over one equals sixty-two",
00:14:15.608,00:14:15.897,00:00:00.289,,,,,,,,,,,,,,"yep",,
00:14:18.930,00:14:24.308,00:00:05.378,,,,,,,,,,,,,,,"so would it be x equals sixty-two then",
00:14:24.308,00:14:25.555,00:00:01.247,,,,,,,,,,,,,,"yeah as you said",,
00:14:26.144,00:14:30.524,00:00:04.380,,,,,,,,,,,,,,"because you can't really do you could divide it by one but that would still be a sixty-two",,
00:14:30.524,00:14:39.344,00:00:08.820,,,,,,,,,,,,,,,"yeah okay so this is a little bit different because it's like on the other side",
00:14:39.344,00:14:41.479,00:00:02.135,,,,,,,,,,,,,,,"but it's still the same so",
00:14:41.689,00:14:42.178,00:00:00.489,,,,,,,,,,,,,,"yeah",,
00:14:42.178,00:14:52.594,00:00:10.416,,,,,,,,,,,,,,,"add sixteen to both sides so then you I'm just going to flip this around so three",
00:14:54.180,00:14:59.957,00:00:05.777,,,,,,,,,,,,,,,"actually I'm just going to go six over three equals",
00:14:59.957,00:15:05.285,00:00:05.328,,,,,,,,,,,,,,,"my gosh it's not even showing up",
00:15:06.193,00:15:06.881,00:00:00.688,,,,,,,,,,,,,,"it's not",,
00:15:07.400,00:15:08.308,00:00:00.908,,,,,,,,,,,,,,,"wait one second",
00:15:09.166,00:15:10.872,00:00:01.706,,,,,,,,,,,,,,,"this tip like lagging",
00:15:11.800,00:15:12.249,00:00:00.449,,,,,,,,,,,,,,"okay",,
00:15:14.315,00:15:18.315,00:00:04.000,,,,,,,,,,,,,,,"forty-seven over pause filler",
00:15:19.642,00:15:22.875,00:00:03.233,,,,,,,,,,,,,,,"so then oh gosh what's six times forty-seven",
00:15:22.875,00:15:25.599,00:00:02.724,,,,,,,,,,,,,,"pause filler well one thing you could do let's see wait (inaudible)",,
00:15:25.599,00:15:35.965,00:00:10.366,,,,,,,,,,,,,,"I guess before you do that you maybe you could simplify pause filler the sixty over three to like two",,
00:15:36.534,00:15:37.412,00:00:00.878,,,,,,,,,,,,,,"that might help you",,
00:15:37.442,00:15:48.956,00:00:11.514,,,,,,,,,,,,,,,"oh yeah so three over one so forty-seven time two equals pause filler fifty-four right",
00:15:50.422,00:16:00.559,00:00:10.137,,,,,,,,,,,,,,"well not times two forty-seven would be eighty but mostly fourteen ninety-four because it wouldn't",,
00:16:00.559,00:16:07.324,00:00:06.765,,,,,,,,,,,,,,,"yeah so ninety-four and then pause filler",
00:16:07.324,00:16:11.505,00:00:04.181,,,,,,,,,,,,,,,"that would be over that would just be ninety-four",
