"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1-1","P1","Experimenter 2-1","P2",
00:01:21.467,00:01:22.186,00:00:00.719,,,,,,,,,,"and that's all I'm using",,,
00:01:22.186,00:01:23.842,00:00:01.656,,,,,,,,,,"because apparently one of the pens broke",,,
00:01:24.061,00:01:27.105,00:00:03.044,,,,,,,,,,,,"oh I heard about that (laughter)",
00:01:27.105,00:01:29.569,00:00:02.464,,,,,,,,,,,,"because my brother here did a session yesterday",
00:01:29.569,00:01:33.819,00:00:04.250,,,,,,,,,,,,"and so he said his partner broke the pen",
00:01:33.819,00:01:34.957,00:00:01.138,,,,,,,,,,,,"so I'm sorry",
00:01:35.186,00:01:37.222,00:00:02.036,,,,,,,,,,,,"you must (inaudible) your pen",
00:01:37.541,00:01:39.905,00:00:02.364,,,,,,,,,,,,"oh well a mouse is probably easier anyway",
00:01:39.905,00:01:41.222,00:00:01.317,,,,,,,,,,"yeah I'm better with mouses so",,,
00:01:41.312,00:01:41.552,00:00:00.240,,,,,,,,,,,,"yeah",
00:01:41.552,00:01:43.000,00:00:01.448,,,,,,,,,,,,"I think I could do either one",
00:01:43.000,00:01:43.588,00:00:00.588,,,,,,,,,,"mouses",,"I think I could do either one",
00:01:43.588,00:01:47.428,00:00:03.840,,,,,,,,,,,,"I think I could do either one",
00:01:48.596,00:01:51.599,00:00:03.003,,,,,,,,,,,,"when did you die your hair",
00:01:51.629,00:01:52.736,00:00:01.107,,,,,,,,,,"pause filler a couple of days ago",,,
00:01:52.916,00:01:54.642,00:00:01.726,,,,,,,,,,,,"oh really cool is it permanent",
00:01:54.642,00:01:57.964,00:00:03.322,,,,,,,,,,,,"or is it temporary",
00:01:57.964,00:02:02.005,00:00:04.041,,,,,,,,,,"yeah permanent",,,
00:02:03.362,00:02:04.839,00:00:01.477,,,,,,,,,,,,"okay I like it",
00:02:05.038,00:02:06.545,00:00:01.507,,,,,,,,,,,,"I wonder if",
00:02:06.545,00:02:09.977,00:00:03.432,,,,,,,,,,,,"okay just make sure I'm in the frame",
00:02:10.027,00:02:10.925,00:00:00.898,,,,,,,,,,,,"am I on the frame",
00:02:10.925,00:02:11.693,00:00:00.768,,,,,,,,,,"yup",,,
00:02:11.693,00:02:12.012,00:00:00.319,,,,,,,,,,,,"okay good",
00:02:12.012,00:02:14.337,00:00:02.325,,,,,,,,,,"you're perfectly in the middle just like I think I am",,,
00:02:14.557,00:02:18.089,00:00:03.532,,,,,,,,,,,,"okay you are I just last time there's",
00:02:18.089,00:02:21.870,00:00:03.781,,,,,,,,,,,,"pause filler it was like a warning sign that popped up",
00:02:21.870,00:02:22.858,00:00:00.988,,,,,,,,,,,,"and it was a covering",
00:02:23.017,00:02:24.025,00:00:01.008,,,,,,,,,,,,"and I saw so",
00:02:24.025,00:02:26.001,00:00:01.976,,,,,,,,,,,,"but I couldn't tell them",
00:02:26.031,00:02:28.156,00:00:02.125,,,,,,,,,,,,"but now I can see myself",
00:02:28.156,00:02:29.992,00:00:01.836,,,,,,,,,,"(inaudible) in the middle so I think we're good",,,
00:02:29.992,00:02:31.249,00:00:01.257,,,,,,,,,,"as long as we don't fall off or share",,,
00:02:31.359,00:02:37.694,00:00:06.335,,,,,,,,,,,,"yeah yeah or like best with the camera or something",
00:02:37.694,00:02:41.276,00:00:03.582,,,,,,,,,,"yeah this is the exact same webcam my sister has",,,
00:02:41.615,00:02:41.785,00:00:00.170,,,,,,,,,,,,"what",
00:02:42.473,00:02:44.578,00:00:02.105,,,,,,,,,,"this is the exact same webcam my sister has",,,
00:02:44.578,00:02:44.968,00:00:00.390,,,,,,,,,,,,"really",
00:02:45.307,00:02:45.556,00:00:00.249,,,,,,,,,,"yup",,,
00:02:45.556,00:02:46.404,00:00:00.848,,,,,,,,,,,,"oh it's mine is",
00:02:46.404,00:02:51.862,00:00:05.458,,,,,,,,,,,,"okay I don't know how to pronounce",
00:02:51.862,00:02:52.890,00:00:01.028,,,,,,,,,,,,"seems like it's Logitech or Logitech",
00:02:52.890,00:02:56.342,00:00:03.452,,,,,,,,,,,,"well that's what PA Cyber does for their headphones",
00:02:56.342,00:02:57.130,00:00:00.788,,,,,,,,,,,,"I'm pretty sure",
00:02:57.130,00:02:58.168,00:00:01.038,,,,,,,,,,"I think so",,,
00:02:58.168,00:02:58.467,00:00:00.299,,,,,,,,,,"I don't know",,,
00:02:58.467,00:03:00.223,00:00:01.756,,,,,,,,,,,,"yeah that's the brand they use",
00:03:00.223,00:03:02.488,00:00:02.265,,,,,,,,,,"all I know is my sister has the literally exact same webcam",,,
00:03:02.488,00:03:03.605,00:00:01.117,,,,,,,,,,"that's all I know (laughter)",,,
00:03:03.924,00:03:04.453,00:00:00.529,,,,,,,,,,,,"really",
00:03:04.453,00:03:08.644,00:00:04.191,,,,,,,,,,"because she does Skype me into our tutor",,,
00:03:08.833,00:03:09.442,00:00:00.609,,,,,,,,,,,,"oh okay",
00:03:10.689,00:03:12.445,00:00:01.756,,,,,,,,,,"she's here this time",,,
00:03:12.445,00:03:12.585,00:00:00.140,,,,,,,,,,,,"what",
00:03:12.585,00:03:15.229,00:00:02.644,,,,,,,,,,"my sister is here this time",,,
00:03:15.229,00:03:16.396,00:00:01.167,,,,,,,,,,,,"really okay",
00:03:16.396,00:03:17.314,00:00:00.918,,,,,,,,,,"yeah her (inaudible)",,,
00:03:17.314,00:03:23.141,00:00:05.827,,,,,,,,,,,,"like here here or like in the building or somewhere",
00:03:23.181,00:03:25.984,00:00:02.803,,,,,,,,,,"out no they'll be here to pick me up so",,,
00:03:26.044,00:03:27.760,00:00:01.716,,,,,,,,,,"because dad has the car (laughter) or (inaudible)",,,
00:03:27.760,00:03:28.968,00:00:01.208,,,,,,,,,,"it's eight already",,,
00:03:29.007,00:03:32.549,00:00:03.542,,,,,,,,,,,,"no I don't think it's eight",
00:03:32.549,00:03:35.752,00:00:03.203,,,,,,,,,,"my time says eight ���o two",,,
00:03:35.752,00:03:37.578,00:00:01.826,,,,,,,,,,,,"mine says seven twenty-three",
00:03:37.578,00:03:39.923,00:00:02.345,,,,,,,,,,,,"I wish I have my phone so I could check the real time",
00:03:39.923,00:03:42.158,00:00:02.235,,,,,,,,,,,,"but I don't think it's right",
00:03:42.158,00:03:45.670,00:00:03.512,,,,,,,,,,,,"because we're supposed to start at seventy thirty",
00:03:45.670,00:03:49.561,00:00:03.891,,,,,,,,,,,,"and no it's supposed to start at seven",
00:03:50.020,00:03:51.526,00:00:01.506,,,,,,,,,,"it's still computer time",,,
00:03:51.526,00:03:51.836,00:00:00.310,,,,,,,,,,"it's (inaudible)",,,
00:03:51.836,00:03:51.925,00:00:00.089,,,,,,,,,,,,"yeah",
00:03:51.925,00:03:56.994,00:00:05.069,,,,,,,,,,"like I'm guessing they're not right",,,
00:03:56.994,00:03:58.191,00:00:01.197,,,,,,,,,,"because they're different",,,
00:03:58.191,00:03:58.870,00:00:00.679,,,,,,,,,,"maybe one is right",,,
00:03:58.870,00:04:01.823,00:00:02.953,,,,,,,,,,"but I don't think it's eight yet",,,
00:04:01.823,00:04:02.890,00:00:01.067,,,,,,,,,,"it hasn't gone enough",,,
00:04:02.890,00:04:03.788,00:00:00.898,,,,,,,,,,,,"yeah I don't think so",
00:04:03.788,00:04:05.425,00:00:01.637,,,,,,,,,,,,"but I don't know",
00:04:05.584,00:04:08.039,00:00:02.455,,,,,,,,,,"I mean I don't believe",,,
00:04:08.039,00:04:09.595,00:00:01.556,,,,,,,,,,"we used to spend twenty minutes",,,
00:04:09.655,00:04:12.149,00:00:02.494,,,,,,,,,,"that might be right",,,
00:04:13.975,00:04:23.494,00:00:09.519,,,,,,,,,,"mine says seven twenty-four",,,
00:04:23.494,00:04:24.212,00:00:00.718,,,,,,,,,,,,"I don't know",
00:04:24.212,00:04:27.155,00:00:02.943,,,,,,,,,,,,"I wonder if I could no never mind",
00:04:27.285,00:04:33.690,00:00:06.405,,,,,,,,,,"it looks like my head is going to fall off",,,
00:04:33.690,00:04:37.212,00:00:03.522,,,,,,,,,,,,"so are you on the pause filler Scribbler thing",
00:04:37.212,00:04:38.330,00:00:01.118,,,,,,,,,,"no they put that down",,,
00:04:38.330,00:04:38.460,00:00:00.130,,,,,,,,,,,,"oh okay",
00:04:38.460,00:04:43.139,00:00:04.679,,,,,,,,,,"and I'm not going to click on it",,,
00:04:43.139,00:04:47.749,00:00:04.610,,,,,,,,,,"so I don't mess anything though (laughter)",,,
00:04:47.858,00:04:50.602,00:00:02.744,,,,,,,,,,,,"I'm just wondering",
00:04:50.732,00:04:54.284,00:00:03.552,,,,,,,,,,,,"because we are not",
00:04:54.284,00:04:59.292,00:00:05.008,,,,,,,,,,,,"I'll look at all the programs they have on here",
00:04:59.292,00:04:59.382,00:00:00.090,,,,,,,,,,"yeah",,,
00:04:59.382,00:05:01.607,00:00:02.225,,,,,,,,,,,,"I'm not going to mess with anything like",
00:05:01.607,00:05:03.233,00:00:01.626,,,,,,,,,,,,"that's the only thing I can look at right now",
00:05:03.233,00:05:03.952,00:00:00.719,,,,,,,,,,,,"and I'm bored",
00:05:03.952,00:05:04.161,00:00:00.209,,,,,,,,,,"yeah",,,
00:05:04.161,00:05:11.554,00:00:07.393,,,,,,,,,,,,"I need one of these",
00:05:11.554,00:05:14.607,00:00:03.053,,,,,,,,,,,,"it's what I need because whenever",
00:05:14.607,00:05:18.080,00:00:03.473,,,,,,,,,,,,"like I think it's kind of hard with the pen at first",
00:05:18.080,00:05:21.512,00:00:03.432,,,,,,,,,,,,"but I feel like it would be easier over time instead of using a mouse",
00:05:21.512,00:05:22.629,00:00:01.117,,,,,,,,,,,,"I don't even have a mouse",
00:05:22.629,00:05:25.962,00:00:03.333,,,,,,,,,,,,"I just have the pause filler keypad",
00:05:25.962,00:05:26.091,00:00:00.129,,,,,,,,,,"yeah",,,
00:05:26.091,00:05:28.007,00:00:01.916,,,,,,,,,,,,"yeah I just have that",
00:05:28.047,00:05:30.521,00:00:02.474,,,,,,,,,,,,"so I feel like it here",
00:05:30.521,00:05:32.098,00:00:01.577,,,,,,,,,,"what laptop do you have",,,
00:05:32.098,00:05:32.168,00:00:00.070,,,,,,,,,,,,"huh",
00:05:32.168,00:05:34.263,00:00:02.095,,,,,,,,,,"what laptop do you have",,,
00:05:34.263,00:05:35.031,00:00:00.768,,,,,,,,,,,,"I have a ThinkPad",
00:05:35.031,00:05:36.079,00:00:01.048,,,,,,,,,,,,"it's one of the older ones",
00:05:36.079,00:05:38.463,00:00:02.384,,,,,,,,,,,,"it's like released long",
00:05:38.463,00:05:41.377,00:00:02.914,,,,,,,,,,,,"because I've been in case ever for like three years",
00:05:41.377,00:05:46.794,00:00:05.417,,,,,,,,,,,,"I've had the full computer in those three years which is the same computer",
00:05:46.794,00:05:50.266,00:00:03.472,,,,,,,,,,"you've gone through a lot less computers than I have",,,
00:05:50.266,00:05:52.861,00:00:02.595,,,,,,,,,,,,"yeah well like I think I've broken one",
00:05:52.861,00:05:53.679,00:00:00.818,,,,,,,,,,,,"I broken it",
00:05:53.679,00:05:58.877,00:00:05.198,,,,,,,,,,,,"and I sent it to get them fixed or",
00:05:58.877,00:06:00.284,00:00:01.407,,,,,,,,,,,,"I've to use my sister's",
00:06:00.284,00:06:03.466,00:00:03.182,,,,,,,,,,,,"but it's obviously like the same type of computer",
00:06:03.466,00:06:05.991,00:00:02.525,,,,,,,,,,,,"I know right now they have the bigger ones",
00:06:05.991,00:06:08.595,00:00:02.604,,,,,,,,,,,,"is yours like smaller than usual",
00:06:09.862,00:06:11.827,00:00:01.965,,,,,,,,,,,,"or is it normal size",
00:06:11.987,00:06:12.626,00:00:00.639,,,,,,,,,,"I don't know",,,
00:06:12.626,00:06:17.854,00:00:05.228,,,,,,,,,,"out of all the laptops I've had probably like the third biggest",,,
00:06:18.353,00:06:20.617,00:00:02.264,,,,,,,,,,,,"yeah mine is like really small",
00:06:20.617,00:06:27.342,00:00:06.725,,,,,,,,,,,,"it's probably even smaller than this cad thing",
00:06:27.342,00:06:29.218,00:00:01.876,,,,,,,,,,"yeah you must have the same one as my sister then",,,
00:06:29.218,00:06:31.872,00:00:02.654,,,,,,,,,,"because my sister has like the older and half the size of this",,,
00:06:31.952,00:06:34.875,00:00:02.923,,,,,,,,,,,,"yeah I don't know why they make it so small",
00:06:34.875,00:06:37.868,00:00:02.993,,,,,,,,,,,,"but it's probably because when I type on that computer",
00:06:37.868,00:06:40.303,00:00:02.435,,,,,,,,,,,,"and then I type on a bigger computer and",
00:06:40.343,00:06:41.251,00:00:00.908,,,,,,,,,,"and like way (inaudible)",,,
00:06:41.370,00:06:43.485,00:00:02.115,,,,,,,,,,,,"I yeah and I always mistype",
00:06:43.775,00:06:47.716,00:00:03.941,,,,,,,,,,,,"because my hands are so used to typing on a smaller ones",
00:06:47.716,00:06:50.390,00:00:02.674,,,,,,,,,,,,"when it's bigger it's like throws everything off",
00:06:50.470,00:07:00.397,00:00:09.927,,,,,,,,,,,,"and so there's always typos sort of like change to do stuff on my sister's computer any computer that's normal sized",
00:07:00.397,00:07:04.129,00:00:03.732,,,,,,,,,,"yeah and I am pretty bad at typing anyway so",,,
00:07:04.129,00:07:06.344,00:00:02.215,,,,,,,,,,,,"I used to be horrible at typing",
00:07:06.344,00:07:10.734,00:00:04.390,,,,,,,,,,,,"and then I think just from doing cyber school I got better at it",
00:07:10.734,00:07:12.510,00:00:01.776,,,,,,,,,,,,"I'm not going to say I'm fast",
00:07:12.669,00:07:15.762,00:00:03.093,,,,,,,,,,,,"but I can do it better than I could three years ago",
00:07:17.678,00:07:20.491,00:00:02.813,,,,,,,,,,"yeah I'm pretty slow at it (laughter)",,,
00:07:20.491,00:07:25.650,00:00:05.159,,,,,,,,,,,,"but it's better than my handwriting",
00:07:25.650,00:07:27.037,00:00:01.387,,,,,,,,,,,,"and everything is all perfect",
00:07:27.037,00:07:31.806,00:00:04.769,,,,,,,,,,,,"so I would prefer than to writing on paper",
00:07:31.806,00:07:40.755,00:00:08.949,,,,,,,,,,,"okay cool our server is functioning properly",,
00:07:40.755,00:07:45.066,00:00:04.311,,,,,,,,,,,"and we're good to go",,
00:07:45.066,00:07:45.874,00:00:00.808,,,,,,,,,,,"so we're ready",,
00:07:46.153,00:07:46.981,00:00:00.828,,,,,,,,,"okay so",,,,
00:07:46.981,00:07:48.827,00:00:01.846,,,,,,,,,,,"shell be on green",,
00:07:48.827,00:07:49.665,00:00:00.838,,,,,,,,,,,"you'll be on black",,
00:07:49.895,00:07:50.224,00:00:00.329,,,,,,,,,,,,"okay",
00:07:50.224,00:07:52.708,00:00:02.484,,,,,,,,,,,"pause filler and just make sure that she's not solving (inaudible)",,
00:07:52.708,00:07:53.297,00:00:00.589,,,,,,,,,,,,"wait what (inaudible)",
00:07:53.297,00:07:57.368,00:00:04.071,,,,,,,,,"those are like this has to be here",,,,
00:07:57.368,00:08:01.159,00:00:03.791,,,,,,,,,,,"just make sure that she's not pause filler solving for you",,
00:08:01.159,00:08:03.005,00:00:01.846,,,,,,,,,,,"that you're the one solving",,
00:08:03.005,00:08:05.868,00:00:02.863,,,,,,,,,,,"and she's kind of helping you and teaching you",,
00:08:05.868,00:08:07.335,00:00:01.467,,,,,,,,,,,"pause filler so you can get started",,
00:08:07.335,00:08:09.799,00:00:02.464,,,,,,,,,,,"you have twenty minutes",,
00:08:09.799,00:08:12.214,00:00:02.415,,,,,,,,,,,"just answer as many as you can",,
00:08:12.214,00:08:13.441,00:00:01.227,,,,,,,,,,,"just make sure you show you work and mm-hmm",,
00:08:13.441,00:08:17.292,00:00:03.851,,,,,,,,,"and pause filler if you have a problem just come and get us",,,,
00:08:17.292,00:08:17.991,00:00:00.699,,,,,,,,,"we'll probably tell you",,,,
00:08:17.991,00:08:18.829,00:00:00.838,,,,,,,,,"just keep working",,,,
00:08:18.829,00:08:22.900,00:00:04.071,,,,,,,,,,,,"we have twenty minutes all the way",
00:08:22.900,00:08:25.075,00:00:02.175,,,,,,,,,,,,"because we have two different times",
00:08:25.075,00:08:28.158,00:00:03.083,,,,,,,,,,,,"we're trying to figure out which one is correct",
00:08:28.158,00:08:29.524,00:00:01.366,,,,,,,,,"mine says seven twenty-eight",,,,
00:08:29.524,00:08:29.963,00:00:00.439,,,,,,,,,,"that's mine",,,
00:08:29.963,00:08:31.001,00:00:01.038,,,,,,,,,,,,"I got eight ���o seven",
00:08:31.001,00:08:31.410,00:00:00.409,,,,,,,,,"eight ���o seven",,,,
00:08:31.470,00:08:33.585,00:00:02.115,,,,,,,,,,"well what did I say eight ���o seven",,,
00:08:33.585,00:08:35.581,00:00:01.996,,,,,,,,,"but that's incorrect",,,,
00:08:35.581,00:08:36.838,00:00:01.257,,,,,,,,,,"yeah",,,
00:08:37.387,00:08:38.813,00:00:01.426,,,,,,,,,,,,"very",
00:08:38.833,00:08:40.929,00:00:02.096,,,,,,,,,"so you have twenty minutes pause filler yeah",,,,
00:08:41.048,00:08:42.335,00:00:01.287,,,,,,,,,,,,"just ask me for the time",
00:08:42.335,00:08:44.261,00:00:01.926,,,,,,,,,,,,"and I'll tell you what's the time",
00:08:44.999,00:08:47.364,00:00:02.365,,,,,,,,,"all right I'll be back",,,,
00:08:47.723,00:08:51.594,00:00:03.871,,,,,,,,,"you have twenty minutes",,,,
00:08:51.814,00:08:54.248,00:00:02.434,,,,,,,,,,,,"oh twenty minutes really",
00:08:54.268,00:08:56.304,00:00:02.036,,,,,,,,,,"I know right I know (inaudible)",,,
00:08:57.082,00:09:04.016,00:00:06.934,,,,,,,,,,,,"okay so this isn't anything new I don't think",
00:09:04.635,00:09:05.084,00:00:00.449,,,,,,,,,,"nope",,,
00:09:05.084,00:09:06.590,00:00:01.506,,,,,,,,,,,,"I'm going to draw the line",
00:09:06.680,00:09:09.384,00:00:02.704,,,,,,,,,,,,"because that helps me for some reason",
00:09:09.484,00:09:16.089,00:00:06.605,,,,,,,,,,,,"I'm guessing I'm supposed to subtract x",
00:09:16.089,00:09:20.638,00:00:04.549,,,,,,,,,,,,"because that's what the papers were saying",
00:09:20.638,00:09:23.502,00:00:02.864,,,,,,,,,,,,"is that correct because no",
00:09:23.502,00:09:25.058,00:00:01.556,,,,,,,,,,,,"no I'm supposed to divide x",
00:09:25.677,00:09:27.094,00:00:01.417,,,,,,,,,,,,"I'm not sure one minute",
00:09:27.094,00:09:32.980,00:00:05.886,,,,,,,,,,,,"let me think pause filler yeah yeah",
00:09:36.802,00:09:40.623,00:00:03.821,,,,,,,,,,,,"and just make this forty over x",
00:09:40.842,00:09:41.770,00:00:00.928,,,,,,,,,,"cool",,,
00:09:42.379,00:09:49.872,00:00:07.493,,,,,,,,,,,,"okay this might be right",
00:09:49.872,00:10:00.977,00:00:11.105,,,,,,,,,,,,"so then if I did that I have eight over seven equals forty oops",
00:10:00.977,00:10:04.189,00:00:03.212,,,,,,,,,,,,"oops I clicked the find okay",
00:10:04.349,00:10:06.105,00:00:01.756,,,,,,,,,,"not that button",,,
00:10:06.105,00:10:08.230,00:00:02.125,,,,,,,,,,,,"I wish it was red",
00:10:08.230,00:10:13.039,00:00:04.809,,,,,,,,,,,,"and then it can say don't click the red button",
00:10:14.047,00:10:19.425,00:00:05.378,,,,,,,,,,,,"okay does that make any sense I think",
00:10:19.465,00:10:20.522,00:00:01.057,,,,,,,,,,"I think so",,,
00:10:20.792,00:10:21.610,00:00:00.818,,,,,,,,,,,,"I think",
00:10:21.610,00:10:24.842,00:00:03.232,,,,,,,,,,"pause filler maybe we're using cross products",,,
00:10:24.842,00:10:28.444,00:00:03.602,,,,,,,,,,"where like it go seven times forty and three times x equals",,,
00:10:28.444,00:10:32.984,00:00:04.540,,,,,,,,,,,,"oh you could do that or you could just",
00:10:34.061,00:10:36.356,00:00:02.295,,,,,,,,,,,,"I think I did that wrong",
00:10:36.356,00:10:36.845,00:00:00.489,,,,,,,,,,,,"what do you think",
00:10:36.845,00:10:38.252,00:00:01.407,,,,,,,,,,,,"because I think I did that wrong",
00:10:38.751,00:10:41.165,00:00:02.414,,,,,,,,,,"pause filler when I learned it it was set up this way",,,
00:10:41.165,00:10:42.432,00:00:01.267,,,,,,,,,,"but we used cross products",,,
00:10:42.432,00:10:45.934,00:00:03.502,,,,,,,,,,"so it would be forty times seven and forty times x",,,
00:10:46.344,00:10:46.613,00:00:00.269,,,,,,,,,,,,"okay",
00:10:46.613,00:10:51.173,00:00:04.560,,,,,,,,,,"but it's not about how I learned it so no promises (laughter)",,,
00:10:51.173,00:11:08.812,00:00:17.639,,,,,,,,,,,,"so forty times does that mean just got to cross that out",
00:11:09.261,00:11:19.937,00:00:10.676,,,,,,,,,,"or maybe we're supposed to multiply both the sides by the thing worth writing so like three seven times three seven and forty time three seventh",,,
00:11:19.937,00:11:21.933,00:00:01.996,,,,,,,,,,,,"yeah that might make sense",
00:11:21.933,00:11:25.594,00:00:03.661,,,,,,,,,,,,"but like that's doing the same thing right",
00:11:25.594,00:11:26.722,00:00:01.128,,,,,,,,,,"yeah pretty much",,,
00:11:26.722,00:11:34.994,00:00:08.272,,,,,,,,,,,,"okay I'm going to try this so forty times seven",
00:11:34.994,00:11:35.013,00:00:00.019,"TRC",,,,,,,,,,,"okay I'm going to try this so forty times seven",
00:11:35.013,00:11:51.705,00:00:16.692,"TRC",,,"SV",,"SV1A",,,,,,"how come I don't have that memorized",
00:11:51.705,00:11:51.711,00:00:00.006,"TRC",,"SV",,"SV1A",,,,,"I don't know",,,
00:11:51.711,00:11:52.373,00:00:00.662,,,"SV",,"SV1A",,,,,"I don't know",,,
00:11:52.373,00:11:54.279,00:00:01.906,,,,,,,,,,,,"let's do it in my head",
00:11:54.279,00:12:01.473,00:00:07.194,,,,,,,,,,,,"would that be two hundred and eighty",
00:12:01.553,00:12:02.341,00:00:00.788,,,,,,,,,,,,"that's what I got",
00:12:02.341,00:12:03.289,00:00:00.948,,,,,,,,,,"yeah two eighty",,,
00:12:03.289,00:12:06.262,00:00:02.973,,,,,,,,,,,,"two eighty that way right that's the top or the bottom",
00:12:06.282,00:12:07.190,00:00:00.908,,,,,,,,,,,,"I think that's the top",
00:12:07.190,00:12:09.435,00:00:02.245,,,,,,,,,,"top because forty times seven",,,
00:12:09.435,00:12:12.378,00:00:02.943,,,,,,,,,,,,"yeah over a three x then",
00:12:12.837,00:12:13.046,00:00:00.209,,,,,,,,,,"yeah",,,
00:12:13.046,00:12:22.844,00:00:09.798,,,,,,,,,,,,"and then I'm confused",
00:12:23.343,00:12:41.761,00:00:18.418,,,,,,,,,,,,"because it's supposed to say like in the format of this equals like constant constant constant equals variable or something like that",
00:12:42.629,00:12:45.852,00:00:03.223,,,,,,,,,,,,"so now it's just fraction",
00:12:45.852,00:12:48.845,00:00:02.993,,,,,,,,,,,,"oh well I'll see",
00:12:48.845,00:12:51.759,00:00:02.914,,,,,,,,,,,,"maybe I'll get the right answer and just be doing it the wrong way",
00:12:51.759,00:12:59.301,00:00:07.542,,,,,,,,,,,,"so try to get rid of yeah see",
00:12:59.301,00:13:02.724,00:00:03.423,,,,,,,,,,,,"now this is all messed up",
00:13:03.013,00:13:07.433,00:00:04.420,,,,,,,,,,"I'm looking at it",,,
00:13:07.802,00:13:10.965,00:00:03.163,,,,,,,,,,"I'm not quite sure",,,
00:13:11.075,00:13:12.382,00:00:01.307,,,,,,,,,,"I never learned about this one",,,
00:13:12.581,00:13:17.670,00:00:05.089,,,,,,,,,,,,"yeah okay maybe I should try it a different way",
00:13:17.670,00:13:20.344,00:00:02.674,,,,,,,,,,,,"and then if it doesn't work I'll come back to it",
00:13:20.413,00:13:25.083,00:00:04.670,,,,,,,,,,"it sounds like a hundred equals the fraction with a number (inaudible)",,,
00:13:25.542,00:13:27.896,00:00:02.354,,,,,,,,,,"so it says to go like first",,,
00:13:27.896,00:13:30.211,00:00:02.315,,,,,,,,,,"it would be forty times thirty-seven",,,
00:13:30.211,00:13:32.007,00:00:01.796,,,,,,,,,,"and then that's the answer",,,
00:13:33.234,00:13:36.846,00:00:03.612,,,,,,,,,,,,"forty times what",
