"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","P1","P2",
00:05:01.597,00:05:01.846,00:00:00.249,,,"SV",,"SV1A",,,,,,,,"ops",,
00:05:02.285,00:05:08.422,00:00:06.137,,,"SV",,"SV1A",,,,,,,,"see here's my broken stylus",,
00:05:08.521,00:05:18.948,00:00:10.427,,,"SV",,"SV1A",,,,,,,,"it's very entertaining",,
00:05:19.137,00:05:19.167,00:00:00.030,,,,"SV",,"SV1A",,,,,,,,"oh",
00:05:19.387,00:05:28.336,00:00:08.949,,,"SV",,"SV1A",,,,,,,,"(sfx) I don't feel",,
00:05:30.871,00:05:39.162,00:00:08.291,,,"SV",,"SV1A",,,,,,,,"at least it's so we can go until six to the time they told our parents we'll be done",,
00:05:39.680,00:05:44.320,00:00:04.640,,,,"SV",,"SV1A",,,,,,,,"yeah so stay we're getting late twenty-five dollars oh okay",
00:05:46.226,00:05:47.223,00:00:00.997,,,"SV",,"SV1A",,,,,,,,"supposedly",,
00:05:47.892,00:05:55.425,00:00:07.533,,,,"SV",,"SV1A",,,,,,,,"I really hope they don't give us (inaudible) again",
00:05:55.804,00:05:58.837,00:00:03.033,,,,"SV",,"SV1A",,,,,,,,"I don't like those at all",
00:05:58.897,00:06:03.756,00:00:04.859,,,"SV",,"SV1A",,,,,,,,"I don't either",,
00:06:04.055,00:06:11.229,00:00:07.174,,,"SV",,"SV1A",,,,,,,,"oh my god because I'm an (inaudible) or something",,
00:06:14.721,00:06:19.251,00:00:04.530,,,,"SV",,"SV1A",,,,,,,,"that would be good",
00:06:19.251,00:06:25.367,00:00:06.116,,,"SV",,"SV1A",,,,,,,,"I have (inaudible) before this",,
00:06:25.656,00:06:30.046,00:00:04.390,,,"SV",,"SV1A",,,,,,,,"so I'm not that hungry",,
00:06:32.231,00:06:35.783,00:00:03.552,,,"SV",,"SV1A",,,,,,,,"but so",,
00:06:36.352,00:06:47.506,00:00:11.154,,,,,,,,,,,,,"I don't know I'm just going to refresh the page",,
00:06:48.205,00:06:50.909,00:00:02.704,,,,,,,,,,,,,"there I fixed it I think",,
00:06:50.909,00:06:56.117,00:00:05.208,,,"SV",,"SV1A",,,,,,,,"okay so I break one all right",,
00:06:56.117,00:06:59.270,00:00:03.153,,,,"SV",,"SV1A",,,,,,,,"they're coming back I think",
00:06:59.270,00:07:00.437,00:00:01.167,,,"SV",,"SV1A",,,,,,,,"oh fun",,
00:07:01.085,00:07:13.168,00:00:12.083,,,"SV",,"SV1A",,,,,,,,"how fun and exciting for me",,
00:07:13.168,00:07:14.345,00:00:01.177,,,,,,,,,,,,,"okay",,
00:07:15.453,00:07:16.850,00:00:01.397,,,,,,,,,,,,"I'll take that",,,
00:07:19.633,00:07:21.030,00:00:01.397,,,,,,,,,,,,,"what",,
00:07:26.218,00:07:33.452,00:00:07.234,,,,,,,,,,,,,,"am I teaching her",
00:07:35.697,00:07:41.603,00:00:05.906,,,,,,,,,,,,,,"or she's teaching me",
00:07:41.603,00:07:42.491,00:00:00.888,,,,,,,,,,,,,"okay",,
00:07:42.491,00:07:44.986,00:00:02.495,,,,,,,,,,,,"yeah she's teaching you",,,
00:07:45.425,00:07:45.734,00:00:00.309,,,,,,,,,,,,,"okay",,
00:07:55.681,00:08:03.324,00:00:07.643,,,,,,,,,,,,,,"okay so I think you're teaching me or something",
00:08:03.803,00:08:04.102,00:00:00.299,,,,,,,,,,,,,"yup",,
00:08:05.080,00:08:07.784,00:00:02.704,,,,,,,,,,,,,"so you know how to do this problem",,
00:08:07.784,00:08:09.081,00:00:01.297,,,,,,,,,,,,,"what do you see on your screen",,
00:08:09.191,00:08:13.491,00:00:04.300,,,,,,,,,,,,,,"pause filler fourteen equals three eights k yeah",
00:08:13.990,00:08:17.113,00:00:03.123,,,,,,,,,,,,,"okay so what would you do first",,
00:08:17.312,00:08:19.368,00:00:02.056,,,,"SV",,"SV1A",,,,,,,,"(inaudible) oh it's not writing",
00:08:19.507,00:08:24.606,00:00:05.099,,,,"SV",,"SV1A",,,,,,,,"I'll multiply it by hey whatever",
00:08:25.154,00:08:28.477,00:00:03.323,,,,,,,,,,,,,"sorry sorry",,
00:08:28.547,00:08:30.113,00:00:01.566,,,,"SV",,"SV1A",,,,,,,,"wait everything's turned out",
00:08:30.113,00:08:42.944,00:00:12.831,,,,,,,,,,,,,"I was trying to erase that a because you wrote it all and eighteen and eighteen",,
00:08:43.283,00:08:51.824,00:00:08.541,,,,,,,,,,,,,,"equals three k and one hundred and twelve divided by three",
00:08:54.218,00:08:55.895,00:00:01.677,,,,,,,,,,,,,"thirty-seven",,
00:08:56.344,00:08:58.898,00:00:02.554,,,,,,,,,,,,,,"equals yeah this",
00:09:01.871,00:09:02.569,00:00:00.698,,,,,,,"UL",,,,,,"good job",,
00:09:04.086,00:09:05.433,00:00:01.347,,,,,,,,,,,,,,"okay next one",
00:09:06.590,00:09:10.122,00:00:03.532,,,,,,,,,,,,,"negative two thirds y that is eighteen it's fifty-two",,
00:09:10.122,00:09:12.627,00:00:02.505,,,,,,,,,,,,,"so what would you do first to this eighteen",,
00:09:13.245,00:09:14.921,00:00:01.676,,,,,,,,,,,,,,"well you would add that",
00:09:15.191,00:09:15.789,00:00:00.598,,,,,,,,,,,,,,"oh my",
00:09:16.208,00:09:18.673,00:00:02.465,,,,"SV",,"SV1A",,,,,,,,"this is intense",
00:09:21.297,00:09:22.763,00:00:01.466,,,"SV",,"SV1A",,,,,,,,"(inaudible) I'm so tired",,
00:09:27.612,00:09:29.319,00:00:01.707,,,"SV",,"SV1A",,,,,,,,"I don't like that they took my phone",,
00:09:30.356,00:09:30.576,00:00:00.220,,,,"SV",,"SV1A",,,,,,,,"yeah",
00:09:32.112,00:09:35.345,00:00:03.233,,,"SV",,"SV1A",,,,,,,,"I hate that I have to put my face on the screen the whole time",,
00:09:35.634,00:09:38.000,00:00:02.366,,,"SV",,"SV1A",,,,,,,,"what are they using this information for",,
00:09:38.000,00:09:38.360,00:00:00.360,,,"SV","SV","SV1A","SV1A",,,,,,,"what are they using this information for","hmm",
00:09:38.360,00:09:43.177,00:00:04.817,,,"SV",,"SV1A",,,,,,,,"what are they using this information for",,
00:09:43.975,00:09:48.595,00:00:04.620,,,"SV",,"SV1A",,,,,,,,"what are they using this information for (inaudible)",,
00:09:48.685,00:09:50.000,00:00:01.315,,,,"SV",,"SV1A",,,,,,,,"I think to like help children like learn algebra better or something",
00:09:50.000,00:09:54.000,00:00:04.000,,,,"SV",,"SV1A",,,,,,,"oh pause filler","I think to like help children like learn algebra better or something",
00:09:54.000,00:10:02.264,00:00:08.264,,,,"SV",,"SV1A",,,,,,,,"I think to like help children like learn algebra better or something",
00:10:02.264,00:10:02.503,00:00:00.239,,,,"SV",,"SV1A",,,,,,,,"yeah pause filler",
00:10:02.822,00:10:04.449,00:00:01.627,,,,,,,,,,,,,,"okay that's nice",
00:10:04.708,00:10:10.455,00:00:05.747,,,,"SV",,"SV1A",,,,,,,,"thanks to him half",
00:10:11.223,00:10:21.859,00:00:10.636,,,,,,,,,,,,,,"just subtract the thirteen that would be thirty-one",
00:10:23.476,00:10:26.598,00:00:03.122,,,,,,,,,,,,,,"and then you would multiply this by two",
00:10:28.953,00:10:33.163,00:00:04.210,,,,,,,,,,,,,,"that's x equals sixty-two",
00:10:33.762,00:10:35.807,00:00:02.045,,,,,,,,,,,,,,"oh my gosh okay",
00:10:35.807,00:10:36.127,00:00:00.320,,,,,,,,,,,,,"wow",,
00:10:36.376,00:10:37.324,00:00:00.948,,,,,,,,,,,,,,"okay next one",
00:10:38.082,00:10:39.579,00:00:01.497,,,,,,,,,,,,,,"add the sixteen",
00:10:41.644,00:10:43.630,00:00:01.986,,,"SV",,"SV1A",,,,,,,,"have you used the (inaudible)",,
00:10:43.630,00:10:45.685,00:00:02.055,,,,"SV",,"SV1A",,,,,,,,"wait where is that",
00:10:46.274,00:10:48.020,00:00:01.746,,,"SV",,"SV1A",,,,,,,,"it's a socket pen option",,
00:10:48.020,00:10:49.417,00:00:01.397,,,"SV",,"SV1A",,,,,,,,"you can select it with",,
00:10:49.696,00:10:50.305,00:00:00.609,,,"SV",,"SV1A",,,,,,,,"this one",,
00:10:53.717,00:10:54.814,00:00:01.097,,,,"SV",,"SV1A",,,,,,,,"oh okay",
00:10:54.944,00:11:01.958,00:00:07.014,,,,,,,,,,,,,,"forty equals three six over x",
00:11:02.906,00:11:07.895,00:00:04.989,,,,"SV",,"SV1A",,,,,,,,"okay that was fun (sfx)",
00:11:07.895,00:11:47.744,00:00:39.849,,,,,,,,,,,,,,"and ninety-seven minus forty-eight equals nine nine",
00:11:47.744,00:11:50.647,00:00:02.903,,,,,,,,,,,,,,"so ninety-nine",
00:11:50.647,00:11:53.820,00:00:03.173,,,,,,,,,,,,,,"okay next one",
00:12:44.036,00:13:23.985,00:00:39.949,,,"SV",,"SV1A",,,,,,,,"I wonder if they're watching us",,
00:13:24.484,00:13:24.843,00:00:00.359,,,,"SV",,"SV1A",,,,,,,,"they are",
00:13:24.843,00:13:26.559,00:00:01.716,,,,"SV",,"SV1A",,,,,,,,"they're recording like the whole audio",
00:13:26.559,00:13:29.812,00:00:03.253,,,"SV",,"SV1A",,,,,,,,"oh that's so creepy",,
00:13:29.812,00:13:31.798,00:00:01.986,,,"SV",,"SV1A",,,,,,,,"oh my gosh my gosh",,
00:13:32.985,00:13:34.222,00:00:01.237,,,"SV",,"SV1A",,,,,,,,"why did I agree to this",,
00:13:37.954,00:13:43.202,00:00:05.248,,,,,,,,,,,,,"I also know how to do this",,
00:13:43.202,00:13:44.658,00:00:01.456,,,"SV",,"SV1A",,,,,,,,"but I don't feel like we're (inaudible)",,
00:13:44.658,00:13:44.798,00:00:00.140,,,,"SV",,"SV1A",,,,,,,,"yeah",
00:13:44.798,00:13:52.291,00:00:07.493,,,"SV",,"SV1A",,,,,,,,"like I make sure that I'm going to study earlier in the year (inaudible) much about algebra",,
00:13:53.179,00:13:53.368,00:00:00.189,,,,"SV",,"SV1A",,,,,,,,"yeah",
00:13:53.698,00:13:53.718,00:00:00.020,"TRC",,,,,,,,,,,,,,
00:13:53.718,00:13:56.654,00:00:02.936,"TRC",,"SV",,"SV1A",,,,,,,,"hey that's doing like radicals and stuff so that's what we're doing",,
00:13:56.654,00:13:56.681,00:00:00.027,"TRC",,"SV",,"SV1A",,,,,,,,"hey that's doing like radicals and stuff so that's what we're doing",,
00:13:56.681,00:13:57.778,00:00:01.097,"TRC",,"SV",,"SV1A",,,,,,,,"and that's so boring",,
00:13:57.778,00:13:57.796,00:00:00.018,"TRC",,,,,,,,,,,,,,
00:13:57.988,00:14:01.592,00:00:03.604,,,,,,,,,,,,,,"pause filler we're doing like factoring polynomials or something",
00:14:01.592,00:14:01.600,00:00:00.008,"TRC",,,,,,,,,,,,,"pause filler we're doing like factoring polynomials or something",
00:14:01.600,00:14:04.078,00:00:02.478,"TRC",,"SV",,"SV1A",,,,,,,,"oh yeah we did that last year",,
00:14:04.078,00:14:04.094,00:00:00.016,"TRC",,"SV",,"SV1A",,,,,,,,"oh yeah we did that last year",,
00:14:04.094,00:14:05.421,00:00:01.327,"TRC",,"SV",,"SV1A",,,,,,,,"and it was really boring",,
00:14:05.421,00:14:05.441,00:00:00.020,"TRC",,"SV",,"SV1A",,,,,,,,"and it was really boring",,
00:14:05.441,00:14:09.592,00:00:04.151,"TRC",,"SV",,"SV1A",,,,,,,,"I hated it",,
00:14:09.592,00:14:09.620,00:00:00.028,"TRC",,,,,,,,,,,,,,
00:14:18.122,00:14:19.928,00:00:01.806,,,,,,,,,,,,,"okay that's a negative eight (inaudible)",,
00:14:20.008,00:14:24.887,00:00:04.879,,,,,,,,,,,,,"that's I think it is",,
00:14:25.066,00:14:27.690,00:00:02.624,,,,,,,,,,,,,"so what do you do when you see a negative",,
00:14:28.209,00:14:32.150,00:00:03.941,,,,,,,,,,,,,,"well you add eighty-three to seventeen",
00:14:32.150,00:14:33.946,00:00:01.796,,,,,,,,,,,,,"and then what do you get",,
00:14:33.946,00:14:34.285,00:00:00.339,,,,,,,,,,,,,,"oh my",
00:14:34.285,00:14:42.138,00:00:07.853,,,,,,,,,,,,,,"lest it sure work here because we get a hundred (sfx)",
00:14:42.138,00:14:47.635,00:00:05.497,,,,,,,,,,,,,"no no it's negative eighty",,
00:14:47.635,00:14:50.339,00:00:02.704,,,,,,,,,,,,,"oh yeah never mind",,
00:14:51.397,00:14:53.731,00:00:02.334,,,,,,,,,,,,,"never mind",,
00:14:56.375,00:15:01.863,00:00:05.488,,,,,,,,,,,,,"you're right",,
00:15:03.459,00:15:05.355,00:00:01.896,,,,,,,,,,,,,"you're you're right",,
00:15:05.864,00:15:12.718,00:00:06.854,,,,,,,,,,,,,"you're right a hundred okay",,
00:15:13.077,00:15:16.001,00:00:02.924,,,,,,,,,,,,,"it's a hundred",,
00:15:16.001,00:15:40.924,00:00:24.923,,,,,,,,,,,,,,"equals one hundred plus ten third x minus three times three equals one hundred thirty-three three hundred",
00:15:40.924,00:15:45.444,00:00:04.520,,,,"SV",,"SV1A",,,,,,,,"so hard to write with this thing",
00:15:45.444,00:15:45.554,00:00:00.110,,,"SV",,"SV1A",,,,,,,,"I know",,
00:15:45.554,00:15:49.305,00:00:03.751,,,,,,,"UL",,,,,,"good job",,
00:15:49.405,00:15:54.942,00:00:05.537,,,,,,,,,,,,,,"then you subtract",
00:15:54.942,00:15:59.911,00:00:04.969,,,,,,,,,,,,,,"I'm going to back",
00:15:59.911,00:16:00.909,00:00:00.998,,,,,,,,,,,,,,"x wait what oh",
00:16:01.288,00:16:05.458,00:00:04.170,,,,,,,,,,,,,,"okay that was nice",
00:16:05.458,00:16:08.511,00:00:03.053,,,,,,,,,,,,,,"pause filler fifty-five minus thirty-four equals twenty-one",
00:16:08.511,00:16:22.061,00:00:13.550,,,,,,,,,,,,,,"so nineteen over four five plus twenty-one equals fourteen y",
00:16:22.061,00:16:34.000,00:00:11.939,,,,,,,,,,,,,,"twenty-four equals one hundred over nineteen equals twenty-one",
00:16:34.000,00:16:35.000,00:00:01.000,,,,,,,,,,,,,"mm-hmm","twenty-four equals one hundred over nineteen equals twenty-one",
00:16:35.000,00:16:38.334,00:00:03.334,,,,,,,,,,,,,,"twenty-four equals one hundred over nineteen equals twenty-one",
00:16:38.334,00:16:40.259,00:00:01.925,,,,,,,,,,,,,,"oh fifty-six",
00:16:41.476,00:16:49.119,00:00:07.643,,,,,,,,,,,,,,"nineteen y equals thirty-five equals",
00:16:51.833,00:16:53.798,00:00:01.965,,,,,,,,,,,,,,"okay next one",
00:16:54.846,00:16:55.006,00:00:00.160,,,,,,,,,,,,,,"pause filler okay",
00:17:06.679,00:17:09.822,00:00:03.143,,,,,,,,,,,,,,"oh no",
00:17:17.175,00:17:17.345,00:00:00.170,,,,,,,,,,,,,,"pause filler wait",
00:17:22.124,00:17:44.942,00:00:22.818,,,,,,,,,,,,,,"I'm just going to build on",
00:17:44.942,00:18:23.973,00:00:39.031,,,,"SV",,"SV1A",,,,,,,,"oh it says stop come out",
00:18:24.273,00:18:27.316,00:00:03.043,,,,"SV",,"SV1A",,,,,,,,"and get us",
00:18:28.383,00:18:33.412,00:00:05.029,,,,"SV",,"SV1A",,,,,,,,"pause filler I don't know what to do",
00:18:33.552,00:18:35.916,00:00:02.364,,,,"SV",,"SV1A",,,,,,,,"oh whatever we'll just move on",
00:18:35.916,00:18:36.026,00:00:00.110,,,"SV",,"SV1A",,,,,,,,"no",,
00:18:36.026,00:18:37.862,00:00:01.836,,,"SV",,"SV1A",,,,,,,,"we have to go get them",,
00:18:41.713,00:18:44.756,00:00:03.043,,,"SV",,"SV1A",,,,,,,,"do you want to get them",,
00:18:44.756,00:18:46.133,00:00:01.377,,,"SV",,"SV1A",,,,,,,,"I'll get them next time",,
00:18:46.133,00:18:46.383,00:00:00.250,,,,"SV",,"SV1A",,,,,,,,"pause filler okay",
00:18:47.380,00:18:47.919,00:00:00.539,,,"SV",,"SV1A",,,,,,,,"did you",,
00:18:48.188,00:18:53.337,00:00:05.149,,,,"SV",,"SV1A",,,,,,,,"it says come out",
00:18:53.576,00:18:55.741,00:00:02.165,,,,"SV",,"SV1A",,,,,,,,"and get us",
00:19:01.728,00:19:09.799,00:00:08.071,,,,"SV",,"SV1A",,,,,,,,"so I'm not going to do",
00:19:09.799,00:19:16.055,00:00:06.256,,,,,,,,,,,,"I think you can press next down there",,,
00:19:21.104,00:19:34.254,00:00:13.150,,,,"SV",,"SV1A",,,,,,,,"so next time that happens do we still have to go on",
00:19:34.254,00:19:35.760,00:00:01.506,,,,"SV",,"SV1A",,,,,,,,"and get (inaudible)",
00:19:35.880,00:19:41.378,00:00:05.498,,,,,,,,,,,,"I think you could go",,,
00:19:41.378,00:19:42.056,00:00:00.678,,,,"SV",,"SV1A",,,,,,,,"thanks",
00:19:42.206,00:19:42.814,00:00:00.608,,,,,,,,,,,,,,"okay so pause filler",
00:19:42.814,00:19:45.598,00:00:02.784,,,"SV",,"SV1A",,,,,,,,"I don't know what I'm going",,
00:19:45.598,00:19:47.124,00:00:01.526,,,"SV",,"SV1A",,,,,,,,"I'm just like really bored",,
00:19:47.124,00:19:57.870,00:00:10.746,,,,,,,,,,,,,,"I think that you're going to add ninety so",
00:19:58.499,00:19:59.317,00:00:00.818,,,,,,,"UL",,,,,,"good job",,
00:20:03.767,00:20:05.034,00:00:01.267,,,,,,,,,,,,,"fifty-seven right",,
00:20:06.920,00:20:13.355,00:00:06.435,,,,,,,,,,,,,,"pause filler well I'm doing ninety minus seven hundred forty-seven",
00:20:13.355,00:20:14.582,00:00:01.227,,,,,,,,,,,,,,"yeah it would be forty-seven",
00:20:15.540,00:20:16.129,00:00:00.589,,,,,,,,,,,,,"oh sorry",,
00:20:16.521,00:20:16.528,00:00:00.007,"TRC",,,,,,,,,,,,,,
00:20:16.528,00:20:17.595,00:00:01.067,"TRC",,"SV",,"SV1A",,,,,,,,"I can't math",,
00:20:17.595,00:20:17.596,00:00:00.001,"TRC",,,,,,,,,,,,,,
00:21:04.389,00:21:06.793,00:00:02.404,,,,,,,,,,,,,,"(sfx) okay next problem",
00:21:11.942,00:22:23.529,00:01:11.587,,,,,,,,,,,,,,"oh yeah I'll go back",
00:22:49.550,00:22:51.066,00:00:01.516,,,,,,,,,,,,,,"next one",
00:22:52.064,00:22:57.392,00:00:05.328,,,,,,,,,,,,,,"pause filler a hundred fifty-five seventy",
00:23:00.665,00:23:02.660,00:00:01.995,,,,,,,,,,,,,"when you subtract fifteen",,
00:23:03.698,00:23:04.975,00:00:01.277,,,,,,,,,,,,,,"yeah I did",
00:23:04.975,00:27:17.700,00:04:12.725,,,,,,,,,,,,,"well I thought you said times",,
00:27:19.646,00:27:20.115,00:00:00.469,,,,,,,,,,,,,"sorry",,
00:27:23.008,00:27:23.208,00:00:00.200,,,,,,,,,,,,,,"okay",
00:27:23.208,00:27:23.517,00:00:00.309,,,,,,,,,,,,,"okay",,
00:27:25.213,00:27:26.770,00:00:01.557,,,,,,,,,,,,,"exchange the denominator of this one",,
00:27:26.770,00:27:26.949,00:00:00.179,,,,,,,,,,,,,,"oh no",
00:27:27.688,00:27:30.262,00:00:02.574,,,,"SV",,"SV1A",,,,,,,,"that's unfortunate",
00:27:30.905,00:27:30.910,00:00:00.005,"eyes closed - general violation? ",,,,,,,,,,,,,,
00:27:30.910,00:27:38.583,00:00:07.673,"eyes closed - general violation? ",,"SV",,"SV1A",,,,,,,,"uh-huh",,
00:27:38.583,00:27:38.597,00:00:00.014,"eyes closed - general violation? ",,,,,,,,,,,,,,
00:28:00.413,00:28:02.489,00:00:02.076,,,,,,,,,,,,,,"oh so wait should I just",
00:28:04.734,00:28:06.549,00:00:01.815,,,,,,,,,,,,,,"multiply it by like twenty-eight",
00:28:06.709,00:28:07.577,00:00:00.868,,,,,,,,,,,,,,"yeah I guess I should",
00:28:07.956,00:28:09.722,00:00:01.766,,,,,,,,,,,,,"no multiply it until it equals twenty-eight",,
00:28:09.722,00:28:13.563,00:00:03.841,,,,,,,,,,,,,"to the negative twelve four",,
00:28:13.963,00:28:14.531,00:00:00.568,,,,,,,,,,,,,"oh god",,
00:28:14.531,00:28:15.100,00:00:00.569,,,,,,,,,,,,,"it just x out",,
00:28:15.100,00:28:15.220,00:00:00.120,,,,,,,,,,,,,"sorry",,
00:28:15.220,00:28:18.592,00:00:03.372,,,"SV",,"SV1A",,,,,,,,"oh I hate to say (inaudible)",,
00:28:18.931,00:28:48.285,00:00:29.354,,,,"SV",,"SV1A",,,,,,,,"oh they're coming back",
00:28:48.285,00:28:50.390,00:00:02.105,,,"SV",,"SV1A",,,,,,,,"oh fine",,
00:28:51.507,00:28:58.232,00:00:06.725,,,,"SV",,"SV1A",,,,,,,,"is it over",
00:29:00.257,00:29:03.720,00:00:03.463,,,,,,,,,,,,"yeah so it's over",,,
00:29:03.849,00:29:13.587,00:00:09.738,,,,,,,,,,,,"pause filler I'm going to set you up to (inaudible)",,,
00:29:13.587,00:29:14.335,00:00:00.748,,,,,,,,,,,,"I have to take your (inaudible)",,,
00:29:14.734,00:29:15.702,00:00:00.968,,,,,,,,,,,,,"all right",,
00:29:15.702,00:29:20.002,00:00:04.300,,,,,,,,,,,,,"we got to break in between yeah",,
00:29:20.152,00:29:22.816,00:00:02.664,,,,,,,,,,,,"you could use that",,,
00:29:22.816,00:29:24.183,00:00:01.367,,,,,,,,,,,,,,"oh thank you",
00:29:25.141,00:29:28.144,00:00:03.003,,,,,,,,,,,,,"thank you for bringing me food",,
00:29:36.355,00:29:39.219,00:00:02.864,,,,,,,,,,,,,"I hope it will bring our skills again",,
00:29:39.518,00:29:43.150,00:00:03.632,,,,,,,,,,,,,,"I know I want like chips or Skittles",
00:29:43.150,00:29:44.068,00:00:00.918,,,,,,,,,,,,,,"oh my gosh",
00:29:44.068,00:29:44.766,00:00:00.698,,,,,,,,,,,,,,"it's Skittles",
00:29:45.135,00:29:46.512,00:00:01.377,,,,,,,,,,,,,,"ah no please",
00:29:48.348,00:29:50.543,00:00:02.195,,,,,,,,,,,,,"it's so disappointing",,
00:29:50.543,00:29:50.743,00:00:00.200,,,,,,,,,,,,,,"yeah",
00:29:50.743,00:29:53.000,00:00:02.257,,,,,,,,,,,,"you can just hang out for a second",,,
