"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1","Experimenter 2","P1","P2","Experimenter",
00:01:47.200,00:01:51.100,00:00:03.900,,,,,,,,,,,"it's what high school does high school",,,
00:01:54.500,00:02:02.100,00:00:07.600,,,,,,,,,,,"are we supposed to start",,,
00:02:02.100,00:02:04.000,00:00:01.900,,,,,,,,,,,"or we're just waiting for it",,,
00:02:04.000,00:02:06.000,00:00:02.000,,,,,,,,,,,"or we're just waiting for it","(inaudible)",,
00:02:06.000,00:02:06.300,00:00:00.300,,,,,,,,,,,"or we're just waiting for it",,,
00:02:06.300,00:02:07.100,00:00:00.800,,,,,,,,,,,"okay (inaudible)",,,
00:02:08.900,00:02:09.700,00:00:00.800,,,,,,,,,,,,"I don't know (inaudible)",,
00:02:10.100,00:02:20.800,00:00:10.700,,,,,,,,,,,"(inaudible) what do you mean we're supposed",,,
00:03:10.500,00:04:02.500,00:00:52.000,,,,,,,,,,,,"I don't know what we're supposed to do",,
00:04:02.500,00:04:05.400,00:00:02.900,,,,,,,,,,,"yeah sure we're supposed to start",,,
00:04:05.400,00:04:07.100,00:00:01.700,,,,,,,,,,,,"he talk the one stylus pen",,
00:04:07.400,00:04:11.100,00:00:03.700,,,,,,,,,,,"really oh I think maybe there's a problem",,,
00:04:11.100,00:04:14.400,00:00:03.300,,,,,,,,,,,"I don't know",,,
00:04:14.500,00:04:20.100,00:00:05.600,,,,,,,,,,,"we're letting them like fifteen minutes",,,
00:04:20.100,00:04:23.000,00:00:02.900,,,,,,,,,,,"so it looks like (inaudible)",,,
00:04:27.200,00:05:45.200,00:01:18.000,,,,,,,,,,,"oh my god what's taking them so long",,,
00:05:57.900,00:06:01.000,00:00:03.100,,,,,,,,,,,,"here they go",,
00:06:01.100,00:06:11.800,00:00:10.700,,,,,,,,,,,,,"all right hope that you guys got the chance to get to know each other a little bit",
00:06:11.800,00:06:12.700,00:00:00.900,,,,,,,,,,,,,"pause filler so there you go",
00:06:12.700,00:06:13.800,00:00:01.100,,,,,,,,,,,,,"stylus is calibrated",
00:06:14.300,00:06:15.900,00:00:01.600,,,,,,,,,,"did it came pretty well",,,,
00:06:16.300,00:06:16.500,00:00:00.200,,,,,,,,,,,"yeah",,,
00:06:16.900,00:06:20.700,00:00:03.800,,,,,,,,,,"so now we're actually ready to begin tutoring",,,,
00:06:20.700,00:06:23.100,00:00:02.400,,,,,,,,,,"so if you could just pause filler click the Google icon face",,,,
00:06:23.100,00:06:25.100,00:00:02.000,,,,,,,,,,,,,"so take about twenty minutes",
00:06:25.100,00:06:29.000,00:00:03.900,,,,,,,,,,,,,"and he'll be pause filler tutoring you and good luck",
00:06:29.000,00:06:32.200,00:00:03.200,,,,,,,,,,"there we go and actually close the first tab",,,,
00:06:32.400,00:06:33.000,00:00:00.600,,,,,,,,,,,"the first tab",,,
00:06:33.400,00:06:33.800,00:00:00.400,,,,,,,,,,"yes",,,,
00:06:37.300,00:06:37.500,00:00:00.200,,,,,,,,,,,"this one",,,
00:06:37.800,00:06:47.000,00:00:09.200,,,,,,,,,,"yes pause filler do you want to live this on here or oops is that your (inaudible)",,,,
00:06:47.500,00:06:47.600,00:00:00.100,,,,,,,,,,,"yeah",,,
00:06:47.600,00:06:55.300,00:00:07.700,,,,,,,,,,"let me change your color to green please so yes again",,,,
00:06:55.300,00:06:59.000,00:00:03.700,,,,,,,,,,"you'll have ten of these problems to go through and",,,,
00:06:59.000,00:07:04.600,00:00:05.600,,,,,,,,,,"pause filler that works you kind of give you a general concept level to them",,,,
00:07:05.200,00:07:13.400,00:00:08.200,,,,,,,,,,"so just try to help them through pause filler solving the problem on their own and well that's",,,,
00:07:13.400,00:07:17.000,00:00:03.600,,,,,,,,,,"pause filler if you get to a like eleven pause filler you could stop",,,,
00:07:17.100,00:07:19.300,00:00:02.200,,,,,,,,,,"and we'll take care of the rest",,,,
00:07:19.300,00:07:21.100,00:00:01.800,,,,,,,,,,"pause filler so if you could just oh and I'm sorry",,,,
00:07:21.400,00:07:23.700,00:00:02.300,,,,,,,,,,"you can switch problems by clicking these arrows",,,,
00:07:24.000,00:07:28.300,00:00:04.300,,,,,,,,,,"so pause filler go to one",,,,
00:07:29.300,00:07:38.600,00:00:09.300,,,,,,,,,,"and pause filler when you (inaudible) pause filler just click the next button",,,,
00:07:38.700,00:07:45.000,00:00:06.300,,,,,,,,,,,"all right so get back to one all right",,,
00:07:45.000,00:07:45.100,00:00:00.100,,,,,,,,,,,"all right so get back to one all right","mm-hmm",,
00:07:45.100,00:07:45.900,00:00:00.800,,,,,,,,,,,"all right so get back to one all right",,,
00:07:46.200,00:07:47.900,00:00:01.700,,,,,,,,,,,"all right so can you just",,,
00:07:48.700,00:07:50.100,00:00:01.400,,,,,,,,,,,"pause filler I don't know",,,
00:07:50.700,00:07:52.000,00:00:01.300,,,,,,,,,,,"so what's the answer",,,
00:07:52.600,00:07:53.200,00:00:00.600,,,,,,,,,,,,"nineteen",,
00:07:53.700,00:07:59.900,00:00:06.200,,,,,,,"UL",,,,"awesome okay so just (inaudible) work just adding that all right",,,
00:07:59.900,00:08:02.000,00:00:02.100,,,,,,,,,,,"so this base idea you can just",,,
00:08:03.500,00:08:06.300,00:00:02.800,,,,,,,,,,,"do you have any answer",,,
00:08:06.600,00:08:09.500,00:00:02.900,,,,,,,,,,,,"this one",,
00:08:11.800,00:08:11.900,00:00:00.100,,,,,,,,,,,"yeah",,,
00:08:11.900,00:08:14.400,00:00:02.500,,,,,,,,,,,,"pause filler seven",,
00:08:14.400,00:08:22.900,00:00:08.500,,,,,,,,,,,"okay so when we have a negative right here we want to the other side",,,
00:08:23.300,00:08:25.300,00:00:02.000,,,,,,,,,,,"we want to add it",,,
00:08:25.300,00:08:26.800,00:00:01.500,,,,,,,,,,,,"add it on both sides",,
00:08:26.800,00:08:33.000,00:00:06.200,,,,,,,,,,,"yeah and then sorry for my handwriting and so fifteen",,,
00:08:33.900,00:08:34.600,00:00:00.700,,,,,,,,,,,"you add that",,,
00:08:34.600,00:08:39.400,00:00:04.800,,,,,,,,,,,"and you got twenty-three equals k",,,
00:08:39.400,00:08:42.000,00:00:02.600,,,,,,,,,,,"all right does that makes sense",,,
00:08:42.000,00:08:42.600,00:00:00.600,,,,,,,,,,,"all right does that makes sense","mm-hmm",,
00:08:42.600,00:08:42.900,00:00:00.300,,,,,,,,,,,,"mm-hmm",,
00:08:42.900,00:08:47.200,00:00:04.300,,,,,,,"UL",,,,"awesome okay next question so can you try this again","mm-hmm",,
00:08:47.200,00:08:47.500,00:00:00.300,,,,,,,,,,,,"mm-hmm",,
00:08:48.400,00:08:50.600,00:00:02.200,,,,,,,,,,,,"negative six",,
00:08:51.100,00:08:59.400,00:00:08.300,,,,,,,"UL",,,,"awesome so you know subtraction cool",,,
00:08:59.400,00:09:02.200,00:00:02.800,,,,,,,,,,,"okay so here here's a good question",,,
00:09:02.200,00:09:04.900,00:00:02.700,,,,,,,,,,,"can you do this one for me",,,
00:09:04.900,00:09:22.200,00:00:17.300,,,,,,,,,,,,"pause filler minus fourteen",,
00:09:22.200,00:09:22.500,00:00:00.300,,,,,,,,,,,"yeah",,,
00:09:22.500,00:09:36.400,00:00:13.900,,,,,,,,,,,,"five",,
00:09:36.400,00:09:49.600,00:00:13.200,,,,,,,"UL",,,,"awesome cool yeah this one is (inaudible) right here",,,
00:09:49.900,00:10:13.000,00:00:23.100,,,,,,,,,,,"okay so here's a two separate equation",,,
00:10:13.000,00:10:13.300,00:00:00.300,,,,,,,,,,,"okay so here's a two separate equation","pause filler",,
00:10:13.300,00:10:13.900,00:00:00.600,,,,,,,,,,,"okay so here's a two separate equation",,,
00:10:13.900,00:10:23.700,00:00:09.800,,,,,,,,,,,"so you should do that",,,
00:10:23.700,00:10:27.000,00:00:03.300,,,,,,,,,,,"so do you know how to do this right",,,
00:10:27.000,00:10:27.800,00:00:00.800,,,,,,,,,,,"so do you know how to do this right","mm-hmm",,
00:10:27.800,00:10:33.500,00:00:05.700,,,,,,,,,,,"yeah so you're not really going to get a whole number","mm-hmm",,
00:10:33.500,00:10:34.100,00:00:00.600,,,,,,,,,,,"so just kind of tell me what fraction you got at the end was","mm-hmm",,
00:10:34.100,00:10:44.000,00:00:09.900,,,,,,,,,,,"so just kind of tell me what fraction you got at the end was",,,
00:10:44.000,00:10:44.800,00:00:00.800,,,,"SV",,"SV1A",,,,,,"pause filler I like this pen (inaudible)",,
00:10:44.800,00:10:59.300,00:00:14.500,,,,,,,,,,,"yeah okay so yeah so let's do it here",,,
00:10:59.300,00:11:01.800,00:00:02.500,,,,,,,,,,,"so you add nine to both sides",,,
00:11:01.800,00:11:11.400,00:00:09.600,,,,,,,,,,,"and then so you have thirteen p equals fifty",,,
00:11:11.400,00:11:21.600,00:00:10.200,,,,,,,,,,,"and you got thirteen pause filler end up with p equals fifty divided by thirteen",,,
00:11:22.000,00:11:25.600,00:00:03.600,,,,,,,,,,,"and if you want to solve that out or just do that",,,
00:11:25.600,00:11:29.400,00:00:03.800,,,,,,,,,,,"you don't really have to questions like that",,,
00:11:29.400,00:11:33.000,00:00:03.600,,,,,,,,,,,"it's either you got a fraction",,,
00:11:33.000,00:11:33.900,00:00:00.900,,,,,,,,,,,"you should leave it like that",,,
00:11:33.900,00:11:35.200,00:00:01.300,,,,,,,,,,,"or put it here okay",,,
00:11:35.200,00:11:38.000,00:00:02.800,,,,,,,,,,,"so next question can you do this please",,,
00:11:38.000,00:11:43.900,00:00:05.900,,,,,,,,,,,"someone's watching us here","mm-hmm",,
00:11:43.900,00:11:48.300,00:00:04.400,,,,,,,,,,,,"yeah let's see oh something",,
00:11:48.300,00:11:49.400,00:00:01.100,,,,,,,,,,,"what",,,
00:11:49.500,00:11:52.000,00:00:02.500,,,,"SV",,"SV1A",,,,,,"so something's messing up with this pen",,
00:11:52.400,00:11:52.600,00:00:00.200,,,"SV",,"SV1A",,,,,,"aw",,,
00:11:52.700,00:12:03.400,00:00:10.700,,,,"SV",,"SV1A",,,,,,"just clicking new tabs and stuff",,
00:12:03.500,00:12:35.600,00:00:32.100,,,,,,,,,,,"oh pause filler so try to go back to the one you are pause filler in the first one",,,
00:12:36.000,00:12:43.900,00:00:07.900,,,,,,,,,,,,"it's four",,
00:12:44.400,00:12:56.100,00:00:11.700,,,,,,,"UL",,,,"awesome okay onto the next question okay so let's work on this",,,
00:12:56.100,00:13:21.000,00:00:24.900,,,,,,,,,,,"seven equals sixteen",,,
00:13:23.700,00:14:06.400,00:00:42.700,,,,,,,,,,,,"okay this is another one where you're not going to get a whole number",,
00:14:06.400,00:14:16.000,00:00:09.600,,,,,,,,,,,"mm-hmm okay so you pause filler what you're doing it's the same it's again probably pretty much the same thing as the one we did earlier it's just pause filler",,,
00:14:16.000,00:14:18.600,00:00:02.600,,,,,,,,,,,,"but it works",,
00:14:19.000,00:14:24.800,00:00:05.800,,,,,,,,,,,"yeah so really it doesn't matter where the k ends",,,
00:14:24.800,00:14:28.000,00:00:03.200,,,,,,,,,,,"it just matters where you pause filler",,,
00:14:28.800,00:14:32.800,00:00:04.000,,,,,,,,,,,"I mean you just want to have the k by itself on one side",,,
00:14:33.500,00:14:42.200,00:00:08.700,,,,,,,,,,,"and so what you want to try to do is you want to get",,,
00:14:42.200,00:14:44.800,00:00:02.600,,,,,,,,,,,"oops sorry you want to get this",,,
00:14:44.900,00:14:49.200,00:00:04.300,,,,,,,,,,,"oops you want to get this over here",,,
00:14:50.300,00:14:54.300,00:00:04.000,,,,,,,,,,,"and you want to get that fifteen over here",,,
00:14:55.200,00:14:58.500,00:00:03.300,,,,,,,,,,,"and so basically when you're working with these you want to pause filler you pause filler",,,
00:14:58.500,00:15:07.400,00:00:08.900,,,,,,,,,,,"it's kind of like an inverse operations inverse order of operations type of thing",,,
00:15:07.400,00:15:13.700,00:00:06.300,,,,,,,,,,,"so you want to do addition or subtraction first and then multiplication or division",,,
00:15:14.700,00:15:35.600,00:00:20.900,,,,,,,,,,,"so you're going to start with getting the twenty-two to the other side and then dividing by fifteen",,,
00:15:37.000,00:15:38.900,00:00:01.900,,,,,,,,,,,,"(inaudible) should just give us the (inaudible)",,
00:15:38.900,00:15:46.500,00:00:07.600,,,,,,,,,,,"yeah or maybe it's like some kind of test or something",,,
00:15:46.700,00:15:50.600,00:00:03.900,,,,,,,,,,,"okay so here we have a negative number here",,,
00:15:51.400,00:15:53.700,00:00:02.300,,,,,,,,,,,"so you want to add it",,,
00:15:53.700,00:15:55.900,00:00:02.200,,,,,,,,,,,"and then you have a multiplication",,,
00:15:55.900,00:15:59.000,00:00:03.100,,,,,,,,,,,"you want to give so multiply",,,
00:15:59.000,00:16:05.900,00:00:06.900,,,,,,,,,,,"so you want to divide it",,,
00:16:06.600,00:16:11.300,00:00:04.700,,,,,,,,,,,"and so this is first",,,
00:16:11.300,00:16:12.900,00:00:01.600,,,,,,,,,,,"and then this is second",,,
00:16:12.900,00:16:42.200,00:00:29.300,,,,"SV",,"SV1A",,,,,,"well it is making me mad",,
00:16:42.200,00:16:51.400,00:00:09.200,,,,,,,,,,,"yeah okay so let's do this together",,,
00:16:51.400,00:16:54.500,00:00:03.100,,,,,,,,,,,"so we have twenty-two and some negative",,,
00:16:54.800,00:16:59.900,00:00:05.100,,,,,,,,,,,"so we want to add twenty-two to both sides so",,,
00:17:00.300,00:17:03.200,00:00:02.900,,,,,,,,,,,"and that gets rid of this twenty-two",,,
00:17:03.200,00:17:11.300,00:00:08.100,,,,,,,,,,,"and that makes this sixty-two courtesy of this fifteen right here",,,
00:17:12.300,00:17:14.400,00:00:02.100,,,,,,,,,,,"and since it's multiplied b k",,,
00:17:14.400,00:17:15.800,00:00:01.400,,,,,,,,,,,"you want to divide it",,,
00:17:17.000,00:17:22.200,00:00:05.200,,,,,,,,,,,"so you divide sixty-two by fifteen",,,
00:17:23.100,00:17:24.200,00:00:01.100,,,,,,,,,,,"and that equals k",,,
00:17:26.300,00:17:35.300,00:00:09.000,,,,,,,,,,,,"what then k equals pause filler",,
00:17:35.900,00:17:37.600,00:00:01.700,,,,,,,,,,,"k equals sixty-two",,,
00:17:37.600,00:17:44.200,00:00:06.600,,,,,,,,,,,,"k equals sixty-two sixty-two divided by five is like four",,
00:17:44.200,00:17:48.400,00:00:04.200,,,,,,,,,,,"it's divided by fifteen",,,
00:17:48.400,00:17:49.600,00:00:01.200,,,,,,,,,,,"and it's about four yeah",,,
00:17:50.500,00:17:51.300,00:00:00.800,,,,,,,"UL",,,,"so that's good",,,
00:17:51.400,00:17:58.500,00:00:07.100,,,,,,,,,,,"it's four and two fifteens okay so next question",,,
00:18:00.500,00:18:04.800,00:00:04.300,,,,,,,,,,,"okay so this one is also pretty easy",,,
00:18:04.900,00:18:13.900,00:00:09.000,,,,,,,,,,,"so that's one of the easier ones",,,
00:18:13.900,00:18:14.400,00:00:00.500,,,,,,,,,,,,"there's three",,
00:18:15.200,00:18:15.900,00:00:00.700,,,,,,,,,,,"what",,,
00:18:15.900,00:18:16.500,00:00:00.600,,,,,,,,,,,,"three",,
00:18:16.900,00:18:30.700,00:00:13.800,,,,,,,"UL",,,,"yeah awesome great next question okay that is",,,
00:18:30.700,00:18:31.500,00:00:00.800,,,,,,,,,,,,"three again",,
00:18:31.800,00:18:46.000,00:00:14.200,,,,,,,"UL",,,,"three yeah well great okay pause filler question is okay",,,
00:18:47.700,00:18:50.800,00:00:03.100,,,,,,,,,,,"so you have k on both sides",,,
00:18:50.800,00:18:55.100,00:00:04.300,,,,,,,,,,,"so you want to get both of the Ks just to one side",,,
00:18:55.600,00:18:58.300,00:00:02.700,,,,,,,,,,,"and since you have more Ks over here",,,
00:18:58.300,00:19:00.700,00:00:02.400,,,,,,,,,,,"you want to get rid of this k",,,
00:19:01.800,00:19:05.600,00:00:03.800,,,,,,,,,,,"so since if there's no positive or negative sign next to it",,,
00:19:05.600,00:19:07.800,00:00:02.200,,,,,,,,,,,"that means it's positive",,,
00:19:09.200,00:19:12.100,00:00:02.900,,,,,,,,,,,"so you would subtract k from both sides",,,
00:19:13.500,00:19:20.900,00:00:07.400,,,,,,,,,,,"and so you would have negative ten equals seven k minus sixty-eight",,,
00:19:21.200,00:19:40.500,00:00:19.300,,,,,,,,,,,"and then can you work out from there",,,
00:19:40.500,00:19:43.300,00:00:02.800,,,,,,,,,,,,"mm-hmm like add something",,
00:19:43.400,00:19:45.500,00:00:02.100,,,,,,,,,,,"okay so let's close it",,,
00:19:45.700,00:19:49.900,00:00:04.200,,,,,,,,,,,"so this is negative",,,
00:19:50.000,00:19:51.600,00:00:01.600,,,,,,,,,,,"we want to add it to both sides",,,
00:19:51.600,00:19:52.800,00:00:01.200,,,,,,,,,,,"so since this is",,,
00:19:53.200,00:19:55.500,00:00:02.300,,,,,,,,,,,"so you add sixty-eight to both sides",,,
00:19:56.400,00:19:59.100,00:00:02.700,,,,,,,,,,,"and so you have negative ten on this side",,,
00:20:00.000,00:20:04.800,00:00:04.800,,,,,,,,,,,"so that's basically saying sixty-eight plus negative ten is also right",,,
00:20:05.600,00:20:11.000,00:00:05.400,,,,,,,,,,,"yeah sixty-eight minus ten is negative ten plus sixty-eight",,,
00:20:11.200,00:20:21.100,00:00:09.900,,,,,,,,,,,"so you have sixty-eight minus ten equals seven k",,,
00:20:22.200,00:20:29.200,00:00:07.000,,,,,,,,,,,"and so you have fifty-eight equals seven k",,,
00:20:30.100,00:20:34.400,00:00:04.300,,,,,,,,,,,"so can you do that",,,
00:20:34.900,00:20:36.600,00:00:01.700,,,,,,,,,,,,"mm-hmm so fifty-eight minus seven k",,
00:20:37.800,00:20:39.700,00:00:01.900,,,,,,,,,,,"fifty-eight equals seven k",,,
00:20:39.770,00:20:39.800,00:00:00.030,"TRC",,,,,,,,,,,,,
00:20:39.800,00:20:49.400,00:00:09.600,"TRC",,"SV",,"SV1A",,,,,,"so my handwriting is (inaudible)",,,
00:20:49.400,00:20:49.425,00:00:00.025,"TRC",,,,,,,,,,,,,
00:20:49.600,00:21:17.400,00:00:27.800,,,,,,,,,,,,"four something oh that equals",,
00:21:19.100,00:21:21.900,00:00:02.800,,,,,,,,,,,,"I think it's like eight around eight",,
00:21:22.200,00:21:29.200,00:00:07.000,,,,,,,"UL",,,,"yup yeah that's exactly eight awesome",,,
00:21:30.100,00:21:33.400,00:00:03.300,,,,,,,,,,,"so that is ten questions",,,
00:21:35.700,00:21:41.800,00:00:06.100,,,,,,,"UL",,,,"so there we go awesome",,,
00:21:44.000,00:21:46.200,00:00:02.200,,,,,,,,,,,"so now we kind of just wait",,,
00:21:46.700,00:21:52.700,00:00:06.000,,,,,,,,,,,,"do you have another tab open as Scribbler over",,
00:21:52.700,00:21:52.900,00:00:00.200,,,,,,,,,,,"yeah",,,
00:21:52.900,00:21:57.800,00:00:04.900,,,,,,,,,,,,"I think that one we're supposed to do next",,
00:21:57.800,00:22:02.200,00:00:04.400,,,,,,,,,,,"all right I don't know",,,
00:22:02.200,00:22:30.300,00:00:28.100,,,,,,,,,,,"they just told me to go to eleven and then stop",,,
00:22:30.300,00:22:38.100,00:00:07.800,,,"SV",,"SV1A",,,,,,"so who knows maybe for someone else there another time",,,
00:22:38.200,00:22:40.800,00:00:02.600,,,"SV",,"SV1A",,,,,,"or maybe we're supposed to",,,
00:22:41.200,00:22:49.200,00:00:08.000,,,"SV",,"SV1A",,,,,,"actually I think we're supposed to come out and actually get them",,,
00:22:49.200,00:22:49.700,00:00:00.500,,,,"SV",,"SV1A",,,,,,"okay",,
00:22:49.700,00:23:33.800,00:00:44.100,,,,,,,,,,,,,"good job so you unlocked the pause filler bonus stage who just like (inaudible)",
00:23:33.900,00:23:35.300,00:00:01.400,,,,,,,,,,"so can we have more (inaudible)",,,,
00:23:35.300,00:23:48.600,00:00:13.300,,,,,,,,,,"okay let me just get to the oh yeah okay",,,,
00:23:48.700,00:23:52.700,00:00:04.000,,,,,,,,,,"so I think the additional ones are only going up to twenty-four",,,,
00:23:54.500,00:23:54.700,00:00:00.200,,,,,,,,,,,"yes",,,
00:23:55.100,00:24:10.400,00:00:15.300,,,,,,,,,,"okay in this (inaudible) on here like this one is just going to be a little bit difficult so then also like the answering guide",,,,
00:24:10.400,00:24:13.800,00:00:03.400,,,,,,,,,,"just do those doable and (inaudible)",,,,
00:24:14.800,00:24:21.300,00:00:06.500,,,,,,,,,,,"all right so we have another ten questions to do",,,
00:24:21.500,00:24:23.800,00:00:02.300,,,,"SV",,"SV1A",,,,,,"yeah I want to switch to this computer",,
00:24:25.600,00:24:27.300,00:00:01.700,,,,,,,,,,,"yeah okay",,,
00:24:28.100,00:25:57.100,00:01:29.000,,,,"SV",,"SV1A",,,,,,"oh one second I don't know why we're kind of through this",,
00:25:57.100,00:26:06.800,00:00:09.700,,,,,,,,,,,"all right so do you want to start working on this",,,
00:26:07.500,00:26:15.600,00:00:08.100,,,,,,,,,,,"so let's just pause filler",,,
00:26:16.900,00:26:19.000,00:00:02.100,,,,,,,,,,,"we should remember what our signs are",,,
00:26:19.500,00:26:20.600,00:00:01.100,,,,,,,,,,,"this is the negative",,,
00:26:20.600,00:26:21.700,00:00:01.100,,,,,,,,,,,"this is the negative",,,
00:26:22.200,00:26:23.600,00:00:01.400,,,,,,,,,,,"this is the positive",,,
00:26:24.000,00:26:24.800,00:00:00.800,,,,,,,,,,,"that's a positive",,,
00:26:24.800,00:26:42.400,00:00:17.600,,,,,,,,,,,"so you can try to do that oh",,,
00:26:43.100,00:26:44.600,00:00:01.500,,,,"SV",,"SV1A",,,,,,"oh my gosh this mouse (inaudible)",,
00:26:44.600,00:26:48.600,00:00:04.000,,,"SV",,"SV1A",,,,,,"okay wait don't press the wrong button",,,
00:26:50.000,00:26:53.000,00:00:03.000,,,,,,,,,,,"let's go there there okay",,,
00:26:57.100,00:27:03.400,00:00:06.300,,,,,,,,,,,,"I don't know none of this",,
00:27:03.900,00:27:11.300,00:00:07.400,,,,,,,,,,,"okay so here so you want to get the r on just one side",,,
00:27:11.600,00:27:14.300,00:00:02.700,,,,,,,,,,,"so since you have less r on here",,,
00:27:14.300,00:27:15.000,00:00:00.700,,,,,,,,,,,"you just have one r",,,
00:27:15.000,00:27:17.000,00:00:02.000,,,,,,,,,,,"so you subtract r from this side",,,
00:27:18.700,00:27:20.000,00:00:01.300,,,,,,,,,,,"and subtract r from that side",,,
00:27:20.000,00:27:24.200,00:00:04.200,,,,,,,,,,,"and you have negative thirty-three equals r",,,
00:27:24.200,00:27:26.400,00:00:02.200,,,,,,,,,,,"because you subtract to one",,,
00:27:26.400,00:27:29.800,00:00:03.400,,,,,,,,,,,,,"so that's it for this half",
00:27:29.800,00:27:30.500,00:00:00.700,,,,,,,,,,,,"for this for",,
00:27:30.700,00:27:35.600,00:00:04.900,,,,,,,,,,,,,"pause filler the study so pause filler you're finished being tutored",
00:27:35.600,00:27:37.200,00:00:01.600,,,,,,,,,,,,,"we're going to take a little bit of a break",
00:27:37.500,00:27:39.500,00:00:02.000,,,,,,,,,,,,,"you guys stay on the line",
00:27:39.500,00:27:41.000,00:00:01.500,,,,,,,,,,,,,"hang out and talk",
00:27:41.000,00:27:43.000,00:00:02.000,,,,,,,,,,,,,"have some Skittles",
00:27:43.000,00:27:43.400,00:00:00.400,,,,,,,,,,,,"thank you",,
00:27:43.700,00:27:46.200,00:00:02.500,,,,,,,,,,,,,"pause filler yeah take five minutes",
00:27:46.200,00:27:48.200,00:00:02.000,,,,,,,,,,,,,"relax and then talk",
00:27:48.200,00:27:50.000,00:00:01.800,,,,,,,,,,,,,"and then you guys switch",
00:27:50.000,00:27:50.800,00:00:00.800,,,,,,,,,,,,,"and then we'll do that",
00:27:50.800,00:27:53.200,00:00:02.400,,,,,,,,,,"and so you're going to be tutored for this one",,,,
