"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","Experimenter 1","Experimenter-1","P2","P1","Experimenter 2-1",
00:07:03.011,00:07:07.511,00:00:04.500,,,,,,,,,,,,"so you have about twenty minutes pause filler to help pause filler",,,,
00:07:07.511,00:07:13.597,00:00:06.086,,,,,,,,,,,,"when you work through to your problems (inaudible) make sure that you're not solving them (inaudible) pause filler and (inaudible)",,,,
00:07:13.597,00:07:17.129,00:00:03.532,,,,,,,,,,,,,,"oh wait I can use the mask can I",,
00:07:17.129,00:07:18.755,00:00:01.626,,,,,,,,,,,,"pause filler no no just use the (inaudible)",,,,
00:07:18.815,00:07:23.135,00:00:04.320,,,,,,,,,,,,"so you can say here's the micro space and pause filler",,,,
00:07:23.135,00:07:25.769,00:00:02.634,,,,,,,,,,,,"those (inaudible) will get you through the problem",,,,
00:07:25.769,00:07:26.647,00:00:00.878,,,,,,,,,,,,"just make sure that (inaudible)",,,,
00:07:26.647,00:07:29.002,00:00:02.355,,,,,,,,,,,,,"yeah I think he took the stylus",,,
00:07:29.002,00:07:32.813,00:00:03.811,,,,,,,,,,,,,,,"I have the stylus yeah just want to make sure (inaudible)",
00:07:32.813,00:07:32.943,00:00:00.130,,,,,,,,,,,,,"okay",,,
00:07:32.943,00:07:37.523,00:00:04.580,,,,,,,,,,,,,,"so we're both on the same one",,
00:07:37.573,00:07:39.887,00:00:02.314,,,,,,,,,,,,"you're both on the same one yeah",,,,
00:07:40.227,00:07:41.633,00:00:01.406,,,,,,,,,,,,,,"so can I see her screen or no",,
00:07:41.633,00:07:45.774,00:00:04.141,,,,,,,,,,,,"pause filler no but she's on the same page",,,,
00:07:45.774,00:07:45.894,00:00:00.120,,,,,,,,,,,,,,"okay",,
00:07:45.894,00:07:48.967,00:00:03.073,,,,,,,,,,,,"I'll be back on twenty minutes",,,,
00:07:49.675,00:07:52.319,00:00:02.644,,,,,,,,,,,,,,"so can she see my writing on this website or not",,
00:07:52.319,00:07:52.798,00:00:00.479,,,,,,,,,,,,"yes",,,,
00:07:52.798,00:07:53.007,00:00:00.209,,,,,,,,,,,,,,"okay",,
00:07:53.566,00:07:54.354,00:00:00.788,,,,,,,,,,,,"yeah you're both on this thing",,,,
00:07:54.354,00:07:56.929,00:00:02.575,,,,,,,,,,,,"you're sharing on the same room on",,,,
00:07:56.929,00:07:58.106,00:00:01.177,,,,,,,,,,,,,,"okay so",,
00:07:58.106,00:07:58.764,00:00:00.658,,,,,,,,,,,,"good luck",,,,
00:07:58.994,00:08:02.087,00:00:03.093,,,,,,,,,,,,,,"thank you so I'm presuming you know how to do this",,
00:08:02.296,00:08:03.404,00:00:01.108,,,,,,,,,,,,,"yes I do",,,
00:08:03.863,00:08:05.659,00:00:01.796,,,,,,,,,,,,,,"so like I guess solve it",,
00:08:06.527,00:08:09.590,00:00:03.063,,,,,,,,,,,,,"okay pause filler how do I use this yes",,,
00:08:09.999,00:08:11.466,00:00:01.467,,,,,,,,,,,,,,"just write on the tape",,
00:08:11.765,00:08:13.471,00:00:01.706,,,,,,,,,,,,,"do I like show my work",,,
00:08:14.219,00:08:16.165,00:00:01.946,,,,,,,,,,,,,,"if you want to okay",,
00:08:16.165,00:08:26.152,00:00:09.987,,,,,,,,,,,,,"I'll show this is so weird plus six (laughter) like this is so it's so easy",,,
00:08:26.152,00:08:28.068,00:00:01.916,,,"SV",,"SV1A",,,,,,,,,"wait why did they have you writing in green",,
00:08:28.427,00:08:31.340,00:00:02.913,,,"SV",,"SV1A",,,,,,,,,"I thought you're supposed to write in black yeah whatever",,
00:08:31.340,00:08:34.872,00:00:03.532,,,,"SV",,"SV1A",,,,,,,"just click undo undo undo undo",,,
00:08:35.391,00:08:36.748,00:00:01.357,,,"SV",,"SV1A",,,,,,,,,"oh that�s so weird",,
00:08:37.666,00:08:38.205,00:00:00.539,,,"SV",,"SV1A",,,,,,,,,"that�s like wait (inaudible)",,
00:08:38.205,00:08:39.202,00:00:00.997,,,,"SV",,"SV1A",,,,,,,"x x x wow",,,
00:08:39.282,00:08:46.296,00:00:07.014,,,"SV",,"SV1A",,,,,,,,,"oh never mind we're writing in different shades okay (inaudible)",,
00:08:46.296,00:08:49.320,00:00:03.024,,,,"SV",,"SV1A",,,,,,,"my writing looks really bad okay",,,
00:08:49.320,00:08:50.607,00:00:01.287,,,"SV",,"SV1A",,,,,,,,,"that was fun",,
00:08:51.215,00:08:53.969,00:00:02.754,,,,,,,,,,,,,,"so yeah that�s such an easy basic question",,
00:08:54.238,00:08:55.226,00:00:00.988,,,,,,,,,,,,,"moving on to the",,,
00:08:55.316,00:08:58.279,00:00:02.963,,,"SV",,"SV1A",,,,,,,,,"my math oh wait hold on let's see",,
00:08:58.279,00:09:03.178,00:00:04.899,,,"SV",,"SV1A",,,,,,,,,"how do I clear this bad bad okay",,
00:09:03.388,00:09:05.533,00:00:02.145,,,"SV",,"SV1A",,,,,,,,,"I'm using the mouse through this from that",,
00:09:06.880,00:09:10.551,00:00:03.671,,,,,,,,,,,,,"plus eight equals",,,
00:09:11.100,00:09:12.816,00:00:01.716,,,"SV",,"SV1A",,,,,,,,,"this is so hard to navigate",,
00:09:13.066,00:09:13.425,00:00:00.359,,,,"SV",,"SV1A",,,,,,,"yeah",,,
00:09:16.997,00:09:19.651,00:00:02.654,,,"SV",,"SV1A",,,,,,,,,"okay you know whatever we can just have random scribbles (inaudible)",,
00:09:19.651,00:09:23.532,00:00:03.881,,,,,,,,,,,,,,"fifteen plus eight is twenty-three",,
00:09:24.639,00:09:26.066,00:00:01.427,,,"SV",,"SV1A",,,,,,,,,"these are really easy",,
00:09:26.066,00:09:26.445,00:00:00.379,,,,"SV",,"SV1A",,,,,,,"yeah",,,
00:09:26.505,00:09:37.829,00:00:11.324,,,,,,,,,,,,,,"all right let's see seventeen time seven oh seventeen equals k plus eleven",,
00:09:39.176,00:09:40.812,00:00:01.636,,,,"SV",,"SV1A",,,,,,,"wow crazy",,,
00:09:41.022,00:09:42.449,00:00:01.427,,,"SV",,"SV1A",,,,,,,,,"so challenging",,
00:09:42.598,00:09:47.308,00:00:04.710,,,,"SV",,"SV1A",,,,,,,"yeah oh",,,
00:09:49.672,00:09:50.680,00:00:01.008,,,,,,,,,,,,,,"what would you do",,
00:09:51.917,00:09:52.905,00:00:00.988,,,,,,,,,,,,,"pause filler let's see",,,
00:09:52.905,00:09:54.890,00:00:01.985,,,"SV",,"SV1A",,,,,,,,,"I don't know if I can do that in my head",,
00:09:55.170,00:09:55.958,00:00:00.788,,,"SV",,"SV1A",,,,,,,,,"oh I know the answer",,
00:09:56.128,00:09:57.664,00:00:01.536,,,"SV",,"SV1A",,,,,,,,,"hold on let me see if I can do this",,
00:09:59.101,00:10:01.535,00:00:02.434,,,,,,,,,,,,,"it's two",,,
00:10:02.344,00:10:02.832,00:00:00.488,,,,,,,,,,,,,,"wait yeah",,
00:10:04.269,00:10:10.525,00:00:06.256,,,,,,,,,,,,,"twenty divided by wait",,,
00:10:10.854,00:10:15.384,00:00:04.530,,,"SV",,"SV1A",,,,,,,,,"let me see if I can do this really important",,
00:10:15.384,00:10:17.938,00:00:02.554,,,,"SV",,"SV1A",,,,,,,"oh wait I think I just undo-ed the sentence",,,
00:10:18.028,00:10:22.897,00:00:04.869,,,,,,,,,,,,,,"it's okay it's okay it's okay it's okay all right it is a fraction why does a",,
00:10:22.897,00:10:25.100,00:00:02.203,,,"SV",,"SV1A",,,,,,,,,"oh my god it hates me to acknowledge",,
00:10:25.100,00:10:27.177,00:00:02.077,,,"SV",,"SV1A",,,,,,,,,"he absolutely hates me today",,
00:10:28.374,00:10:31.936,00:00:03.562,,,"SV",,"SV1A",,,,,,,,,"it's just like (inaudible) really care wait",,
00:10:31.936,00:10:34.281,00:00:02.345,,,,,,,,,,,,,,"so would that be wait hold on",,
00:10:35.109,00:10:41.914,00:00:06.805,,,"SV",,"SV1A",,,,,,,,,"I have a calm in fact right just one nippy like",,
00:10:41.914,00:10:45.615,00:00:03.701,,,,,,,,,,,,,"five oh got it got it whoo",,,
00:10:47.241,00:10:52.659,00:00:05.418,,,,,,,,,,,,,,"so x equals five (inaudible)",,
00:10:52.959,00:10:53.906,00:00:00.947,,,,,,,,,,,,,"yeah okay",,,
00:10:54.705,00:11:05.280,00:00:10.575,,,"SV",,"SV1A",,,,,,,,,"and just like scribbling all over this you know what it's fun",,
00:11:05.680,00:11:06.208,00:00:00.528,,,,,,,,,,,,,"pause filler let's see",,,
00:11:06.518,00:11:08.284,00:00:01.766,,,,,,,,,,,,,"okay that means it's",,,
00:11:08.284,00:11:08.503,00:00:00.219,,,,"SV",,"SV1A",,,,,,,"I hate",,,
00:11:08.503,00:11:10.219,00:00:01.716,,,,,,,,,,,,,,"oh it's going to be a fraction",,
00:11:12.265,00:11:15.817,00:00:03.552,,,,,,,,,,,,,"equals fifty",,,
00:11:15.817,00:11:25.115,00:00:09.298,,,,,,,,,,,,,,"I'm fixing that pause filler",,
00:11:25.115,00:11:33.167,00:00:08.052,,,,,,,,,,,,,,"that would be four and",,
00:11:33.965,00:11:34.175,00:00:00.210,,,,,,,,,,,,,"four",,,
00:11:35.562,00:11:39.952,00:00:04.390,,,,,,,,,,,,,,"that would be pause filler",,
00:11:41.189,00:11:43.763,00:00:02.574,,,,,,,,,,,,,"wait what's thirteen times four",,,
00:11:46.048,00:11:48.243,00:00:02.195,,,,,,,,,,,,,"oh three that would be pause filler",,,
00:11:48.632,00:11:50.757,00:00:02.125,,,,,,,,,,,,,,"that�s probably oh over there okay",,
00:11:53.471,00:11:54.658,00:00:01.187,,,"SV",,"SV1A",,,,,,,,,"why could I not",,
00:11:54.658,00:11:55.367,00:00:00.709,,,"SV",,"SV1A",,,,,,,,,"where�s my pen",,
00:11:55.417,00:11:56.474,00:00:01.057,,,"SV",,"SV1A",,,,,,,,,"what is it doing",,
00:11:56.474,00:11:56.923,00:00:00.449,,,"SV",,"SV1A",,,,,,,,,"oh there we go",,
00:12:04.007,00:12:07.190,00:00:03.183,,,,,,,,,,,,,"I think I got it now whoo",,,
00:12:07.190,00:12:11.191,00:00:04.001,,,"SV",,"SV1A",,,,,,,,,"fifty-two I can't install updates",,
00:12:11.700,00:12:12.857,00:00:01.157,,,"SV",,"SV1A",,,,,,,,,"I don't care computer (inaudible)",,
00:12:13.076,00:12:15.491,00:00:02.415,,,,"SV",,"SV1A",,,,,,,"I'm just going to move on",,,
00:12:15.990,00:12:17.297,00:00:01.307,,,,,,,,,,,,,,"just go to the next okay",,
00:12:17.297,00:12:18.215,00:00:00.918,,,"SV",,"SV1A",,,,,,,,,"why does it keep doing that",,
00:12:18.215,00:12:21.228,00:00:03.013,,,"SV",,"SV1A",,,,,,,,,"I swear to god okay okay",,
00:12:21.228,00:12:32.732,00:00:11.504,,,,,,,,,,,,,,"I know what this one is four",,
00:12:32.732,00:12:32.841,00:00:00.109,,,,,,,,,,,,,"yeah",,,
00:12:34.478,00:12:41.612,00:00:07.134,,,,,,,,,,,,,,"all right so how would you start this",,
00:12:42.051,00:12:47.658,00:00:05.607,,,,,,,,,,,,,"you add the twenty-two to the forty",,,
00:12:47.658,00:12:48.735,00:00:01.077,,,,,,,,,,,,,"and then you have that",,,
00:12:48.735,00:12:54.183,00:00:05.448,,,,,,,,,,,,,,"and then you're going to get a fraction yes",,
00:12:55.640,00:12:57.456,00:00:01.816,,,"SV",,"SV1A",,,,,,,,,"because it�s so amazing",,
00:12:57.605,00:13:00.568,00:00:02.963,,,,"SV",,"SV1A",,,,,,,"I hate writing with this",,,
00:13:00.568,00:13:01.716,00:00:01.148,,,,"SV",,"SV1A",,,,,,,"this is so",,,
00:13:01.716,00:13:03.322,00:00:01.606,,,"SV",,"SV1A",,,,,,,,,"I know it's",,
00:13:03.472,00:13:04.250,00:00:00.778,,,,,,,,,,,,,,"wait let's see",,
00:13:04.250,00:13:12.022,00:00:07.772,,,,,,,,,,,,,,"that would be fifteen times four is sixty",,
00:13:12.072,00:13:12.771,00:00:00.699,,,,,,,,,,,,,"sixty",,,
00:13:12.890,00:13:13.419,00:00:00.529,,,,,,,,,,,,,,"right",,
00:13:13.599,00:13:15.016,00:00:01.417,,,,,,,,,,,,,"so it's four and two fifteen",,,
00:13:18.707,00:13:20.852,00:00:02.145,,,"SV",,"SV1A",,,,,,,,,"okay I got it to work kinds of sort of",,
00:13:22.808,00:13:24.025,00:00:01.217,,,"SV",,"SV1A",,,,,,,,,"would you look at that",,
00:13:24.175,00:13:25.861,00:00:01.686,,,"SV",,"SV1A",,,,,,,,,"wait it keeps moving your face",,
00:13:25.861,00:13:26.609,00:00:00.748,,,"SV",,"SV1A",,,,,,,,,"I don't know why",,
00:13:26.609,00:13:28.655,00:00:02.046,,,"SV",,"SV1A",,,,,,,,,"okay they will go (inaudible)",,
00:13:28.655,00:13:33.534,00:00:04.879,,,,,,,,,,,,,,"so you would start this by subtraction",,
00:13:33.693,00:13:47.781,00:00:14.088,,,"SV",,"SV1A",,,,,,,,,"right they're actually twenty problems (sfx) oh my god just x me out",,
00:13:47.791,00:13:50.196,00:00:02.405,,,"SV",,"SV1A",,,,,,,,,"hold on there we go",,
00:13:50.196,00:13:51.762,00:00:01.566,,,"SV",,"SV1A",,,,,,,,,"okay I'm back on life",,
00:13:52.979,00:13:53.568,00:00:00.589,,,,"SV",,"SV1A",,,,,,,"okay okay",,,
00:13:53.837,00:13:57.329,00:00:03.492,,,,,,,,,,,,,,"so this wait so where do you want to start",,
00:13:57.998,00:14:11.000,00:00:13.002,,,,,,,,,,,,,"well I'm just going to add ten to the other side because",,,
00:14:11.000,00:14:11.349,00:00:00.349,,,,,,,,,,,,,"well I'm just going to add ten to the other side because","pause filler",,
00:14:11.349,00:14:12.625,00:00:01.276,,,,,,,,,,,,,"well I'm just going to add ten to the other side because",,,
00:14:12.625,00:14:12.914,00:00:00.289,,,,,,,,,,,,,,"let's see",,
00:14:12.994,00:14:14.341,00:00:01.347,,,,,,,,,,,,,,"wait say minus fifty",,
00:14:14.341,00:14:17.983,00:00:03.642,,,,,,,,,,,,,,"and then you would subtract eight k right",,
00:14:18.122,00:14:25.376,00:00:07.254,,,,,,,,,,,,,"yup and you have negative fifty-eight and there",,,
00:14:25.974,00:14:28.229,00:00:02.255,,,"SV",,"SV1A",,,,,,,,,"my handwriting is so awful on this thing",,
00:14:28.229,00:14:29.816,00:00:01.587,,,"SV",,"SV1A",,,,,,,,,"it's already really bad",,
00:14:31.003,00:14:34.864,00:00:03.861,,,,,,,,,,,,,"k equals fifty-eight",,,
00:14:35.722,00:14:38.865,00:00:03.143,,,,,,,,,,,,,,"eight and two sevenths so",,
00:14:38.865,00:14:40.002,00:00:01.137,,,,,,,,,,,,,"and then that would be",,,
00:14:40.501,00:14:41.629,00:00:01.128,,,,,,,,,,,,,,"eight and two sevenths",,
00:14:42.547,00:14:43.215,00:00:00.668,,,,,,,,,,,,,"oh yeah okay whoo",,,
00:14:44.822,00:14:55.627,00:00:10.805,,,"SV",,"SV1A",,,,,,,,,"all right yeah stop come out and get this",,
00:14:56.814,00:14:57.263,00:00:00.449,,,,"SV",,"SV1A",,,,,,,"okay",,,
00:14:57.263,00:14:59.688,00:00:02.425,,,"SV",,"SV1A",,,,,,,,,"up okay hover hover hover",,
00:15:00.237,00:15:03.898,00:00:03.661,,,,"SV",,"SV1A",,,,,,,"so we just like go leave hello",,,
00:15:04.557,00:15:06.173,00:00:01.616,,,"SV",,"SV1A",,,,,,,,,"pause filler I don't know",,
00:15:06.173,00:15:09.505,00:00:03.332,,,"SV",,"SV1A",,,,,,,,,"is there anybody even out there like none on the race",,
00:15:09.505,00:15:10.413,00:00:00.908,,,"SV",,"SV1A",,,,,,,,,"this is terrible",,
00:15:10.413,00:15:11.281,00:00:00.868,,,"SV",,"SV1A",,,,,,,,,"where is undo",,
00:15:11.381,00:15:13.027,00:00:01.646,,,"SV",,"SV1A",,,,,,,,,"can you undo that",,
00:15:13.077,00:15:15.322,00:00:02.245,,,"SV",,"SV1A",,,,,,,,,"(laughter) this thing hates me",,
00:15:16.859,00:15:19.094,00:00:02.235,,,,"SV",,"SV1A",,,,,,,"it's not letting me undo",,,
00:15:19.193,00:15:21.428,00:00:02.235,,,"SV",,"SV1A",,,,,,,,,"oh well there's no map on this page",,
00:15:21.428,00:15:23.324,00:00:01.896,,,,"SV",,"SV1A",,,,,,,"erase erase erase erase new",,,
00:15:26.577,00:15:28.921,00:00:02.344,,,"SV",,"SV1A",,,,,,,,,"I think this thing is magnetic or something that",,
00:15:28.921,00:15:30.119,00:00:01.198,,,"SV",,"SV1A",,,,,,,,,"it can see it",,
00:15:30.847,00:15:34.988,00:00:04.141,,,"SV",,"SV1A",,,,,,,,,"that�s just like random thought about these okay",,
00:15:36.135,00:15:37.542,00:00:01.407,,,,"SV",,"SV1A",,,,,,,"should I go out and get them",,,
00:15:38.090,00:16:02.156,00:00:24.066,,,"SV",,"SV1A",,,,,,,,,"like where I'll go and see where they are let's see",,
00:16:03.982,00:16:05.179,00:00:01.197,,,"SV",,"SV1A",,,,,,,,,"did you fine anyone",,
00:16:06.805,00:16:08.890,00:00:02.085,,,,"SV",,"SV1A",,,,,,,"we just had to stop so",,,
00:16:08.890,00:16:10.277,00:00:01.387,,,"SV",,"SV1A",,,,,,,,,"okay is she out wait",,
00:16:10.916,00:16:12.083,00:00:01.167,,,"SV",,"SV1A",,,,,,,,,"is she out there",,
00:16:12.083,00:16:13.181,00:00:01.098,,,,,,,,,,,,"excuse me if you can",,,,
00:16:13.181,00:16:13.849,00:00:00.668,,,,,,,,,,,,,"there's a person",,,
00:16:13.849,00:16:13.979,00:00:00.130,,,,,,,,,,,,,,"oh okay",,
00:16:14.099,00:16:17.042,00:00:02.943,,,,,,,,,,,,"you're just going to keep going",,,,
00:16:17.770,00:16:19.736,00:00:01.966,,,,,,,,,,,,"pause filler just tell her to go to page thirteen",,,,
00:16:19.975,00:16:20.494,00:00:00.519,,,,,,,,,,,,"here you go",,,,
00:16:21.153,00:16:24.405,00:00:03.252,,,,,,,,,,,,,"okay pause filler he said to go to page thirteen",,,
00:16:24.655,00:16:25.892,00:00:01.237,,,,,,,,,,,,,,"I'm on page thirteen",,
00:16:26.111,00:16:26.580,00:00:00.469,,,,,,,,,,,,,"okay",,,
