"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter","P2","P1","Experimenter 2",
00:01:28.200,00:01:29.900,00:00:01.700,,,,,,,,,,"oh that's my friend's birthday yeah",,,
00:01:30.500,00:01:31.400,00:00:00.900,,,,,,,,,,,"that's cool",,
00:01:31.500,00:01:33.700,00:00:02.200,,,,,,,,,,"yeah mm-hmm yeah",,,
00:01:33.700,00:01:40.100,00:00:06.400,,,,,,,,,,,"so what's your worst subject do you think in school",,
00:01:40.500,00:01:41.700,00:00:01.200,,,,,,,,,,"probably algebra (laughter)",,,
00:01:41.700,00:01:44.300,00:00:02.600,,,,,,,,,,,"mine's history",,
00:01:44.300,00:01:45.700,00:00:01.400,,,,,,,,,,"oh yeah mm-hmm",,,
00:01:46.200,00:01:49.600,00:00:03.400,,,,,,,,,,"do you know what's your favorite subject",,,
00:01:50.300,00:01:53.100,00:00:02.800,,,,,,,,,,,"pause filler not Spanish that's for sure",,
00:01:53.100,00:01:56.700,00:00:03.600,,,,,,,,,,"oh I don't have yeah that's probably science yeah",,,
00:01:56.700,00:01:57.600,00:00:00.900,,,,,,,,,,"but I don't",,,
00:01:57.600,00:01:59.600,00:00:02.000,,,,,,,,,,"yeah we don't have languages at our school",,,
00:01:59.600,00:02:00.000,00:00:00.400,,,,,,,,,,"it's weird",,,
00:02:00.000,00:02:02.200,00:00:02.200,,,,,,,,,,"only in high school yeah",,,
00:02:03.700,00:02:04.700,00:00:01.000,,,,,,,,,,,"you're lucky",,
00:02:05.500,00:02:06.800,00:00:01.300,,,,,,,,,,"oh is it bad",,,
00:02:07.200,00:02:09.100,00:00:01.900,,,,,,,,,,,"yeah my teacher just talks",,
00:02:09.100,00:02:11.100,00:00:02.000,,,,,,,,,,,"and she doesn't like let us do work",,
00:02:11.100,00:02:11.800,00:00:00.700,,,,,,,,,,,"she just rambles on",,
00:02:11.800,00:02:17.000,00:00:05.200,,,,,,,,,,"mm-hmm we have so many crazy teachers that's why",,,
00:02:17.600,00:02:18.500,00:00:00.900,,,,,,,,,,"oh my god",,,
00:02:19.300,00:02:22.700,00:00:03.400,,,,,,,,,,"yeah like our algebra teacher",,,
00:02:22.700,00:02:23.400,00:00:00.700,,,,,,,,,,"oh my god",,,
00:02:23.400,00:02:24.600,00:00:01.200,,,,,,,,,,"he's terrible",,,
00:02:26.700,00:02:30.500,00:00:03.800,,,,,,,,,,"he's like (sfx) yeah (sfx)",,,
00:02:32.600,00:02:45.600,00:00:13.000,,,,,,,,,,"and they want to start",,,
00:02:46.000,00:02:47.400,00:00:01.400,,,,,,,,,,,"me too",,
00:02:47.400,00:02:50.300,00:00:02.900,,,,,,,,,,"yeah I hope it's not too hard though",,,
00:02:50.300,00:02:51.100,00:00:00.800,,,,,,,,,,,"yeah",,
00:02:51.100,00:02:52.900,00:00:01.800,,,,,,,,,,"it's probably going to be like hard",,,
00:02:52.900,00:02:57.000,00:00:04.100,,,,,,,,,,"and I'm not going to like get it but (laughter) yeah",,,
00:03:00.800,00:03:04.700,00:00:03.900,,,,,,,,,,,"there is food in this room",,
00:03:05.000,00:03:05.400,00:00:00.400,,,,,,,,,,"same",,,
00:03:05.400,00:03:07.300,00:00:01.900,,,,,,,,,,"there is a fridge here",,,
00:03:07.400,00:03:12.200,00:00:04.800,,,,,,,,,,"it's like I'm going to get it I'll go get the food",,,
00:03:13.800,00:03:14.000,00:00:00.200,,,,,,,,,,,"yeah",,
00:03:14.000,00:03:20.600,00:00:06.600,,,,,,,,,,"mm-hmm yeah and there's like whiteboard all around here with like stuff all on it like that I don't understand",,,
00:03:20.700,00:03:27.000,00:00:06.300,,,,,,,,,,"it's like what's for like it's actually it's for like (inaudible)",,,
00:03:27.700,00:03:31.100,00:00:03.400,,,,,,,,,,,"yeah I have a TV in this room",,
00:03:31.100,00:03:32.400,00:00:01.300,,,,,,,,,,"oh really yeah that's like",,,
00:03:32.400,00:03:32.600,00:00:00.200,,,,,,,,,,,"yeah",,
00:03:32.600,00:03:39.900,00:00:07.300,,,,,,,,,,"yeah that seems like sort of like a laundry room because there's like kitchen and cabinet stuff and",,,
00:03:40.200,00:03:40.700,00:00:00.500,,,,,,,,,,,"yeah",,
00:03:40.700,00:03:42.800,00:00:02.100,,,,,,,,,,"yeah like a meeting room",,,
00:03:42.900,00:03:45.500,00:00:02.600,,,,,,,,,,"I don't know yeah",,,
00:03:47.900,00:03:52.200,00:00:04.300,,,,,,,,,,"and then like outside there there's like Legos and like baby toys",,,
00:03:52.200,00:03:58.600,00:00:06.400,,,,,,,,,,"(laughter) I don't know why it's like there's like a dollhouse",,,
00:03:59.900,00:04:00.900,00:00:01.000,,,,,,,,,,,"that's weird",,
00:04:00.900,00:04:01.400,00:00:00.500,,,,,,,,,,"yeah",,,
00:04:03.600,00:04:06.300,00:00:02.700,,,,,,,,,,,"I have no dollhouses in here",,
00:04:07.100,00:04:07.500,00:00:00.400,,,,,,,,,,"yeah",,,
00:04:07.500,00:04:10.800,00:00:03.300,,,,,,,,,,,"I do have doughnuts",,
00:04:11.400,00:04:13.700,00:00:02.300,,,,,,,,,,"oh there's like",,,
00:04:13.700,00:04:27.600,00:00:13.900,,,,,,,,,,"pause filler yeah so if there's anything else exciting about this room",,,
00:04:28.000,00:04:36.600,00:00:08.600,,,,,,,,,,"but there's like pause filler",,,
00:04:39.500,00:04:41.900,00:00:02.400,,,,,,,,,,,"there's two windows in this room",,
00:04:41.900,00:04:43.300,00:00:01.400,,,,,,,,,,,"and I just keep on looking out",,
00:04:43.300,00:04:46.400,00:00:03.100,,,,,,,,,,,"and there's like a whole bunch of people passing back and forth",,
00:04:46.600,00:04:50.100,00:00:03.500,,,,,,,,,,"yeah there's like another room on the outside of here too I can see",,,
00:04:50.100,00:04:53.500,00:00:03.400,,,,,,,,,,"and there's like a bunch of people like working it's like",,,
00:04:53.500,00:04:58.000,00:00:04.500,,,,,,,,,,"oh he's coming pause filler all right",,,
00:04:58.000,00:05:04.100,00:00:06.100,,,,,,,,,"everything is working and setup",,,,
00:05:04.500,00:05:05.800,00:00:01.300,,,,,,,,,"so we will begin",,,,
00:05:05.800,00:05:06.900,00:00:01.100,,,,,,,,,,"all right",,,
00:05:09.800,00:05:11.900,00:00:02.100,,,,,,,,,"all right there you go",,,,
00:05:12.000,00:05:14.700,00:00:02.700,,,,,,,,,"so this is pause filler problem one",,,,
00:05:14.700,00:05:18.700,00:00:04.000,,,,,,,,,"and she'll be tutoring you pause filler",,,,
00:05:18.700,00:05:23.500,00:00:04.800,,,,,,,,,"and you're black because she's green",,,,
00:05:26.400,00:05:26.800,00:00:00.400,,,,,,,,,,"okay",,,
00:05:26.900,00:05:28.000,00:00:01.100,,,,,,,,,"good luck",,,,
00:05:31.000,00:05:32.000,00:00:01.000,,,,,,,,,,,,"(inaudible)",
00:05:32.000,00:05:33.000,00:00:01.000,,,,,,,,,"and we'll see you later",,,"(inaudible)",
00:05:33.000,00:05:43.000,00:00:10.000,,,,,,,,,"and we'll see you later",,,,
00:05:43.000,00:05:45.000,00:00:02.000,,,,,,,,,"and we'll see you later","(inaudible)",,,
00:05:45.000,00:05:50.100,00:00:05.100,,,,,,,,,"and we'll see you later",,,,
00:05:52.000,00:05:53.800,00:00:01.800,,,,,,,,,,"all right okay",,,
00:05:53.800,00:05:59.300,00:00:05.500,,,,,,,,,,"I don't know I'm like",,,
00:06:01.200,00:06:07.700,00:00:06.500,,,,,,,,,,"there you go okay",,,
00:06:08.200,00:06:26.800,00:00:18.600,,,,,,,,,,,"try going the history",,
00:06:28.100,00:06:38.000,00:00:09.900,,,,,,,,,,,,"so erasing okay",
00:06:38.200,00:06:38.600,00:00:00.400,,,,,,,,,,,,"all right",
00:06:38.600,00:06:42.700,00:00:04.100,,,,,,,,,,,"no credit card required",,
00:06:42.900,00:06:46.500,00:00:03.600,,,,,,,,,,,,"(inaudible) oh man huh that's one",
00:06:46.600,00:06:50.500,00:00:03.900,,,,,,,,,,,,"did you see a bracelet over here",
00:06:50.500,00:06:59.800,00:00:09.300,,,,,,,,,,,,"no of course not",
00:06:59.900,00:07:10.500,00:00:10.600,,,,,,,,,,,,"oh wait did we do it",
00:07:10.500,00:07:17.300,00:00:06.800,,,,,,,,,,,,"I think so",
00:07:25.300,00:07:32.300,00:00:07.000,,,,,,,,,,,,"oh we did it (laughter)",
00:07:36.300,00:07:37.800,00:00:01.500,,,,,,,,,,,"all right",,
00:07:38.300,00:07:53.200,00:00:14.900,,,,,,,,,,,,"sorry about that",
00:07:55.000,00:08:06.800,00:00:11.800,,,,,,,,,,,,"all right so wait you can now have twenty minutes to work there as many as",
00:08:06.800,00:08:08.100,00:00:01.300,,,,,,,,,,,,"you as the tutee it means that tutor (inaudible)",
00:08:08.100,00:08:10.800,00:00:02.700,,,,,,,,,,,,"no pressure if you can't get through all of them",
00:08:10.800,00:08:16.400,00:00:05.600,,,,,,,,,,,,"you just want to make sure that if you're going to be writing on the problem you don't want to work through the problem for them",
00:08:16.400,00:08:19.200,00:00:02.800,,,,,,,,,,,,"you can just mainly use the pen to circle and underline things",
00:08:19.700,00:08:26.400,00:00:06.700,,,,,,,,,,,,"so if you are finished early if you happen to finish all of the problems you can just call me (inaudible)",
00:08:26.400,00:08:31.800,00:00:05.400,,,,,,,,,,,,"and we will set you up so good luck",
00:08:32.000,00:08:33.000,00:00:01.000,,,,,,,,,,"all right (laughter)",,,
00:08:33.600,00:08:38.300,00:00:04.700,,,,,,,,,,,"this is very confusing",,
00:08:38.400,00:08:41.100,00:00:02.700,,,,,,,,,,"they just like tried to do it I guess",,,
00:08:41.100,00:08:44.500,00:00:03.400,,,,,,,,,,,"yeah I guess so",,
00:08:45.300,00:08:46.300,00:00:01.000,,,,,,,,,,"okay so",,,
00:08:47.900,00:08:51.300,00:00:03.400,,,,,,,,,,,"so first what you want to do is",,
00:08:53.599,00:08:53.600,00:00:00.001,"TRC",,,,,,,,,,,,
00:08:53.600,00:08:56.269,00:00:02.669,"TRC",,"SV",,"SV1A",,,,,,"this is hard because I can't do the problem for you",,
00:08:56.269,00:08:56.300,00:00:00.031,"TRC",,"SV",,"SV1A",,,,,,"this is hard because I can't do the problem for you",,
00:08:56.300,00:08:58.100,00:00:01.800,"TRC",,"SV",,"SV1A",,,,,,"but I have to explain it",,
00:08:58.100,00:08:58.104,00:00:00.004,"TRC",,,,,,,,,"yeah okay so I think it says to add six right",,,
00:08:58.104,00:09:01.900,00:00:03.796,,,,,,,,,,"yeah okay so I think it says to add six right",,,
00:09:02.100,00:09:02.500,00:00:00.400,,,,,,,,,,,"yeah",,
00:09:03.000,00:09:04.000,00:00:01.000,,,,,,,,,,"so I guess I'll write that",,,
00:09:06.300,00:09:08.400,00:00:02.100,,,,"SV",,"SV1A",,,,"(laughter) it's like really big",,,
00:09:09.400,00:09:13.600,00:00:04.200,,,,"SV",,"SV1A",,,,"okay plus oh just like they're like so then",,,
00:09:13.700,00:09:14.300,00:00:00.600,,,,"SV",,"SV1A",,,,"oh my god",,,
00:09:14.300,00:09:17.300,00:00:03.000,,,,,,,,,,"okay that's x equals",,,
00:09:18.300,00:09:22.800,00:00:04.500,,,,,,,,,,"and then thirteen plus six is six seven okay eighteen",,,
00:09:24.900,00:09:26.600,00:00:01.700,,,,,,,,,,"no it's nineteen",,,
00:09:27.800,00:09:30.700,00:00:02.900,,,,"SV",,"SV1A",,,,"wait why am I okay",,,
00:09:30.700,00:09:35.900,00:00:05.200,,,,,,,,,,"how do you delete it okay",,,
00:09:36.000,00:09:38.600,00:00:02.600,,,,,,,,,,,"you have to do the back arrow",,
00:09:39.600,00:09:41.300,00:00:01.700,,,,,,,,,,"how do you",,,
00:09:41.981,00:09:42.000,00:00:00.019,"TRC",,,,,,,,,,,,
00:09:42.000,00:09:50.700,00:00:08.700,"TRC",,"SV",,"SV1A",,,,,,"yes it's very confusing",,
00:09:50.700,00:09:50.723,00:00:00.023,"TRC",,,"SV",,"SV1A",,,,"I'm just like",,,
00:09:50.723,00:09:51.200,00:00:00.477,,,,"SV",,"SV1A",,,,"I'm just like",,,
00:09:51.200,00:09:57.200,00:00:06.000,,,,,,,,,,,"why wouldn't it work",,
00:09:57.200,00:10:00.000,00:00:02.800,,,,,,,,,,"oh oh it's working",,,
00:10:00.000,00:10:01.800,00:00:01.800,,,,,,,,,,"wait oh oh oh",,,
00:10:02.400,00:10:02.900,00:00:00.500,,,,"SV",,"SV1A",,,,"yay",,,
00:10:02.900,00:10:04.600,00:00:01.700,,,,"SV",,"SV1A",,,,"oh no there are like dots okay",,,
00:10:06.200,00:10:11.700,00:00:05.500,,,,,,,,,,"so all right add six to each side",,,
00:10:11.700,00:10:20.700,00:00:09.000,,,,,,,,,,"and that's x equals",,,
00:10:21.900,00:10:24.400,00:00:02.500,,,,,,,,,,"and then three plus six nineteen",,,
00:10:25.700,00:10:26.500,00:00:00.800,,,,,,,,,,"oh okay",,,
00:10:28.100,00:10:32.600,00:00:04.500,,,,,,,,,,"so it's probably right I guess because x equals nineteen now",,,
00:10:32.600,00:10:35.500,00:00:02.900,,,,,,,,,,,"yeah I guess so",,
00:10:35.900,00:10:38.900,00:00:03.000,,,,,,,,,,"yeah all right how do you go to the next one",,,
00:10:39.300,00:10:40.400,00:00:01.100,,,,,,,,,,"do you know",,,
00:10:40.600,00:10:41.900,00:00:01.300,,,,,,,,,,,"yes",,
00:10:43.300,00:10:44.800,00:00:01.500,,,,,,,,,,"all right oh okay",,,
00:10:46.200,00:10:47.800,00:00:01.600,,,,,,,,,,,"so now it's your turn",,
00:10:48.600,00:10:49.400,00:00:00.800,,,,,,,,,,"okay",,,
00:10:51.500,00:10:58.600,00:00:07.100,,,,,,,,,,,"so pause filler I guess I do seven no eleven",,
00:11:00.300,00:11:03.500,00:00:03.200,,,,,,,,,,,"plus seventeen",,
00:11:03.600,00:11:06.100,00:00:02.500,,,"SV",,"SV1A",,,,,,"man my handwriting is horrible",,
00:11:06.600,00:11:08.400,00:00:01.800,,,,,,,,,,,"okay so",,
00:11:09.900,00:11:13.200,00:00:03.300,,,,,,,,,,,"and I do eleven plus k",,
00:11:13.700,00:11:16.800,00:00:03.100,,,,,,,,,,,"so that cancels out k so",,
00:11:16.900,00:11:18.500,00:00:01.600,,,,,,,,,,"like add eleven each side",,,
00:11:19.000,00:11:23.900,00:00:04.900,,,,,,,,,,,"yeah so then it's pretty much that's twenty-eight",,
00:11:24.900,00:11:26.400,00:00:01.500,,,,,,,,,,"yeah and then plus",,,
00:11:28.000,00:11:30.800,00:00:02.800,,,,,,,,,,"wait yeah or subtract",,,
00:11:30.800,00:11:34.700,00:00:03.900,,,,,,,,,,"are you subtracting eleven because that would cancel out eleven then",,,
00:11:36.600,00:11:41.500,00:00:04.900,,,,,,,,,,"if you subtract it eleven because then like then that would be zero",,,
00:11:41.500,00:11:43.100,00:00:01.600,,,,,,,,,,"and you can just like go like that",,,
00:11:43.700,00:11:47.500,00:00:03.800,,,,,,,,,,"and then that would be seven wait no that would be six",,,
00:11:47.500,00:11:50.400,00:00:02.900,,,,,,,,,,"(laughter) you got it",,,
00:11:50.500,00:11:50.800,00:00:00.300,,,,,,,,,,,"yeah",,
00:11:50.800,00:11:51.900,00:00:01.100,,,,,,,,,,"I think so yeah",,,
00:11:52.400,00:11:54.200,00:00:01.800,,,,,,,,,,,"maybe maybe not",,
00:11:54.700,00:11:55.900,00:00:01.200,,,,,,,,,,,"well I have no idea",,
00:11:55.900,00:12:00.800,00:00:04.900,,,,,,,,,,"okay let's start like let's start fresh I guess",,,
00:12:01.300,00:12:04.600,00:00:03.300,,,,,,,,,,"like here okay",,,
00:12:04.800,00:12:06.900,00:00:02.100,,,,,,,,,,,"okay so",,
00:12:08.800,00:12:11.100,00:00:02.300,,,,,,,,,,"let's subtract the eleven from each side",,,
00:12:12.100,00:12:18.200,00:00:06.100,,,,,,,,,,,"okay so seventeen minus eleven",,
00:12:18.200,00:12:22.900,00:00:04.700,,,,,,,,,,,"and k minus eleven",,
00:12:22.900,00:12:24.400,00:00:01.500,,,,,,,,,,,"if I did equals eleven",,
00:12:24.400,00:12:26.100,00:00:01.700,,,,,,,,,,,"I have no idea",,
00:12:26.100,00:12:30.800,00:00:04.700,,,,,,,,,,"I just like scratch out the one",,,
00:12:30.800,00:12:34.200,00:00:03.400,,,,,,,,,,"or did you like or you do eleven minus eleven",,,
00:12:34.200,00:12:35.400,00:00:01.200,,,,,,,,,,"and seventeen minus eleven",,,
00:12:35.400,00:12:39.700,00:00:04.300,,,,,,,,,,"and they like (inaudible) I don't know",,,
00:12:40.700,00:12:46.500,00:00:05.800,,,,,,,,,,,"yeah pause filler well k isn't going anywhere because it's not a number necessarily so",,
00:12:47.200,00:12:48.800,00:00:01.600,,,,,,,,,,"so then we can just cancel out the eleven then",,,
00:12:48.800,00:12:50.200,00:00:01.400,,,,,,,,,,"and would just be a k alone",,,
00:12:50.500,00:12:53.800,00:00:03.300,,,,,,,,,,,"yeah it's hardly like what I'm doing",,
00:12:54.200,00:12:56.600,00:00:02.400,,,,,,,,,,"then it could be yeah",,,
00:12:56.600,00:13:01.600,00:00:05.000,,,"SV",,"SV1A",,,,,,"okay don't judge I have no idea what that is it looks like a fish",,
00:13:01.600,00:13:06.600,00:00:05.000,,,,,,,,,,,"okay so then seventeen minus eleven would be six",,
00:13:06.600,00:13:08.500,00:00:01.900,,,,,,,,,,"six yeah",,,
00:13:10.000,00:13:12.800,00:00:02.800,,,,,,,,,,"so then six equals k oh",,,
00:13:13.300,00:13:14.200,00:00:00.900,,,,,,,,,,,"k equals six",,
00:13:14.900,00:13:15.200,00:00:00.300,,,,,,,,,,"yeah",,,
00:13:15.900,00:13:16.900,00:00:01.000,,,,,,,,,,,"we did it",,
00:13:16.900,00:13:18.400,00:00:01.500,,,,"SV",,"SV1A",,,,"circle out I'm trying to circle out",,,
00:13:18.400,00:13:22.100,00:00:03.700,,,,,,,,,,"okay so how do you go to the next one",,,
00:13:22.300,00:13:28.300,00:00:06.000,,,,,,,,,,,"and then nope",,
00:13:28.300,00:13:32.300,00:00:04.000,,,,,,,,,,,"(sfx) okay",,
00:13:32.600,00:13:37.700,00:00:05.100,,,,,,,,,,,"then add okay s I know how to do this one",,
00:13:37.700,00:13:46.600,00:00:08.900,,,,,,,,,,,"okay so what you'll have to do is you have to",,
00:13:46.900,00:13:51.100,00:00:04.200,,,,,,,,,,,"yeah add forty-four plus two",,
00:13:51.100,00:13:55.300,00:00:04.200,,,,,,,,,,,"hundred twenty",,
00:13:55.300,00:13:57.600,00:00:02.300,,,,,,,,,,"we add it",,,
00:13:57.800,00:13:58.400,00:00:00.600,,,,,,,,,,,"I think",,
00:13:58.700,00:13:59.700,00:00:01.000,,,,,,,,,,"or divide it",,,
00:13:59.700,00:14:01.000,00:00:01.300,,,,,,,,,,"like two hundred twenty divided forty-four",,,
00:14:01.000,00:14:02.200,00:00:01.200,,,,,,,,,,"pause filler",,,
00:14:02.200,00:14:12.100,00:00:09.900,,,,,,,,,,"because then if you did that you'd figure out how many times it goes and there's pretty much a twenty in it so x",,,
00:14:12.100,00:14:13.100,00:00:01.000,,,,,,,,,,,"ah okay I got it",,
00:14:13.100,00:14:14.400,00:00:01.300,,,,,,,,,,,"you have to divide it",,
00:14:14.400,00:14:18.700,00:00:04.300,,,,,,,,,,"oh yeah yeah yeah okay so I'll do",,,
00:14:19.291,00:14:19.300,00:00:00.009,"TRC",,,,,,,,,,,,
00:14:19.300,00:14:19.792,00:00:00.492,"TRC",,,"SV",,"SV1A",,,,"oh gosh",,,
00:14:19.792,00:14:19.800,00:00:00.008,"TRC",,,"SV",,"SV1A",,,,"oh gosh",,,
00:14:19.800,00:14:20.700,00:00:00.900,"TRC",,,"SV",,"SV1A",,,,"long equation",,,
00:14:20.700,00:14:20.726,00:00:00.026,"TRC",,,,,,,,,,,,
00:14:21.200,00:14:28.000,00:00:06.800,,,,,,,,,,"(laughter) twenty-four divided by two hundred four",,,
00:14:28.500,00:14:34.300,00:00:05.800,,,,,,,,,,"pause filler okay so I'll just do like eighty-eight which should be like",,,
00:14:36.000,00:14:40.200,00:00:04.200,,,,,,,,,,"two there uh-oh",,,
00:14:41.000,00:14:41.400,00:00:00.400,,,,,,,,,,"oh my god",,,
00:14:41.800,00:14:53.400,00:00:11.600,,,,,,,,,,"okay and then two twenty okay",,,
00:14:53.500,00:15:04.000,00:00:10.500,,,,"SV",,"SV1A",,,,"pause filler what oh my gosh okay (laughter)",,,
00:15:04.000,00:15:04.500,00:00:00.500,,,,,,,,,,"oh (laughter)",,,
00:15:04.700,00:15:06.000,00:00:01.300,,,,,,,,,,"wait okay so I'll do okay let's try this again",,,
00:15:06.500,00:15:16.500,00:00:10.000,,,,,,,,,,"so forty-four divided by two hundred three",,,
00:15:17.100,00:15:18.900,00:00:01.800,,,,"SV",,"SV1A",,,,"it like fixes it when you write it",,,
00:15:18.900,00:15:21.200,00:00:02.300,,,,"SV",,"SV1A",,,,"like you write it and then",,,
00:15:21.200,00:15:21.400,00:00:00.200,,,"SV",,"SV1A",,,,,,"really",,
00:15:21.400,00:15:23.900,00:00:02.500,,,,"SV",,"SV1A",,,,"yeah like drawing a little like circle",,,
00:15:23.900,00:15:25.400,00:00:01.500,,,,"SV",,"SV1A",,,,"and then like changes a little",,,
00:15:26.100,00:15:27.900,00:00:01.800,,,,"SV",,"SV1A",,,,"do you see that like",,,
00:15:32.400,00:15:36.200,00:00:03.800,,,"SV",,"SV1A",,,,,,"well I don't want to write anything",,
00:15:36.300,00:15:39.000,00:00:02.700,,,"SV",,"SV1A",,,,,,"oh look at that",,
00:15:39.000,00:15:39.100,00:00:00.100,,,,"SV",,"SV1A",,,,"oh",,,
00:15:41.400,00:15:41.600,00:00:00.200,,,"SV",,"SV1A",,,,,,"okay (laughter)",,
00:15:41.600,00:15:43.300,00:00:01.700,,,,,,,,,,"oh okay",,,
00:15:45.400,00:15:52.300,00:00:06.900,,,,,,,,,,"okay so forty-four divided or two hundred twenty divided by forty-four",,,
00:15:52.300,00:15:54.300,00:00:02.000,,,"SV",,"SV1A",,,,,,"no I'm just joking (laughter)",,
00:15:54.300,00:15:58.600,00:00:04.300,,,,,,,,,,"okay I'm just going to try forty-four times",,,
00:15:58.991,00:15:59.000,00:00:00.009,"TRC",,,,,,,,,,,,
00:15:59.000,00:16:03.300,00:00:04.300,"TRC",,,"SV",,"SV1A",,,,"I wish there was a calculator that would be nice",,,
00:16:03.300,00:16:03.329,00:00:00.029,"TRC",,,,,,,,,,,,
00:16:03.400,00:16:03.900,00:00:00.500,,,"SV",,"SV1C",,,,,,"cheater",,
00:16:03.900,00:16:05.600,00:00:01.700,,,,"SV",,"SV1A",,,,"no if there was a calculator",,,
00:16:05.600,00:16:07.700,00:00:02.100,,,"SV",,"SV1A",,,,,,"there might actually be a calculator",,
00:16:08.000,00:16:09.400,00:00:01.400,,,"SV",,"SV1A",,,,,,"calculator",,
00:16:09.700,00:16:14.700,00:00:05.000,,,"SV",,"SV1A",,,,,,"wait go to that box like that window box and see",,
00:16:15.900,00:16:18.300,00:00:02.400,,,,"SV",,"SV1A",,,,"that would be cheating though",,,
00:16:19.300,00:16:22.400,00:00:03.100,,,"SV",,"SV1A",,,,,,"you wanted a calculator",,
00:16:23.000,00:16:24.200,00:00:01.200,,,,,,,,,,"okay and then",,,
00:16:28.000,00:16:28.300,00:00:00.300,,,"SV",,"SV1A",,,,,,"wow",,
00:16:28.300,00:16:30.400,00:00:02.100,,,"SV",,"SV2A",,,,,,"I have no idea what you are doing",,
00:16:31.100,00:16:32.300,00:00:01.200,,,,,,,,,,"nor do I (laughter)",,,
00:16:32.300,00:16:34.200,00:00:01.900,,,,,,,,,,,"okay how about you just erase everything",,
00:16:34.200,00:16:35.700,00:00:01.500,,,,,,,,,,,"and then start",,
00:16:35.700,00:16:36.900,00:00:01.200,,,,,,,,,,"wait can you press delete",,,
00:16:37.200,00:16:38.700,00:00:01.500,,,,,,,,,,"can you press the delete thingy",,,
00:16:38.900,00:16:42.900,00:00:04.000,,,,,,,,,,"or that clear though or just like",,,
00:16:42.900,00:16:44.400,00:00:01.500,,,,,,,,,,,"pause filler don't hit the trash",,
