"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","SV_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","PP_Notes","P1","P2",
00:04:01.903,00:04:08.697,00:00:06.794,,,,,,,,,"it's just that some of the algebra I'm getting into is just like pretty difficult for me you know",,
00:04:08.767,00:04:15.362,00:00:06.595,,,,,,,,,,"yeah they're like there's a point where it's not easy to make the transition to go to new math",
00:04:16.140,00:04:21.398,00:00:05.258,,,,,,,,,,"so you don't really have the best stuff to position on with",
00:04:21.957,00:04:23.793,00:00:01.836,,,,,,,,,"yeah I see what you're saying",,
00:04:25.190,00:04:30.777,00:00:05.587,,,,,,,,,,"so that I wish there was a better way you could do it like making the transitions",
00:04:31.745,00:04:43.299,00:00:11.554,,,,,,,,,"yeah it's like you know just like like one minute it's like the easiest thing ever like those graphs and then like pause filler",,
00:04:43.468,00:04:45.943,00:00:02.475,,,,,,,,,,"just like small multiplication division stuff",
00:04:45.993,00:04:48.178,00:00:02.185,,,,,,,,,"yeah and then all the sudden it's like pause filler",,
00:04:48.477,00:04:49.175,00:00:00.698,,,,,,,,,,"letters",
00:04:49.295,00:04:51.720,00:00:02.425,,,,,,,,,"letters variables you know",,
00:04:52.538,00:04:53.007,00:00:00.469,,,,,,,,,,"yeah",
00:04:53.027,00:04:55.820,00:00:02.793,,,,,,,,,,"and I don't really understand most of it",
00:04:56.120,00:05:00.001,00:00:03.881,,,,,,,,,"I mean I understand this stuff which is on my paper right now",,
00:05:00.180,00:05:01.727,00:00:01.547,,,,,,,,,"I mean I get that",,
00:05:01.787,00:05:12.422,00:00:10.635,,,,,,,,,"but oh like there's just like this weird transition in like the middle of algebra like from algebra half to algebra one",,
00:05:13.360,00:05:15.555,00:00:02.195,,,,,,,,,"that is just ridiculous",,
00:05:16.344,00:05:16.673,00:00:00.329,,,,,,,,,,"yeah",
00:05:18.429,00:05:22.968,00:00:04.539,,,,,,,,,"and you know sometimes it's really stressful for me you know",,
00:05:23.417,00:05:28.765,00:00:05.348,,,,,,,,,,"uh-huh like oh I don't like math",
00:05:28.765,00:05:30.252,00:00:01.487,,,,,,,,,"I don't like math",,
00:05:30.372,00:05:30.581,00:00:00.209,,,,,,,,,,"yeah",
00:05:30.581,00:05:34.343,00:00:03.762,,,,,,,,,"I mean the only kid who likes math in my class",,
00:05:34.343,00:05:35.370,00:00:01.027,,,,,,,,,"his name is Jacob",,
00:05:36.308,00:05:39.990,00:00:03.682,,,,,,,,,"and he basically obsesses almost over every subject",,
00:05:39.990,00:05:44.410,00:00:04.420,,,,,,,,,"so I just couldn't talk about him",,
00:05:44.968,00:05:44.998,00:00:00.030,,,,,,,,,,"oh",
00:05:45.078,00:05:49.428,00:00:04.350,,,,,,,,,"it's like oh the most important thing is learning math and Latin",,
00:05:49.428,00:05:53.938,00:00:04.510,,,,,,,,,"and I was like what kind of person would want to talk in Latin about math",,
00:05:54.507,00:06:02.269,00:00:07.762,,,,,,,,,,"yeah we have like one kid I know she has I think like a ninety-eight in every class",
00:06:02.449,00:06:03.636,00:00:01.187,,,,,,,,,"ninety-eight",,
00:06:04.025,00:06:04.344,00:00:00.319,,,,,,,,,,"yeah",
00:06:05.063,00:06:05.901,00:00:00.838,,,,,,,,,"Jesus",,
00:06:06.080,00:06:07.517,00:00:01.437,,,,,,,,,,"I was going to her house",
00:06:07.517,00:06:08.475,00:00:00.958,,,,,,,,,,"and I saw her computer",
00:06:08.475,00:06:10.211,00:00:01.736,,,,,,,,,,"and all of her grades were ninety-eights",
00:06:12.646,00:06:14.711,00:00:02.065,,,,,,,,,,"she's insane in everything",
00:06:15.010,00:06:16.168,00:00:01.158,,,,,,,,,,"I don't know how she does it",
00:06:16.726,00:06:19.710,00:00:02.984,,,,,,,,,"I don't know how anyone does it to be perfectly honest",,
00:06:19.979,00:06:27.532,00:00:07.553,,,,,,,,,,"yeah so now everyone just idols her",
00:06:28.051,00:06:28.080,00:00:00.029,,,,,,,,,,"oh",
00:06:28.080,00:06:30.665,00:00:02.585,,,,,,,,,"so what's your stance in your class",,
00:06:30.665,00:06:32.381,00:00:01.716,,,,,,,,,"are you like pretty cool or",,
00:06:32.969,00:06:34.596,00:00:01.627,,,,,,,,,,"pause filler I was",
00:06:35.224,00:06:39.884,00:00:04.660,,,,,,,,,,"and then somebody found out I like watching Japanese shows",
00:06:39.884,00:06:42.727,00:00:02.843,,,,,,,,,,"and now barely anybody talks to me",
00:06:43.845,00:06:56.656,00:00:12.811,,,,,,,,,,"I don't understand why it's a big deal (laughter)",
00:06:58.212,00:06:58.861,00:00:00.649,,,,,,,,,"I'm sorry",,
00:07:00.417,00:07:08.728,00:00:08.311,,,,,,,,,"pause filler I have a cousin I guess who's sort of like you",,
00:07:10.694,00:07:13.996,00:00:03.302,,,,,,,,,"pause filler except he watches My Little Pony",,
00:07:13.996,00:07:14.106,00:00:00.110,,,,,,,,,,"oh",
00:07:14.106,00:07:17.638,00:00:03.532,,,,,,,,,"do you know what those people are",,
00:07:17.957,00:07:18.386,00:00:00.429,,,,,,,,,,"yeah",
00:07:18.386,00:07:22.267,00:00:03.881,,,,,,,,,"he's like seventeen",,
00:07:22.407,00:07:23.135,00:00:00.728,,,,,,,,,,"seventeen",
00:07:23.135,00:07:23.814,00:00:00.679,,,,,,,,,"yeah",,
00:07:23.844,00:07:26.917,00:00:03.073,,,,,,,,,,"okay (inaudible) seems like thirteen or fourteen",
00:07:26.917,00:07:30.359,00:00:03.442,,,,,,,,,,"and we understand just for like popularity wise you have like a joke",
00:07:31.337,00:07:37.882,00:00:06.545,,,,,,,,,,"but it depends on really what you see in childhood to really watch the show",
00:07:38.441,00:07:46.383,00:00:07.942,,,,,,,,,"oh yeah I mean I was like he's like whatever he has in his computer out or his Xbox out",,
00:07:46.383,00:07:51.870,00:00:05.487,,,,,,,,,"and he has like a profile picture of like I don't know one of the weird things I",,
00:08:21.612,00:08:24.895,00:00:03.283,,,,,,,,,"all right",,
00:08:56.713,00:08:58.848,00:00:02.135,,,,,,,,,"all right roger that",,
00:08:59.027,00:08:59.656,00:00:00.629,,,,,,,,,,"all right",
00:08:59.736,00:09:05.154,00:00:05.418,,,,,,,,,"all right so pause filler ding it",,
00:09:06.071,00:09:14.472,00:00:08.401,,,,,,,,,"all right so basically pause filler all right so pause filler you see this problem here",,
00:09:15.141,00:09:15.370,00:00:00.229,,,,,,,,,,"yeah",
00:09:15.370,00:09:19.012,00:00:03.642,,,,,,,,,"all right I'm writing good so",,
00:09:19.531,00:09:23.133,00:00:03.602,,,,,,,,,"all right so basically",,
00:09:26.355,00:09:28.660,00:00:02.305,,,,,,,,,"pause filler do you see the variable here",,
00:09:29.368,00:09:29.538,00:00:00.170,,,,,,,,,,"yeah",
00:09:29.578,00:09:30.666,00:00:01.088,,,,,,,,,"okay why is my thing blue",,
00:09:32.561,00:09:33.539,00:00:00.978,,,,,,,,,,"was this supposed to be green",
00:09:34.277,00:09:34.746,00:00:00.469,,,,,,,,,"yeah",,
00:09:34.746,00:09:38.328,00:00:03.582,,,,,,,,,"all right so see the variable over here",,
00:09:38.787,00:09:38.987,00:00:00.200,,,,,,,,,,"yeah",
00:09:38.987,00:09:43.506,00:00:04.519,,,,,,,,,"basically what you have to do is that you have to get the variable by itself",,
00:09:44.883,00:09:52.446,00:00:07.563,,,,,,,,,"and pause filler the way you do that is by pause filler adding on both sides",,
00:09:53.424,00:10:00.448,00:00:07.024,,,,,,,,,"and it's sort of weird I know because math all right so",,
00:10:00.448,00:10:14.855,00:00:14.407,,,,,,,,,"pause filler what you do is that if you have a subtraction space there if you have sign that's subtracted pause filler what you do is that you write below it add that number",,
00:10:15.344,00:10:15.813,00:00:00.469,,,,,,,,,"you see",,
00:10:18.118,00:10:18.317,00:00:00.199,,,,,,,,,,"yeah",
00:10:18.317,00:10:20.901,00:00:02.584,,,,,,,,,"so and then you'd add it to that side",,
00:10:20.901,00:10:24.214,00:00:03.313,,,,,,,,,"so you'd write plus number on the thirteen you",,
00:10:24.852,00:10:25.100,00:00:00.248,,,,,,,,,"see what I'm saying",,
00:10:25.100,00:10:25.591,00:00:00.491,,,,,,,,,"see what I'm saying","yeah",
00:10:25.591,00:10:26.329,00:00:00.738,,,,,,,,,,"yeah",
00:10:26.578,00:10:27.407,00:00:00.829,,,,,,,,,"so try it out",,
00:10:27.806,00:10:29.991,00:00:02.185,,,,,,,,,,"so let's take a walk",
00:10:31.956,00:10:33.942,00:00:01.986,,,,,,,,,,"so here you'd be adding okay",
00:10:35.378,00:10:35.588,00:00:00.210,,,,,,,,,,"wow",
00:10:35.588,00:10:36.217,00:00:00.629,,,,,,,,,,"this is weird",
00:10:37.953,00:10:43.909,00:00:05.956,,,,,,,,,"oh it's all right yeah (laughter)",,
00:10:43.909,00:10:44.258,00:00:00.349,,,,,,,,,,"wow",
00:10:45.795,00:10:49.616,00:00:03.821,,,,,,,,,"oh no no no you don't add the x",,
00:10:49.756,00:10:51.592,00:00:01.836,,,,,,,,,"you add the six",,
00:10:51.592,00:10:52.929,00:00:01.337,,,,,,,,,,"oh that's right",
00:10:52.929,00:10:53.697,00:00:00.768,,,,,,,,,,"I can do that okay",
00:10:54.096,00:10:57.468,00:00:03.372,,,,,,,,,,"let's see I can undo this",
00:10:57.628,00:11:01.210,00:00:03.582,,,,,,,,,"like have you ever used one of these things before",,
00:11:01.589,00:11:01.998,00:00:00.409,,,,,,,,,,"no",
00:11:02.666,00:11:06.308,00:00:03.642,,,,,,,,,"oh man it works like a charm if you're trying to like draw on stuff",,
00:11:06.548,00:11:08.593,00:00:02.045,,,,,,,,,"but I have like a surface",,
00:11:08.793,00:11:12.215,00:00:03.422,,,,,,,,,"so basically what I do is that I get a Bluetooth mouse",,
00:11:12.614,00:11:16.545,00:00:03.931,,,,,,,,,"and I use that to draw most of the time",,
00:11:16.545,00:11:18.301,00:00:01.756,,,,,,,,,"but pause filler anyways let's just get back on topic",,
00:11:18.570,00:11:21.573,00:00:03.003,,,,,,,,,"so what you do is that you would add the number not the variable",,
00:11:21.653,00:11:23.798,00:00:02.145,,,,,,,,,"you want to get the variable by itself",,
00:11:24.138,00:11:24.497,00:00:00.359,,,,,,,,,,"uh-huh",
00:11:24.986,00:11:25.295,00:00:00.309,,,,,,,,,"yeah",,
00:11:25.405,00:11:28.627,00:00:03.222,,,,,,,,,,"so then here would be the plus six",
00:11:28.887,00:11:32.189,00:00:03.302,,,,,,,,,,"and yeah I'll also add six",
00:11:32.908,00:11:33.377,00:00:00.469,,,,,,,,,"pause filler yes",,
00:11:33.377,00:11:33.766,00:00:00.389,,,,,,,,,"correct",,
00:11:34.175,00:11:37.268,00:00:03.093,,,,,,,,,,"okay so",
00:11:38.655,00:11:45.080,00:00:06.425,,,,,,,,,"pause filler basically pause filler just scratch out the six sort of like pause filler sort of like this",,
00:11:47.954,00:11:49.221,00:00:01.267,,,,,,,,,,"I see there we go",
00:11:51.974,00:11:55.037,00:00:03.063,,,,,,,,,"so just pretend that six doesn't exist anymore",,
00:11:56.015,00:11:56.334,00:00:00.319,,,,,,,,,,"right",
00:11:56.903,00:11:59.866,00:00:02.963,,,,,,,,,"oh and I'll rewrite that because I accidentally did it",,
00:11:59.946,00:12:02.680,00:00:02.734,,,,,,,,,"I was trying to",,
00:12:05.284,00:12:06.731,00:00:01.447,,,,,,,,,"oh whoops crap",,
00:12:09.834,00:12:13.775,00:00:03.941,,,,,,,,,"all right",,
00:12:15.301,00:12:18.654,00:00:03.353,,,,,,,,,"are you still scratching up the six now",,
00:12:18.654,00:12:25.578,00:00:06.924,,,,,,,,,"all you have to do is put a cross between the negative six and the plus six",,
00:12:26.127,00:12:29.768,00:00:03.641,,,,,,,,,"but you keep the six on the thirteen side as it is",,
00:12:30.227,00:12:33.759,00:00:03.532,,,,,,,,,,"right wait okay it asked me a question",
00:12:33.759,00:12:34.787,00:00:01.028,,,,,,,,,,"so I don't know why I did that",
00:12:36.134,00:12:38.289,00:00:02.155,,,,,,,,,"it went full screen on my Skype for a second",,
00:12:39.197,00:12:40.145,00:00:00.948,,,,,,,,,,"okay",
00:12:43.038,00:12:47.428,00:00:04.390,,,,,,,,,"okay so you see pause filler all you need to do is just add",,
00:12:49.045,00:12:51.310,00:00:02.265,,,,,,,,,,"so then this would be nineteen",
00:12:51.310,00:12:51.509,00:00:00.199,,,,,,,,,,"great",
00:12:51.509,00:12:51.838,00:00:00.329,,,,,,,,,"yeah",,
00:12:52.696,00:12:58.733,00:00:06.037,,,,,,,,,,"we'll put a nine there and separate that",
00:12:58.733,00:13:03.911,00:00:05.178,,,,,,,,,"and then you'd write x sequels because that's the only thing left",,
00:13:04.579,00:13:09.648,00:00:05.069,,,,,,,,,,"oh yeah so then okay yeah that's starting to make sense",
00:13:09.927,00:13:11.853,00:00:01.926,,,,,,,,,"yeah so now you're done",,
00:13:12.501,00:13:12.920,00:00:00.419,,,,,,,,,,"sweet",
00:13:14.906,00:13:17.280,00:00:02.374,,,,,,,,,,"so we go to the next problem right",
00:13:17.630,00:13:21.790,00:00:04.160,,,,,,,,,"yeah all right so that would be oh my gosh twenty-three",,
00:13:21.920,00:13:24.913,00:00:02.993,,,,,,,,,"all right this is going to be the end of me",,
00:13:24.913,00:13:34.162,00:00:09.249,,,,,,,,,"so all right so usually get a basic of this one right because all you have to do is just add again",,
00:13:34.162,00:13:35.788,00:00:01.626,,,,,,,,,"you just add to both sides",,
00:13:35.898,00:13:40.168,00:00:04.270,,,,,,,,,"so it's basically just do it again I guess it's a",,
00:13:40.418,00:13:44.129,00:00:03.711,,,,,,,,,,"it's good practice to fully understand it",
00:13:44.379,00:13:49.827,00:00:05.448,,,,,,,,,"yeah and the only difference here is that it's flipped",,
00:13:49.827,00:13:51.203,00:00:01.376,,,,,,,,,"and that it has a p",,
00:13:51.602,00:13:55.643,00:00:04.041,,,,,,,,,"I don't know how that's supposed to confuse us in anyway whatsoever but (laughter)",,
00:13:55.643,00:14:01.660,00:00:06.017,,,,,,,,,,"so I was going to cross that out because it's not really going to do much",
00:14:01.869,00:14:06.319,00:00:04.450,,,,,,,,,"yeah you could just cross at it first I mean pause filler yeah",,
00:14:09.681,00:14:23.879,00:00:14.198,,,,,,,,,"they write really weird on this paper because they have like oh I'm not allowed to showed it but they put like the nine after the p (laughter) like the plus eight after",,
00:14:24.448,00:14:25.346,00:00:00.898,,,,,,,,,"I don't know",,
00:14:25.795,00:14:27.351,00:00:01.556,,,,,,,,,,"that's strange",
00:14:27.471,00:14:28.090,00:00:00.619,,,,,,,,,"I know",,
00:14:28.908,00:14:30.853,00:00:01.945,,,,,,,,,"college students you know all right",,
00:14:30.853,00:14:31.133,00:00:00.280,,,,,,,,,,"yeah",
00:14:31.881,00:14:33.757,00:00:01.876,,,,,,,,,"all right so you got that one",,
00:14:33.757,00:14:37.378,00:00:03.621,,,,,,,,,"I'm just going to do that to confirm it",,
00:14:37.688,00:14:38.426,00:00:00.738,,,,,,,,,"pause filler next page",,
00:14:39.953,00:14:42.098,00:00:02.145,,,,,,,,,,"this is subtraction right",
00:14:42.936,00:14:43.505,00:00:00.569,,,,,,,,,"yeah",,
00:14:43.694,00:14:53.000,00:00:09.306,,,,,,,,,"all right so pause filler basically what you do is that instead of adding like we did before we subtract",,
00:14:53.000,00:14:53.901,00:00:00.901,,,,,,,,,"whoo",,
00:14:53.901,00:14:53.961,00:00:00.060,,,,,,,,,"whoo","yeah",
00:14:53.961,00:15:11.152,00:00:17.191,,,,,,,,,"and then (inaudible) because that's going to that's pause filler because that's a pause filler addition symbol",,
00:15:11.840,00:15:19.163,00:00:07.323,,,,,,,,,"pause filler and basically what you have to do is that you have to do the exact opposite of the symbol that's up there",,
00:15:19.253,00:15:19.642,00:00:00.389,,,,,,,,,"you see",,
00:15:20.331,00:15:20.900,00:00:00.569,,,,,,,,,,"yup",
00:15:21.209,00:15:22.396,00:00:01.187,,,,,,,,,"pause filler so basically",,
00:15:23.753,00:15:27.046,00:00:03.293,,,,,,,,,"pause filler it's really simple (laughter)",,
00:15:27.375,00:15:31.106,00:00:03.731,,,,,,,,,"and then you just do it the other side I mean",,
00:15:31.376,00:15:34.429,00:00:03.053,,,,,,,,,"and they also made it okay this time",,
00:15:34.429,00:15:37.053,00:00:02.624,,,,,,,,,"so that's the part that confused me the most",,
00:15:37.222,00:15:37.651,00:00:00.429,,,,,,,,,,"yeah",
00:15:37.841,00:15:38.290,00:00:00.449,,,,,,,,,"yeah",,
00:15:38.450,00:15:45.065,00:00:06.615,,,,,,,,,,"so this is basically just six equals k",
00:15:47.469,00:15:48.138,00:00:00.669,,,,,,,,,,"right",
00:15:48.257,00:15:48.587,00:00:00.330,,,,,,,,,"pause filler yeah",,
00:15:49.275,00:15:53.655,00:00:04.380,,,,,,,,,"we don't even need to do that much work for that one because that's like simple simple math",,
00:15:53.805,00:15:53.835,00:00:00.030,,,,,,"UL",,,,,
00:15:53.835,00:15:55.551,00:00:01.716,,,,,,"UL",,,"all right good job",,
00:15:55.551,00:15:55.561,00:00:00.010,,,,,,"UL",,,,,
00:15:56.199,00:15:58.105,00:00:01.906,,,,,,,,,,"thanks",
00:15:58.364,00:16:00.609,00:00:02.245,,,,,,,,,"all right next problem",,
00:16:00.939,00:16:01.527,00:00:00.588,,,,,,,,,"oh whoops",,
00:16:01.707,00:16:02.764,00:00:01.057,,,,,,,,,"I don't want to double-click",,
00:16:02.764,00:16:04.550,00:00:01.786,,,,,,,,,"thank you p keyboard",,
00:16:05.089,00:16:12.482,00:00:07.393,,,,,,,,,"all right this one is easier than it looks",,
00:16:13.460,00:16:16.543,00:00:03.083,,,,,,,,,"all you have to do is divide",,
00:16:17.381,00:16:18.040,00:00:00.659,,,,,,,,,"and then you're done",,
00:16:18.040,00:16:20.883,00:00:02.843,,,,,,,,,,"I think I got it already",
00:16:20.883,00:16:23.118,00:00:02.235,,,,,,,,,"you did",,
00:16:23.308,00:16:24.914,00:00:01.606,,,,,,,,,,"yeah I saw it",
00:16:24.914,00:16:25.952,00:00:01.038,,,,,,,,,,"and then it came to me",
00:16:26.391,00:16:30.880,00:00:04.489,,,,,,,,,,"but I think I'll do the math just in case okay",
00:16:31.130,00:16:36.987,00:00:05.857,,,,,,,,,"yeah because they want you to do the math and stuff like that because they have like cameras all around us and stuff",,
00:16:37.964,00:16:39.232,00:00:01.268,,,,,,,,,,"yeah I don't like camearas",
00:16:39.232,00:16:41.087,00:00:01.855,,,,,,,,,"I know they're scary (sfx)",,
00:16:43.532,00:16:48.421,00:00:04.889,,,,,,,,,,"boy that floor looks really weird",
00:16:48.820,00:16:52.432,00:00:03.612,,,,,,,,,"looks like that's more like Malaysian symbol or something",,
00:16:52.940,00:16:53.290,00:00:00.350,,,,,,,,,,"yeah",
00:16:53.838,00:17:00.194,00:00:06.356,,,,,,,,,,"so yeah it is kind of is five",
00:17:00.533,00:17:00.972,00:00:00.439,,,,,,,,,,"right",
00:17:02.958,00:17:03.367,00:00:00.409,,,,,,,,,"pause filler five",,
00:17:04.255,00:17:07.118,00:00:02.863,,,,,,,,,"pause filler how explain your answer",,
00:17:07.537,00:17:09.612,00:00:02.075,,,,,,,,,,"okay I'll explain it in math",
00:17:12.486,00:17:12.785,00:00:00.299,,,,,,,,,,"got five",
00:17:13.863,00:17:18.353,00:00:04.490,,,,,,,,,,"it doesn't really look like a five",
00:17:18.782,00:17:19.690,00:00:00.908,,,,,,,,,,"so that's twenty",
00:17:19.690,00:17:20.957,00:00:01.267,,,,,,,,,,"so we got zero there",
00:17:21.356,00:17:21.924,00:00:00.568,,,,,,,,,,"no",
00:17:24.010,00:17:25.417,00:00:01.407,,,,,,,,,,"undo that",
00:17:25.746,00:17:25.995,00:00:00.249,,,,,,,,,,"no",
00:17:25.995,00:17:26.285,00:00:00.290,,,,,,,,,,"why",
00:17:26.913,00:17:28.420,00:00:01.507,,,,,,,,,,"I don't want it",
00:17:28.420,00:17:29.717,00:00:01.297,,,,,,,,,,"okay there we go",
00:17:30.076,00:17:31.712,00:00:01.636,,,,,,,,,,"we put the zero there",
00:17:32.061,00:17:35.065,00:00:03.004,,,,,,,,,,"and then five times four is twenty",
00:17:35.065,00:17:39.904,00:00:04.839,,,,,,,,,,"so you have an extra two y two twenty",
00:17:39.944,00:17:41.001,00:00:01.057,,,,,,,,,,"hey it is right",
00:17:42.598,00:17:47.536,00:00:04.938,,,,,,,,,,"I do my math right right",
00:17:48.544,00:17:50.968,00:00:02.424,,,,,,,,,"pause filler hold on",,
00:17:52.176,00:17:52.724,00:00:00.548,,,,,,,,,"pause filler forty-four",,
00:17:52.724,00:17:55.159,00:00:02.435,,,,,,,,,"then we go into that",,
00:17:55.189,00:17:56.286,00:00:01.097,,,,,,,,,"then we go into that",,
00:17:58.372,00:17:59.679,00:00:01.307,,,,,,,,,"yeah you're correct",,
00:17:59.868,00:18:00.377,00:00:00.509,,,,,,,,,,"sweet",
00:18:01.095,00:18:07.052,00:00:05.957,,,,,,,,,"all right so basically what you do is that you'd say x equals five because pause filler the two twenty is gone",,
00:18:07.052,00:18:08.359,00:00:01.307,,,,,,,,,"and then the forty-four is gone",,
00:18:08.359,00:18:11.093,00:00:02.734,,,,,,,,,"so you just have to leave it at five so",,
00:18:11.093,00:18:15.762,00:00:04.669,,,,,,,,,"pause filler all right perfect line",,
00:18:15.762,00:18:17.498,00:00:01.736,,,,,,,,,"all right page five",,
00:18:17.947,00:18:20.890,00:00:02.943,,,,,,,,,"oh I don't want to double-click",,
00:18:22.447,00:18:22.876,00:00:00.429,,,,,,,,,"oh my gosh",,
00:18:22.876,00:18:24.522,00:00:01.646,,,,,,,,,"now it's showing me Adobe Flash Player",,
00:18:24.522,00:18:26.737,00:00:02.215,,,,,,,,,"this isn't an Adobe Flash game",,
00:18:26.737,00:18:28.224,00:00:01.487,,,,,,,,,"and I just closed another room",,
00:18:28.892,00:18:31.666,00:00:02.774,,,,,,,,,"well I don't think that did anything I hope (laughter)",,
00:18:31.866,00:18:35.936,00:00:04.070,,,,,,,,,"all right what's this",,
00:18:37.373,00:18:42.721,00:00:05.348,,,,,,,,,"all right pause filler if you saw that that's just what I'm clarifying pause filler people CMU so",,
00:18:42.721,00:18:50.264,00:00:07.543,,,,,,,,,,"is that are there is that a minus with the thirteen p and forty-one or is that an equal sign",
00:18:51.062,00:18:53.676,00:00:02.614,,,,,,,,,,"for some reason I only see one line",
00:18:55.252,00:18:57.088,00:00:01.836,,,,,,,,,"oh you just have to click the screen again",,
00:18:57.807,00:18:58.136,00:00:00.329,,,,,,,,,,"oh",
00:18:59.602,00:19:02.376,00:00:02.774,,,,,,,,,"oh you see it now",,
