"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 1-1","P1","Experimenter 2-1","P2","Experiment 1",
00:12:47.000,00:12:47.259,00:00:00.259,,,,,,,,,,"pause filler",,"yeah okay so you get x equals pause filler nineteen",,
00:12:47.259,00:12:47.837,00:00:00.578,,,,,,,,,,"pause filler",,,,
00:12:47.837,00:12:48.000,00:00:00.163,,,,,,,,,,"pause filler",,"all right so fifteen equals negative eight plus p",,
00:12:48.000,00:12:57.236,00:00:09.236,,,,,,,,,,,,"all right so fifteen equals negative eight plus p",,
00:12:57.426,00:13:01.047,00:00:03.621,,,,,,,,,,,,"pause filler so you have fifteen",,
00:13:02.315,00:13:03.422,00:00:01.107,,,,,,,,,,,,"and then you add eight",,
00:13:03.422,00:13:06.984,00:00:03.562,,,,,,,,,,,,"because you undo the eights correct okay",,
00:13:07.054,00:13:07.283,00:00:00.229,,,,,,,,,,"yeah",,,,
00:13:08.261,00:13:22.399,00:00:14.138,,,,,,,,,,,,"eight and so the eights cancel out",,
00:13:22.688,00:13:24.105,00:00:01.417,,,,,,,,,,,,"and then you get fifteen plus eight",,
00:13:24.324,00:13:29.832,00:00:05.508,,,,,,,,,,,,"pause filler you get twenty-three",,
00:13:31.159,00:13:31.378,00:00:00.219,,,,,,,,,,"yeah",,,,
00:13:31.688,00:13:44.229,00:00:12.541,,,,,,,,,,,,"equals p okay all right so this problem works the same as everything else",,
00:13:44.898,00:13:45.227,00:00:00.329,,,,,,,,,,"pause filler yeah",,,,
00:13:45.227,00:13:50.834,00:00:05.607,,,,,,,,,,,,"okay so you use thirteen minus eleven",,
00:14:00.901,00:14:05.571,00:00:04.670,,,,,,,,,,,,"seventeen minus eleven is six equals k",,
00:14:16.027,00:14:20.108,00:00:04.081,,,,,,,,,,,,"so for this problem you would divide out the forty-four",,
00:14:20.477,00:14:20.796,00:00:00.319,,,,,,,,,,"yeah",,,,
00:14:20.986,00:14:54.220,00:00:33.234,,,,,,,,,,,,"okay pause filler two twenty divided by forty-four is pause filler forty-five",,
00:14:55.677,00:15:01.324,00:00:05.647,,,,,,,,,,,,"so I have five",,
00:15:01.374,00:15:05.584,00:00:04.210,,,,,,,,,,,,"because twenty two hundred twenty divided by forty-four is five",,
00:15:06.203,00:15:06.542,00:00:00.339,,,,,,,,,,"yeah",,,,
00:15:11.870,00:15:47.479,00:00:35.609,,,,,,,,,,,,"pause filler negative nine plus thirteen p it pause filler fifty",,
00:15:47.938,00:15:48.547,00:00:00.609,,,,,,,,,,"fifty",,,,
00:15:48.826,00:16:15.196,00:00:26.370,,,,,,,,,,,,"yeah so p equals fifty thirteenths pause filler four (inaudible) almost done (inaudible)",,
00:16:22.849,00:16:38.543,00:00:15.694,,,,,,,,,,,,"twenty twenty-four over six over six equals pause filler four okay",,
00:16:48.600,00:17:12.000,00:00:23.400,,,,,,,,,,,,"forty plus (inaudible) forty plus twenty-two is sixty-two",,
00:17:12.000,00:17:13.000,00:00:01.000,,,,,,,,,,"pause filler",,"forty plus (inaudible) forty plus twenty-two is sixty-two",,
00:17:13.000,00:17:13.603,00:00:00.603,,,,,,,,,,,,"forty plus (inaudible) forty plus twenty-two is sixty-two",,
00:17:14.412,00:17:55.668,00:00:41.256,,,,,,,,,,,,"equals pause filler yeah sixty-two fifteenths equals k (inaudible) twenty yeah",,
00:18:13.617,00:18:15.173,00:00:01.556,,,,,,,,,,"yeah that's right",,,,
00:18:15.403,00:18:18.985,00:00:03.582,,,,,,,,,,,,"okay so they pretty much follow the same rules of just going",,
00:18:19.783,00:18:20.122,00:00:00.339,,,,,,,,,,"yeah",,,,
00:18:20.242,00:18:26.208,00:00:05.966,,,,,,,,,,,,"yeah all right so",,
00:18:27.456,00:18:34.120,00:00:06.664,,,,,,,,,,"okay so what you do is you subtract this p",,,,
00:18:34.819,00:18:35.228,00:00:00.409,,,,,,,,,,,,"pause filler okay",,
00:18:35.487,00:18:36.854,00:00:01.367,,,,,,,,,,"pause filler from this p",,,,
00:18:37.084,00:18:39.957,00:00:02.873,,,,,,,,,,,,"okay so you want all the variables on one side",,
00:18:39.957,00:18:53.925,00:00:13.968,,,,,,,,,,,,"and then you get the equation",,
00:18:56.370,00:18:57.577,00:00:01.207,,,,,,,,,,"yeah",,,,
00:18:59.173,00:19:12.064,00:00:12.891,,,,,,,,,,,,"twelve pause filler nope (inaudible) so you get fifteen equals four p",,
00:19:12.932,00:19:16.494,00:00:03.562,,,,,,,,,,"one two p because you're subtracting",,,,
00:19:17.342,00:19:26.491,00:00:09.149,,,,,,,,,,,,"oh okay thank you (inaudible) twelve pause filler three because you subtract twelve",,
00:19:27.230,00:19:35.271,00:00:08.041,,,,,,,,,,,,"and then you get three equals two p or one-point-five equals p",,
00:19:36.798,00:19:37.267,00:00:00.469,,,,,,,,,,"yup",,,,
00:19:42.066,00:19:43.822,00:00:01.756,,,,,,,,,,,,"you get pause filler k",,
00:19:43.822,00:19:48.222,00:00:04.400,,,,,,,,,,,,"you'd subtract the k to get seven k",,
00:19:49.050,00:19:49.240,00:00:00.190,,,,,,,,,,"no",,,,
00:19:50.068,00:19:50.247,00:00:00.179,,,,,,,,,,,,"right",,
00:19:50.247,00:19:53.430,00:00:03.183,,,,,,,,,,"this the eight k would become the seven k",,,,
00:19:53.550,00:19:56.363,00:00:02.813,,,,,,,,,,,,"yeah and that equals ten",,
00:19:57.132,00:19:57.471,00:00:00.339,,,,,,,,,,"yeah",,,,
00:19:57.621,00:20:00.594,00:00:02.973,,,,,,,,,,,,"negative ten negative ten because there's a subtraction sign there",,
00:20:00.993,00:20:03.936,00:00:02.943,,,,,,,,,,,,"then you add the sixty-eight to get",,
00:20:04.695,00:20:09.005,00:00:04.310,,,,,,,,,,,,"pause filler seven k equals seventy-eight",,
00:20:10.412,00:20:17.635,00:00:07.223,,,,,,,,,,,,"and then you get k equals pause filler seventy-eight sevenths",,
00:20:19.471,00:20:22.664,00:00:03.193,,,,,,,,,,,,"pause filler that may or may not be reducible",,
00:20:22.664,00:20:24.579,00:00:01.915,,,,,,,,,,,,"but that is the answer",,
00:20:24.968,00:20:25.348,00:00:00.380,,,,,,,,,,"yeah",,,,
00:20:29.588,00:20:37.430,00:00:07.842,,,,"SV",,"SV1A",,,,,,"okay pause filler do you have any idea where they are",,
00:20:38.228,00:20:38.897,00:00:00.669,,,"SV",,"SV1A",,,,,"nope",,,,
00:20:39.226,00:20:50.012,00:00:10.786,,,,"SV",,"SV1A",,,,,,"okay then pause filler they're somewhere near where I am",,
00:20:57.135,00:21:17.958,00:00:20.823,,,,,,,,,,,"all right so you're going to continue in your same roles",,,
00:21:18.128,00:21:19.844,00:00:01.716,,,,,,,,,,,,"what",,
00:21:22.877,00:21:24.793,00:00:01.916,,,,,,,,,,,"you're going to stay in the same roles",,,
00:21:24.922,00:21:25.062,00:00:00.140,,,,,,,,,,,,"okay",,
00:21:25.142,00:21:27.000,00:00:01.858,,,,,,,,,,,"he's going to be tutoring you",,,
00:21:27.000,00:21:27.666,00:00:00.666,,,,,,,,,,,"pause filler (inaudible)",,,
00:21:27.666,00:21:29.000,00:00:01.334,,,,,,,,,,,"pause filler (inaudible)","okay",,
00:21:29.000,00:21:29.023,00:00:00.023,,,,,,,,,,,,"okay",,
00:21:29.053,00:21:29.841,00:00:00.788,,,,,,,,,,,,"okay",,
00:21:30.110,00:21:32.086,00:00:01.976,,,,,,,,,"so you guys got to the",,,,,
00:21:32.086,00:21:32.146,00:00:00.060,,,,,,,,,,"yeah",,,,
00:21:32.146,00:21:36.067,00:00:03.921,,,,,,,,,"next page okay now was this a new",,,,,
00:21:36.087,00:21:41.235,00:00:05.148,,,,,,,,,"I guess they already moved it for you",,,,,
00:21:42.253,00:21:42.562,00:00:00.309,,,,,,,,,,"yeah",,,,
00:21:43.360,00:21:44.568,00:00:01.208,,,,,,,,,"all right",,,,,
00:21:44.568,00:21:47.032,00:00:02.464,,,,,,,,,,,,"all right so you have pause filler",,
00:21:47.381,00:21:50.384,00:00:03.003,,,,,,,,,,,,"you subtract the r",,
00:21:50.384,00:21:52.619,00:00:02.235,,,,,,,,,,,,"pause filler so you're left with one r",,
00:21:52.619,00:22:00.242,00:00:07.623,,,,,,,,,,,,"so you get negative thirty-three equals pause filler r minus fifteen",,
00:22:00.841,00:22:03.275,00:00:02.434,,,,,,,,,,,,"you add fifteen to both sides",,
00:22:05.041,00:22:16.675,00:00:11.634,,,,,,,,,,,,"so you get pause filler negative thirty-three plus fifteen is negative twenty pause filler eighteen",,
00:22:16.675,00:22:20.636,00:00:03.961,,,,,,,,,,,,"you have eighteen",,
00:22:20.636,00:22:21.164,00:00:00.528,,,,,,,,,,"pause filler yes",,,,
00:22:21.264,00:22:23.599,00:00:02.335,,,,,,,,,,,,"okay so yeah negative eighteen equals r",,
00:22:27.749,00:22:33.796,00:00:06.047,,,,,,,,,,"okay so it's the same thing",,,,
00:22:34.235,00:22:37.557,00:00:03.322,,,,,,,,,,,,"yeah okay so you subtract u",,
00:22:37.886,00:22:47.435,00:00:09.549,,,,,,,,,,,,"and you get negative forty-two equals eight plus three u",,
00:22:47.435,00:22:53.680,00:00:06.245,,,,,,,,,,,,"and then you get equals then you get",,
00:22:53.680,00:22:56.255,00:00:02.575,,,,,,,,,,,,"then you subtract the eight",,
00:22:57.043,00:22:59.168,00:00:02.125,,,,,,,,,,,,"so you get negative fifty",,
00:23:00.774,00:23:04.666,00:00:03.892,,,,,,,,,,,,"fifty equals three u",,
00:23:04.666,00:23:06.771,00:00:02.105,,,,,,,,,,,,"and you get pause filler",,
00:23:06.771,00:23:08.437,00:00:01.666,,,,,,,,,,,,"you divide by three",,
00:23:08.437,00:23:25.418,00:00:16.981,,,,,,,,,,,,"and you get negative fifty thirds equals u okay pause filler just larger numbers (laughs) all right",,
00:23:25.418,00:23:26.466,00:00:01.048,,,,,,,,,,,,"so you subtract the n",,
00:23:26.715,00:23:28.172,00:00:01.457,,,,,,,,,,,,"you get ninety-nine n",,
00:23:28.172,00:23:39.397,00:00:11.225,,,,,,,,,,,,"so you get one hundred six equals pause filler ninety-nine n plus seven n seven",,
00:23:40.883,00:23:42.978,00:00:02.095,,,,,,,,,,,,"and you subtract seven",,
00:23:42.978,00:23:47.139,00:00:04.161,,,,,,,,,,,,"and you get ninety-nine n equals ninety nine",,
00:23:50.102,00:24:00.189,00:00:10.087,,,,,,,,,,,,"so you get n equals one one all right pause filler",,
00:24:00.319,00:24:04.949,00:00:04.630,,,,,,,,,,,,"okay so subtract g",,
00:24:05.807,00:24:06.944,00:00:01.137,,,,,,,,,,,,"subtract g",,
00:24:06.944,00:24:15.000,00:00:08.056,,,,,,,,,,,,"you get fifty-five equals seven plus twelve g",,
00:24:15.000,00:24:15.754,00:00:00.754,,,,,,,,,,"pause filler",,"you get fifty-five equals seven plus twelve g",,
00:24:15.754,00:24:15.993,00:00:00.239,,,,,,,,,,"pause filler",,,,
00:24:15.993,00:24:16.000,00:00:00.007,,,,,,,,,,"pause filler",,"because you're subtracting",,
00:24:16.000,00:24:16.871,00:00:00.871,,,,,,,,,,,,"because you're subtracting",,
00:24:17.510,00:24:22.349,00:00:04.839,,,,,,,,,,,,"and then pause filler you subtract the seven",,
00:24:22.349,00:24:26.520,00:00:04.171,,,,,,,,,,,,"you get get rid of that pause filler",,
00:24:27.058,00:24:32.466,00:00:05.408,,,,,,,,,,,,"fifty-five minus seven is forty-eight equals twelve g",,
00:24:33.005,00:24:36.936,00:00:03.931,,,,,,,,,,,,"pause filler you divide by twelve",,
00:24:37.026,00:24:40.129,00:00:03.103,,,,,,,,,,,,"you get four equals g",,
00:24:41.765,00:24:41.885,00:00:00.120,,,,,,,,,,"good",,,,
00:24:41.885,00:24:48.539,00:00:06.654,,,,,,,,,,,,"okay negative eleven plus y equals twenty-four plus eight y",,
00:24:48.899,00:24:53.648,00:00:04.749,,,,,,,,,,,,"subtract y good enough",,
00:24:54.925,00:25:04.633,00:00:09.708,,,,,,,,,,,,"negative eleven equals pause filler twenty-four pause filler plus plus seven y",,
00:25:04.633,00:25:08.734,00:00:04.101,,,,,,,,,,,,"pause filler you subtract the twenty-four",,
00:25:09.173,00:25:15.618,00:00:06.445,,,,,,,,,,,,"you get negative thirty-five equals seven y",,
00:25:18.332,00:25:19.479,00:00:01.147,,,,,,,,,,,,"and so you divide",,
00:25:19.599,00:25:22.003,00:00:02.404,,,,,,,,,,,,"you get pause filler seven",,
00:25:22.003,00:25:29.327,00:00:07.324,,,,,,,,,,,,"pause filler you get negative negative five (inaudible) equals pause filler yeah y",,
00:25:29.327,00:25:31.023,00:00:01.696,,,,,,,,,,,,"there we go okay so pause filler",,
00:25:32.071,00:25:35.393,00:00:03.322,,,,,,,,,,,,"it's just the same principle",,
00:25:36.211,00:25:38.735,00:00:02.524,,,,,,,,,,,,"you subtract all the ds",,
00:25:39.224,00:25:40.172,00:00:00.948,,,,,,,,,,,,"you subtract them",,
00:25:40.172,00:25:41.689,00:00:01.517,,,,,,,,,,"you could do the",,,,
00:25:42.217,00:25:52.225,00:00:10.008,,,,,,,,,,"if you do the twenty-eight if you subtract the twenty-eight then you'll end up with a positive d",,,,
00:25:52.574,00:25:53.641,00:00:01.067,,,,,,,,,,,,"pause filler yeah it would be",,
00:25:53.971,00:25:54.929,00:00:00.958,,,,,,,,,,,,"it would be a nicer number",,
00:25:54.929,00:25:56.236,00:00:01.307,,,,,,,,,,,,"so you subtract the twenty-eight",,
00:25:56.415,00:26:03.469,00:00:07.054,,,,,,,,,,,,"pause filler you get fifty-three minus twenty-eight which is pause filler fifty minus twenty-five",,
00:26:04.217,00:26:14.724,00:00:10.507,,,,,,,,,,,,"so you have twenty-five d plus seventy equals equals nineteen",,
00:26:15.572,00:26:18.844,00:00:03.272,,,,,,,,,,,,"subtract seventy seventy",,
00:26:18.844,00:26:22.735,00:00:03.891,,,,,,,,,,,,"pause filler you subtract the seventy",,
00:26:22.995,00:26:25.918,00:00:02.923,,,,,,,,,,,,"you get twenty-five",,
00:26:26.706,00:26:39.178,00:00:12.472,,,,,,,,,,,,"twenty-five equals pause filler nineteen minus seventy is pause filler nine minus sixty is fifty-one",,
00:26:39.986,00:26:43.907,00:00:03.921,,,,,,,,,,,,"negative fifty-one that seems about",,
00:26:43.907,00:26:44.895,00:00:00.988,,,,,,,,,,"yes",,,,
00:26:44.895,00:26:45.753,00:00:00.858,,,,,,,,,,,,"that seems about right",,
00:26:45.753,00:26:49.145,00:00:03.392,,,,,,,,,,,,"you divide by twenty-five forgot the variable there",,
00:26:49.515,00:27:01.797,00:00:12.282,,,,,,,,,,,,"you get d equals pause filler fifty-one twenty-fifths okay",,
00:27:03.692,00:27:06.000,00:00:02.308,,,,,,,,,,,,"pause filler it's probably easier to do if you subtract the nine",,
00:27:06.000,00:27:07.000,00:00:01.000,,,,,,,,,,"(sfx)",,"pause filler it's probably easier to do if you subtract the nine",,
00:27:07.000,00:27:09.828,00:00:02.828,,,,,,,,,,,,"pause filler it's probably easier to do if you subtract the nine",,
00:27:09.828,00:27:13.161,00:00:03.333,,,,,,,,,,,,"pause filler x nine x there we go",,
00:27:13.161,00:27:14.188,00:00:01.027,,,,,,,,,,,,"pause filler you subtract the nine x",,
00:27:14.188,00:27:28.356,00:00:14.168,,,,,,,,,,,,"you get one hundred two equals fifty-three pause filler plus ten x pause filler so",,
00:27:28.356,00:27:39.471,00:00:11.115,,,,,,,,,,,,"pause filler one hundred two minus fifty-three is fifty-two minus three is forty-nine equals ten x",,
00:27:40.050,00:27:53.399,00:00:13.349,,,,,,,,,,,,"so you get pause filler forty four-point-nine equals x okay pause filler thirteen y plus twenty-seven pause filler",,
00:27:53.459,00:27:55.754,00:00:02.295,,,,,,,,,,,,"it's easier to just subtract that y",,
00:27:56.452,00:28:07.577,00:00:11.125,,,,,,,,,,,,"so you get twelve y plus twenty-seven equals negative seventy-three",,
00:28:09.652,00:28:11.608,00:00:01.956,,,,,,,,,,,,"so you subtract the twenty-seven",,
00:28:12.845,00:28:24.000,00:00:11.155,,,,,,,,,,,,"you get twelve y equals pause filler twenty-seven negative seventy-three a hundred negative one hundred",,
00:28:24.000,00:28:25.000,00:00:01.000,,,,,,,,,,"pause filler",,"you get twelve y equals pause filler twenty-seven negative seventy-three a hundred negative one hundred",,
00:28:25.000,00:28:25.756,00:00:00.756,,,,,,,,,,,,"you get twelve y equals pause filler twenty-seven negative seventy-three a hundred negative one hundred",,
00:28:26.255,00:28:37.010,00:00:10.755,,,,,,,,,,,,"okay and negative one hundred twelfths or y equals negative pause filler twenty-five thirds",,
00:28:38.138,00:28:45.730,00:00:07.592,,,,,,,,,,,,"because you can reduce it okay pause filler a hundred okay",,
00:28:45.730,00:28:47.846,00:00:02.116,,,,,,,,,,,,"so you subtract the five p",,
00:28:48.594,00:28:57.933,00:00:09.339,,,,,,,,,,,,"so you get one hundred equals pause filler twenty p plus fifty",,
00:28:59.240,00:29:00.287,00:00:01.047,,,,,,,,,,,,"subtract the fifty",,
00:29:00.287,00:29:05.675,00:00:05.388,,,,,,,,,,,,"you get fifty equals twenty p",,
00:29:05.675,00:29:07.621,00:00:01.946,,,,,,,,,,,,"pause filler you divide by twenty",,
00:29:07.621,00:29:13.228,00:00:05.607,,,,,,,,,,,,"you get five halves equals p",,
00:29:18.805,00:29:19.234,00:00:00.429,,,,,,,,,,,,"that's it",,
00:29:19.234,00:29:20.711,00:00:01.477,,,,,,,,,,"I guess so",,,,
00:29:20.711,00:29:27.426,00:00:06.715,,,,"SV",,"SV1A",,,,,,"okay then pause filler I'll go find the people",,
00:29:27.426,00:29:28.134,00:00:00.708,,,"SV",,"SV1A",,,,,"all right",,,,
00:29:28.134,00:29:31.945,00:00:03.811,,,,,,,,,"hey all right pause filler so",,,,,
00:29:32.175,00:29:32.374,00:00:00.199,,,,,,,,,,,,"okay",,
00:29:32.773,00:29:34.799,00:00:02.026,,,,,,,,,,,,,"now we're going to have pause filler",
00:29:35.078,00:29:35.876,00:00:00.798,,,,,,,,,,,,"okay all right",,
00:29:36.016,00:29:41.454,00:00:05.438,,,,,,,,,,,"that's the end of the first tutoring (inaudible)",,,
00:29:41.544,00:30:14.459,00:00:32.915,,,,,,,,,"sorry we're gonna switch and have them they are gonna tutor you now",,,,,
00:30:15.446,00:30:16.215,00:00:00.769,,,,,,,,,,"okay",,,,
00:30:16.215,00:30:32.139,00:00:15.924,,,,,,,,,"so before you start with any math problems I'm gonna set something up on our end",,,,,
00:30:32.558,00:30:34.693,00:00:02.135,,,,,,,,,"pause filler you can have this snack",,,,,
00:30:34.693,00:30:41.747,00:00:07.054,,,,,,,,,"and just chat with them for a little while pause filler",,,,,
00:30:41.846,00:30:42.006,00:00:00.160,,,,,,,,,,,,"oh",,
00:30:42.006,00:31:00.354,00:00:18.348,,,,,,,,,"and pause filler yeah so you can put your headphones back on",,,,,
00:31:00.354,00:31:03.058,00:00:02.704,,,,,,,,,"put your headphones on",,,,,
00:31:03.058,00:31:09.524,00:00:06.466,,,,,,,,,"and I'll be back in a minute",,,,,
00:31:10.451,00:31:17.495,00:00:07.044,,,,,,,,,"oh and can I have that worksheet",,,,,
00:31:17.765,00:31:18.483,00:00:00.718,,,,,,,,,,,,"okay",,
00:31:19.232,00:31:27.563,00:00:08.331,,,,,,,,,"thank you all right",,,,,
00:31:27.962,00:31:32.601,00:00:04.639,,,,,,,,,,,,"that's great free candy",,
00:31:32.621,00:31:41.900,00:00:09.279,,,,,,,,,,"it's even better when you're in a game design lab",,,,
00:31:42.199,00:31:45.482,00:00:03.283,,,,,,,,,,,,"you've got a good point",,
00:31:49.672,00:31:51.299,00:00:01.627,,,,,,,,,,,,"are you in a game design room",,
00:31:51.668,00:31:51.837,00:00:00.169,,,,,,,,,,"yup",,,,
00:31:52.227,00:31:54.441,00:00:02.214,,,,,,,,,,,,"oh I'm just sitting in some conference room",,
00:31:54.701,00:31:56.527,00:00:01.826,,,,,,,,,,,,"they have a lot of magnets on a fridge",,
00:31:58.682,00:32:00.637,00:00:01.955,,,,,,,,,,"mine has a kitchenette",,,,
00:32:01.017,00:32:01.386,00:00:00.369,,,,,,,,,,,,"really",,
00:32:01.675,00:32:02.274,00:00:00.599,,,,,,,,,,"yup",,,,
00:32:02.393,00:32:07.183,00:00:04.790,,,,,,,,,,,,"it has pause filler has a fridge sink coffee microwave toaster",,
00:32:07.502,00:32:14.007,00:00:06.505,,,,,,,,,,"mine has a giant Samsung TV",,,,
00:32:15.314,00:32:17.320,00:00:02.006,,,,,,,,,,,,"oh that's cool yeah",,
00:32:17.419,00:32:21.640,00:00:04.221,,,,,,,,,,,,"mine just has projectors and and a white board",,
00:33:13.781,00:33:26.053,00:00:12.272,,,,,,,,,,,,"so my math class pause filler my math teacher who works at the high school pause filler",,
00:33:27.041,00:33:29.056,00:00:02.015,,,,,,,,,,,,"so they just renovated our high school",,
00:33:29.056,00:33:30.024,00:00:00.968,,,,,,,,,,,,"I go to Mount Lebanon",,
00:33:30.344,00:33:36.001,00:00:05.657,,,,,,,,,,,,"and so his desk has punched through the tile before the first year of the high school",,
00:33:36.599,00:33:37.487,00:00:00.888,,,,,,,,,,"oh my gosh",,,,
00:33:38.136,00:33:41.438,00:00:03.302,,,,,,,,,,,,"because they decided to buy cheap tiles instead of like good tile",,
00:33:42.586,00:33:47.724,00:00:05.138,,,,,,,,,,"yeah at my school it's like over fifty years old",,,,
00:33:47.724,00:33:56.863,00:00:09.139,,,,,,,,,,"and there's only single-paned windows and I swear there's no insulation",,,,
00:33:58.759,00:33:58.789,00:00:00.030,,,,,,,,,,,,"oh",,
00:33:58.789,00:33:59.647,00:00:00.858,,,,,,,,,,"it's awful",,,,
00:33:59.647,00:34:02.600,00:00:02.953,,,,,,,,,,,,"pause filler oh they've also had this strange bus problem",,
00:34:03.129,00:34:06.861,00:00:03.732,,,,,,,,,,,,"so they have to bus a handful of kids every day",,
00:34:07.629,00:34:11.370,00:00:03.741,,,,,,,,,,,,"and so the first day they had to bus like kids for between schools",,
00:34:11.470,00:34:16.598,00:00:05.128,,,,,,,,,,,,"so they sent a tiny bus for an entire classroom of kids",,
00:34:17.037,00:34:18.793,00:00:01.756,,,,,,,,,,,,"they couldn't fit everybody on the bus",,
00:34:19.362,00:34:22.685,00:00:03.323,,,,,,,,,,"that's that is like a bad idea",,,,
00:34:24.071,00:34:31.515,00:00:07.444,,,,,,,,,,,,"and then those same kids pause filler in the bus situation with those kids just got worse",,
00:34:31.515,00:34:40.175,00:00:08.660,,,,,,,,,,"(sfx) wow yeah my one friend has like an old lady bus driver named Barb",,,,
