"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P1","PP_P2","Experimenter 2","Experimenter","P1","P2",
00:14:18.800,00:14:21.900,00:00:03.100,,,"SV",,"SV1A",,,,,,"oh I'm so stupid",,
00:14:22.200,00:14:22.800,00:00:00.600,,,,"SV",,"SV1A",,,,,,"what",
00:14:22.900,00:14:24.700,00:00:01.800,,,"SV",,"SV1A",,,,,,"nothing I can't tell you",,
00:14:24.700,00:14:27.600,00:00:02.900,,,,"SV",,"SV1A",,,,,,"you can't tell me",
00:14:29.300,00:14:30.900,00:00:01.600,,,,,,,,,,,,"forty-two over eight",
00:14:31.100,00:14:32.700,00:00:01.600,,,,,,,,,,,,"that's a great forty-two",
00:14:35.800,00:14:39.600,00:00:03.800,,,,,,,,,,,,"actually that's a terrible forty-two pause filler okay",
00:14:39.800,00:14:45.400,00:00:05.600,,,,"SV",,"SV1A",,,,,,"are you in the purple room",
00:14:46.700,00:14:47.800,00:00:01.100,,,"SV",,"SV1A",,,,,,"what purple room",,
00:14:47.800,00:14:49.600,00:00:01.800,,,,"SV",,"SV1A",,,,,,"is your what color is your room",
00:14:49.600,00:14:50.200,00:00:00.600,,,"SV",,"SV1A",,,,,,"blue",,
00:14:52.700,00:14:54.600,00:00:01.900,,,,"SV",,"SV1A",,,,,,"mine is mint green",
00:14:55.600,00:14:58.200,00:00:02.600,,,,"SV",,"SV1A",,,,,,"see I was just in a purple room and then they moved me",
00:14:58.500,00:14:59.700,00:00:01.200,,,,"SV",,"SV1A",,,,,,"I think it's purple",
00:14:59.700,00:15:02.600,00:00:02.900,,,"SV",,"SV1A",,,,,,"it's actually blue",,
00:15:02.600,00:15:07.000,00:00:04.400,,,,"SV",,"SV1A",,,,,,"oh oh maybe I was in the I don't know okay so forty-two",
00:15:07.000,00:15:11.600,00:00:04.600,,,"SV",,"SV1A",,,,,,"no you were in this room right with the poster with Peter",,
00:15:11.600,00:15:13.200,00:00:01.600,,,,"SV",,"SV1A",,,,,,"is there a TV in there",
00:15:13.800,00:15:14.600,00:00:00.800,,,"SV",,"SV1A",,,,,,"yeah a big one",,
00:15:15.100,00:15:15.500,00:00:00.400,,,,"SV",,"SV1A",,,,,,"yeah",
00:15:15.900,00:15:16.100,00:00:00.200,,,"SV",,"SV1A",,,,,,"yeah",,
00:15:16.600,00:15:17.300,00:00:00.700,,,,"SV",,"SV1A",,,,,,"it's blue",
00:15:18.100,00:15:19.700,00:00:01.600,,,,"SV",,"SV1A",,,,,,"oh okay",
00:15:20.400,00:15:29.600,00:00:09.200,,,,,,,,,,,,"well so now you have to get forty-two over eight equal nine over sixty-four times k",
00:15:29.600,00:15:31.700,00:00:02.100,,,,,,,,,,,,"and what do we do next",
00:15:31.700,00:15:33.500,00:00:01.800,,,,,,,,,,,,"what does it say on the like",
00:15:33.700,00:15:35.700,00:00:02.000,,,,,,,,,,,,"what's the next part of the equation thing",
00:15:38.400,00:15:39.500,00:00:01.100,,,,,,,,,,,"that's the answer",,
00:15:40.800,00:15:42.900,00:00:02.100,,,,,,,,,,,,"really well what do you do with the nine",
00:15:42.900,00:15:44.300,00:00:01.400,,,,,,,,,,,,"like do you have to get k",
00:15:44.300,00:15:47.400,00:00:03.100,,,,,,,,,,,,"is k alone like this k on its own",
00:15:47.400,00:15:49.300,00:00:01.900,,,,,,,,,,,,"or is there anything next to k",
00:15:50.800,00:15:52.700,00:00:01.900,,,"SV",,"SV2A",,,,,,"it's right here sweetheart (laughter)",,
00:15:53.000,00:15:58.500,00:00:05.500,,,,,,,,,,,,"what do you mean",
00:15:59.300,00:15:59.700,00:00:00.400,,,,,,,,,,,,"wait",
00:16:00.100,00:16:01.900,00:00:01.800,,,,,,,,,,,"nothing is right byk",,
00:16:02.000,00:16:17.300,00:00:15.300,,,,,,,,,,,,"no because there's nine over sixty-four right next to k right here see",
00:16:18.400,00:16:23.200,00:00:04.800,,,,,,,,,,,"oh sorry I got this completely wrong okay so",,
00:16:28.700,00:16:29.700,00:00:01.000,,,,,,,,,,,"what",,
00:16:31.200,00:16:33.500,00:00:02.300,,,"SV",,"SV1A",,,,,,"I did it again",,
00:16:33.500,00:16:35.700,00:00:02.200,,,,"SV",,"SV1A",,,,,,"what did you do",
00:16:36.000,00:16:36.900,00:00:00.900,,,"SV",,"SV1A",,,,,,"I erased it",,
00:16:37.900,00:16:40.400,00:00:02.500,,,,"SV",,"SV1A",,,,,,"what did you erase",
00:16:40.800,00:16:43.100,00:00:02.300,,,"SV",,"SV1A",,,,,,"the problem",,
00:16:43.500,00:16:43.600,00:00:00.100,,,,"SV",,"SV1A",,,,,,"oh oh",
00:16:43.600,00:16:43.800,00:00:00.200,,,,"SV",,"SV1A",,,,,,"oh no",
00:16:43.800,00:16:44.300,00:00:00.500,,,,"SV",,"SV1A",,,,,,"don't do that",
00:16:46.700,00:17:08.400,00:00:21.700,,,"SV",,"SV1A",,,,,,"what just happened",,
00:17:09.800,00:17:10.600,00:00:00.800,,,,"SV",,"SV1A",,,,,,"I have no idea",
00:17:15.300,00:17:15.499,00:00:00.199,,,"SV",,"SV1A",,,,,,"oh",,
00:17:15.499,00:17:15.500,00:00:00.001,"TRC",,"SV",,"SV1A",,,,,,"oh",,
00:17:15.500,00:17:22.000,00:00:06.500,"TRC",,,"SV",,"SV1A",,,,,,"are you just going back",
00:17:22.000,00:17:22.012,00:00:00.012,"TRC",,,,,,,,,,,,
00:17:25.184,00:17:25.200,00:00:00.016,"TRC",,,,,,,,,,,,
00:17:25.200,00:17:28.400,00:00:03.200,"TRC",,,"SV",,"SV1A",,,,,,"okay starting fresh",
00:17:28.400,00:17:28.424,00:00:00.024,"TRC",,,,,,,,,,,,
00:17:34.200,00:17:37.200,00:00:03.000,,,,"SV",,"SV1A",,,,,,"this is like relaxing let's just go back so",
00:17:37.300,00:17:37.900,00:00:00.600,,,"SV",,"SV1A",,,,,,"yeah",,
00:17:39.600,00:17:51.700,00:00:12.100,,,,,,,,,,,"okay so first you have to do fourteen over one times eight over three",,
00:17:52.200,00:17:53.900,00:00:01.700,,,,,,,,,,,,"do you mean three over eight",
00:17:54.400,00:17:56.100,00:00:01.700,,,,,,,,,,,"nope eight over three",,
00:17:56.600,00:17:58.200,00:00:01.600,,,,,,,,,,,,"why are you searching the fraction",
00:17:58.800,00:18:00.900,00:00:02.100,,,,,,,,,,,"it just told me to do that",,
00:18:02.100,00:18:02.700,00:00:00.600,,,,,,,,,,,,"really",
00:18:03.000,00:18:03.900,00:00:00.900,,,,,,,,,,,"yes",,
00:18:03.900,00:18:04.000,00:00:00.100,,,,,,,,,,,,"there",
00:18:04.000,00:18:08.300,00:00:04.300,,,"SV",,"SV1A",,,,,,"you can just use this",,
00:18:09.300,00:18:11.500,00:00:02.200,,,,"SV",,"SV1A",,,,,,"what (laughter)",
00:18:13.600,00:18:18.300,00:00:04.700,,,,,,,,,,,"what's this times that",,
00:18:18.300,00:18:18.400,00:00:00.100,,,,,,,,,,,,"okay",
00:18:18.400,00:18:20.700,00:00:02.300,,,,,,,,,,,,"what's fourteen time wait",
00:18:20.700,00:18:21.700,00:00:01.000,,,,"SV",,"SV1A",,,,,,"why are you switching it though",
00:18:22.600,00:18:25.000,00:00:02.400,,,"SV",,"SV1A",,,,,,"it says it tells me to do that",,
00:18:25.000,00:18:30.500,00:00:05.500,,,"SV",,"SV1A",,,,,,"I have no idea",,
00:18:31.400,00:18:36.100,00:00:04.700,,,,,,,,,,,,"pause filler the last time didn't we do three over pause filler didn't we multiply each side by three over eight",
00:18:41.100,00:18:47.000,00:00:05.900,,,,,,,,,,,"okay so let's go back to the first problem",,
00:18:47.000,00:18:49.000,00:00:02.000,,,,,,,,,,,"okay so we did this wrong sorry",,
00:18:49.800,00:18:52.500,00:00:02.700,,,,,,,,,,,"we're supposed to do seven over three",,
00:18:53.300,00:18:53.900,00:00:00.600,,,,,,,,,,,,"really",
00:18:54.800,00:19:04.500,00:00:09.700,,,,,,,,,,,"so this is three and seven time forty is two eighty",,
00:19:05.500,00:19:10.900,00:00:05.400,,,,,,,,,,,,"yeah so two eighty over three equals",
00:19:12.000,00:19:12.300,00:00:00.300,,,,,,,,,,,,"pause filler wait",
00:19:12.500,00:19:15.200,00:00:02.700,,,,,,,,,,,"wait no that's the answer",,
00:19:15.200,00:19:19.900,00:00:04.700,,,,,,,,,,,,"wait is it pause filler",
00:19:20.000,00:19:28.600,00:00:08.600,,,,,,,,,,,,"is it not a thing when you like switch it around the no",
00:19:28.700,00:19:30.800,00:00:02.100,,,,,,,,,,,"it's an improper fraction",,
00:19:31.100,00:19:34.400,00:00:03.300,,,,,,,,,,,,"no like when you do three over seven times seven over three",
00:19:34.400,00:19:37.300,00:00:02.900,,,,,,,,,,,,"isn't that like a don't be like cancel out",
00:19:37.300,00:19:37.700,00:00:00.400,,,,,,,,,,,,"(laughter)",
00:19:37.700,00:19:39.600,00:00:01.900,,,,,,,,,,,,"what's it called",
00:19:40.100,00:19:44.600,00:00:04.500,,,,,,,,,,,"oh yeah you do cancel out",,
00:19:44.600,00:19:46.200,00:00:01.600,,,,,,,,,,,,"reciprocals is that what it's called",
00:19:46.200,00:19:47.100,00:00:00.900,,,,,,,,,,,,"I don't know",
00:19:47.400,00:19:53.900,00:00:06.500,,,,,,,,,,,,"but do they cancel this three when you do over three over seven time seven over three",
00:19:53.900,00:19:54.600,00:00:00.700,,,"SV",,"SV1A",,,,,,"this is no more",,
00:19:55.300,00:19:56.000,00:00:00.700,,,,"SV",,"SV1A",,,,,,"bye",
00:19:56.000,00:19:58.100,00:00:02.100,,,"SV",,"SV1A",,,,,,"see you later",,
00:19:58.300,00:20:03.200,00:00:04.900,,,,,,,,,,,,"wait okay so then so then we have to do two eighty divide",
00:20:03.200,00:20:05.000,00:00:01.800,,,,,,,,,,,,"or should we just keep the fraction",
00:20:05.400,00:20:08.200,00:00:02.800,,,,,,,,,,,,"or do we have to divide it",
00:20:08.200,00:20:09.800,00:00:01.600,,,,,,,,,,,"we leave that because it's done",,
00:20:10.800,00:20:15.700,00:00:04.900,,,,,,,,,,,,"so it's s equals two hundred eighty over three all right",
00:20:16.400,00:20:16.500,00:00:00.100,,,,,,,,,,,"that's it",,
00:20:16.500,00:20:19.893,00:00:03.393,,,,,,,,,,,,"okay now let's redo the next one",
00:20:19.893,00:20:19.900,00:00:00.007,"TRC",,,,,,,,,,,"okay now let's redo the next one",
00:20:19.900,00:20:23.099,00:00:03.199,"TRC",,,"SV",,"SV1A",,,,,,"last time was so much easier than this",
00:20:23.099,00:20:23.100,00:00:00.001,"TRC",,,"SV",,"SV1A",,,,,,"last time was so much easier than this",
00:20:23.100,00:20:25.000,00:00:01.900,"TRC",,,"SV",,"SV1A",,,,,,"do you remember",
00:20:25.000,00:20:25.023,00:00:00.023,"TRC",,,,,,,,,,,,
00:20:25.800,00:20:30.700,00:00:04.900,,,"SV",,"SV1A",,,,,,"okay so I have in my ears pierced",,
00:20:30.700,00:20:32.700,00:00:02.000,,,"SV",,"SV1A",,,,,,"but I never put any earrings",,
00:20:32.700,00:20:37.000,00:00:04.300,,,,"SV",,"SV1A",,,,,,"oh like it feels weird when you put on headphones",
00:20:37.000,00:20:38.500,00:00:01.500,,,,"SV",,"SV1A",,,,,,"and like you have earrings",
00:20:38.500,00:20:39.900,00:00:01.400,,,,"SV",,"SV1A",,,,,,"and like I only wear like studs",
00:20:39.900,00:20:44.700,00:00:04.800,,,,,,,,,,,,"but okay fourteen over one times eight over three",
00:20:44.700,00:20:50.200,00:00:05.500,,,,,,,,,,,,"and then three over times eight over three would cancel out right",
00:20:50.200,00:20:51.200,00:00:01.000,,,,,,,,,,,"one twenty over three",,
00:20:51.600,00:20:57.200,00:00:05.600,,,,,,,,,,,"wait one eleven what one one two one hundred twelve sorry",,
00:20:57.400,00:21:02.500,00:00:05.100,,,,,,,,,,,,"one one oh (inaudible)",
00:21:02.500,00:21:04.700,00:00:02.200,,,,,,,,,,,"okay and over three",,
00:21:04.700,00:21:06.500,00:00:01.800,,,"SV",,"SV1A",,,,,,"ooh that's a nice three",,
00:21:06.500,00:21:09.800,00:00:03.300,,,,"SV",,"SV1A",,,,,,"I don't even know what this is down here",
00:21:11.000,00:21:11.400,00:00:00.400,,,,"SV",,"SV1A",,,,,,"what did I do",
00:21:11.400,00:21:16.800,00:00:05.400,,,,"SV",,"SV1A",,,,,,"it's like a heart by looking at it",
00:21:17.000,00:21:19.200,00:00:02.200,,,"SV",,"SV1A",,,,,,"I don't no idea okay",,
00:21:20.900,00:21:21.100,00:00:00.200,,,,,,,,,,,,"okay",
00:21:21.500,00:21:22.600,00:00:01.100,,,,,,,,,,,"that's the answer",,
00:21:23.600,00:21:25.900,00:00:02.300,,,,,,,,,,,,"one hundred twelve over three equalsk",
00:21:25.900,00:21:29.300,00:00:03.400,,,,,,,,,,,"but we have to do this wait",,
00:21:31.600,00:21:33.900,00:00:02.300,,,,,,,,,,,,"what",
00:21:36.200,00:21:39.000,00:00:02.800,,,"SV",,"SV1A",,,,,,"what are you doing",,
00:21:39.000,00:21:39.500,00:00:00.500,,,,"SV",,"SV1A",,,,,,"(laughter) it's a fancyk",
00:21:39.900,00:21:45.600,00:00:05.700,,,"SV",,"SV1A",,,,,,"this is slow today",,
00:21:46.700,00:21:51.000,00:00:04.300,,,,"SV",,"SV1A",,,,,,"oh yeah like how like a second later it kind of like yeah",
00:21:51.000,00:21:54.300,00:00:03.300,,,,"SV",,"SV1A",,,,,,"oh my gosh okay",
00:21:54.500,00:21:55.900,00:00:01.400,,,,,,,,,,,,"so should we go to the next one",
00:21:56.275,00:21:56.300,00:00:00.025,"00",,,,,,,,,,,,
00:21:56.300,00:21:57.300,00:00:01.000,"00",,"SV",,"SV1A",,,,,,"that's a fancy k",,
00:21:57.300,00:21:57.321,00:00:00.021,"00",,,,,,,,,,,,
00:21:57.400,00:22:02.100,00:00:04.700,,,"SV",,"SV1A",,,,,,"I have no idea what it is I actually",,
00:22:02.100,00:22:05.600,00:00:03.500,,,,,,,,,,,,"oh (laughter) is this the next one",
00:22:05.691,00:22:05.700,00:00:00.009,"TRC",,,,,,,,,,,,
00:22:05.700,00:22:07.000,00:00:01.300,"TRC",,,"SV",,"SV1A",,,,,,"oh gosh this one looks harder",
00:22:07.000,00:22:07.007,00:00:00.007,"TRC",,,,,,,,,,,,
00:22:07.200,00:22:08.500,00:00:01.300,,,,,,,,,,,,"wait I know what we do",
00:22:08.500,00:22:09.200,00:00:00.700,,,,,,,,,,,,"I know what we do",
00:22:09.200,00:22:09.700,00:00:00.500,,,,,,,,,,,,"you add eighteen",
00:22:09.700,00:22:10.400,00:00:00.700,,,,,,,,,,,"are you sure",,
00:22:10.400,00:22:11.900,00:00:01.500,,,,,,,,,,,,"you add eighteen to each side",
00:22:12.500,00:22:12.900,00:00:00.400,,,,,,,,,,,"wait",,
00:22:13.400,00:22:17.700,00:00:04.300,,,,,,,,,,,,"mm-hmm because then you cancel out eighteen on this side",
00:22:18.300,00:22:19.900,00:00:01.600,,,,,,,,,,,,"and you just make the other side bigger",
00:22:21.800,00:22:26.200,00:00:04.400,,,,,,,,,,,,"okay I'm just going to like okay what's fifty-two plus eighteen",
00:22:26.200,00:22:29.100,00:00:02.900,,,,,,,,,,,,"it is seventy right",
00:22:30.500,00:22:38.500,00:00:08.000,,,,,,,,,,,,"yeah seventy it's seventy equals ew equals (laughter)",
00:22:38.500,00:22:43.000,00:00:04.500,,,,,,,,,,,,"and then since you added eighteen to the negative eighteen",
00:22:43.300,00:22:45.500,00:00:02.200,,,,,,,,,,,,"it's then just negative two y",
00:22:45.500,00:22:48.000,00:00:02.500,,,,,,,,,,,,"it's negative two over three y (laughter)",
00:22:49.300,00:22:54.700,00:00:05.400,,,,"SV",,"SV1A",,,,,,"you have a big question mark (laughter)",
00:22:54.700,00:22:59.200,00:00:04.500,,,,,,,,,,,,"so you got that",
00:22:59.900,00:23:02.900,00:00:03.000,,,,,,,,,,,"yes but that's not all the answers though",,
00:23:03.000,00:23:03.900,00:00:00.900,,,,,,,,,,,,"well I know that",
00:23:03.900,00:23:05.000,00:00:01.100,,,,,,,,,,,,"I know that's not the answer",
00:23:05.100,00:23:07.200,00:00:02.100,,,,,,,,,,,,"but then do we do three over negative pause filler",
00:23:07.279,00:23:07.300,00:00:00.021,"TRC",,,,,,,,,,,,
00:23:07.300,00:23:10.400,00:00:03.100,"TRC",,"SV",,"SV1A",,,,,,"oh I know the I don't know the answer",,
00:23:10.400,00:23:10.418,00:00:00.018,"TRC",,,,,,,,,,"but I know what to do next",,
00:23:10.418,00:23:13.000,00:00:02.582,,,,,,,,,,,"but I know what to do next",,
00:23:13.000,00:23:17.400,00:00:04.400,,,,,,,,,,,"okay do you want the next pause filler thing",,
00:23:18.700,00:23:21.800,00:00:03.100,,,,,,,,,,,,"should we just like finish this one though",
00:23:23.100,00:23:26.000,00:00:02.900,,,,,,,,,,,"so did you add eighteen to both sides",,
00:23:27.100,00:23:28.200,00:00:01.100,,,,,,,,,,,,"pause filler yeah and",
00:23:28.200,00:23:30.200,00:00:02.000,,,,,,,,,,,"eighteen plus fifty-two",,
00:23:30.800,00:23:31.600,00:00:00.800,,,,,,,,,,,,"is seventy",
00:23:31.600,00:23:32.400,00:00:00.800,,,,,,,,,,,,"yeah I got that",
00:23:33.500,00:23:41.200,00:00:07.700,,,,,,,,,,,"okay so then you have to take the excuse me pause filler to the fraction",,
00:23:41.200,00:23:44.700,00:00:03.500,,,,,,,,,,,"and then you have to multiply it on both sides",,
00:23:46.500,00:23:48.400,00:00:01.900,,,,,,,,,,,,"again like we did the last one",
00:23:48.400,00:23:51.300,00:00:02.900,,,,,,,,,,,"but you have to make it inproper so flip it",,
00:23:51.900,00:23:56.900,00:00:05.000,,,,,,,,,,,,"okay okay so negative three over two",
00:23:56.900,00:23:58.400,00:00:01.500,,,,,,,,,,,,"so that would cancel out right",
00:23:58.800,00:23:59.700,00:00:00.900,,,,,,,,,,,"wait hold up",,
00:24:00.200,00:24:04.000,00:00:03.800,,,,,,,,,,,,"if I did negative two over three time three negative three over two",
00:24:04.000,00:24:05.800,00:00:01.800,,,,,,,,,,,,"that would cancel out right",
00:24:05.800,00:24:06.900,00:00:01.100,,,,,,,,,,,"pause filler",,
00:24:06.900,00:24:09.300,00:00:02.400,,,,,,,,,,,,"would it I think yeah",
00:24:09.300,00:24:10.500,00:00:01.200,,,,,,,,,,,,"because in the last one it did",
00:24:10.900,00:24:13.700,00:00:02.800,,,,,,,,,,,"yeah and the one before that",,
00:24:14.400,00:24:24.900,00:00:10.500,,,,,,,,,,,,"mm-hmm okay I'm never going to just have to do seventy over three over two wait",
00:24:25.000,00:24:27.200,00:00:02.200,,,,,,,,,,,,"let me do the other one",
00:24:27.200,00:24:29.400,00:00:02.200,,,,,,,,,,,,"is it seventy over three over two or",
00:24:29.400,00:24:30.300,00:00:00.900,,,,,,,,,,,"wait hold up",,
00:24:30.500,00:24:35.400,00:00:04.900,,,,,,,,,,,"seventy times three",,
00:24:35.400,00:24:37.300,00:00:01.900,,,,,,,,,,,,"pause filler I mean two over three (inaudible)",
00:24:37.300,00:24:39.600,00:00:02.300,,,,,,,,,,,"over two equals what",,
00:24:40.700,00:24:41.700,00:00:01.000,,,,,,,,,,,,"okay let's think",
00:24:41.900,00:24:43.200,00:00:01.300,,,,,,,,,,,,"two hundred ten",
00:24:43.500,00:24:49.600,00:00:06.100,,,,,,,,,,,,"I'm just like wait no yeah wait no two thousand one hundred",
00:24:49.600,00:24:49.700,00:00:00.100,,,,,,,,,,,"no",,
00:24:49.700,00:24:58.200,00:00:08.500,,,,,,,,,,,,"like now because three time seven is twenty-one yeah two thousand one hundred what pause filler",
00:24:58.500,00:24:59.700,00:00:01.200,,,,,,,,,,,"hold up let me see",,
00:24:59.700,00:25:01.000,00:00:01.300,,,,,,,,,,,"two ten",,
00:25:02.800,00:25:06.900,00:00:04.100,,,,,,,,,,,,"but that doesn't seem right",
00:25:08.400,00:25:09.400,00:00:01.000,,,,,,,,,,,,"like seventy times three",
00:25:09.400,00:25:12.400,00:00:03.000,,,,,,,,,,,,"oh yeah actually yeah okay",
00:25:12.400,00:25:16.700,00:00:04.300,,,,,,,,,,,,"let's just go with it and then okay so then",
00:25:16.700,00:25:20.100,00:00:03.400,,,,,,,,,,,"and then we have to divide it",,
00:25:20.600,00:25:23.200,00:00:02.600,,,,,,,,,,,,"or can't we just keep it as a fraction",
00:25:24.300,00:25:25.400,00:00:01.100,,,,,,,,,,,,"we can't",
00:25:26.300,00:25:26.700,00:00:00.400,,,,,,,,,,,,"why",
00:25:26.700,00:25:28.900,00:00:02.200,,,,,,,,,,,"I don't know",,
00:25:29.500,00:25:33.100,00:00:03.600,,,,,,,,,,,,"well okay divide it by two that is a hundred and five",
00:25:34.200,00:25:35.200,00:00:01.000,,,,,,,,,,,"no",,
00:25:36.500,00:25:37.300,00:00:00.800,,,,,,,,,,,"find it's Gs",,
00:25:38.000,00:25:42.300,00:00:04.300,,,,,,,,,,,,"yup I'll just write a hundred and five",
00:25:42.300,00:25:49.900,00:00:07.600,,,,"SV",,"SV1A",,,,,,"pause filler that's a really bad zero a hundred",
00:25:50.200,00:25:54.600,00:00:04.400,,,,"SV",,"SV1A",,,,,,"that looks like a snail (inaudible) right there",
00:25:55.000,00:25:58.700,00:00:03.700,,,,,,,,,,,,"a hundred and five equals y all right",
00:25:58.900,00:26:00.000,00:00:01.100,,,,,,,,,,,,"should we do the next one",
00:26:00.900,00:26:02.200,00:00:01.300,,,"SV",,"SV1A",,,,,,"there now it's a snail",,
00:26:03.900,00:26:04.000,00:00:00.100,,,,,,,,,,,,"oh (laughter)",
00:26:04.100,00:26:10.100,00:00:06.000,,,,,,,,,,,,"okay let's just do the next one",
00:26:11.400,00:26:16.600,00:00:05.200,,,,,,,,,,,,"okie doke now last one we added eighteen to each side",
00:26:16.600,00:26:20.100,00:00:03.500,,,,,,,,,,,,"now we're subtracting eighteen no thirteen right",
00:26:23.000,00:26:23.900,00:00:00.900,,,,,,,,,,,"no no no no",,
00:26:24.200,00:26:25.100,00:00:00.900,,,,,,,,,,,"well yes we are",,
00:26:25.200,00:26:28.100,00:00:02.900,,,,,,,,,,,,"because then you'll cancel out the thirteen on that side",
00:26:28.100,00:26:29.500,00:00:01.400,,,,,,,,,,,,"and then we'll just make the other one bigger",
00:26:29.500,00:26:32.500,00:00:03.000,,,,,,,,,,,,"so should we just subtract that",
00:26:33.400,00:26:40.100,00:00:06.700,,,,,,,,,,,,"so just yeah just subtract it I think",
00:26:40.100,00:26:40.200,00:00:00.100,,,,,,,,,,,,"oh",
00:26:40.200,00:26:44.900,00:00:04.700,,,,,,,,,,"cool so that's actually the time pause filler",,,
00:26:44.900,00:26:53.100,00:00:08.200,,,,,,,,,,"so pause filler oh it's just like last time we'll take a break",,,
00:26:53.100,00:26:57.700,00:00:04.600,,,,,,,,,,"here are some candy absolutely you're great pause filler yeah",,,
00:26:58.100,00:27:08.300,00:00:10.200,,,,,,,,,,"hang out and I'll give you a few minutes I'll be back in five minutes",,,
00:27:08.400,00:27:13.000,00:00:04.600,,,,,,,,,,,,"all right sour patch ooh i like sour patch",
00:27:13.100,00:27:19.100,00:00:06.000,,,,,,,,,,,,"it is a six thirty-seven",
00:27:19.100,00:27:23.400,00:00:04.300,,,,,,,,,,,"mine says seven fourteen",,
00:27:24.700,00:27:25.200,00:00:00.500,,,,,,,,,,,,"really",
00:27:25.500,00:27:26.100,00:00:00.600,,,,,,,,,,,"yes",,
00:27:29.800,00:27:34.200,00:00:04.400,,,,,,,,,,,,"okay does yours say it's the fourth",
00:27:40.200,00:27:40.500,00:00:00.300,,,,,,,,,,,"yeah",,
00:27:41.700,00:27:42.400,00:00:00.700,,,,,,,,,,,,"ah weird",
00:27:44.400,00:27:45.000,00:00:00.600,,,,,,,,,,,"why",,
00:27:45.400,00:27:49.000,00:00:03.600,,,,,,,,,,,,"because like we have different times",
00:27:51.300,00:27:54.200,00:00:02.900,,,,,,,,,,,,"but isn't this over at seven",
00:27:55.200,00:27:59.300,00:00:04.100,,,,,,,,,,,,"pause filler this is so good",
00:27:59.300,00:28:11.500,00:00:12.200,,,,,,,,,,,,"this mechanical pencil is so good it has jewels in it",
00:28:11.500,00:28:15.300,00:00:03.800,,,,,,,,,,,,"like it looks so sparkly like look at it",
00:28:15.300,00:28:19.000,00:00:03.700,,,,,,,,,,,,"doesn't it look sparkly like jewels",
00:28:20.700,00:28:21.200,00:00:00.500,,,,,,,,,,,"that's good that's good",,
00:28:21.200,00:28:31.900,00:00:10.700,,,,,,,,,,,,"how does that look like a kid though like",
00:28:31.900,00:28:36.000,00:00:04.100,,,,,,,,,,,,"yeah go ahead",
00:28:36.400,00:28:39.900,00:00:03.500,,,,,,,,,,,"whoo I got a sour one",,
00:28:40.800,00:28:56.000,00:00:15.200,,,,,,,,,,,,"the ones at the bottom are sour because like (laughter)",
00:28:56.000,00:29:20.400,00:00:24.400,,,,,,,,,,,,"all the like the sour powder stuff is like at the bottom",
00:29:20.400,00:29:21.800,00:00:01.400,,,,,,,,,,,,"oh the lemon ones are sour",
00:29:23.400,00:29:24.100,00:00:00.700,,,,,,,,,,,"no copywriting",,
00:29:24.200,00:29:26.100,00:00:01.900,,,,,,,,,,,,"no no no",
00:29:27.900,00:29:30.200,00:00:02.300,,,,,,,,,,,,"where does it say that",
00:29:31.100,00:29:31.800,00:00:00.700,,,,,,,,,,,"right here",,
00:29:32.700,00:29:38.800,00:00:06.100,,,,,,,,,,,,"where wait do you still have the draw thingy up",
00:29:40.300,00:29:40.400,00:00:00.100,,,,,,,,,,,,"I don't",
00:29:40.400,00:29:44.200,00:00:03.800,,,,,,,,,,,,"they took mine out (laughter)",
00:29:49.800,00:29:55.000,00:00:05.200,,,,,,,,,,,,"there's like nobody out here",
00:29:55.200,00:30:02.900,00:00:07.700,,,,,,,,,,,,"it's like weird",
00:30:02.900,00:30:05.200,00:00:02.300,,,,,,,,,,,,"I feel like I'm the only person in this building right now",
00:30:05.200,00:30:07.600,00:00:02.400,,,,,,,,,,,,"it's because there's nobody here",
00:30:07.700,00:30:10.000,00:00:02.300,,,,,,,,,,,"not for me because I have a window",,
00:30:10.300,00:30:10.900,00:00:00.600,,,,,,,,,,,"well two",,
00:30:11.300,00:30:13.200,00:00:01.900,,,,,,,,,,,,"well I have a window too and",
00:30:13.400,00:30:15.000,00:00:01.600,,,,,,,,,,,,"there's like a bunch of desks and stuff",
00:30:15.200,00:30:16.900,00:00:01.700,,,,,,,,,,,,"but there's nobody out here",
00:30:16.900,00:30:22.000,00:00:05.100,,,,,,,,,,,,"ooh I have a lot of blue ones",
00:30:22.100,00:30:25.000,00:00:02.900,,,,,,,,,,,,"it's my favorite kind",
00:30:25.000,00:30:30.700,00:00:05.700,,,,,,,,,,,,"the blue",
00:30:30.800,00:30:36.200,00:00:05.400,,,,,,,,,,,,"I wish they give us candy in algebra at school",
00:30:36.900,00:30:52.700,00:00:15.800,,,,,,,,,,,,"that would be nice",
00:30:54.800,00:31:08.200,00:00:13.400,,,,,,,,,,,,"sour sweet gone it's what it says on here",
00:31:08.200,00:31:09.300,00:00:01.100,,,,,,,,,,,,"for more fun check #stk",
00:31:09.300,00:31:11.400,00:00:02.100,,,,,,,,,,,,"that's funny I said eck",
00:31:11.500,00:31:13.900,00:00:02.400,,,,,,,,,,,,"k I like eck eck",
00:31:13.900,00:31:15.800,00:00:01.900,,,,,,,,,,,,"that is so weird",
