"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","Notes_SV","PP_Notes","SV1_P1","SV1_P2","SV2_P1","SV2_P2","PP_P2","Experimenter 2","Experimenter","Experimenter 1","P1","P2","Experimenter-1","PP_P1",
00:03:16.336,00:03:19.280,00:00:02.944,,,,,,,,,,,"okay so pause filler so what's your name",,,,
00:03:19.280,00:03:21.066,00:00:01.786,,,,,,,,,,,,"my name is McKenna",,,
00:03:21.066,00:03:21.694,00:00:00.628,,,,,,,,,,,,"what about you",,,
00:03:21.754,00:03:23.340,00:00:01.586,,,,,,,,,,,"I'm Maya yeah",,,,
00:03:23.749,00:03:24.607,00:00:00.858,,,,,,,,,,,,"wait what's your name",,,
00:03:24.607,00:03:25.037,00:00:00.430,,,,,,,,,,,"Maya",,,,
00:03:25.037,00:03:26.703,00:00:01.666,,,,,,,"LPA",,,,,"oh that's a pretty name",,,
00:03:26.992,00:03:27.411,00:00:00.419,,,,,,,,,,,"thanks",,,,
00:03:27.840,00:03:30.664,00:00:02.824,,,,,,,,,,,"so pause filler do you know any algebra",,,,
00:03:31.083,00:03:31.522,00:00:00.439,,,,,,,,,,,,"yeah",,,
00:03:31.522,00:03:33.018,00:00:01.496,,,,,,,,,,,,"I'm an algebra one this year",,,
00:03:33.767,00:03:34.964,00:00:01.197,,,,,,,,,,,"yeah pause filler so am I",,,,
00:03:34.964,00:03:37.368,00:00:02.404,,,,,,,,,,,,"so what grade are you in",,,
00:03:37.618,00:03:38.755,00:00:01.137,,,,,,,,,,,"I'm in seventh grade",,,,
00:03:38.815,00:03:39.853,00:00:01.038,,,,,,,,,,,,"oh I'm in eighth grade",,,
00:03:42.776,00:03:43.355,00:00:00.579,,,,,,,,,,,"okay",,,,
00:03:43.614,00:03:49.680,00:00:06.066,,,,,,,,,,,"yeah pause filler so I guess we're supposed to work through these problems",,,,
00:03:51.446,00:03:51.746,00:00:00.300,,,,,,,,,,,"not",,,,
00:03:51.746,00:03:57.483,00:00:05.737,,,,,,,,,,,,"all right so just get rid of the scribbles I guess so that",,,
00:03:57.553,00:03:59.269,00:00:01.716,,,,,,,,,,,"okay so pause filler",,,,
00:04:02.851,00:04:06.013,00:00:03.162,,,,,,,,,,,"so like what I do is before I started erasing the problem",,,,
00:04:06.263,00:04:08.647,00:00:02.384,,,,,,,,,,,"so I think I'm just going to have to rewrite that problem",,,,
00:04:10.224,00:04:13.796,00:00:03.572,,,,,,,,,,,"and that did okay adjacent pencil",,,,
00:04:14.524,00:04:22.765,00:00:08.241,,,,,,,,,,,"pause filler let's see three plus x equals twenty-two",,,,
00:04:22.765,00:04:23.993,00:00:01.228,,,,,,,,,,,,"all right",,,
00:04:27.564,00:04:33.092,00:00:05.528,,,,,,,,,,,"so I assume you probably know how to solve this one",,,,
00:04:33.431,00:04:33.730,00:00:00.299,,,,,,,,,,,,"yes",,,
00:04:33.730,00:04:35.437,00:00:01.707,,,,,,,,,,,,"pause filler sorry you're tutoring me first",,,
00:04:35.646,00:04:37.861,00:00:02.215,,,,,,,,,,,"that's what I think they said",,,,
00:04:37.861,00:04:37.991,00:00:00.130,,,,,,,,,,,,"okay",,,
00:04:38.539,00:04:46.811,00:00:08.272,,,,,,,,,,,"so I guess pause filler you need to get x on leave only a thing on one side",,,,
00:04:46.811,00:04:48.906,00:00:02.095,,,,,,,,,,,"so you're going to have to get rid of three",,,,
00:04:49.006,00:04:52.278,00:00:03.272,,,,,,,,,,,,"yeah so would you have to subtract three from both sides",,,
00:04:52.637,00:04:53.705,00:00:01.068,,,,,,,,,,,"pause filler yeah",,,,
00:04:53.735,00:04:55.740,00:00:02.005,,,,,,,,,,,"so can you do it on there",,,,
00:04:55.970,00:04:56.369,00:00:00.399,,,,,,,,,,,,"yeah",,,
00:04:56.559,00:04:57.207,00:00:00.648,,,,,,,,,,,,"do you see",,,
00:04:57.417,00:04:57.606,00:00:00.189,,,,,,,,,,,"yup",,,,
00:04:57.606,00:05:04.959,00:00:07.353,,,,,,,,,,,,"and then this cancels out",,,
00:05:05.398,00:05:10.896,00:00:05.498,,,,,,,,,,,,"so then you're just left with x equals",,,
00:05:12.632,00:05:14.178,00:00:01.546,,,,,,,,,,,,,"all right thanks for your patience",,
00:05:14.218,00:05:14.398,00:00:00.180,,,,,,,,,,,,"huh",,,
00:05:14.398,00:05:15.695,00:00:01.297,,,,,,,,,,,,,"thanks for your patience",,
00:05:15.695,00:05:16.044,00:00:00.349,,,,,,,,,,,,"oh okay",,,
00:05:16.044,00:05:16.314,00:00:00.270,,,,,,,,,,,,"it's working",,,
00:05:16.314,00:05:17.671,00:00:01.357,,,,,,,,,,,,,"we got everything set up",,
00:05:17.671,00:05:17.830,00:00:00.159,,,,,,,,,,,,,"cool",,
00:05:17.830,00:05:18.748,00:00:00.918,,,,,,,"UL",,,,,"all right great",,,
00:05:18.748,00:05:25.842,00:00:07.094,,,,,,,,,,,,,"pause filler all right so you have pause filler about twenty minutes pause filler to have pause filler tutor you and work through as many problems as we can",,
00:05:25.842,00:05:29.045,00:00:03.203,,,,,,,,,,,,"all right so we had to go on a different page",,,
00:05:29.045,00:05:31.320,00:00:02.275,,,,,,,,,,,,"we went on this page with this equals x",,,
00:05:31.539,00:05:31.858,00:00:00.319,,,,,,,,,,,,,"thank you",,
00:05:32.108,00:05:32.198,00:00:00.090,,,,,,,,,,,,"uh-huh",,,
00:05:32.198,00:05:33.365,00:00:01.167,,,,,,,,,,,,,"so we're going to start",,
00:05:33.365,00:05:34.263,00:00:00.898,,,,,,,,,,,,,"I get this one oh",,
00:05:34.263,00:05:35.590,00:00:01.327,,,,,,,,,,,,,"so you already start",,
00:05:35.590,00:05:36.208,00:00:00.618,,,,,,,,,,,,"yeah",,,
00:05:36.558,00:05:40.000,00:00:03.442,,,,,,,,,,,,,"so go ahead and star there",,
00:05:40.568,00:05:41.357,00:00:00.789,,,,,,,,,,,,,"so there you go",,
00:05:41.357,00:05:42.000,00:00:00.643,,,,,,,,,,,,"wait are you on the yeah",,,
00:05:42.000,00:05:42.056,00:00:00.056,,,,,,,,,,,,"wait are you on the yeah","mm-hmm",,
00:05:42.056,00:05:42.674,00:00:00.618,,,,,,,,,,,,"wait are you on the yeah",,,
00:05:42.674,00:05:47.173,00:00:04.499,,,,,,,"UL",,,,,"okay great great",,,
00:05:47.173,00:05:49.488,00:00:02.315,,,,,,,,,,,,"all right thank you",,,
00:05:49.518,00:05:49.678,00:00:00.160,,,,,,,,,,,"yeah",,,,
00:05:49.678,00:05:54.297,00:00:04.619,,,,,,,,,,,"accidentally got this (inaudible) it's like over the things you can't really erase",,,,
00:05:55.105,00:05:55.325,00:00:00.220,,,,,,,,,,,,,"oh",,
00:05:56.153,00:05:56.861,00:00:00.708,,,,,,,,,,,"so",,,,
00:05:58.318,00:05:58.617,00:00:00.299,,,,,,,,,,,,,"who",,
00:06:04.384,00:06:07.787,00:00:03.403,,,,,,,,,,,,,"it's not clear",,
00:06:07.787,00:06:10.690,00:00:02.903,,,,,,,,,,,"because (inaudible) it's like we loaded the page for some reason",,,,
00:06:10.690,00:06:11.049,00:00:00.359,,,,,,,,,,,,,"I see",,
00:06:11.049,00:06:12.077,00:00:01.028,,,,,,,,,,,,,"so we're going to check",,
00:06:12.725,00:06:16.956,00:00:04.231,,,,,,,,,,,"okay pause filler yeah so they exactly know what's happening",,,,
00:06:16.956,00:06:21.655,00:00:04.699,,,"SV",,"SV1A",,,,,,"now this pen is sort of cool",,,,
00:06:24.219,00:06:25.556,00:00:01.337,,,,"SV",,"SV1A",,,,,,"so what school do you go to",,,
00:06:25.935,00:06:26.624,00:00:00.689,,,"SV",,"SV1A",,,,,,"I go to SciTech",,,,
00:06:26.624,00:06:27.282,00:00:00.658,,,"SV",,"SV1A",,,,,,"what about you",,,,
00:06:27.771,00:06:29.767,00:00:01.996,,,,"SV",,"SV1A",,,,,,"oh I go to West Allegheny yeah",,,
00:06:30.804,00:06:31.014,00:00:00.210,,,"SV",,"SV1A",,,,,,"yeah",,,,
00:06:33.039,00:06:36.162,00:00:03.123,,,,"SV",,"SV1A",,,,,,"so is math your favorite subject",,,
00:06:36.920,00:06:41.231,00:00:04.311,,,"SV",,"SV1A",,,,,,"I mean I like math because it I mean it's sort of fun",,,,
00:06:41.231,00:06:48.095,00:00:06.864,,,"SV",,"SV1A",,,,,,"but you got yeah homework listed and all that those are unfun stuff",,,,
00:06:48.095,00:06:48.624,00:00:00.529,,,,"SV",,"SV1A",,,,,,"yeah",,,
00:06:59.838,00:07:09.746,00:00:09.908,,,,,,,,,,,,"all right so are you on the same page",,,
00:07:10.793,00:07:12.051,00:00:01.258,,,,,,,,,,,"yeah I'm on the same page",,,,
00:07:12.051,00:07:14.016,00:00:01.965,,,,,,,,,,,"pause filler did they change your page or",,,,
00:07:14.744,00:07:16.560,00:00:01.816,,,,,,,,,,,,"pause filler x minus six equals thirteen",,,
00:07:16.560,00:07:16.720,00:00:00.160,,,,,,,,,,,"pause filler no",,,,
00:07:17.558,00:07:21.529,00:00:03.971,,,,,,,,,,,"pause filler I don't know I don't know so you want me to get to that one",,,,
00:07:21.529,00:07:21.948,00:00:00.419,,,,,,,,,,,"let's see",,,,
00:07:22.217,00:07:23.544,00:00:01.327,,,,,,,,,,,"is that one it",,,,
00:07:24.841,00:07:26.687,00:00:01.846,,,,,,,,,,,"no that is not it",,,,
00:07:27.076,00:07:27.615,00:00:00.539,,,,,,,,,,,,"well so",,,
00:07:27.615,00:07:28.373,00:00:00.758,,,,,,,,,,,"yeah saw it",,,,
00:07:28.373,00:07:29.521,00:00:01.148,,,,,,,,,,,"yeah I'm on this page now",,,,
00:07:29.720,00:07:30.509,00:00:00.789,,,,,,,"UL",,,,,"all right great",,,
00:07:30.658,00:07:35.637,00:00:04.979,,,,,,,,,,,,"so you're going to work me through these problems I guess",,,
00:07:36.345,00:07:37.343,00:00:00.998,,,,,,,,,,,"okay so pause filler as we're doing equal",,,,
00:07:37.343,00:07:41.514,00:00:04.171,,,,,,,,,,,"so I wonder if I can circle all right here",,,,
00:07:41.803,00:07:42.052,00:00:00.249,,,,,,,,,,,,"done huh",,,
00:07:42.312,00:07:51.431,00:00:09.119,,,,,,,,,,,"yeah you're going to have to get rid of that six",,,,
00:07:51.970,00:07:54.654,00:00:02.684,,,,,,,,,,,,"yeah so you would have to add six right",,,
00:07:55.222,00:07:55.671,00:00:00.449,,,,,,,,,,,"yeah",,,,
00:07:55.671,00:07:58.535,00:00:02.864,,,,,,,,,,,"so do you want to add six to both of those sides",,,,
00:08:00.770,00:08:01.239,00:00:00.469,,,,,,,,,,,,"oh gosh (laughter)",,,
00:08:01.239,00:08:02.556,00:00:01.317,,,,,,,,,,,"I know",,,,
00:08:02.556,00:08:04.392,00:00:01.836,,,"SV",,"SV1A",,,,,,"this writing with this stuff is so weird",,,,
00:08:04.741,00:08:06.537,00:00:01.796,,,,,,,,,,,,"so pause filler you add six",,,
00:08:06.537,00:08:08.792,00:00:02.255,,,,,,,,,,,,"and then you get x equals nineteen",,,
00:08:09.929,00:08:10.348,00:00:00.419,,,,,,,,,,,,"oh gosh",,,
00:08:10.348,00:08:13.800,00:00:03.452,,,,,,,,,,,"so okay pause filler",,,,
00:08:14.758,00:08:17.372,00:00:02.614,,,,,,,,,,,,"oh that didn't work yeah",,,
00:08:17.602,00:08:21.084,00:00:03.482,,,,,,,,,,,"but do you know how to get to the next problem",,,,
00:08:21.313,00:08:21.832,00:00:00.519,,,,,,,,,,,,"yeah",,,
00:08:21.832,00:08:26.551,00:00:04.719,,,,,,,,,,,,"we go onto the next page",,,
00:08:26.551,00:08:27.569,00:00:01.018,,,,,,,,,,,"oh (laughter) okay",,,,
00:08:27.569,00:08:29.894,00:00:02.325,,,,,,,,,,,"pause filler okay for this one it's sort of the same thing",,,,
00:08:29.894,00:08:34.523,00:00:04.629,,,,,,,,,,,"so you want to get pause filler or does the eight",,,,
00:08:34.523,00:08:39.941,00:00:05.418,,,,,,,,,,,,"yeah and that's a negative so you would have to add it",,,
00:08:39.941,00:08:53.261,00:00:13.320,,,,,,,,,,,"yeah just like the last one",,,,
00:08:53.380,00:08:57.361,00:00:03.981,,,,,,,,,,,,"oh gosh",,,
00:08:58.159,00:08:58.329,00:00:00.170,,,,,,,,,,,"okay",,,,
00:08:58.329,00:08:59.626,00:00:01.297,,,,,,,,,,,"that was it not bad",,,,
00:08:59.716,00:09:12.676,00:00:12.960,,,,,,,,,,,,"fifteen sixteen seventeen eighteen nineteen twenty twenty-one twenty-two",,,
00:09:13.874,00:09:14.792,00:00:00.918,,,,,,,,,,,,"all right next page right",,,
00:09:16.578,00:09:16.797,00:00:00.219,,,,,,,,,,,"yup",,,,
00:09:16.797,00:09:17.765,00:00:00.968,,,,,,,,,,,"there we go (laughter)",,,,
00:09:17.924,00:09:20.958,00:00:03.034,,,,,,,,,,,"okay pause filler so this one is a lot like the other ones",,,,
00:09:20.958,00:09:23.592,00:00:02.634,,,,,,,,,,,"except for this one yeah you don't want to add it",,,,
00:09:23.592,00:09:25.258,00:00:01.666,,,,,,,,,,,,"yeah so you have to subtract",,,
00:09:26.136,00:09:32.412,00:00:06.276,,,,,,,,,,,,"so you would subtract eleven because it's a positive right",,,
00:09:32.541,00:09:32.910,00:00:00.369,,,,,,,,,,,"yeah",,,,
00:09:33.389,00:09:35.155,00:00:01.766,,,,,,,,,,,,"all right so minus eleven",,,
00:09:42.898,00:09:44.155,00:00:01.257,,,,,,,,,,,,"then those who cancel out",,,
00:09:44.155,00:09:45.971,00:00:01.816,,,,,,,,,,,,"so it would be k equals six",,,
00:09:46.400,00:09:46.719,00:00:00.319,,,,,,,,,,,"yeah",,,,
00:09:48.425,00:09:49.004,00:00:00.579,,,,,,,,,,,,"oh gosh",,,
00:09:49.004,00:09:50.590,00:00:01.586,,,,,,,,,,,,"this is so messy",,,
00:09:50.590,00:09:50.620,00:00:00.030,,,,,,,,,,,,"oh",,,
00:09:50.620,00:10:00.797,00:00:10.177,,,,,,,,,,,"okay so this time we pause filler yeah only one term on the other side so yeah",,,,
00:10:00.797,00:10:03.481,00:00:02.684,,,,,,,,,,,"pause filler so you want to get rid of the forty-four",,,,
00:10:03.481,00:10:05.995,00:00:02.514,,,,,,,,,,,"so the coefficient of x is one so",,,,
00:10:06.584,00:10:12.720,00:00:06.136,,,,,,,,,,,,"yeah pause filler so you want to get rid of the forty-four so the coefficient of x is one so",,,
00:10:12.720,00:10:13.099,00:00:00.379,,,,,,,,,,,,"yeah",,,
00:10:14.835,00:10:17.000,00:00:02.165,,,,,,,,,,,"do you know how to do that",,,,
00:10:17.000,00:10:17.709,00:00:00.709,,,,,,,,,,,,"yeah yeah yeah yeah",,,
00:10:17.709,00:10:21.440,00:00:03.731,,,,,,,,,,,,"so you'd have to divide because it's multiplication",,,
00:10:21.440,00:10:22.518,00:00:01.078,,,,,,,,,,,,"then you do the opposites",,,
00:10:22.518,00:10:23.915,00:00:01.397,,,,,,,,,,,,"so divided by forty",,,
00:10:23.915,00:10:24.373,00:00:00.458,,,,,,,,,,,"yeah",,,,
00:10:25.601,00:10:26.529,00:00:00.928,,,,,,,,,,,,"it's so weird",,,
00:10:26.529,00:10:30.200,00:00:03.671,,,,,,,,,,,,"because I have to like I have to take a moment to think now",,,
00:10:30.200,00:10:34.920,00:00:04.720,,,,,,,,,,,,"because I'm so accustomed in my class to using calculators like she lets s",,,
00:10:34.920,00:10:36.456,00:00:01.536,,,,,,,,,,,"I know yeah",,,,
00:10:36.456,00:10:37.534,00:00:01.078,,,,,,,,,,,,"so divide it",,,
00:10:37.534,00:10:40.337,00:00:02.803,,,,,,,,,,,"on personal calculators and I just pull it up",,,,
00:10:40.577,00:10:43.470,00:00:02.893,,,,,,,,,,,,"yeah wait oh gosh",,,
00:10:43.470,00:10:48.329,00:00:04.859,,,,,,,,,,,,"is this what even is this then (laughter)",,,
00:10:53.338,00:11:02.287,00:00:08.949,,,,,,,,,,,,"ten x equals twenty-two divided two hundred and twenty divided by forty-four",,,
00:11:04.203,00:11:07.116,00:00:02.913,,,,,,,,,,,"yeah I wonder if I could",,,,
00:11:07.615,00:11:09.770,00:00:02.155,,,,,,,,,,,"pause filler so that's like a forty-four on that side",,,,
00:11:09.960,00:11:10.668,00:00:00.708,,,,,,,,,,,"that was lovely",,,,
00:11:10.668,00:11:11.776,00:00:01.108,,,,,,,,,,,"okay I know what I mean",,,,
00:11:12.474,00:11:13.831,00:00:01.357,,,,,,,,,,,"and two hundred twenty",,,,
00:11:15.028,00:11:17.742,00:00:02.714,,,,,,,,,,,"see you can go I see like pause filler",,,,
00:11:19.059,00:11:19.857,00:00:00.798,,,,,,,,,,,,"yeah yeah yeah yeah",,,
00:11:19.857,00:11:22.950,00:00:03.093,,,,,,,,,,,"I just yeah okay how many times",,,,
00:11:22.950,00:11:26.452,00:00:03.502,,,,,,,,,,,"it's like about five five ten",,,,
00:11:26.452,00:11:28.827,00:00:02.375,,,,,,,,,,,,"oh yeah that would make sense so",,,
00:11:28.827,00:11:30.254,00:00:01.427,,,,,,,,,,,"and maybe it's (inaudible) five",,,,
00:11:30.363,00:11:31.092,00:00:00.729,,,,,,,,,,,,"yeah it",,,
00:11:35.322,00:11:38.615,00:00:03.293,,,,,,,,,,,"(inaudible) that was not how it's supposed to",,,,
00:11:38.615,00:11:41.947,00:00:03.332,,,,,,,,,,,,"it seems so embarrassing because it's just like we're so used to using calculators",,,
00:11:41.947,00:11:43.633,00:00:01.686,,,,,,,,,,,,"but it just yeah",,,
00:11:44.252,00:11:45.689,00:00:01.437,,,,,,,,,,,"okay let's see",,,,
00:11:45.729,00:11:47.375,00:00:01.646,,,,,,,,,,,"that's zero",,,,
00:11:48.013,00:11:51.436,00:00:03.423,,,,,,,,,,,"it's pause filler a two yeah a two",,,,
00:11:51.924,00:11:53.192,00:00:01.268,,,,,,,,,,,"four times that that's also",,,,
00:11:53.192,00:11:54.459,00:00:01.267,,,,,,,,,,,"yeah it's five",,,,
00:11:55.776,00:11:56.624,00:00:00.848,,,,,,,"UL",,,,,"all right great",,,
00:11:59.098,00:12:00.884,00:00:01.786,,,,"SV",,"SV1A",,,,,,"so are you an advanced then",,,
00:12:01.124,00:12:03.568,00:00:02.444,,,,"SV",,"SV1A",,,,,,"because you're an algebra in the seventh grade",,,
00:12:04.745,00:12:05.524,00:00:00.779,,,"SV",,"SV1A",,,,,,"pause filler yes",,,,
00:12:05.524,00:12:09.305,00:00:03.781,,,"SV",,"SV1A",,,,,,"so what I'm doing at the moment I'm taking a full year of algebra one",,,,
00:12:09.305,00:12:11.789,00:00:02.484,,,"SV",,"SV1A",,,,,,"but at the same time I'm also taking geometry",,,,
00:12:11.839,00:12:12.617,00:00:00.778,,,,"SV",,"SV1A",,,,,,"oh god",,,
00:12:12.957,00:12:13.915,00:00:00.958,,,"SV",,"SV1A",,,,,,"yeah so",,,,
00:12:13.915,00:12:18.584,00:00:04.669,,,,"SV",,"SV1A",,,,,,"like I pause filler I'm not in like there's like three levels of math",,,
00:12:18.604,00:12:22.056,00:00:03.452,,,,"SV",,"SV1A",,,,,,"there's like the low math (inaudible) who don't like get as quickly",,,
00:12:22.106,00:12:23.303,00:00:01.197,,,,"SV",,"SV1A",,,,,,"just like the regular math",,,
00:12:23.303,00:12:25.628,00:00:02.325,,,,"SV",,"SV1A",,,,,,"and then there's the pause filler advanced math",,,
00:12:25.897,00:12:27.464,00:00:01.567,,,,"SV",,"SV1A",,,,,,"I'm in just like the regular math",,,
00:12:27.933,00:12:30.567,00:00:02.634,,,,"SV",,"SV1A",,,,,,"and I'm like right where I should be in my grade",,,
00:12:30.826,00:12:32.822,00:00:01.996,,,,"SV",,"SV1A",,,,,,"and English is more my subject",,,
00:12:32.822,00:12:34.647,00:00:01.825,,,,"SV",,"SV1A",,,,,,"like I'm in advanced English all the time",,,
00:12:34.647,00:12:38.249,00:00:03.602,,,,"SV",,"SV1A",,,,,,"but math it's all right I just",,,
00:12:39.257,00:12:39.925,00:00:00.668,,,"SV",,"SV1A",,,,,,"yeah so",,,,
00:12:39.925,00:12:46.251,00:00:06.326,,,,,,,,,,,,"all right so now you add nine right",,,
00:12:46.500,00:12:47.199,00:00:00.699,,,,,,,,,,,"yeah so (inaudible)",,,,
00:12:47.199,00:12:51.559,00:00:04.360,,,,,,,,,,,,"so you add nine to this",,,
00:12:51.559,00:12:59.601,00:00:08.042,,,,,,,,,,,,"and then you're left with thirteen p equals fifty",,,
00:13:00.209,00:13:00.549,00:00:00.340,,,,,,,,,,,,"so",,,
00:13:02.813,00:13:08.620,00:00:05.807,,,,,,,,,,,"pause filler so then you want to give it to the thirteen",,,,
00:13:08.690,00:13:10.586,00:00:01.896,,,,,,,,,,,,"so you divide it by thirteen",,,
00:13:13.689,00:13:16.123,00:00:02.434,,,,,,,,,,,,"wait does the fraction pause filler",,,
00:13:18.218,00:13:21.850,00:00:03.632,,,,,,,,,,,,"does the fifty divided by thirteen equal out to a fraction",,,
00:13:22.529,00:13:23.816,00:00:01.287,,,,,,,,,,,"no I don't think it's simplified",,,,
00:13:23.816,00:13:25.731,00:00:01.915,,,,,,,,,,,"I think it's just fifty over thirteen",,,,
00:13:25.731,00:13:26.889,00:00:01.158,,,,,,,"UL",,,,,"all right great",,,
00:13:30.032,00:13:32.446,00:00:02.414,,,,,,,,,,,,"I thought that it could've been a simplified fraction",,,
00:13:32.446,00:13:33.294,00:00:00.848,,,,,,,,,,,,"I'm not sure",,,
