,Dyad,Session,Time_begin,P1,P2,SD,QE,SV,PR,HD,a,sca,b,scb,c,scc,d,scd,e,sce
10931,4,1,00:11:45.900000,,okay so pause filler all right this thing's weird to control pause filler,,,x,,,okay so pause filler all right this thing's weird to control pause filler,86,so is this how pause filler to start the equation,49.0,,0.0,,,,
15273,6,2,00:55:11.700000,so then we'll know each other friends,,,,x,,,like I'm shocked that Winchester accepted me because I've gotten so many points,86,and I'm also bad and I get really bad grades so I don't understand how they will accept me,86.0,so there you go,86.0,you know how Shadyside's like really preppy atmosphere like,86.0,but like Winches.. Winchester seems like oh we want you to be adored,86.0
17441,8,2,00:03:41.500000,I wonder what they're doing,,x,,,,,I have the pause filler Galaxy Core Prime,86,I don't even have like the pause filler,48.0,oh nice yeah,43.0,yeah,43.0,it's like a smaller version of the five,36.0
546,10,1,00:32:41.600000,,I'm pretty sure we just hear each other (inaudible),x,,,,,its just a twitch,86,we're in different rooms,86.0,like I'm not going to do this but (inaudible) on that wall and you could hear me because I'm pretty sure you're in that room I could be wrong,86.0,okay we could ask questions,86.0,but they're just commonly questions like what's your favorite subject or what are your hobbies but,86.0
17579,8,2,00:16:36.700000,you know it would be forty-nine because it's forty-nine time twelve,,,,,,x,so you want to do this part,86,minus forty-eight,86.0,and it's negative,86.0,and then you're just going to this is here,86.0,so it would be forty-nine times five over twelve,75.0
574,10,1,00:34:09.500000,so bad my grades this year I'm going to (inaudible),,x,,,,,I really don't know why people think that like it's cool to say like how's your school,86,this is like we're expected to be,86.0,how bad my grades this year I'm going to  I have a C in math others are all As,86.0,it's really because I got a really bad grade in the first quarter,48.0,and I'm like I sat here bored as always what's,44.0
15285,6,2,00:55:35.000000,I think it's a better fit for me because they're out in the (inaudible),,,,x,,,like I haven't gotten detention,86,so then I'd have another friend,86.0,I only know one person going who I like,86.0,"so, no, two people going who I like",86.0,so you didn't like it or you did,86.0
11175,4,1,00:36:02.500000,,pause filler so I had a homeroom teacher,x,,,,,and so for the thirty-something minutes in between he talks,86,I had a homeroom teacher but I've only been there like two days,86.0,because the other days I've been sitting outside a stairwell waiting to go up to a class at the high school,86.0,and because no teacher is ever there we just play on our phones the entire time,86.0,and I'm with a few other kids,51.0
15215,6,2,00:52:42.500000,,you'll probably like it,,,x,,,I know I'm kind of not looking for it,86,but it's like a nice place I guess pause filler,86.0,no a lot of them are really like sporty and like smart,86.0,I know I think it's like whenever you're a senior you don't have to wear uniform,86.0,yeah it's like get to those business casual,86.0
14794,6,2,00:28:48.300000,oh fine,,,,x,,,oh I hate this thing there we go,86,oh fun,77.0,we got a break in between today,51.0,oh god,48.0,thank you for bringing me food,39.0
14609,6,2,00:05:47.900000,,I really hope they don't give us (inaudible) again,x,,x,,,"I really hope they don't give us Skittles again, I don't like those, I don't ",86,They're coming back,86.0,That'd be good ,45.0,twenty-five dollars oh okay,43.0,so today we're getting like ,38.0
14610,6,2,00:05:55.800000,,I don't like those at all,,,x,,,"I really hope they don't give us Skittles again, I don't like those, I don't ",86,so today we're getting like ,48.0,yeah ,45.0,They're coming back,43.0,twenty-five dollars oh okay,42.0
14612,6,2,00:06:04.100000,oh my god because I'm an (inaudible) or something,,,,x,,,(sfx) I don't feel,86,I don't either ,86.0,there I fixed it I think,86.0,okay so I break one all right,86.0,I hope they give us M&Ms or something ,57.0
14614,6,2,00:06:19.300000,I have (inaudible) before this,,,,x,,,I don't either ,86,I had (inaudible) before this so I'm not that hungry but still ,86.0,I don't know I'm just going to refresh the page,86.0,I hope they give us M&Ms or something ,48.0,there I fixed it I think,46.0
13399,5,2,00:43:57.100000,or they call me pause filler Giordoni my pause filler Latin name,,,,x,,,or they call me pause filler Giordoni my pause filler Latin name,86,yeah pause filler either they call me JJ,53.0,all right,50.0,so I can't do any accent,47.0,I know,45.0
14601,6,2,00:05:01.600000,ops,,,,x,,,oops,86,supposedly,60.0,I spent most of it already,40.0,what are we going to do,30.0,but at least we get paid,30.0
17502,8,2,00:09:25.300000,,it's pretty simple,,,,,x,so it would be two times eighteen,86,yes,60.0,right,36.0,,0.0,,0.0
14616,6,2,00:06:32.200000,but so,,,,x,,,okay so I break one all right,86,I don't know I'm just going to refresh the page,60.0,I had (inaudible) before this so I'm not that hungry but still ,57.0,oh fun,48.0,I hope they give us M&Ms or something ,45.0
17507,8,2,00:09:58.100000,,and then you just do the same thing except this part is negative,,,,,x,this would be one forty negative one forty,86,it's positive,56.0,so (inaudible),41.0,so it would be two times eighteen,40.0,right,34.0
17697,8,2,00:29:55.800000,I wonder how many minutes the more they gave us,,x,,,,,might be twenty minutes or so,86,no I might try to more quickly,86.0,a hell,45.0,some of mind are cracked though,44.0,put better real shit than there yeah,41.0
17700,8,2,00:30:04.800000,,might be twenty minutes or so,,,,,x,I wonder how many minutes the more they gave us,86,the blue ones are really stout,45.0,they put (inaudible) into Skittles,44.0,they talked about with this hole,39.0,just second just called a time to skedaddle,37.0
17701,8,2,00:30:09.000000,,no I might try to more quickly,,,,,x,I wonder how many minutes the more they gave us,86,they put (inaudible) into Skittles,40.0,the blue ones are really stout,38.0,just second just called a time to skedaddle,36.0,they talked about with this hole,33.0
17621,8,2,00:20:36.400000,,just to make that that's also thirty-three over three if you want to have it for this three over here,,,,,x,what in the world so three seventeen on both sides,86,it's six,57.0,divided by thirteen,45.0,,0.0,,0.0
17758,8,2,00:36:24.000000,,yeah he was from like Wakanda or something,,,,,x,Spiderman was killing it,86,or Spiderman,86.0,I said or Spiderman,86.0,do you see that,48.0,custom fit,45.0
17782,8,2,00:37:52.000000,,pause filler I think so,,,,,x,I just found out that's my cousin,86,I never knew that,86.0,I know we have the same last name,86.0,but I never knew it yeah,86.0,but (inaudible) and said DWade I was like,86.0
17847,8,2,00:43:03.800000,,I think pause filler the right answer is the world may never care,,,,,x,the world may never know,86,okay this is ridiculous,86.0,that's better,49.0,when did they order just to get out (inaudible),46.0,I should've bought my portable charger,44.0
17887,8,2,00:48:03.400000,,yeah I don't know if I'm actually cutting them correct,,,,,x,I want to be negative twenty-seven,86,prob over negative two minus x minus twenty-seven equals negative twelve,37.0,these problems just get harder and harder,35.0,,0.0,,0.0
14198,6,1,00:32:20.100000,but for the (inaudible) to be getting I felt like I was doing my math homework,,x,,,,,I think this is the only one,86,I don�t feel like doing algebra,86.0,oh so like and I have a really nice teacher and all,86.0,but it's kind of like tedious,86.0,I don't know like kind of pointless,86.0
14572,6,2,00:02:23.200000,won't like it,,,,x,,,don't want that little one don't like it go away ,86,this makes my life super easy ,41.0,,,,,,
14674,6,2,00:10:41.600000,have you used the (inaudible),,,,x,,,have you used the calligraphy pen it's a little bit easier,86,you can select it with this one,46.0,it's a socket pen option,37.0,wow,20.0,,0.0
49,10,1,00:03:16.300000,,yeah pause filler right now I have Ms. Domingo and Ms. Frizzle which is really funny because Ms. Frizzle,x,,,,,but I think I'm wrong,86,but I know it's like really really brighter like,86.0,seventh yeah so we could have made in the same class but,86.0,Kinsley nope I don't,86.0,what teachers do I have,86.0
14693,6,2,00:13:43.200000,but I don't feel like we're (inaudible),,,,x,,,why did I agree to this,86,like I don't feel like we're teaching each other anything I mean the whole (inaudible),86.0,if nothing they should have done the study earlier in the year when we didn't know as much about algebra,86.0,are you guys doing like radicals and stuff cuz that's what we're doing,86.0,I hated it,86.0
14695,6,2,00:13:44.800000,like I make sure that I'm going to study earlier in the year (inaudible) much about algebra,,,,x,,,I wonder if they're watching us,86,oh that's so creepy,86.0,why did I agree to this,86.0,We both know how to do this,86.0,and that's so boring,86.0
17497,8,2,00:09:19.800000,,yup perfect,,,,x,,perfect pause filler I get it now,86,right,36.0,so it would be two times eighteen,32.0,yes,30.0,two eighty,29.0
12319,5,1,00:31:52.900000,,oh pause filler what's it called,,x,,,,yeah oh,86,oh a mouse probably would've been the easiest,86.0,oh pause filler what's it called,86.0,mine is you know I've been meaning to change it for a long time my parents have blocked some of the computer,86.0,so it's still Charlie Sprenkel,86.0
14792,6,2,00:28:15.200000,oh I hate to say (inaudible),,,,x,,,no multiply it until it equals twenty-eight to get negative twelve four,86,oh god,86.0,oh fun,86.0,oh I hate this thing there we go,54.0,uh-huh,45.0
11971,5,1,00:11:38.700000,pause filler basically pause filler just scratch out the six sort of like pause filler sort of like this,,,,,,x,but I have like a surface,86,and I use that to draw most of the time,86.0,you want to get the variable by itself,86.0,pause filler basically pause filler just scratch out the six sort of like pause filler sort of like this,86.0,are you still scratching up the six now,86.0
602,10,1,00:36:14.200000,oh (inaudible) what is going on,,,,x,,,why is it typing,86,my pen is writing,86.0,oh hit the button people used to (inaudible) again,86.0,oh not even touching my thing what is going on,75.0,ah I could not,45.0
14921,6,2,00:36:34.600000,oh wait it reminds of my own color,,,,x,,,  x and circle and well I don't know why I'm doing it,86,oh wait mine's the wrong color hold on,61.0, okay let's start over cross it out ,48.0,this thing is going to take longer though,43.0,I was supposed to write on black right,42.0
15295,6,2,00:55:58.100000,no I'd never,,,,x,,,I only know one person going who I like,86,"so, no, two people going who I like",86.0,"I think, I think it's like, I think it's a better fit for me cause of the atmos.. like",86.0,oh I'd I'd never (inaudible),86.0,I hate it I hate it so much ,86.0
17416,8,1,00:48:21.200000,,oh there are nothing on this page,,,x,,,so I was there,86,my cousin works there,86.0,mm-hmm yesterday is the first day,45.0,so I don't think I remember of course,45.0,let's go get them,40.0
17415,8,1,00:48:15.600000,,ah school yeah yeah my sister's friend used to work there,,,x,,,so I was there,86,my cousin works there,86.0,let's go get them,86.0,yeah,60.0,mm-hmm yesterday is the first day,43.0
9878,3,1,00:32:07.900000,I'm also a big fan of this card game called (inaudible) pause filler,,x,,,,,I guess I like to read umm,86,let's see I'm also a big fan of this card game called magics and gathering umm,86.0,I guess I like to read umm,86.0,let's see I'm also a big fan of this card game called magics and gathering umm,86.0,we'll see,50.0
9876,3,1,00:31:59.800000,I guess I like to read pause filler and play soccer,,x,,,,,I guess I like to read umm,86,and play soccer umm,86.0,let's see I'm also a big fan of this card game called magics and gathering umm,86.0,I guess I like to read umm,86.0,and play soccer umm,86.0
916,10,1,00:53:53.800000,,and I'm so slow at it,,,x,,,there we go okay so you said forty-two,86,see you're much better at computation I'm so slow at it,86.0,she did a lot better than me,47.0,let's leave this with forty-two equals,43.0,oh wait that's like,40.0
9864,3,1,00:31:29.900000,(inaudible) gone is California you can get far but,,x,,,,,really high altitude so like I always get headaches when I get there but it's still fun,86,computer is nice,86.0,really high altitude so like I always get headaches when I get there but it's still fun,86.0,computer is nice,86.0,closest I have ever gone is to california it's far but,66.0
17439,8,2,00:03:35.800000,,I have the pause filler Galaxy Core Prime,x,,,,,the Scribbler thing,86,I wonder what they're doing,50.0,I'm about to trade in my phone for iPhone 6,44.0,because I got the 5c,44.0,I'm going hysterical,40.0
17417,8,1,00:48:26.200000,,and there's nothing on that page,,,x,,,so I was there,86,my cousin works there,86.0,let's go get them,86.0,I didn't get a full season pay,43.0,mm-hmm yesterday is the first day,40.0
17241,8,1,00:20:39.800000,so my handwriting is (inaudible),,,,x,,,so that's basically saying sixty-eight plus negative ten is also right,86,yeah sixty-eight minus ten is negative ten plus sixty-eight,86.0,so you have sixty-eight minus ten equals seven k,86.0,so can you do that,86.0,so my handwriting is terrible,83.0
9801,3,1,00:28:04.800000,,I don't have the exact (inaudible),x,,,,,I have to get braces,86,all my friends are getting their braces off and I'm getting them on,86.0,I have to get braces,86.0,all my friends are getting their braces off and I'm getting them on,86.0,I don't exactly know what I am in,55.0
15866,7,1,00:34:22.100000,,oh (laughter) all right,,,x,,,all right okay so the first one,86,oh (laughter) all right,86.0,no,43.0,so,43.0,what we probably want to do first is cancel out the three,43.0
17107,8,1,00:07:46.200000,all right so can you just,,,,,,x,so do you know the basic idea of how to do this?,86,awesome okay so just (inaudible) work just adding that all right,86.0,okay so when we have a negative right here we want to the other side,86.0,yeah and then sorry for my handwriting and so fifteen,86.0,alright,77.0
17065,8,1,00:00:38.200000,so pause filler how old are you,,,x,,,,so pause filler how old are you,86,okay so pause filler where do you go to school,86.0,so how did you get into this program,86.0,what grade are you in,55.0,alright so hi I'm Joey,48.0
17061,8,1,00:00:31.800000,okay so hi I'm Joey,,x,,,,,so pause filler how old are you,86,okay so pause filler where do you go to school,86.0,oh fine yeah I'm actually also ninth grade,86.0,I go to Dice,86.0,so how did you get into this program,86.0
9375,3,1,00:03:33.800000,yeah pause filler so am I,,x,,,,,x minus no but I'll try from that one here,86,three plus yeah I think that one can you see everything on that page,86.0,yeah that was actually okay,86.0,so yeah okay I can see you,86.0,okay so pause filler so what's your name,86.0
16506,7,2,00:21:39.000000,,(laughter) it's a fancyk,,,x,,,it's like a heart by looking at it,86,(laughter) it's a fancy k,86.0,oh yeah like how like a second later it kind of like yeah,86.0,okay I'm just going to like okay what's fifty-two plus eighteen,86.0,mm-hmm because then you cancel out eighteen on this side,46.0
1040,10,2,00:05:22.600000,,I just have the pause filler keypad,x,,,,,I'll look at all the programs they have on here,86,I'm not going to mess with anything like,86.0,that's the only thing I can look at right now,86.0,and I'm bored,86.0,like I think it's kind of hard with the pen at first,86.0
15356,7,1,00:01:20.400000,I'm twelve,,x,,,,,I'm turning thirteen pause filler on the thirtieth,86,mine's history,33.0,so how old are you,29.0,that's cool,29.0,so what's your worst subject do you think in school,27.0
15217,6,2,00:52:47.100000,,did you like did you shadow there,x,,x,,,no a lot of them are really like sporty and like smart,86,I know I think it's like whenever you're a senior you don't have to wear uniform,86.0,and I'm just like ha hi,51.0,yeah it's like get to those business casual,45.0,yeah they all seemed really nice,41.0
17424,8,2,00:01:25.400000,I hope we do know we got like 42 minutes like,,x,,,,,yeah I hope,86,also we got here or at least I got here a little late,51.0,yeah well I don't know my computer kind of froze and died,47.0,so we'll just have to wait for it to fix itself,41.0,we'll just have to work quickly,37.0
15309,6,2,00:56:33.200000,I was so sick of it,,x,,x,,,all my friends complain about it,86,and they all tell me how I should stay,86.0,and I'm just like you hated here too you know,86.0,like I don't know for private school I think it's literally miserable,86.0,but I think I saw you at interview day at Winchester,86.0
15315,6,2,00:56:40.200000,they let me in early because I'm responsible,,,,x,,,oh I'd I'd never (inaudible),86,I hate it I hate it so much ,86.0,and why I should stay,86.0,like I don't know for private school I think it's literally miserable,86.0,that like just occurred to me ,86.0
15303,6,2,00:56:23.100000,but like just a (inaudible),,,,x,,,you know how Shadyside's like really preppy atmosphere like,86,but like Winches.. Winchester seems like oh we want you to be adored,86.0,whereas Shadyside is like oh you don't do sport,86.0,and I'm just like you hated here too you know,86.0,like I don't know for private school I think it's literally miserable,86.0
15320,6,2,00:56:50.900000,I just needed (inaudible),,,,x,,,and I'm just like you hated here too you know,86,like I don't know for private school I think it's literally miserable,86.0,but I think I saw you at interview day at Winchester,86.0,it was so like this thing because I've been going since fourth grade,86.0,they let me in early cause I'm special ,86.0
15296,6,2,00:55:59.500000,I hate this,,,,x,,,"so, no, two people going who I like",86,"I think, I think it's like, I think it's a better fit for me cause of the atmos.. like",86.0,oh I'd I'd never (inaudible),86.0,I hate it I hate it so much ,86.0,and they all tell me how I should stay,86.0
747,10,1,00:44:07.800000,,and you understand the rules now,,,x,,,yeah I just don't want to watch this and (inaudible) and be like oh that girl didn't teach her anything,86,but sometimes like pause filler you can if you just follow like the rules,86.0,and you understand the rules gonna help but we all have different ways of thinking like some people are just like this is the rule and you follow this,86.0,and we're like well logically that doesn't make sense like that's like,86.0,I was like well logically like when I was writing negatives and stuff,86.0
15318,6,2,00:56:46.700000,,oh no they're going back,,,x,,,oh they're coming back,87,oh no I always saw you at TechNights,86.0,oh wow,86.0,but now I stopped going,52.0,that's a long time,49.0
13850,6,1,00:09:17.000000,okay you know whatever we can just have random scribbles (inaudible),,,,,,x,okay you know whatever we can just have random scribbles everywhere,87,that�s like wait (inaudible),86.0,how do I clear this bad bad okay,86.0,what would you do,86.0,I don't know if I can do that in my head,86.0
14586,6,2,00:04:17.800000,,they even accept the like problem things,,,x,,,they even exxed out the like problem things,87,oh they took mine,86.0,I can't really like see anything ,53.0,I don't have a mouse either,42.0,yeah they don't really trust us,42.0
376,10,1,00:23:05.000000,I have memorial hands on stuck on my hand,,,,x,,,I have memorial theme songs stuck on my hand,87,right now I'm tutoring you,86.0,I'm trying to solve it my mind first to see if I get it that's all,86.0,I have no clue what I'm doing,51.0,so I guess you'd have to cross cancel the negative number,45.0
488,10,1,00:30:03.200000,,and you were a good teacher so,,,,x,,and you were the teacher so,87,I don't want to eat mine in front of you then,86.0,I thought it would be like a stuff I didn't know,86.0,so when I find that I was going to do so I was looking,86.0,oh I'm like bad at math this isn't going to be good and then I thought well actually it's probably help to,86.0
13810,6,1,00:06:40.200000,I'm going to Shadyside,,x,,,,,I go to Shadyside,87,I think that�s under minimum (inaudible),86.0,the last study I did here took like five minutes and they paid me twenty bucks ,86.0,I didn't realize I was signing up to do math problems that I did for a homework,86.0,but I'm going to Winchester next year so,86.0
14577,6,2,00:03:53.200000,,hey do you have your stylus,,,x,,,wait do you have your stylus,87,I don't have a mouse either,53.0,yeah they don't really trust us,52.0,they even exxed out the like problem things,46.0,oh they took mine,40.0
9984,3,1,00:40:13.100000,,but you should start off by adding b on this side because sorry I just wrote over that pause filler you should start off by adding b because even though they both look the same that pause filler is worth less,,,,,x,you should start off by adding b on this side because sorry I just wrote over that pause filler you should start off by adding b on this side,88,you should start off by adding b on this side because sorry I just wrote over that pause filler you should start off by adding b on this side,88.0,all right so would want to divivde by two,86.0,variables first always but,86.0,so I just wrote over there,86.0
14613,6,2,00:06:14.700000,,that would be good,,,x,,,That'd be good ,88,so today we're getting like ,40.0,"I really hope they don't give us Skittles again, I don't like those, I don't ",38.0,twenty-five dollars oh okay,36.0,They're coming back,32.0
11108,4,1,00:29:27.400000,all right,,,,x,,,alright,88,I guess so,21.0,,0.0,,0.0,,0.0
14697,6,2,00:13:53.700000,hey that's doing like radicals and stuff so that's what we're doing,,,,x,,,are you guys doing like radicals and stuff cuz that's what we're doing,88,I wonder if they're watching us,86.0,oh that's so creepy,86.0,We both know how to do this,86.0,if nothing they should have done the study earlier in the year when we didn't know as much about algebra,86.0
13749,6,1,00:00:51.600000,so (inaudible) doing this study because I found that I was getting paid,,x,,,,,I'm literally doing this study because I found that I was getting paid,88,yeah that was like a few months ago right,86.0,I think that�s why everyone�s doing it,86.0,is that part of the study (laughter),86.0,hi,60.0
490,10,1,00:30:08.400000,,because like what if I'm usually that,x,,,,,because like what if I'm usually bad at maths,88,okay I don't want to be,86.0,but I knew it,86.0,oh I'm like bad at math this isn't going to be good and then I thought well actually it's probably help to,86.0,like I'm bad at math,86.0
146,10,1,00:09:31.700000,,yup pause filler just don't push the button,,,x,,,pause filler just don't push the button,88,it's okay I already kind of understand this so just do your best,86.0,okay like the opposite operation all right should I do this,86.0,yup,60.0,yup I see it same place you are,45.0
14659,6,2,00:09:44.000000,what are they using this information for (inaudible),,,,x,,,what are they even using this information for,89,(inaudible) I'm so tired,86.0,what are they even using this information for I don't even understand (inaudible),86.0,so what would you do first to this eighteen,47.0,I don't like that they took my phone,45.0
10185,3,2,00:01:52.100000,see spring break just started for me,,x,,,,,ah pretty good spring break just started for me,89,have you guys spring break yet,58.0,what about you,39.0,yeah nice to see you as well yeah,38.0,I've had the entire week off,38.0
17168,8,1,00:14:06.400000,mm-hmm okay so you pause filler what you're doing it's the same it's again probably pretty much the same thing as the one we did earlier it's just pause filler,,,,,,x,so you pause filler what you're doing it's the same it's again probably pretty much the same thing as the one we did earlier it's just pause filler,89,this is another one where you're not going to get a whole number,86.0,yeah so really it doesn't matter where the k ends,86.0,it just matters where you pause filler,86.0,I mean you just want to have the k by itself on one side,86.0
15875,7,1,00:35:08.800000,,no yay oh (laughter),,,x,,,no yay oh (laughter),90,oh my gosh whatever,86.0,(laughter) yeah but you have to add three to both sides,57.0,okay now on the next one,57.0,so if you added y to both sides,57.0
15283,6,2,00:55:31.800000,,don't go,,,x,,,don't go there go here,90,so I might go to Winchester,86.0,like I was like pretty much about to go to Winchester,86.0,oh yeah I wouldn't fit in there then,86.0,I liked it a lot,45.0
17144,8,1,00:10:44.000000,,pause filler I like this pen (inaudible),,,x,,,(inaudible),90,oh I like this pen,86.0,mm-hmm,30.0,uh-huh,30.0,hmm,20.0
14564,6,2,00:01:14.600000,,good yeah,x,,,,,yeah,90,yeah ,90.0,good (pause filler) yeah,86.0,so uh.. how are you,38.0,alright ,25.0
15910,7,1,00:38:44.600000,,(laughter) all right,,,x,,,(laughter) all right,90,just trying to go through it,50.0,it's on my leg pause filler,48.0,oh,45.0,so what's in the box,40.0
15994,7,1,00:44:48.100000,sort of (laughter),,,,x,,x,sort of (laughter),90,press field not the small part of it but the larger,86.0,they're so confusing,64.0,and then start drawing without touching it,51.0,oh I figured it out,49.0
16675,7,2,00:33:39.200000,,so like I know (laughter),,,x,,,so like I know (laughter),90,no,90.0,I'm the tutor (laughter),86.0,because I have the cheat sheet,86.0,I was just like going through them like,86.0
17171,8,1,00:14:24.800000,it just matters where you pause filler,,,,,,x,it just matters where you pause filler,90,so you pause filler what you're doing it's the same it's again probably pretty much the same thing as the one we did earlier it's just pause filler,86.0,yeah so really it doesn't matter where the k ends,86.0,I mean you just want to have the k by itself on one side,86.0,and so what you want to try to do is you want to get,86.0
