"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","P1","Experimenter 2","P2"
00:04:31.286,00:04:31.782,00:00:00.496,,,"(laughter)",,
00:04:32.898,00:04:36.420,00:00:03.522,,,,,"so are you on the pause filler Scribbler thing"
00:04:37.212,00:04:38.330,00:00:01.118,,,"no they put that down",,
00:04:38.427,00:04:38.839,00:00:00.412,,,,,"oh okay"
00:04:39.550,00:04:40.500,00:00:00.950,,,"and I'm not going to click on it",,
00:04:40.504,00:04:42.417,00:00:01.913,,,"so I don't mess anything though (laughter)",,
00:04:42.949,00:04:44.105,00:00:01.156,,,,,"I'm just wondering"
00:04:44.357,00:04:45.655,00:00:01.298,,,,,"because we are not"
00:04:53.811,00:04:56.229,00:00:02.418,,,,,"I'll look at all the programs they have on here"
00:04:56.701,00:04:57.187,00:00:00.486,,,"yeah",,
00:04:58.447,00:04:59.760,00:00:01.313,,,,,"I'm not going to mess with anything like"
00:05:00.594,00:05:01.187,00:00:00.593,,,,,"yeah"
00:05:01.475,00:05:03.086,00:00:01.611,,,,,"that's the only thing I can look at right now"
00:05:03.233,00:05:03.888,00:00:00.655,,,,,"and I'm bored"
00:05:03.888,00:05:03.952,00:00:00.064,,,"yeah",,"and I'm bored"
00:05:03.952,00:05:04.281,00:00:00.329,,,"yeah",,
00:05:10.152,00:05:10.231,00:00:00.079,,,,,"I need one of these"
00:05:10.231,00:05:10.635,00:00:00.404,,,"yeah",,"I need one of these"
00:05:10.635,00:05:11.364,00:00:00.729,,,,,"I need one of these"
00:05:11.982,00:05:13.504,00:00:01.522,,,,,"it's what I need because whenever"
00:05:13.504,00:05:13.983,00:00:00.479,,,"yeah",,"it's what I need because whenever"
00:05:13.983,00:05:14.247,00:00:00.264,,,,,"it's what I need because whenever"
00:05:14.247,00:05:17.934,00:00:03.687,,,,,"like I think it's kind of hard with the pen at first"
00:05:17.934,00:05:21.512,00:00:03.578,,,,,"but I feel like it would be easier over time instead of using a mouse"
00:05:21.679,00:05:22.629,00:00:00.950,,,,,"I don't even have a mouse"
00:05:22.629,00:05:26.464,00:00:03.835,,,,,"I just have the pause filler keypad"
00:05:27.105,00:05:27.493,00:00:00.388,,,"yeah",,
00:05:27.493,00:05:27.583,00:00:00.090,,,"yeah",,"yeah I just have that"
00:05:27.583,00:05:29.399,00:00:01.816,,,,,"yeah I just have that"
00:05:29.916,00:05:30.563,00:00:00.647,,,"what laptop do you have",,"so I feel like it here"
00:05:30.563,00:05:30.852,00:00:00.289,,,"what laptop do you have",,
00:05:31.497,00:05:31.737,00:00:00.240,,,,,"huh"
00:05:32.695,00:05:33.206,00:00:00.511,,,"what laptop do you have",,
00:05:33.762,00:05:34.720,00:00:00.958,,,,,"I have a ThinkPad"
00:05:34.874,00:05:35.988,00:00:01.114,,,,,"it's one of the older ones"
00:05:36.079,00:05:36.952,00:00:00.873,,,,,"it's like released long"
00:05:37.674,00:05:38.111,00:00:00.437,,,"yeah",,
00:05:38.346,00:05:41.304,00:00:02.958,,,,,"because I've been in case ever for like three years"
00:05:41.681,00:05:46.307,00:00:04.626,,,,,"I've had the full computer in those three years which is the same computer"
00:05:46.466,00:05:46.768,00:00:00.302,,,"yeah",,
00:05:48.203,00:05:50.266,00:00:02.063,,,"you've gone through a lot less computers than I have",,
00:05:50.266,00:05:54.128,00:00:03.862,,,,,"yeah well like I think I've broken one"
00:05:54.826,00:05:55.449,00:00:00.623,,,,,"I broken it"
00:05:55.449,00:05:57.452,00:00:02.003,,,,,"and I sent it to get them fixed or"
00:05:58.784,00:06:00.784,00:00:02.000,,,,,"I've to use my sister's"
00:06:00.913,00:06:03.575,00:00:02.662,,,,,"but it's obviously like the same type of computer"
00:06:04.013,00:06:05.991,00:00:01.978,,,,,"I know right now they have the bigger ones"
00:06:05.991,00:06:08.689,00:00:02.698,,,,,"is yours like smaller than usual"
00:06:09.855,00:06:09.918,00:00:00.063,,,"(pause filler)",,
00:06:09.918,00:06:10.762,00:00:00.844,,,"(pause filler)",,"or is it normal size"
00:06:10.762,00:06:11.827,00:00:01.065,,,,,"or is it normal size"
00:06:12.005,00:06:12.863,00:00:00.858,,,"I don't know",,
00:06:13.530,00:06:17.821,00:00:04.291,,,"out of all the laptops I've had probably like the third biggest",,
00:06:18.416,00:06:21.175,00:00:02.759,,,,,"yeah mine is like really small"
00:06:22.402,00:06:22.829,00:00:00.427,,,,,"like is"
00:06:23.824,00:06:26.385,00:00:02.561,,,,,"it's probably even smaller than this cad thing"
00:06:27.555,00:06:29.307,00:00:01.752,,,"yeah you must have the same one as my sister then",,
00:06:29.307,00:06:31.872,00:00:02.565,,,"because my sister has like the older and half the size of this",,
00:06:31.997,00:06:34.875,00:00:02.878,,,,,"yeah I don't know why they make it so small"
00:06:35.114,00:06:38.022,00:00:02.908,,,,,"but it's probably because when I type on that computer"
00:06:38.055,00:06:40.301,00:00:02.246,,,,,"and then I type on a bigger computer and"
00:06:40.301,00:06:40.698,00:00:00.397,,,"and like way (inaudible)",,"and then I type on a bigger computer and"
00:06:40.698,00:06:41.209,00:00:00.511,,,"and like way (inaudible)",,"I yeah and I always mistype"
00:06:41.209,00:06:43.695,00:00:02.486,,,,,"I yeah and I always mistype"
00:06:43.810,00:06:47.430,00:00:03.620,,,,,"because my hands are so used to typing on a smaller ones"
00:06:47.432,00:06:50.407,00:00:02.975,,,,,"when it's bigger it's like throws everything off"
00:06:51.215,00:06:59.946,00:00:08.731,,,,,"and so there's always typos sort of like change to do stuff on my sister's computer any computer that's normal sized"
00:07:00.397,00:07:04.220,00:00:03.823,,,"yeah and I am pretty bad at typing anyway so",,
00:07:04.369,00:07:04.877,00:00:00.508,,,"(laughter)",,
00:07:05.103,00:07:06.583,00:00:01.480,,,,,"I used to be horrible at typing"
00:07:06.969,00:07:10.580,00:00:03.611,,,,,"and then I think just from doing cyber school I got better at it"
00:07:10.734,00:07:12.187,00:00:01.453,,,,,"I'm not going to say I'm fast"
00:07:12.226,00:07:15.762,00:00:03.536,,,,,"but I can do it better than I could three years ago"
00:07:17.678,00:07:20.491,00:00:02.813,,,"yeah I'm pretty slow at it (laughter)",,
00:07:23.519,00:07:25.650,00:00:02.131,,,,,"but it's better than my handwriting"
00:07:25.650,00:07:26.541,00:00:00.891,,,,,"and everything is all perfect"
00:07:26.541,00:07:26.818,00:00:00.277,,,"(laughter)",,"and everything is all perfect"
00:07:26.818,00:07:27.037,00:00:00.219,,,"(laughter)",,
00:07:27.037,00:07:27.039,00:00:00.002,,,"(laughter)",,"so I would prefer than to writing on paper"
00:07:27.039,00:07:31.125,00:00:04.086,,,,,"so I would prefer than to writing on paper"
00:07:31.642,00:07:35.804,00:00:04.162,,,,"okay cool our server is functioning properly",
00:07:35.820,00:07:37.249,00:00:01.429,,,,"and we're good to go",
00:07:45.066,00:07:45.874,00:00:00.808,,,,"so we're ready",
00:07:46.153,00:07:46.981,00:00:00.828,,"okay so",,,
00:07:46.981,00:07:48.827,00:00:01.846,,,,"shell be on green",
00:07:48.827,00:07:49.665,00:00:00.838,,,,"you'll be on black",
00:07:49.895,00:07:50.224,00:00:00.329,,,,,"okay"
00:07:50.224,00:07:52.708,00:00:02.484,,,,"pause filler and just make sure that she's not solving (inaudible)",
00:07:52.708,00:07:53.297,00:00:00.589,,,,,"wait what (inaudible)"
00:07:53.297,00:07:57.368,00:00:04.071,,"those are like this has to be here",,,
00:07:57.368,00:08:01.159,00:00:03.791,,,,"just make sure that she's not pause filler solving for you",
00:08:01.159,00:08:03.005,00:00:01.846,,,,"that you're the one solving",
00:08:03.005,00:08:05.868,00:00:02.863,,,,"and she's kind of helping you and teaching you",
00:08:05.868,00:08:07.335,00:00:01.467,,,,"pause filler so you can get started",
00:08:07.335,00:08:09.799,00:00:02.464,,,,"you have twenty minutes",
00:08:09.799,00:08:12.214,00:00:02.415,,,,"just answer as many as you can",
00:08:12.214,00:08:13.441,00:00:01.227,,,,"just make sure you show you work and mm-hmm",
00:08:13.441,00:08:17.292,00:00:03.851,,"and pause filler if you have a problem just come and get us",,,
00:08:17.292,00:08:17.991,00:00:00.699,,"we'll probably tell you",,,
00:08:17.991,00:08:18.829,00:00:00.838,,"just keep working",,,
00:08:19.562,00:08:20.859,00:00:01.297,,,,,"we have twenty minutes all the way"
00:08:21.406,00:08:22.492,00:00:01.086,,,,,"because we have two different times"
00:08:22.492,00:08:23.703,00:00:01.211,,,,,"we're trying to figure out which one is correct"
00:08:23.999,00:08:25.578,00:00:01.579,,"mine says seven twenty-eight",,,
00:08:25.663,00:08:27.203,00:00:01.540,,,"that's mine",,
00:08:27.203,00:08:27.312,00:00:00.109,,,"that's mine",,"I got eight ���o seven"
00:08:27.312,00:08:28.390,00:00:01.078,,,,,"I got eight ���o seven"
00:08:29.296,00:08:29.703,00:00:00.407,,"eight o seven",,,
00:08:29.992,00:08:32.156,00:00:02.164,,,"well what did I say eight o seven",,
00:08:32.820,00:08:34.820,00:00:02.000,,"but that's incorrect",,,
00:08:35.117,00:08:35.156,00:00:00.039,,,"yeah",,
00:08:35.156,00:08:35.632,00:00:00.476,,,"yeah",,"very"
00:08:35.632,00:08:35.640,00:00:00.008,,,"yeah",,
00:08:35.640,00:08:35.726,00:00:00.086,,"so you have twenty minutes pause filler yeah","yeah",,
00:08:35.726,00:08:38.921,00:00:03.195,,"so you have twenty minutes pause filler yeah",,,
00:08:41.048,00:08:42.335,00:00:01.287,,,,,"just ask me for the time"
00:08:42.335,00:08:44.261,00:00:01.926,,,,,"and I'll tell you what's the time"
00:08:44.999,00:08:46.999,00:00:02.000,,"all right I'll be back",,,
00:08:47.257,00:08:51.046,00:00:03.789,,"you have twenty minutes",,,
00:08:51.046,00:08:51.054,00:00:00.008,,"you have twenty minutes",,,"oh twenty minutes really"
00:08:51.054,00:08:53.796,00:00:02.742,,,,,"oh twenty minutes really"
00:08:53.835,00:08:56.273,00:00:02.438,,,"I know right I know (inaudible)",,
00:08:57.082,00:09:01.992,00:00:04.910,,,,,"okay so this isn't anything new I don't think"
00:09:02.398,00:09:02.843,00:00:00.445,,,"nope",,
00:09:04.679,00:09:06.679,00:00:02.000,,,,,"I'm going to draw the line"
00:09:06.680,00:09:09.226,00:00:02.546,,,,,"because that helps me for some reason"
00:09:09.335,00:09:16.703,00:00:07.368,,,,,"I'm guessing I'm supposed to subtract x"
00:09:17.499,00:09:19.929,00:00:02.430,,,,,"because that's what the papers were saying"
00:09:20.640,00:09:20.726,00:00:00.086,,,"it's that",,
00:09:20.726,00:09:21.179,00:00:00.453,,,"it's that",,"is that correct because no"
00:09:21.179,00:09:23.502,00:00:02.323,,,,,"is that correct because no"
00:09:23.502,00:09:25.058,00:00:01.556,,,,,"no I'm supposed to divide x"
00:09:25.677,00:09:27.156,00:00:01.479,,,,,"I'm not sure one minute"
00:09:27.156,00:09:27.912,00:00:00.756,,,,,"let me think"
00:09:30.418,00:09:37.421,00:00:07.003,,,,,"pause filler yeah yeah"
00:09:37.421,00:09:40.820,00:00:03.399,,,,,"and just make this forty over x"
00:09:45.479,00:09:45.952,00:00:00.473,,,"cool",,
00:09:48.486,00:09:49.872,00:00:01.386,,,,,"okay this might be right"
00:09:49.872,00:10:01.236,00:00:11.364,,,,,"so then if I did that I have eight over seven equals forty oops"
00:10:01.236,00:10:04.189,00:00:02.953,,,,,"oops I clicked the find okay"
00:10:04.959,00:10:06.105,00:00:01.146,,,"not that button",,
00:10:07.783,00:10:08.587,00:00:00.804,,,,,"I wish it was red"
00:10:08.709,00:10:12.309,00:00:03.600,,,,,"and then it can say don't click the red button"
00:10:12.309,00:10:12.614,00:00:00.305,,,"(laughter)",,"and then it can say don't click the red button"
00:10:12.614,00:10:13.033,00:00:00.419,,,"(laughter)",,
00:10:15.094,00:10:19.297,00:00:04.203,,,,,"okay does that make any sense I think"
00:10:19.297,00:10:19.641,00:00:00.344,,,"I think so",,"okay does that make any sense I think"
00:10:19.641,00:10:20.522,00:00:00.881,,,"I think so",,
00:10:21.297,00:10:21.513,00:00:00.216,,,,,"I think"
00:10:21.513,00:10:21.610,00:00:00.097,,,"pause filler maybe we're using cross products",,"I think"
00:10:21.610,00:10:24.842,00:00:03.232,,,"pause filler maybe we're using cross products",,
00:10:24.842,00:10:27.466,00:00:02.624,,,"where like it go seven times forty and three times x equals",,
00:10:27.466,00:10:28.444,00:00:00.978,,,"where like it go seven times forty and three times x equals",,"oh you could do that or you could just"
00:10:28.444,00:10:31.749,00:00:03.305,,,,,"oh you could do that or you could just"
00:10:34.061,00:10:35.432,00:00:01.371,,,,,"I think I did that wrong"
00:10:36.356,00:10:36.845,00:00:00.489,,,,,"what do you think"
00:10:36.845,00:10:38.252,00:00:01.407,,,,,"because I think I did that wrong"
00:10:38.751,00:10:41.165,00:00:02.414,,,"pause filler when I learned it it was set up this way",,
00:10:41.165,00:10:42.432,00:00:01.267,,,"but we used cross products",,
00:10:42.432,00:10:42.753,00:00:00.321,,,"so it would be forty times seven and forty times x",,
00:10:42.753,00:10:43.499,00:00:00.746,,,"so it would be forty times seven and forty times x",,""
00:10:43.499,00:10:45.934,00:00:02.435,,,"so it would be forty times seven and forty times x",,
00:10:46.344,00:10:46.613,00:00:00.269,,,,,"okay"
00:10:47.783,00:10:51.993,00:00:04.210,,,"but it's not about how I learned it so no promises (laughter)",,
00:10:51.993,00:10:51.999,00:00:00.006,,,"but it's not about how I learned it so no promises (laughter)",,"so forty times does that mean just got to cross that out"
00:10:51.999,00:11:08.812,00:00:16.813,,,,,"so forty times does that mean just got to cross that out"
00:11:09.261,00:11:19.357,00:00:10.096,,,"or maybe we're supposed to multiply both the sides by the thing worth writing so like three seven times three seven and forty time three seventh",,
00:11:19.937,00:11:21.933,00:00:01.996,,,,,"yeah that might make sense"
00:11:22.567,00:11:25.439,00:00:02.872,,,,,"but like that's doing the same thing right"
00:11:25.594,00:11:26.722,00:00:01.128,,,"yeah pretty much",,
00:11:27.560,00:11:34.824,00:00:07.264,,,,,"okay I'm going to try this so forty times seven"
00:11:34.824,00:11:37.289,00:00:02.465,,,,,"how come I don't have that memorized"
00:11:37.289,00:11:37.432,00:00:00.143,,,"I don't know",,"how come I don't have that memorized"
00:11:37.432,00:11:37.973,00:00:00.541,,,"I don't know",,
00:11:38.315,00:11:40.289,00:00:01.974,,,,,"let's do it in my head"
00:11:51.520,00:11:53.506,00:00:01.986,,,,,"would that be two hundred and eighty"
00:11:54.288,00:11:55.247,00:00:00.959,,,,,"that's what I got"
00:11:58.164,00:12:01.391,00:00:03.227,,,"yeah two eighty",,
00:12:02.237,00:12:06.262,00:00:04.025,,,,,"two eighty that way right that's the top or the bottom"
00:12:06.282,00:12:07.190,00:00:00.908,,,,,"I think that's the top"
00:12:07.557,00:12:09.435,00:00:01.878,,,"top because forty times seven",,
00:12:09.435,00:12:12.378,00:00:02.943,,,,,"yeah over a three x then"
00:12:12.837,00:12:13.046,00:00:00.209,,,"yeah",,
00:12:18.646,00:12:29.734,00:00:11.088,,,,,"and then I'm confused"
00:12:29.741,00:12:41.761,00:00:12.020,,,,,"because it's supposed to say like in the format of this equals like constant constant constant equals variable or something like that"
00:12:42.629,00:12:44.612,00:00:01.983,,,,,"so now it's just fraction"
00:12:46.966,00:12:48.845,00:00:01.879,,,,,"oh well I'll see"
00:12:48.891,00:12:51.759,00:00:02.868,,,,,"maybe I'll get the right answer and just be doing it the wrong way"
00:12:52.238,00:12:52.891,00:00:00.653,,,"(laughter)",,
00:12:58.981,00:13:03.013,00:00:04.032,,,,,"so try to get rid of yeah see"
00:13:03.013,00:13:05.635,00:00:02.622,,,"I'm looking at it",,"so try to get rid of yeah see"
00:13:05.635,00:13:05.644,00:00:00.009,,,"I'm looking at it",,
00:13:05.644,00:13:07.074,00:00:01.430,,,"I'm looking at it",,"now this is all messed up"
00:13:07.074,00:13:07.433,00:00:00.359,,,"I'm looking at it",,
00:13:08.627,00:13:10.355,00:00:01.728,,,"(pause filler) I'm looking at-",,
00:13:10.411,00:13:10.965,00:00:00.554,,,"I'm not quite sure",,
00:13:11.075,00:13:12.382,00:00:01.307,,,"I never learned about this one",,
00:13:12.581,00:13:17.670,00:00:05.089,,,,,"yeah okay maybe I should try it a different way"
00:13:17.670,00:13:20.344,00:00:02.674,,,,,"and then if it doesn't work I'll come back to it"
