,Dyad,Session,Period,P1,P2,Time_begin,Time_end,Duration,SV_Tutor,SV_Tutee,PR_Tutor,PR_Tutee,SD_Tutor,SD_Tutee
9347,3,1,S1 ,,I just can't see the problem,02:17.0,02:21.0,00:04.0,,,,,,
9348,3,1,S1 ,okay pause filler see it says it's like on the top it says scribbler room hw seven bchn five,,02:21.0,02:29.0,00:08.0,,,,,,
9349,3,1,S1 ,I don't know if you saw that,,02:31.0,02:34.0,00:03.0,,,,,SD,
9350,3,1,S1 ,,here wait wait wait wait,02:34.0,02:36.0,00:02.0,,,,,,
9351,3,1,S1 ,pause filler I guess I could try,,02:36.0,02:37.0,00:01.0,,,,,,
9352,3,1,S1 ,,is this it,02:39.0,02:40.0,00:01.0,,,,,,
9353,3,1,S1 ,pause filler I can't view what room you're on all I can see is your pause filler yeah,,02:41.0,02:46.0,00:05.0,,,,,,
9354,3,1,S1 ,,is it x minus six equals thirteen,02:46.0,02:51.0,00:05.0,,,,,,
9355,3,1,S1 ,x minus no,,02:52.0,02:53.0,00:01.0,,,,,,
9356,3,1,S1 ,but I'll try from that one here,,02:53.0,02:57.0,00:04.0,,,,,,
9357,3,1,S1 ,,wait is it three plus x equals twenty-two,02:57.0,03:01.0,00:04.0,,,,,,
9358,3,1,S1 ,three plus yeah I think that one,,03:02.0,03:04.0,00:02.0,,,,,,
9359,3,1,S1 ,can you see everything on that page,,03:04.0,03:06.0,00:02.0,,,,,,
9360,3,1,S1 ,,yeah,03:06.0,03:06.0,00:00.0,,,,,,
9361,3,1,S1 ,,I see all the like mint green scribble stuff,03:06.0,03:10.0,00:04.0,,,,,,
9362,3,1,S1 ,yeah that was the (inaudible) okay,,03:10.0,03:13.0,00:03.0,,,,,,
9363,3,1,S1 ,so yeah okay I can see you,,03:14.0,03:16.0,00:02.0,,,,,,
9364,3,1,S1 ,okay so pause filler so what's your name,,03:17.0,03:20.0,00:03.0,,,,,QE,
9365,3,1,S1 ,,my name is McKenna,03:20.0,03:22.0,00:02.0,,,,,,SD
9366,3,1,S1 ,,what about you,03:22.0,03:22.0,00:00.0,,,,,,QE
9367,3,1,S1 ,I'm Maya yeah,,03:22.0,03:24.0,00:02.0,,,,,SD,
9368,3,1,S1 ,,wait what's your name,03:24.0,03:25.0,00:01.0,,,,,,QE
9369,3,1,S1 ,Maya,,03:25.0,03:25.0,00:00.0,,,,,SD,
9370,3,1,S1 ,,oh that's a pretty name,03:25.0,03:27.0,00:02.0,,,,LPA,,
9371,3,1,S1 ,thanks,,03:27.0,03:28.0,00:01.0,,,,,,
9372,3,1,S1 ,so pause filler do you know any algebra,,03:28.0,03:31.0,00:03.0,,,,,SD,
9373,3,1,S1 ,,yeah,03:32.0,03:32.0,00:00.0,,,,,,
9374,3,1,S1 ,,I'm an algebra one this year,03:32.0,03:33.0,00:01.0,,,,,,SD
9375,3,1,S1 ,yeah pause filler so am I,,03:34.0,03:35.0,00:01.0,,,,,SD,
9376,3,1,S1 ,,so what grade are you in,03:35.0,03:38.0,00:03.0,,,,,,QE
9377,3,1,S1 ,I'm in seventh grade,,03:38.0,03:39.0,00:01.0,,,,,SD,
9378,3,1,S1 ,,oh I'm in eighth grade,03:39.0,03:40.0,00:01.0,,,,,,SD
9379,3,1,S1 ,okay,,03:43.0,03:44.0,00:01.0,,,,,,
9380,3,1,S1 ,yeah pause filler so I guess we're supposed to work through these problems,,03:44.0,03:50.0,00:06.0,,,,,,
9381,3,1,S1 ,not,,03:52.0,03:52.0,00:00.0,,,,,,
9382,3,1,S1 ,,all right so just get rid of the scribbles I guess so that,03:52.0,03:58.0,00:06.0,,,,,,
9383,3,1,S1 ,okay so pause filler,,03:58.0,04:00.0,00:02.0,,,,,,
9384,3,1,S1 ,so like what I do is before I started erasing the problem,,04:03.0,04:06.0,00:03.0,,,,,,
9385,3,1,S1 ,so I think I'm just going to have to rewrite that problem,,04:07.0,04:09.0,00:02.0,,,,,,
9386,3,1,S1 ,and that did okay adjacent pencil,,04:11.0,04:14.0,00:03.0,,,,,,
9387,3,1,S1 ,pause filler let's see three plus x equals twenty-two,,04:15.0,04:23.0,00:08.0,,,,,,
9388,3,1,S1 ,,all right,04:23.0,04:24.0,00:01.0,,,,,,
9389,3,1,S1 ,so I assume you probably know how to solve this one,,04:28.0,04:34.0,00:06.0,,,,,,
9390,3,1,S1 ,,yes,04:34.0,04:34.0,00:00.0,,,,,,
9391,3,1,S1 ,,pause filler sorry you're tutoring me first,04:34.0,04:36.0,00:02.0,,,,,,
9392,3,1,S1 ,that's what I think they said,,04:36.0,04:38.0,00:02.0,,,,,,
9393,3,1,S1 ,,okay,04:38.0,04:38.0,00:00.0,,,,,,
9394,3,1,S1 ,so I guess pause filler you need to get x on leave only a thing on one side,,04:39.0,04:47.0,00:08.0,,,,,,
9395,3,1,S1 ,so you're going to have to get rid of three,,04:47.0,04:49.0,00:02.0,,,,,,
9396,3,1,S1 ,,yeah so would you have to subtract three from both sides,04:49.0,04:53.0,00:04.0,,,,,,
9397,3,1,S1 ,pause filler yeah,,04:53.0,04:54.0,00:01.0,,,,,,
9398,3,1,S1 ,so can you do it on there,,04:54.0,04:56.0,00:02.0,,,,,,
9399,3,1,S1 ,,yeah,04:56.0,04:57.0,00:01.0,,,,,,
9400,3,1,S1 ,,do you see,04:57.0,04:58.0,00:01.0,,,,,,
9401,3,1,S1 ,yup,,04:58.0,04:58.0,00:00.0,,,,,,
9402,3,1,S1 ,,and then this cancels out,04:58.0,05:05.0,00:07.0,,,,,,
9403,3,1,S1 ,,so then you're just left with x equals,05:06.0,05:11.0,00:05.0,,,,,,
9404,3,1,S1 ,,huh,05:15.0,05:15.0,00:00.0,,,,,,
9405,3,1,S1 ,,oh okay,05:16.0,05:16.0,00:00.0,,,,,,
9406,3,1,S1 ,,it's working,05:16.0,05:17.0,00:01.0,,,,,,
9407,3,1,S1 ,,all right great,05:18.0,05:19.0,00:01.0,,,,,,
9408,3,1,S1 ,,all right so we had to go on a different page,05:26.0,05:29.0,00:03.0,,,,,,
9409,3,1,S1 ,,we went on this page with this equals x,05:29.0,05:32.0,00:03.0,,,,,,
9410,3,1,S1 ,,uh-huh,05:33.0,05:33.0,00:00.0,,,,,,
9411,3,1,S1 ,,yeah,05:36.0,05:37.0,00:01.0,,,,,,
9412,3,1,S1 ,,wait are you on the yeah,05:42.0,05:43.0,00:01.0,,,,,,
9413,3,1,S1 ,,okay great great,05:43.0,05:48.0,00:05.0,,,,UL,,
9414,3,1,S1 ,,all right thank you,05:48.0,05:50.0,00:02.0,,,,,,
9415,3,1,S1 ,yeah,,05:50.0,05:50.0,00:00.0,,,,,,
9416,3,1,S1 ,accidentally got this (inaudible) it's like over the things you can't really erase,,05:50.0,05:55.0,00:05.0,,,,,,
9417,3,1,S1 ,so,,05:57.0,05:57.0,00:00.0,,,,,,
9418,3,1,S1 ,because (inaudible) it's like we loaded the page for some reason,,06:08.0,06:11.0,00:03.0,,,,,,
9419,3,1,S1 ,okay pause filler yeah so they exactly know what's happening,,06:13.0,06:17.0,00:04.0,,,,,,
9420,3,1,T1 ,,,06:14.0,20:07.0,13:53.0,,,,,,
9421,3,1,T1 ,now this pen is sort of cool,,06:17.0,06:22.0,00:05.0,SV,,,,,
9422,3,1,T1 ,,so what school do you go to,06:25.0,06:26.0,00:01.0,,SV,,,,
9423,3,1,T1 ,I go to SciTech,,06:26.0,06:27.0,00:01.0,SV,,,,,
9424,3,1,T1 ,what about you,,06:27.0,06:28.0,00:01.0,SV,,,,,
9425,3,1,T1 ,,oh I go to West Allegheny yeah,06:28.0,06:30.0,00:02.0,,SV,,,,
9426,3,1,T1 ,yeah,,06:31.0,06:31.0,00:00.0,,,,,,
9427,3,1,T1 ,,so is math your favorite subject,06:33.0,06:37.0,00:04.0,,,,,,
9428,3,1,T1 ,I mean I like math because it I mean it's sort of fun,,06:37.0,06:42.0,00:05.0,SV,,,,,
9429,3,1,T1 ,but you got yeah homework listed and all that those are unfun stuff,,06:42.0,06:49.0,00:07.0,SV,,,,,
9430,3,1,T1 ,,yeah,06:49.0,06:49.0,00:00.0,,SV,,,,
9431,3,1,T1 ,,all right so are you on the same page,07:00.0,07:10.0,00:10.0,,,,,,
9432,3,1,T1 ,yeah I'm on the same page,,07:11.0,07:13.0,00:02.0,,,,,,
9433,3,1,T1 ,pause filler did they change your page or,,07:13.0,07:14.0,00:01.0,,,,,,
9434,3,1,T1 ,,pause filler x minus six equals thirteen,07:15.0,07:17.0,00:02.0,,,,,,
9435,3,1,T1 ,pause filler no,,07:17.0,07:17.0,00:00.0,,,,,,
9436,3,1,T1 ,pause filler I don't know I don't know so you want me to get to that one,,07:18.0,07:22.0,00:04.0,,,,,,
9437,3,1,T1 ,let's see,,07:22.0,07:22.0,00:00.0,,,,,,
9438,3,1,T1 ,is that one it,,07:23.0,07:24.0,00:01.0,,,,,,
9439,3,1,T1 ,no that is not it,,07:25.0,07:27.0,00:02.0,,,,,,
9440,3,1,T1 ,,well so,07:28.0,07:28.0,00:00.0,,,,,,
9441,3,1,T1 ,yeah saw it,,07:28.0,07:29.0,00:01.0,,,,,,
9442,3,1,T1 ,yeah I'm on this page now,,07:29.0,07:30.0,00:01.0,,,,,,
9443,3,1,T1 ,,all right great,07:30.0,07:31.0,00:01.0,,,,,,
9444,3,1,T1 ,,so you're going to work me through these problems I guess,07:31.0,07:36.0,00:05.0,,,,,,
9445,3,1,T1 ,,,07:37.0,08:22.0,00:45.0,,,,,,
9446,3,1,T1 ,okay so pause filler as we're doing equal,,07:37.0,07:38.0,00:01.0,,,,,,
9447,3,1,T1 ,so I wonder if I can circle all right here,,07:38.0,07:42.0,00:04.0,,,,,,
9448,3,1,T1 ,,done huh,07:42.0,07:43.0,00:01.0,,,,,,
9449,3,1,T1 ,yeah you're going to have to get rid of that six,,07:43.0,07:52.0,00:09.0,,,,,,
9450,3,1,T1 ,,yeah so you would have to add six right,07:52.0,07:55.0,00:03.0,,,,,,
9451,3,1,T1 ,yeah,,07:56.0,07:56.0,00:00.0,,,,,,
9452,3,1,T1 ,so do you want to add six to both of those sides,,07:56.0,07:59.0,00:03.0,,,,,,
9453,3,1,T1 ,,oh gosh (laughter),08:01.0,08:02.0,00:01.0,,,,,,
9454,3,1,T1 ,I know,,08:02.0,08:03.0,00:01.0,,,,,,
9455,3,1,T1 ,this writing with this stuff is so weird,,08:03.0,08:05.0,00:02.0,SV,,,,,
9456,3,1,T1 ,,so pause filler you add six,08:05.0,08:07.0,00:02.0,,,,,,
9457,3,1,T1 ,,and then you get x equals nineteen,08:07.0,08:09.0,00:02.0,,,,,,
9458,3,1,T1 ,,oh gosh,08:10.0,08:11.0,00:01.0,,,,,,
9459,3,1,T1 ,so okay pause filler,,08:11.0,08:14.0,00:03.0,,,,,,
9460,3,1,T1 ,,oh that didn't work yeah,08:15.0,08:18.0,00:03.0,,,,,,
9461,3,1,T1 ,but do you know how to get to the next problem,,08:18.0,08:22.0,00:04.0,,,,,,
9462,3,1,T1 ,,yeah,08:22.0,08:22.0,00:00.0,,,,,,
9463,3,1,T1 ,,we go onto the next page,08:22.0,08:27.0,00:05.0,,,,,,
9464,3,1,T1 ,oh (laughter) okay,,08:27.0,08:27.0,00:00.0,,,,,,
9465,3,1,T1 ,pause filler okay for this one it's sort of the same thing,,08:27.0,08:30.0,00:03.0,,,,,,
9466,3,1,T1 ,,,08:30.0,09:11.0,00:41.0,,,,,,
9467,3,1,T1 ,so you want to get pause filler or does the eight,,08:30.0,08:35.0,00:05.0,,,,,,
9468,3,1,T1 ,,yeah and that's a negative so you would have to add it,08:35.0,08:40.0,00:05.0,,,,,,
9469,3,1,T1 ,yeah just like the last one,,08:40.0,08:54.0,00:14.0,,,,,,
9470,3,1,T1 ,,oh gosh,08:54.0,08:58.0,00:04.0,,,,,,
9471,3,1,T1 ,okay,,08:59.0,08:59.0,00:00.0,,,,,,
9472,3,1,T1 ,that was it not bad,,08:59.0,09:00.0,00:01.0,,,,,,
9473,3,1,T1 ,,fifteen sixteen seventeen eighteen nineteen twenty twenty-one twenty-two,09:00.0,09:13.0,00:13.0,,,,,,
9474,3,1,T1 ,,all right next page right,09:14.0,09:15.0,00:01.0,,,,,,
9475,3,1,T1 ,yup,,09:17.0,09:17.0,00:00.0,,,,,,
9476,3,1,T1 ,,,09:17.0,09:49.0,00:32.0,,,,,,
9477,3,1,T1 ,there we go (laughter),,09:17.0,09:18.0,00:01.0,,,,,,
9478,3,1,T1 ,okay pause filler so this one is a lot like the other ones,,09:18.0,09:21.0,00:03.0,,,,,,
9479,3,1,T1 ,except for this one yeah you don't want to add it,,09:21.0,09:24.0,00:03.0,,,,,,
9480,3,1,T1 ,,yeah so you have to subtract,09:24.0,09:26.0,00:02.0,,,,,,
9481,3,1,T1 ,,so you would subtract eleven because it's a positive right,09:27.0,09:33.0,00:06.0,,,,,,
9482,3,1,T1 ,yeah,,09:33.0,09:33.0,00:00.0,,,,,,
9483,3,1,T1 ,,all right so minus eleven,09:34.0,09:36.0,00:02.0,,,,,,
9484,3,1,T1 ,,then those who cancel out,09:43.0,09:45.0,00:02.0,,,,,,
9485,3,1,T1 ,,so it would be k equals six,09:45.0,09:46.0,00:01.0,,,,,,
9486,3,1,T1 ,yeah,,09:47.0,09:47.0,00:00.0,,,,,,
9487,3,1,T1 ,,oh gosh,09:49.0,09:49.0,00:00.0,,,,,,
9488,3,1,T1 ,,this is so messy,09:49.0,09:51.0,00:02.0,,,,,,
9489,3,1,T1 ,,oh,09:51.0,09:51.0,00:00.0,,,,,,
9490,3,1,T1 ,okay so this time we pause filler yeah only one term on the other side so yeah,,09:51.0,10:01.0,00:10.0,,,,,,
9491,3,1,T1 ,,,09:58.0,11:57.0,01:59.0,,,,,,
9492,3,1,T1 ,pause filler so you want to get rid of the forty-four,,10:01.0,10:04.0,00:03.0,,,,,,
9493,3,1,T1 ,so the coefficient of x is one so,,10:04.0,10:06.0,00:02.0,,,,,,
9494,3,1,T1 ,,yeah pause filler so you want to get rid of the forty-four so the coefficient of x is one so,10:07.0,10:13.0,00:06.0,,,,,,
9495,3,1,T1 ,,yeah,10:13.0,10:14.0,00:01.0,,,,,,
9496,3,1,T1 ,do you know how to do that,,10:15.0,10:17.0,00:02.0,,,,,,
9497,3,1,T1 ,,yeah yeah yeah yeah,10:17.0,10:18.0,00:01.0,,,,,,
9498,3,1,T1 ,,so you'd have to divide because it's multiplication,10:18.0,10:22.0,00:04.0,,,,,,
9499,3,1,T1 ,,then you do the opposites,10:22.0,10:23.0,00:01.0,,,,,,
9500,3,1,T1 ,,so divided by forty,10:23.0,10:24.0,00:01.0,,,,,,
9501,3,1,T1 ,yeah,,10:24.0,10:25.0,00:01.0,,,,,,
9502,3,1,T1 ,,it's so weird,10:26.0,10:27.0,00:01.0,,,,,,
9503,3,1,T1 ,,because I have to like I have to take a moment to think now,10:27.0,10:31.0,00:04.0,,,,,,
9504,3,1,T1 ,,because I'm so accustomed in my class to using calculators like she lets s,10:31.0,10:35.0,00:04.0,,,,,,
9505,3,1,T1 ,I know yeah,,10:35.0,10:37.0,00:02.0,,,,,,
9506,3,1,T1 ,,so divide it,10:37.0,10:38.0,00:01.0,,,,,,
9507,3,1,T1 ,on personal calculators and I just pull it up,,10:38.0,10:41.0,00:03.0,,,,,,
9508,3,1,T1 ,,yeah wait oh gosh,10:41.0,10:44.0,00:03.0,,,,,,
9509,3,1,T1 ,,is this what even is this then (laughter),10:44.0,10:49.0,00:05.0,,,,,,
9510,3,1,T1 ,,ten x equals twenty-two divided two hundred and twenty divided by forty-four,10:54.0,11:03.0,00:09.0,,,,,,
9511,3,1,T1 ,yeah I wonder if I could,,11:05.0,11:08.0,00:03.0,,,,,,
9512,3,1,T1 ,pause filler so that's like a forty-four on that side,,11:08.0,11:10.0,00:02.0,,,,,,
9513,3,1,T1 ,that was lovely,,11:10.0,11:11.0,00:01.0,,,,,,
9514,3,1,T1 ,okay I know what I mean,,11:11.0,11:12.0,00:01.0,,,,,,
9515,3,1,T1 ,and two hundred twenty,,11:13.0,11:14.0,00:01.0,,,,,,
9516,3,1,T1 ,see you can go I see like pause filler,,11:15.0,11:18.0,00:03.0,,,,,,
9517,3,1,T1 ,,yeah yeah yeah yeah,11:20.0,11:20.0,00:00.0,,,,,,
9518,3,1,T1 ,I just yeah okay how many times,,11:20.0,11:23.0,00:03.0,,,,,,
9519,3,1,T1 ,it's like about five five ten,,11:23.0,11:27.0,00:04.0,,,,,,
9520,3,1,T1 ,,oh yeah that would make sense so,11:27.0,11:29.0,00:02.0,,,,,,
9521,3,1,T1 ,and maybe it's (inaudible) five,,11:29.0,11:31.0,00:02.0,,,,,,
9522,3,1,T1 ,,yeah it,11:31.0,11:32.0,00:01.0,,,,,,
9523,3,1,T1 ,(inaudible) that was not how it's supposed to,,11:36.0,11:39.0,00:03.0,,,,,,
9524,3,1,T1 ,,it seems so embarrassing because it's just like we're so used to using calculators,11:39.0,11:42.0,00:03.0,,,,,,
9525,3,1,T1 ,,but it just yeah,11:42.0,11:44.0,00:02.0,,,,,,
9526,3,1,T1 ,okay let's see,,11:45.0,11:46.0,00:01.0,,,,,,
9527,3,1,T1 ,that's zero,,11:46.0,11:48.0,00:02.0,,,,,,
9528,3,1,T1 ,it's pause filler a two yeah a two,,11:48.0,11:52.0,00:04.0,,,,,,
9529,3,1,T1 ,four times that that's also,,11:52.0,11:54.0,00:02.0,,,,,,
9530,3,1,T1 ,yeah it's five,,11:54.0,11:55.0,00:01.0,,,,,,
9531,3,1,T1 ,,all right great,11:56.0,11:57.0,00:01.0,,,,,,
9532,3,1,T1 ,,so are you an advanced then,12:00.0,12:01.0,00:01.0,,SV,,,,
9533,3,1,T1 ,,because you're an algebra in the seventh grade,12:02.0,12:04.0,00:02.0,,SV,,,,
9534,3,1,T1 ,pause filler yes,,12:05.0,12:06.0,00:01.0,SV,,,,,
9535,3,1,T1 ,so what I'm doing at the moment I'm taking a full year of algebra one,,12:06.0,12:10.0,00:04.0,SV,,,,,
9536,3,1,T1 ,but at the same time I'm also taking geometry,,12:10.0,12:12.0,00:02.0,SV,,,,,
9537,3,1,T1 ,,oh god,12:12.0,12:13.0,00:01.0,,SV,,,,
9538,3,1,T1 ,yeah so,,12:13.0,12:14.0,00:01.0,SV,,,,,
9539,3,1,T1 ,,like I pause filler I'm not in like there's like three levels of math,12:14.0,12:19.0,00:05.0,,SV,,,,
9540,3,1,T1 ,,there's like the low math (inaudible) who don't like get as quickly,12:19.0,12:23.0,00:04.0,,SV,,,,
9541,3,1,T1 ,,just like the regular math,12:23.0,12:24.0,00:01.0,,SV,,,,
9542,3,1,T1 ,,and then there's the pause filler advanced math,12:24.0,12:26.0,00:02.0,,SV,,,,
9543,3,1,T1 ,,I'm in just like the regular math,12:26.0,12:28.0,00:02.0,,SV,,,,
9544,3,1,T1 ,,and I'm like right where I should be in my grade,12:28.0,12:31.0,00:03.0,,SV,,,,
9545,3,1,T1 ,,and English is more my subject,12:31.0,12:33.0,00:02.0,,SV,,,,
9546,3,1,T1 ,,like I'm in advanced English all the time,12:33.0,12:35.0,00:02.0,,SV,,,,
9547,3,1,T1 ,,but math it's all right I just,12:35.0,12:39.0,00:04.0,,SV,,,,
9548,3,1,T1 ,yeah so,,12:40.0,12:40.0,00:00.0,SV,,,,,
9549,3,1,T1 ,,,12:40.0,13:39.0,00:59.0,,,,,,
9550,3,1,T1 ,,all right so now you add nine right,12:40.0,12:47.0,00:07.0,,,,,,
9551,3,1,T1 ,yeah so (inaudible),,12:47.0,12:48.0,00:01.0,,,,,,
9552,3,1,T1 ,,so you add nine to this,12:48.0,12:52.0,00:04.0,,,,,,
9553,3,1,T1 ,,and then you're left with thirteen p equals fifty,12:52.0,13:00.0,00:08.0,,,,,,
9554,3,1,T1 ,,so,13:01.0,13:01.0,00:00.0,,,,,,
9555,3,1,T1 ,pause filler so then you want to give it to the thirteen,,13:03.0,13:09.0,00:06.0,,,,,,
9556,3,1,T1 ,,so you divide it by thirteen,13:09.0,13:11.0,00:02.0,,,,,,
9557,3,1,T1 ,,wait does the fraction pause filler,13:14.0,13:17.0,00:03.0,,,,,,
9558,3,1,T1 ,,does the fifty divided by thirteen equal out to a fraction,13:19.0,13:22.0,00:03.0,,,,,,
9559,3,1,T1 ,no I don't think it's simplified,,13:23.0,13:24.0,00:01.0,,,,,,
9560,3,1,T1 ,I think it's just fifty over thirteen,,13:24.0,13:26.0,00:02.0,,,,,,
9561,3,1,T1 ,,all right great,13:26.0,13:27.0,00:01.0,,,0,,,
9562,3,1,T1 ,,I thought that it could've been a simplified fraction,13:30.0,13:33.0,00:03.0,,,,,,
9563,3,1,T1 ,,I'm not sure,13:33.0,13:34.0,00:01.0,,,,,,
9564,3,1,T1 ,I mean like thirteen is like prawn numbers,,13:34.0,13:36.0,00:02.0,,,,,,
9565,3,1,T1 ,so it would not be that likely,,13:36.0,13:39.0,00:03.0,,,,,,
9566,3,1,T1 ,,,13:39.0,14:19.0,00:40.0,,,,,,
9567,3,1,T1 ,,yeah so with this one it's a little bit different,13:39.0,13:42.0,00:03.0,,,,,,
9568,3,1,T1 ,,but you just subtract ten from both sides,13:42.0,13:47.0,00:05.0,,,,,,
9569,3,1,T1 ,yup,,13:48.0,13:48.0,00:00.0,,,,,,
9570,3,1,T1 ,,so twenty-four,13:49.0,13:52.0,00:03.0,,,,,,
9571,3,1,T1 ,,and pause filler so you're left with six x equals twenty-four,13:54.0,14:01.0,00:07.0,,,,,,
9572,3,1,T1 ,,so then you divide by (laughter),14:01.0,14:02.0,00:01.0,,,,,,
9573,3,1,T1 ,,sorry I'm getting over a cold,14:02.0,14:05.0,00:03.0,,SV,,,,
9574,3,1,T1 ,,so that's why I sound,14:05.0,14:06.0,00:01.0,,SV,,,,
9575,3,1,T1 ,pause filler yeah a six,,14:06.0,14:08.0,00:02.0,,,,,,
9576,3,1,T1 ,,divided by six,14:09.0,14:10.0,00:01.0,,,,,,
9577,3,1,T1 ,,and then x equals four because twenty-four divided by six equals four,14:10.0,14:14.0,00:04.0,,,,,,
9578,3,1,T1 ,yeah oh your equals signs are getting better,,14:14.0,14:18.0,00:04.0,,,,,,
9579,3,1,T1 ,,yeah,14:18.0,14:19.0,00:01.0,,,,,,
9580,3,1,T1 ,okay next one,,14:19.0,14:21.0,00:02.0,,,,,,
9581,3,1,T1 ,,,14:21.0,15:28.0,01:07.0,,,,,,
9582,3,1,T1 ,,all right so,14:21.0,14:24.0,00:03.0,,,,,,
9583,3,1,T1 ,,with this one since that's a negative you add it right so,14:27.0,14:31.0,00:04.0,,,,,,
9584,3,1,T1 ,yeah,,14:32.0,14:32.0,00:00.0,,,,,,
9585,3,1,T1 ,,oh okay,14:41.0,14:42.0,00:01.0,,,,,,
9586,3,1,T1 ,,oh my gosh,14:45.0,14:46.0,00:01.0,,,,,,
9587,3,1,T1 ,,so that would equal,14:46.0,14:51.0,00:05.0,,,,,,
9588,3,1,T1 ,,sixty-two equals fifteen k,14:54.0,14:59.0,00:05.0,,,,,,
9589,3,1,T1 ,,oh my god,14:59.0,15:00.0,00:01.0,,,,,,
9590,3,1,T1 ,,pause filler and then divide that by fifteen,15:01.0,15:05.0,00:04.0,,,,,,
9591,3,1,T1 ,,so that would just be another,15:08.0,15:09.0,00:01.0,,,,,,
9592,3,1,T1 ,let's see,,15:10.0,15:11.0,00:01.0,,,,,,
9593,3,1,T1 ,where were we sixty-two (inaudible),,15:11.0,15:12.0,00:01.0,,,,,,
9594,3,1,T1 ,nope,,15:12.0,15:13.0,00:01.0,,,,,,
