Dyad,Session,Period,Problem,Correctness,Rapport Level,Time_begin,Time_end,P1,P2,DQ_Tutor,DQ_Tutee,SQ_Tutor,SQ_Tutee,KB_Tutor,KB_Tutee,KT_Tutor,KT_Tutee,MC_Tutor,MC_Tutee,PR_Tutor,PR_Tutee,SD_Tutor,SD_Tutee,SV_Tutor,SV_Tutee,HD_Tutor,HD_Tutee
10,1,S1  ,,,0,00:02:20,00:02:23,,yeah I think I just did it because,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:02:23.800000,00:02:25.400000,,I don't know,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:02:25.400000,00:02:26.100000,,I feel like (inaudible),,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:02:26.100000,00:02:31.600000,,and I feel like that would be really boring like as a virtual,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:31.600000,00:02:32.700000,,but I think I'm wrong,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:33.400000,00:02:40.800000,,no I always liked to see pause filler if people have the same teachers with me,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:40.800000,00:02:45.300000,,but I know it's like really really brighter like,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:02:45.300000,00:02:46.300000,,what's your name,,,,,,,,,,,,,,QE,,,,
10,1,S1  ,,,0,00:02:46.500000,00:02:46.800000,Darby,,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,0,00:02:47.300000,00:02:51.200000,,okay yeah I don't think I have any Darbys in any of my classes,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:02:51.600000,00:02:53.200000,what grade are you in,,,,,,,,,,,,,,QE,,,,,
10,1,S1  ,,,0,00:02:53.200000,00:02:58.300000,,seventh yeah so we could have made in the same class but,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:58.500000,00:02:59,what's your name,,,,,,,,,,,,,,QE,,,,,
10,1,S1  ,,,0,00:02:59,00:02:59.600000,Jayel,,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:02:59.600000,00:03:04.100000,I don't think I remember do you know one kid named Kinsley,,,,,,,,,,,,,,QE,,,,,
10,1,S1  ,,,0,00:03:04.700000,00:03:05.900000,,Kinsley nope I don't,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,0,00:03:06.200000,00:03:08.400000,so I think she had a kid named Kale in the class,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:03:08.700000,00:03:10,but I'm not sure,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:03:10.600000,00:03:11,,yeah,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:03:11,00:03:13.200000,what all teachers have you had,,,,,,,,,,,,,,QE,,,,,
10,1,S1  ,,,5,00:03:14,00:03:15.100000,,what teachers do I have,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:15.700000,00:03:15.800000,yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:16.300000,00:03:23.600000,,yeah pause filler right now I have Ms. Domingo and Ms. Frizzle which is really funny because Ms. Frizzle,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,5,00:03:23.600000,00:03:29.100000,,I always like joke around about it because you know like Ms. Frizzle from like the Magic School Bus or whatever,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,5,00:03:29.100000,00:03:29.500000,yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:29.500000,00:03:31.600000,,it sounds just like that,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:31.700000,00:03:32.500000,,it's really funny,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:33.400000,00:03:36.800000,,and then all my English teachers have the weird names,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:36.800000,00:03:39.800000,,like my English teacher before that her name was Ms. Azola,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:39.800000,00:03:44.100000,,and she was like oh what if I meet a soda company,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:44.100000,00:03:46,,and I get called Asolo Soda (laughter),,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:46.100000,00:03:51,,it was like oh all the English teachers with the weird names,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:51.300000,00:03:54.400000,mm-hmm I have Ms. Cunningham,,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,5,00:03:54.600000,00:03:59.900000,,oh it's like I've ever had a Ms. Cunningham but yeah,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:03:59.900000,00:04:05.200000,,but you could have had in the class the other like last or a year before that,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:05.200000,00:04:11.600000,,but you type your number every single person in your class,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:11.600000,00:04:11.700000,yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:11.700000,00:04:17.500000,,yeah it's true so they're the memorable ones,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:17.800000,00:04:22.700000,,how long does it take to get a pair of pen sticks apparently a while,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:24.300000,00:04:26.500000,I don't know,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:26.500000,00:04:27.800000,,I bet it makes sense to them,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:27.800000,00:04:30.100000,,but I don't really understand why we're supposed to use Skype,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,5,00:04:30.100000,00:04:31.800000,,it's normal for me though,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:31.800000,00:04:32.800000,,because that's what I do,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:32.800000,00:04:34.900000,,it's like classes are like Skype so it's,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:34.900000,00:04:37.400000,I've never used Skype ever (laughter),,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,5,00:04:37.700000,00:04:38.600000,,really yeah,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:38.600000,00:04:41.300000,all my friends have it,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:04:41.400000,00:04:42.800000,,I don't use it a whole lot,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,5,00:04:42.800000,00:04:44.500000,,but I'm saying it's not like super different,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:04:44.500000,00:04:49.700000,,because virtual classes do resemble Skype like at least now that we have the board up,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:04:49.900000,00:04:56.600000,,because that's like the boarding class I think like the whiteboard or whatever whatever you call it,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:04:56.800000,00:04:59.900000,I would just call it screen,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:05:00.500000,00:05:03.200000,,yeah the screen the screen you type all over,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:05:03.200000,00:05:05.700000,the screen of destiny (laughter),,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:05:06.300000,00:05:10,,the screen of learning what are you learning,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:05:10,00:05:11.400000,,dreams are destroyed,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:05:11.400000,00:05:13.800000,,and you sit there and watch them from port on,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,3,00:05:14.100000,00:05:14.900000,yup,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:15.100000,00:05:15.400000,,yup,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:18.100000,00:05:24.700000,,I think I've made a heart,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:24.700000,00:05:34.800000,,I think PA Cyber like you know the pads we draw on,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:34.800000,00:05:35.700000,the Bamboo pad,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:36.500000,00:05:41.500000,,yeah these I think PA Cyber has ever has like something similar to it,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:41.500000,00:05:41.700000,yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:42.100000,00:05:43.300000,,yeah I think it,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:43.300000,00:05:45,I had one but it broke,,,,,,,,,,,,,,SD,,,,,
10,1,S1  ,,,6,00:05:45,00:05:47.200000,,yeah I tried submitting up,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:47.200000,00:05:48.700000,,and it was too confusing,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:48.700000,00:05:51.200000,,and it didn't work after I was trying,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:51.200000,00:05:52.300000,,and so I gave up,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:52.800000,00:05:54.500000,they might have given you the wrong pen,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:54.500000,00:05:56.900000,because I know you need to use the pen for it to on,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:05:56.900000,00:06:00.100000,,yeah I mean I've heard (inaudible) mine was,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:06:00.100000,00:06:04,,but it was definitely smaller than this,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:06:04.100000,00:06:06.300000,,and it didn't have all these buttons,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:06:06.300000,00:06:10.100000,I think that mine was like half size of this maybe,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,6,00:06:10.100000,00:06:14,,yeah it was like kind of this size and the part you actually write on,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:14,00:06:17.200000,,but it didn't have like this plastic frame or whatever,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:17.200000,00:06:17.400000,yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:17.400000,00:06:19.500000,,I don't know if you have the same one as me,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:19.500000,00:06:22,,so I'm just hoping you understand what I'm talking about,,,,,,,,,,,,,,SD,,,,
10,1,S1  ,,,4,00:06:22,00:06:22.100000,yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:24.200000,00:06:29.300000,,I can't tell I'm pretty sure you're right there in that direction,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:29.800000,00:06:31.800000,yeah I don't know (laughter),,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:31.800000,00:06:36,,me neither I mean really like next to you because as I walked over,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:36.700000,00:06:37.200000,I saw you yeah,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:37.600000,00:06:37.900000,,yeah,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:37.900000,00:06:40.200000,because I was like that girls is familiar,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:40.200000,00:06:43.400000,,yeah could you see them list,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:43.400000,00:06:45,,I don't know what they're doing,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:45.400000,00:06:46.400000,I can't see from here so,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:46.800000,00:06:48.900000,,yeah well they're like in the other room,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:48.900000,00:06:50,,but it's a clear wall,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:50,00:06:51.600000,,so I don't know what they're clinging right now,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:51.600000,00:06:52.800000,,oh they're leaving again,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:52.800000,00:06:53.600000,,oh well we still wait more,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:53.600000,00:06:54.200000,,oh she's bringing a pen,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:54.200000,00:06:55,,maybe they're fixed,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:06:58,00:06:58.100000,,okay,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:07:08.600000,00:07:11.600000,,do I have to pause filler hold this down,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:07:31.200000,00:07:32.400000,,I can't hear that well,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:07:32.400000,00:07:34.600000,,I just don't hold this,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,5,00:07:40.800000,00:07:40.900000,,pause filler nope,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:07:44.500000,00:07:48.400000,is it the questions in the future to do,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,4,00:08:07.800000,00:08:09.900000,yeah I don't want to a little mess so (laughter),,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:08:37.700000,00:08:40.100000,that's twenty problems,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:08:46.200000,00:08:48.500000,nah okay what is oh I have this,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:08:50.300000,00:08:51.900000,I think so,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:08:54.600000,00:08:55.800000,,that was me,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:08:59.200000,00:09:02.100000,oh my god another ah what the,,,,,,,,,,,,,,,,,,,
10,1,S1  ,,,0,00:09:08,00:09:10.100000,here we go (laughter),,,,,,,,,,,,,,,,,,,
10,1,T1 ,,,6,00:09:13.500000,00:28:09.700000,,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:09:14.400000,00:10:58.300000,,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:15,00:09:15.100000,great,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:15.100000,00:09:19,,okay teach me,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:20.600000,00:09:23.900000,pause filler so do you see the x minus x equals thirteen,,,,OSQ,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:24.400000,00:09:26.400000,,yup I see it same place you are,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:26.400000,00:09:31.700000,I'm guessing this is a question we're working on and I thought,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:31.700000,00:09:33.600000,,yup pause filler just don't push the button,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:09:33.700000,00:09:34.800000,,that's all I was told,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:09:35.100000,00:09:35.300000,yeah (laughter),,,,,,,,,,,,,,,,SV,,,
10,1,T1 ,1,1.0,Na,00:09:35.800000,00:09:36.600000,,okay I'm ready,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:37.300000,00:09:38.200000,don't press anything,,,,,,,,,,,,,,,,SV,,,
10,1,T1 ,1,1.0,Na,00:09:38.200000,00:09:39.100000,just solve the problem (laughter),,,,,,,,,,,,,,,,SV,,,
10,1,T1 ,1,1.0,Na,00:09:39.300000,00:09:44,so I have no idea how to explain this (laughter),,,,,,,,,,MCRO,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:44.700000,00:09:45.300000,,it's okay,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:09:45.300000,00:09:47.600000,,I already kind of understand this,,,,,,,,,,MCRO,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:09:47.600000,00:09:48.700000,,so just do your best,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:09:49.800000,00:09:53,what I know and do for this is just do the opposite (laughter),,,,,,EC,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:54.300000,00:09:57.600000,so like if you do x minus six this is thirteen plus six,,,,,,,,SP,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:57.600000,00:09:58.100000,that's the answer,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:09:58.700000,00:10:02.500000,,okay like the opposite operation all right should I do this,,,,OSQ,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:02.700000,00:10:04.100000,,or should you do this,,,,OSQ,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:04.100000,00:10:04.800000,I think you (laughter),,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:05,00:10:05.300000,,okay,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:05.700000,00:10:08.900000,it's just a thirteen plus six I mean,,,,,,,,SP,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:09,00:10:12.600000,,this is hard to draw plus six okay,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:12.900000,00:10:16,no that is okay,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:17.100000,00:10:24.100000,,plus six so that would mean x equal to,,,,,,,,SP,,,,,,,,,,
10,1,T1 ,1,1.0,Na,00:10:24.100000,00:10:27.800000,,that was a really bad equal to sign,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:10:27.800000,00:10:29.500000,,I don't know what that is,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:10:30.100000,00:10:36.300000,,I'm scared of it okay oh well nineteen,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,Na,00:10:36.800000,00:10:43,,that's not a nine one minute okay wait,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:10:43,00:10:45.300000,,this is confusing,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,1,1.0,0,00:10:45.900000,00:10:49.400000,,okay I think I got it now nineteen,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:10:49.400000,00:10:51.200000,,there's my sloppy answer,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:10:51.800000,00:10:55.200000,so then you can like double check it by nineteen minus six equals,,,,,,,,SP,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:10:55.800000,00:10:58.200000,,yeah that's a good trick okay,,,,,,,,,,,,LPP,,,,,,
10,1,T1 ,1,1.0,0,00:10:58.400000,00:11:00.200000,,so I guess we'll move onto the next page now,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:11:00.200000,00:11:01.300000,I suppose,,,,,,,,,,,,,,,,,,,
10,1,T1 ,1,1.0,0,00:11:01.300000,00:11:03.800000,so let's see if I can do that while messing out,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:11:01.400000,00:13:08.800000,,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,0,00:11:04.200000,00:11:05.200000,,okay I'm on it,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,0,00:11:05.200000,00:11:05.800000,,do you see it,,,,OSQ,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,0,00:11:05.800000,00:11:07.400000,yeah I'm trying to get down good,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,0,00:11:07.500000,00:11:08.900000,I am not good at this,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,0,00:11:09.200000,00:11:12.100000,,okay just like okay do you see it,,,,OSQ,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:11:12.100000,00:11:21.500000,,fifteen equals negative eight plus p or a q whatever,,,,,,,,RP,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:11:24.500000,00:11:25.200000,so (laughter),,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:11:25.200000,00:11:28.100000,,are you on the first page or the second page,,,,OSQ,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:11:28.100000,00:11:30.800000,second I see fifteen equals minus eight equals p,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:11:31.300000,00:11:31.500000,,okay,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:11:34.100000,00:11:49.700000,so I'm guessing I'll do achy nose achy nose ah (laughter) so just that like minus eight to each side I think,,,,,,,,SP,,,,,,,,SV,,,
10,1,T1 ,2,1.0,5,00:11:49.700000,00:11:49.800000,,oh yeah,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:11:50,00:11:53.400000,that's what I'm doing here,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:11:53.400000,00:11:57,,well at least minus negative eight yeah,,,,,,,,CF,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:11:57.200000,00:12:00.500000,yeah so add negative eight to both I suppose,,,,,,,,SP,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:01,00:12:04.500000,,yeah which is just basically just adding the (inaudible) no right,,,,,,EC,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:04.500000,00:12:06.100000,or no add eight to each,,,,,,,,SP,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:06.300000,00:12:09.200000,because eight minus eight equals eight equals zero so,,,,,,ER,,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:09.700000,00:12:14.600000,,so plus yeah because it should not be those like a positive,,,,,,EC,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:14.600000,00:12:15.300000,,I think,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:15.800000,00:12:16.600000,,I don't know,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:16.600000,00:12:19.700000,over or just a regular number plus a negative,,,,,,,,SP,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:20.100000,00:12:29.400000,,yeah well if you're subtracting wait one second yeah because we're subtracting negative eight,,,,,,ER,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:29.600000,00:12:37.300000,,which would make it just adding eight pause filler plus eight plus eight,,,,,,ER,,,,,,,,,,,,
10,1,T1 ,2,1.0,5,00:12:37.300000,00:12:39.500000,what did you do to that,,,,,,,,,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:12:40.400000,00:12:45.200000,,so that would make this side just p,,,,,,,,SP,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:12:46.400000,00:12:50.500000,,and oh jeez this is confusing okay,,,,,,,,,,MCRO,,,,,,,,
10,1,T1 ,2,1.0,4,00:12:51.100000,00:12:59.700000,,and that would make this side ninety-three right yeah,,,,,,,,SP,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:13:01,00:13:04.700000,yeah (laughter) the mental math there for a second,,,,,,,,CF,,,,,,,,,,,
10,1,T1 ,2,1.0,4,00:13:04.700000,00:13:07.200000,,I'm really about it for some reason,,,,,,,,,,MCRO,,,,,,,,
10,1,T1 ,2,1.0,4,00:13:07.300000,00:13:08.700000,,I need to show me a flash cards,,,,,,,,,,,,,,,,SV,,
10,1,T1 ,3,1.0,5,00:13:08.900000,00:14:11.200000,,,,,,,,,,,,,,,,,,,,
10,1,T1 ,3,1.0,4,00:13:09,00:13:10.700000,,okay I'm on page three now,,,,,,,,,,,,,,,,,,
10,1,T1 ,3,1.0,4,00:13:11,00:13:14.100000,,I'll wait for you actually okay,,,,,,,,,,,,,,,,,,
10,1,T1 ,3,1.0,5,00:13:16.900000,00:13:19.500000,so seventeen I think,,,,,,,,SP,,,,,,,,,,,
