"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter","Experimenter 2","P1","P2"
00:12:38.184,00:12:39.770,00:00:01.586,,,,"yeah you wanted to make sure there's a three",
00:12:39.770,00:12:41.452,00:00:01.682,,,,,"yeah wait let me go back"
00:12:50.590,00:12:51.090,00:00:00.500,,,,"okay",
00:12:52.422,00:12:55.375,00:00:02.953,,,,"and you want to just multiply",
00:13:05.000,00:13:05.881,00:00:00.881,,,,,"seven times two equals (inaudible)"
00:13:11.863,00:13:15.729,00:00:03.866,,,,,"and then that would equal to one hundred five"
00:13:15.988,00:13:18.901,00:00:02.913,,,,"yeah maybe you could probably just put a y equals",
00:13:19.550,00:13:26.384,00:00:06.834,,,,,"yeah so finally it's our y equals one hundred"
00:13:26.614,00:13:29.028,00:00:02.414,,,,"except one thing you forgot to do is",
00:13:29.028,00:13:33.708,00:00:04.680,,,,"I'm pretty sure the one o five would be a negative because yeah",
00:13:31.696,00:13:32.216,00:00:00.520,,,,,"oh yeah"
00:13:34.326,00:13:36.910,00:00:02.584,,,,"you know y was a negative so",
00:13:40.000,00:13:41.809,00:00:01.809,,,,,"all right next up"
00:13:45.045,00:13:48.324,00:00:03.279,,,,,"all right so same thing here"
00:13:48.903,00:13:49.262,00:00:00.359,,,,"yeah",
00:13:53.380,00:13:55.987,00:00:02.607,,,,,"so you would want to do minus thirteen on both sides"
00:13:56.705,00:14:02.379,00:00:05.674,,,,,"and that would equal one x equals thirty-one"
00:14:09.456,00:14:17.249,00:00:07.793,,,,,"then thirty-one over three times two over one equals sixty-two"
00:14:17.608,00:14:17.897,00:00:00.289,,,,"yep",
00:14:20.930,00:14:26.308,00:00:05.378,,,,,"so would it be x equals sixty-two then"
00:14:26.308,00:14:27.555,00:00:01.247,,,,"yeah as you said",
00:14:28.144,00:14:32.524,00:00:04.380,,,,"because you can't really do you could divide it by one but that would still be a sixty-two",
00:14:32.539,00:14:32.929,00:00:00.390,,,,,"yeah"
00:14:37.724,00:14:41.344,00:00:03.620,,,,,"yeah okay so this is a little bit different because it's like on the other side"
00:14:41.344,00:14:43.479,00:00:02.135,,,,,"but it's still the same so"
00:14:43.689,00:14:44.178,00:00:00.489,,,,"yeah",
00:14:44.178,00:14:47.000,00:00:02.822,,,,,"add sixteen to both sides"
00:14:51.440,00:14:54.530,00:00:03.090,,,,,"so then you I'm just going to flip this around so three "
00:14:56.180,00:15:01.957,00:00:05.777,,,,,"actually I'm just going to go six over three equals"
00:15:05.757,00:15:07.285,00:00:01.528,,,,,"my gosh it's not even showing up"
00:15:08.193,00:15:08.881,00:00:00.688,,,,"it's not",
00:15:09.400,00:15:10.308,00:00:00.908,,,,,"wait one second"
00:15:11.166,00:15:12.872,00:00:01.706,,,,,"this tip like lagging"
00:15:13.800,00:15:14.249,00:00:00.449,,,,"okay",
00:15:16.315,00:15:20.315,00:00:04.000,,,,,"forty-seven over pause filler"
00:15:21.642,00:15:24.875,00:00:03.233,,,,,"so then oh gosh what's six times forty-seven"
00:15:24.875,00:15:27.599,00:00:02.724,,,,"pause filler well one thing you could do let's see wait (inaudible)",
00:15:27.599,00:15:37.965,00:00:10.366,,,,"I guess before you do that you maybe you could simplify pause filler the sixty over three to like two",
00:15:38.534,00:15:39.412,00:00:00.878,,,,"that might help you",
00:15:39.442,00:15:50.956,00:00:11.514,,,,,"oh yeah so three over one so forty-seven time two equals pause filler fifty-four right"
00:15:52.422,00:16:02.559,00:00:10.137,,,,"well not times two forty-seven would be eighty but mostly fourteen ninety-four because it wouldn't",
00:16:02.559,00:16:09.324,00:00:06.765,,,,,"yeah so ninety-four and then pause filler"
00:16:09.324,00:16:13.505,00:00:04.181,,,,,"that would be over that would just be ninety-four"
00:16:13.330,00:16:13.910,00:00:00.580,,,,"yeah",
00:16:13.505,00:16:15.620,00:00:02.115,,,,,"so x equals ninety-four"
00:16:20.379,00:16:22.275,00:00:01.896,,,,,"I haven't done the reciprocal for a long time"
00:16:22.275,00:16:23.527,00:00:01.252,,,,,"so that's why I'm just"
00:16:24.488,00:16:25.268,00:00:00.780,,,,"it is fun",
00:16:27.533,00:16:29.249,00:00:01.716,,,,,"so big numbers now"
00:16:29.339,00:16:30.496,00:00:01.157,,,,,"minus"
00:16:29.993,00:16:30.483,00:00:00.490,,,,"yeah",
00:16:33.429,00:16:34.607,00:00:01.178,,,,,"forty-eight so"
00:16:43.707,00:16:45.003,00:00:01.296,,,,"yeah so you want to subtract",
00:16:47.093,00:16:48.754,00:00:01.661,,,,,"would that be forty-nine"
00:16:49.173,00:16:49.642,00:00:00.469,,,,"yeah",
00:16:50.356,00:16:50.756,00:00:00.400,,,,,"all right"
00:16:58.491,00:17:02.942,00:00:04.451,,,,,"all right so so that would be five over twelve there"
00:17:02.942,00:17:03.860,00:00:00.918,,,,"yeah",
00:17:04.229,00:17:05.530,00:00:01.301,,,,,"here I'm just going to"
00:17:15.494,00:17:16.082,00:00:00.588,,,,"yeah okay",
00:17:16.082,00:17:18.507,00:00:02.425,,,,"and that would be a y right (inaudible)",
00:17:22.000,00:17:24.513,00:00:02.513,,,,,"all right so forty-nine times five"
00:17:25.353,00:17:27.067,00:00:01.714,,,,,"I wish there was a calculator gosh"
00:17:27.167,00:17:27.786,00:00:00.619,,,,"I know",
00:17:32.000,00:17:39.579,00:00:07.579,,,,,"so nine times five equals pause filler forty-five sorry forty-five"
00:17:40.946,00:17:41.415,00:00:00.469,,,,"forty-five",
00:17:41.415,00:17:44.617,00:00:03.202,,,,"and that equals to a hundred well",
00:17:46.354,00:17:48.249,00:00:01.895,,,,,"one hundred sixty-five"
00:17:49.297,00:17:50.833,00:00:01.536,,,,"no wait that wait",
00:17:51.023,00:17:52.909,00:00:01.886,,,,"forty-five does a hundred and forty-five",
00:17:53.048,00:17:58.376,00:00:05.328,,,,"because forty times five equals two hundred so",
00:18:01.758,00:18:03.748,00:00:01.990,,,,,"are you sure it's not a hundred sixty-five"
00:18:05.450,00:18:06.987,00:00:01.537,,,,"wait maybe",
00:18:06.987,00:18:10.120,00:00:03.133,,,,"oh wait yeah it's forty-nine",
00:18:10.479,00:18:15.208,00:00:04.729,,,,"yeah forty-nine times five equals five okay",
00:18:16.545,00:18:20.346,00:00:03.801,,,,"that's like okay so that's your five right pause filler",
00:18:21.164,00:18:22.681,00:00:01.517,,,,"so you have four over pause filler",
00:18:24.088,00:18:30.239,00:00:06.151,,,,"then as you go like that because you have to have zero there",
00:18:30.891,00:18:32.741,00:00:01.850,,,,"so it would be two hundred forty-five and pause filler five (inaudible)",
00:18:32.747,00:18:33.357,00:00:00.610,,,,,"yeah"
00:18:41.867,00:18:44.102,00:00:02.235,,,,,"all right next page"
00:18:44.531,00:18:46.008,00:00:01.477,,,,,"oh gosh all right"
00:18:46.098,00:18:52.334,00:00:06.236,,,,,"so this one is going to be plus sixty-one to both sides"
00:18:52.543,00:18:52.703,00:00:00.160,,,,"yup",
00:18:52.703,00:18:59.018,00:00:06.315,,,,,"and then you also want to add the two ys y thing right"
00:18:59.168,00:19:00.425,00:00:01.257,,,,,"because that's like (inaudible)"
00:19:00.425,00:19:01.323,00:00:00.898,,,,"yeah so yeah",
00:19:01.323,00:19:04.511,00:00:03.188,,,,"because there is two ones I really want one",
00:19:06.511,00:19:08.016,00:00:01.505,,,,,"what just happened"
00:19:09.016,00:19:09.534,00:00:00.518,,,,"wait a minute",
00:19:09.534,00:19:18.255,00:00:08.721,,,,"so would you really want to so wait which side would you want to have your y on before you do this",
00:19:15.488,00:19:16.069,00:00:00.581,,,,,"em"
00:19:20.090,00:19:22.455,00:00:02.365,,,,,"pause filler I guess this side"
00:19:22.455,00:19:24.091,00:00:01.636,,,,,"like this side over here"
00:19:25.329,00:19:28.252,00:00:02.923,,,,"oh so for that you'd have to subtract the y pause filler",
00:19:28.761,00:19:33.600,00:00:04.839,,,,"no so that would be harder than adding the y over here",
00:19:33.600,00:19:38.339,00:00:04.739,,,,"because I guess if you add it over here then you would get pause filler",
00:19:38.339,00:19:38.519,00:00:00.180,,,,"oh wait (inaudible)",
00:19:38.668,00:19:39.327,00:00:00.659,,,,"huh huh",
00:19:47.100,00:19:48.197,00:00:01.097,,,,"I guess it doesn't make a difference",
00:19:48.197,00:19:53.714,00:00:05.517,,,,"but the y would be you'd have the negative y if you do it this way",
00:19:53.714,00:19:56.558,00:00:02.844,,,,"or you have a positive y if you did it that way",
00:19:57.286,00:19:59.690,00:00:02.404,,,,"so that yeah it doesn't matter that much",
00:19:59.910,00:20:01.017,00:00:01.107,,,,"so I guess yeah",
00:20:01.975,00:20:05.000,00:00:03.025,,,,,"just work through the first step really quick because I'm confused just"
00:20:05.557,00:20:06.226,00:00:00.669,,,,,"I'm sorry"
00:20:07.014,00:20:09.079,00:00:02.065,,,,"yeah pause filler",
00:20:09.209,00:20:16.193,00:00:06.984,,,,"yeah not subtracting sixty-one I mean this one is like a smaller one so I mean",
00:20:18.193,00:20:21.451,00:00:03.258,,,,"usually we'll do the one that was smaller but it doesn't matter exactly",
00:20:24.404,00:20:25.861,00:00:01.457,,,,,"well this one is smaller right"
