"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 2","Experimenter","P1","P2"
00:01:22.500,00:01:24.100,00:00:01.600,,,,,"I wonder if we get Skittles again"
00:01:29.300,00:01:31.200,00:00:01.900,,,,"have you had the sour pond",
00:01:31.800,00:01:35.500,00:00:03.700,,,,,"yeah yeah those are good"
00:01:35.500,00:01:36.700,00:00:01.200,,,,,"those are like real sour"
00:01:36.700,00:01:37.660,00:00:00.960,,,,,"but they're good"
00:01:45.700,00:01:49.500,00:00:03.800,,,,"one thing I know is this is going to be very complicating",
00:01:50.800,00:01:56.300,00:00:05.500,,,,,"yeah because you have the packet right"
00:01:57.900,00:01:58.270,00:00:00.370,,,,,"yeah"
00:02:04.000,00:02:06.510,00:00:02.510,,,,,"those are like the best like flute"
00:02:12.000,00:02:16.300,00:00:04.300,,,,"I wonder what it would be like with Donald Trump running the country",
00:02:19.000,00:02:20.900,00:00:01.900,,,,,"I would move"
00:02:20.900,00:02:25.800,00:00:04.900,,,,"yeah but I mean like other people have to stay to like make things right",
00:02:26.400,00:02:32.200,00:00:05.800,,,,"like I actually asked my parents my mom like are we going to move if Donald Trump becomes president",
00:02:32.200,00:02:34.600,00:00:02.400,,,,"and she's like no yeah where are we going to stay",
00:02:34.600,00:02:36.700,00:00:02.100,,,,"because this is our country",
00:02:36.700,00:02:39.400,00:00:02.700,,,,"and like yeah so",
00:02:39.500,00:02:43.600,00:00:04.100,,,,,"yeah my friend she said she asked her mom"
00:02:43.600,00:02:45.900,00:00:02.300,,,,,"she's like would we move if Donald Trump becomes president"
00:02:45.900,00:02:48.900,00:00:03.000,,,,,"and her mom like since she has family that lived overseas"
00:02:48.900,00:02:51.700,00:00:02.800,,,,,"her mom is like we would be moving all the way back to France"
00:02:51.700,00:02:54.500,00:00:02.800,,,,,"like she was not joking"
00:02:54.500,00:02:57.600,00:00:03.100,,,,,"but isn't he the only like pause filler candidate guy"
00:02:57.800,00:03:01.000,00:00:03.200,,,,,"because didn't Ted Cruz dropped out or something"
00:03:01.200,00:03:03.700,00:00:02.500,,,,,"and now it's just Donald Trump for the republican side"
00:03:03.700,00:03:05.500,00:00:01.800,,,,,"like she's going to like"
00:03:06.200,00:03:07.800,00:00:01.600,,,,,"yeah I don't know"
00:03:07.800,00:03:09.800,00:00:02.000,,,,,"I'm not that much into politics"
00:03:09.800,00:03:11.300,00:00:01.500,,,,,"but I did hear that Ted Cruz"
00:03:11.400,00:03:15.600,00:00:04.200,,,,"yeah I think Ted Cruz actually did dropped out",
00:03:15.800,00:03:22.700,00:00:06.900,,,,"but I mean like Hilary might become president and like that other old guy",
00:03:22.700,00:03:23.400,00:00:00.700,,,,,"Bernie"
00:03:23.700,00:03:24.900,00:00:01.200,,,,"yeah that person (laughter)",
00:03:28.000,00:03:29.400,00:00:01.400,,,,,"it's confusing"
00:03:31.300,00:03:33.300,00:00:02.000,,,,,"as long as Donald Trump isn't president"
00:03:34.200,00:03:34.900,00:00:00.700,,,,"yeah",
00:03:35.900,00:03:36.400,00:00:00.500,,,,,"I'm okay"
00:03:36.500,00:03:38.240,00:00:01.740,,,,,"well and yeah"
00:03:51.500,00:03:56.900,00:00:05.400,,,,,"there's like all these little like buttons here on the side of the tablet thing"
00:03:57.000,00:03:58.700,00:00:01.700,,,,"yeah I was actually looking at that",
00:04:00.100,00:04:01.700,00:00:01.600,,,,,"it's like complicated"
00:04:01.700,00:04:04.300,00:00:02.600,,,,,"I don't want to touch any of them because I'd probably mess them up so"
00:04:09.300,00:04:11.300,00:00:02.000,,,,"what team do you play for",
00:04:12.000,00:04:13.340,00:00:01.340,,,,,"pause filler I just play for my school"
00:04:13.340,00:04:17.800,00:00:04.460,,,,,"I play for CAPA yeah"
00:04:19.300,00:04:19.600,00:00:00.300,,,,"cool",
00:04:21.200,00:04:22.302,00:00:01.102,,,,,"where do you go again"
00:04:24.600,00:04:24.800,00:00:00.200,,,,,"oh PUCS"
00:04:27.055,00:04:28.600,00:00:01.545,,,,,"is that a middle school"
00:04:28.800,00:04:29.400,00:00:00.600,,,,,"wait is that like"
00:04:29.900,00:04:31.100,00:00:01.200,,,,"well it's k through eight",
00:04:34.800,00:04:35.300,00:00:00.500,,,,,"pause filler yeah"
00:04:38.900,00:04:40.130,00:00:01.230,,,,,"you're in seventh grade"
00:04:41.800,00:04:42.360,00:00:00.560,,,,,"same"
00:04:46.000,00:04:50.600,00:00:04.600,,,,,"oh this mechanical pencil is I like mechanical pencils"
00:04:50.600,00:04:54.100,00:00:03.500,,,,,"but the lead always breaks like when you use it"
00:04:54.100,00:04:56.300,00:00:02.200,,,,,"because the lead always break"
00:04:56.600,00:04:57.700,00:00:01.100,,,,"it's really annoying",
00:04:58.400,00:05:01.100,00:00:02.700,,,,,"yeah because the leads always really thin and just like snaps"
00:05:01.300,00:05:02.910,00:00:01.610,,,,,"and it's like very"
00:05:29.000,00:05:31.200,00:00:02.200,,,,"did you know that they're videotaping this",
00:05:32.100,00:05:35.480,00:00:03.380,,,,,"yeah did you (laughter)"
00:05:33.000,00:05:39.000,00:00:06.000,,,"okay cool everything is working",,
00:05:33.700,00:05:34.130,00:00:00.430,,,,"pause filler PUCS",
00:05:37.040,00:05:39.100,00:00:02.060,,,,,"oh okay"
00:05:39.000,00:05:40.700,00:00:01.700,,,"we're all good to go",,
00:05:40.700,00:05:41.700,00:00:01.000,,,"server is really good",,
00:05:41.700,00:05:44.400,00:00:02.700,,,"so yep pause filler you can go ahead and get started pause filler",,
00:05:44.400,00:05:45.500,00:00:01.100,,,"you have twenty-five minutes",,
00:05:45.500,00:05:46.400,00:00:00.900,,,"no pressure if you can't through all",,
00:05:46.600,00:05:47.900,00:00:01.300,,,"and good luck",,
00:05:47.900,00:05:49.800,00:00:01.900,,"so we're going to get started right now",,,
00:05:49.800,00:05:50.800,00:00:01.000,,"and you're going to tutor her and (inaudible) the time",,,
00:05:50.800,00:05:53.100,00:00:02.300,,"so once again no pressure if you can't get through all the problems",,,
00:05:53.100,00:05:56.000,00:00:02.900,,"just try to work through as many as you can",,,
00:05:56.100,00:06:01.400,00:00:05.300,,"and if you finish all of the ones that are on there",,,
00:06:02.000,00:06:03.600,00:00:01.600,,"you can just let us know",,,
00:06:03.600,00:06:08.900,00:00:05.300,,"and we write it on the corner if you have door",,,
00:06:08.900,00:06:09.300,00:00:00.400,,"so all right",,,
00:06:09.500,00:06:11.200,00:00:01.700,,,,"wait can I just use this mouse",
00:06:12.400,00:06:14.000,00:00:01.600,,"you can but isn't the stylus so fun",,,
00:06:14.900,00:06:17.000,00:00:02.100,,,,"it's kind of very hard to like do",
00:06:17.000,00:06:19.400,00:00:02.400,,"yeah you can use the mouse if you want",,,
00:06:19.800,00:06:20.300,00:00:00.500,,"it's up to you",,,
00:06:20.000,00:06:20.400,00:00:00.400,,,,"okay",
00:06:20.400,00:06:27.200,00:00:06.800,,"all right go ahead and get started",,,
00:06:27.200,00:06:31.000,00:00:03.800,,,,,"okay I feel like I'm pause filler so I know what like to do"
00:06:31.000,00:06:32.700,00:00:01.700,,,,,"but I don't know how to like do it"
00:06:33.200,00:06:37.555,00:00:04.355,,,,,"because I know you have to do forty divided by three over seven but like"
00:06:38.700,00:06:42.600,00:00:03.900,,,,"let's see the cheat sheet and",
00:06:42.600,00:06:46.200,00:00:03.600,,,,,"so you find the thing with like the matching thingy equation pause filler"
00:06:46.930,00:06:48.910,00:00:01.980,,,,"the matching thingy equation",
00:06:48.910,00:06:49.400,00:00:00.490,,,,"I found that",
00:06:49.400,00:06:50.800,00:00:01.400,,,,"it's the first one (inaudible)",
00:06:52.900,00:06:58.000,00:00:05.100,,,,"okay so first you have to multiply both sides by three over seven",
00:06:58.000,00:07:02.000,00:00:04.000,,,,,"okay negative or positive"
00:07:03.600,00:07:04.000,00:00:00.400,,,,"positive",
00:07:08.880,00:07:10.050,00:00:01.170,,,,,"oh that's really bad"
00:07:12.330,00:07:13.300,00:00:00.970,,,,"I have a mouse",
00:07:14.800,00:07:18.300,00:00:03.500,,,,,"oh really okay"
00:07:18.400,00:07:19.600,00:00:01.200,,,,"your face it's like",
00:07:20.700,00:07:22.500,00:00:01.800,,,,,"I'm like trying so hard"
00:07:24.000,00:07:28.200,00:00:04.200,,,,,"when you multiply we does that cancel out"
00:07:28.200,00:07:30.860,00:00:02.660,,,,,"does the three over seven cancel out when you multiply it"
00:07:33.670,00:07:35.600,00:00:01.930,,,,,"I have no idea (laughter)"
00:07:37.800,00:07:38.800,00:00:01.000,,,,,"this is so good"
00:07:40.560,00:07:42.920,00:00:02.360,,,,"I'm using a mouse (laughter)",
00:07:46.130,00:07:47.420,00:00:01.290,,,,"it's nine over forty-nine",
00:07:49.200,00:07:51.330,00:00:02.130,,,,,"what oh three over seven"
00:07:52.000,00:07:54.100,00:00:02.100,,,,"yeah and then we have to do three over",
00:07:54.100,00:07:57.000,00:00:02.900,,,,,"we (inaudible) three wait three over seven times three over"
00:07:57.000,00:07:58.200,00:00:01.200,,,,,"oh yeah okay okay"
00:07:58.400,00:07:59.000,00:00:00.600,,,,"both sides",
00:08:00.300,00:08:12.300,00:00:12.000,,,,"okay and now we have to do forty over one times three over seven equals seven",
00:08:13.400,00:08:16.900,00:00:03.500,,,,"what's all that one hundred twenty",
00:08:19.200,00:08:22.900,00:00:03.700,,,,"one hundred twenty over seven",
00:08:24.800,00:08:28.600,00:00:03.800,,,,"seven divided by one hundred twenty is",
00:08:28.600,00:08:30.000,00:00:01.400,,,,,"a fraction"
00:08:30.000,00:08:32.800,00:00:02.800,,,,"this is so confusing",
00:08:32.800,00:08:34.700,00:00:01.900,,,,,"wait seven divided by one hundred twenty"
00:08:34.900,00:08:35.200,00:00:00.300,,,,"yeah",
00:08:35.800,00:08:38.000,00:00:02.200,,,,,"just write it as a fraction just write it like"
00:08:38.300,00:08:39.200,00:00:00.900,,,,"that is a fraction",
00:08:39.300,00:08:41.900,00:00:02.600,,,,"but I have to write it as a mixed fraction",
00:08:42.400,00:08:45.300,00:00:02.900,,,,,"you mean like a you have to divide it"
00:08:46.800,00:08:48.846,00:00:02.046,,,,"well it's pretty much a division problem",
00:08:50.200,00:08:50.710,00:00:00.510,,,,,"okay"
00:08:51.500,00:08:53.600,00:00:02.100,,,,"so if I wrote it like this",
00:08:58.470,00:08:59.000,00:00:00.530,,,,,"I can't see"
00:08:59.500,00:09:02.495,00:00:02.995,,,,,"wait do I have to move down wait"
00:09:03.800,00:09:04.500,00:00:00.700,,,,,"oh my gosh"
00:09:05.000,00:09:05.700,00:00:00.700,,,,,"so pause filler"
00:09:05.700,00:09:06.700,00:00:01.000,,,,,"can I scroll down"
00:09:06.700,00:09:11.396,00:00:04.696,,,,,"oh here we go okay (laughter)"
00:09:11.396,00:09:13.200,00:00:01.804,,,,,"I'm trying to scroll down"
00:09:13.700,00:09:15.800,00:00:02.100,,,,,"did you scroll down to"
00:09:15.800,00:09:17.500,00:00:01.700,,,,,"oh oh oh there we go"
00:09:17.500,00:09:19.400,00:00:01.900,,,,,"I see it okay"
00:09:19.800,00:09:28.400,00:00:08.600,,,,"yay okay so pretty much what you have to well it's pretty",
00:09:28.400,00:09:31.200,00:00:02.800,,,,"it is a division problem do you see how it's like",
00:09:32.500,00:09:35.100,00:00:02.600,,,,"this is like a division problem",
00:09:35.600,00:09:37.700,00:00:02.100,,,,"so if I read it another way",
00:09:37.700,00:09:39.300,00:00:01.600,,,,"I can write it one",
00:09:39.500,00:09:42.800,00:00:03.300,,,,,"how did you get to one hundred twenty divided by four"
00:09:42.800,00:09:48.600,00:00:05.800,,,,"I pause filler multiplied forty over one which is pretty much forty pause filler",
00:09:50.000,00:09:51.400,00:00:01.400,,,,,"but why did you do that"
00:09:51.800,00:09:54.400,00:00:02.600,,,,"because it equals the whole number forty",
00:09:55.600,00:09:59.200,00:00:03.600,,,,"if it was one over forty that would be a fraction a different kind of number",
00:10:02.175,00:10:04.900,00:00:02.725,,,,"but since it's not it's a whole number",
00:10:06.000,00:10:09.378,00:00:03.378,,,,"so that's how I learned it so yeah",
00:10:09.000,00:10:12.200,00:00:03.200,,,,,"okay do you want to like erase this to make more room"
00:10:13.000,00:10:13.895,00:00:00.895,,,,"yeah I can do that",
00:10:14.475,00:10:17.700,00:00:03.225,,,,,"okay I'm really bad at the eraser (laughter)"
00:10:18.400,00:10:21.900,00:00:03.500,,,,,"wait I'm trying to find the eraser thing"
00:10:21.900,00:10:23.100,00:00:01.200,,,,,"stop no"
00:10:24.700,00:10:25.800,00:00:01.100,,,,,"okay I'm black right"
00:10:25.800,00:10:27.600,00:00:01.800,,,,,"mine is black again"
00:10:27.800,00:10:29.400,00:00:01.600,,,,"you're more dark green",
00:10:30.000,00:10:32.400,00:00:02.400,,,,,"yeah I think it's a dark green but I don't know"
00:10:32.500,00:10:33.678,00:00:01.178,,,,"she said black",
00:10:34.800,00:10:37.300,00:00:02.500,,,,,"yeah oh wait should I put it like on black"
00:10:39.300,00:10:41.800,00:00:02.500,,,,,"wait yeah I think it's like a dark green"
00:10:42.600,00:10:43.100,00:00:00.500,,,,"okay",
00:10:43.200,00:10:44.737,00:00:01.537,,,,,"or now it's only black"
00:10:45.880,00:10:50.268,00:00:04.388,,,,,"there we go okay okay"
00:10:49.600,00:10:52.900,00:00:03.300,,,,"mine would be mint green okay",
00:10:52.900,00:10:57.100,00:00:04.200,,,,"so we were at one twenty",
00:10:57.300,00:10:59.500,00:00:02.200,,,,,"yeah here look at the equation in the cheat sheet again"
00:11:00.000,00:11:00.900,00:00:00.900,,,,,"I mean we were like okay"
00:11:00.900,00:11:08.080,00:00:07.180,,,,,"let's go through the steps so (laughter) just to show it to me okay"
00:11:08.080,00:11:10.300,00:00:02.220,,,,,"so what did they do first"
00:11:14.000,00:11:15.300,00:00:01.300,,,,"boy I'm stupid",
00:11:15.300,00:11:16.100,00:00:00.800,,,,"that's the answer",
00:11:17.200,00:11:18.256,00:00:01.056,,,,,"what one twenty"
00:11:18.700,00:11:26.700,00:00:08.000,,,,"one twenty (laughter) (inaudible) sorry",
00:11:26.700,00:11:30.600,00:00:03.900,,,,"pause filler what was the fraction again seven",
00:11:31.700,00:11:32.834,00:00:01.134,,,,"that is the answer",
00:11:38.500,00:11:39.300,00:00:00.800,,,,,"aw"
00:11:41.000,00:11:42.000,00:00:01.000,,,,,"hey wait did you do"
00:11:41.000,00:11:42.500,00:00:01.500,,,,"I don't know (laughter)",
00:11:42.500,00:11:44.500,00:00:02.000,,,,,"did you do forty time three"
00:11:45.800,00:11:47.500,00:00:01.700,,,,"uh-uh this whole thing",
00:11:47.800,00:11:49.000,00:00:01.200,,,,"I did it time this",
00:11:49.900,00:11:50.749,00:00:00.849,,,,,"the what"
00:11:50.500,00:11:52.995,00:00:02.495,,,,"well that's a good box (sfx)",
00:11:52.995,00:11:55.600,00:00:02.605,,,,"okay sorry (laughter)",
00:11:55.600,00:12:02.200,00:00:06.600,,,,"so I just do three over seven times that over four over one",
00:12:03.200,00:12:05.200,00:00:02.000,,,,,"but why did you wait"
00:12:05.200,00:12:06.600,00:00:01.400,,,,,"can you just keep it forty"
00:12:07.400,00:12:07.900,00:00:00.500,,,,"no",
00:12:08.000,00:12:13.118,00:00:05.118,,,,"but well a fraction is easier when you do",
00:12:12.400,00:12:15.800,00:00:03.400,,,,,"oh you just do it over one to make it easier yeah okay"
00:12:16.600,00:12:18.400,00:00:01.800,,,,"so yeah okay next problem",
00:12:19.700,00:12:23.900,00:00:04.200,,,,,"okay fourteen equals three okay (inaudible)"
00:12:23.900,00:12:24.200,00:00:00.300,,,,"okay got it",
00:12:24.200,00:12:25.100,00:00:00.900,,,,"I got it",
00:12:25.100,00:12:29.800,00:00:04.700,,,,,"you have to do three eight pause filler on each side times three eight on each side"
00:12:30.100,00:12:31.400,00:00:01.300,,,,"yes you got it",
00:12:32.590,00:12:34.000,00:00:01.410,,,,,"oh okay"
00:12:34.590,00:12:34.970,00:00:00.380,,,,"okay",
00:12:35.600,00:12:37.600,00:00:02.000,,,,,"can we just do some mental math okay"
00:12:37.600,00:12:40.200,00:00:02.600,,,,,"that would be nine over sixty-four"
00:12:42.000,00:12:42.500,00:00:00.500,,,,,"I think"
00:12:42.500,00:12:50.400,00:00:07.900,,,,,"yeah nine over sixty oh my gosh nine over sixty-four k"
00:12:50.400,00:12:51.800,00:00:01.400,,,,"why don't you just use this",
00:12:52.700,00:12:53.500,00:00:00.800,,,,,"what"
00:12:53.500,00:12:55.370,00:00:01.870,,,,"this it's neither",
00:12:56.700,00:12:59.300,00:00:02.600,,,,,"what like a pencil"
00:12:59.300,00:13:00.280,00:00:00.980,,,,,"is that the type of pencil"
00:13:01.700,00:13:05.500,00:00:03.800,,,,"you just how about you just my like writing and then",
00:13:05.500,00:13:08.600,00:00:03.100,,,,"so it's neither and you can actually understand it",
00:13:09.400,00:13:10.200,00:00:00.800,,,,,"what do you mean"
00:13:11.700,00:13:13.760,00:00:02.060,,,,"pause filler hold up",
00:13:14.600,00:13:17.700,00:00:03.100,,,,,"here maybe if I just like write bigger"
00:13:18.200,00:13:19.600,00:00:01.400,,,,"that just takes up more room",
00:13:20.100,00:13:21.800,00:00:01.700,,,,"I can write for you",
00:13:23.500,00:13:24.100,00:00:00.600,,,,,"it's fine"
00:13:24.100,00:13:26.100,00:00:02.000,,,,,"see that works that works"
00:13:27.000,00:13:31.900,00:00:04.900,,,,,"so nine over sixty-four k equals"
00:13:31.900,00:13:36.900,00:00:05.000,,,,,"and then we have to do fourteen times three over eight right"
00:13:38.700,00:13:40.700,00:00:02.000,,,,"multiply by both sides",
00:13:40.700,00:13:46.160,00:00:05.460,,,,"so you want to multiply three over eight by fourteen and times that by itself",
00:13:46.500,00:13:47.600,00:00:01.100,,,,,"okay let's do it"
00:13:47.600,00:13:49.200,00:00:01.600,,,,,"okay so you already have it written down"
00:13:49.200,00:13:51.200,00:00:02.000,,,,,"fourteen so fourteen time three"
00:13:51.900,00:13:53.217,00:00:01.317,,,,,"I'm just going to use a calculator"
00:13:53.217,00:13:59.000,00:00:05.783,,,,,"okay so fourteen times three would be"
00:14:00.700,00:14:02.100,00:00:01.400,,,,,"I'll just do it up here"
00:14:02.800,00:14:04.016,00:00:01.216,,,,"forty-two",
00:14:05.400,00:14:06.337,00:00:00.937,,,,,"oh you did it"
00:14:08.100,00:14:10.400,00:00:02.300,,,,,"okay oh yeah yeah okay"
00:14:10.400,00:14:16.000,00:00:05.600,,,,,"so forty-two over eight so forty-two over eight equals that"
00:14:18.800,00:14:21.900,00:00:03.100,,,,"oh I'm so stupid",
00:14:22.200,00:14:22.800,00:00:00.600,,,,,"what"
00:14:22.900,00:14:24.700,00:00:01.800,,,,"nothing I can't tell you",
00:14:24.700,00:14:27.600,00:00:02.900,,,,,"you can't tell me"
00:14:29.300,00:14:30.900,00:00:01.600,,,,,"forty-two over eight"
00:14:31.100,00:14:32.700,00:00:01.600,,,,,"that's a great forty-two"
00:14:37.300,00:14:40.230,00:00:02.930,,,,,"actually that's a terrible forty-two pause filler okay"
00:14:44.230,00:14:45.400,00:00:01.170,,,,,"are you in the purple room"
00:14:46.700,00:14:47.800,00:00:01.100,,,,"what purple room",
00:14:47.800,00:14:49.600,00:00:01.800,,,,,"is your what color is your room"
00:14:49.600,00:14:50.200,00:00:00.600,,,,"blue",
00:14:52.700,00:14:54.600,00:00:01.900,,,,,"mine is mint green"
00:14:55.600,00:14:58.200,00:00:02.600,,,,,"see I was just in a purple room and then they moved me"
00:14:58.500,00:14:59.700,00:00:01.200,,,,,"I think it's purple"
00:14:58.500,00:15:00.000,00:00:01.500,,,,"it's actually blue",
00:15:01.000,00:15:07.000,00:00:06.000,,,,,"oh oh maybe I was in the I don't know okay so forty-two"
00:15:06.000,00:15:11.600,00:00:05.600,,,,"no you were in this room right with the poster with Peter",
00:15:11.600,00:15:13.200,00:00:01.600,,,,,"is there a TV in there"
00:15:13.800,00:15:14.600,00:00:00.800,,,,"yeah a big one",
00:15:15.100,00:15:15.500,00:00:00.400,,,,,"yeah"
00:15:15.900,00:15:16.100,00:00:00.200,,,,"yeah",
00:15:16.600,00:15:17.300,00:00:00.700,,,,,"it's blue"
00:15:18.100,00:15:19.700,00:00:01.600,,,,,"oh okay"
00:15:20.400,00:15:29.600,00:00:09.200,,,,,"well so now you have to get forty-two over eight equal nine over sixty-four times k"
00:15:29.600,00:15:31.700,00:00:02.100,,,,,"and what do we do next"
00:15:31.700,00:15:33.500,00:00:01.800,,,,,"what does it say on the like"
00:15:33.700,00:15:35.700,00:00:02.000,,,,,"what's the next part of the equation thing"
00:15:38.400,00:15:39.500,00:00:01.100,,,,"that's the answer",
00:15:40.800,00:15:42.900,00:00:02.100,,,,,"really well what do you do with the nine"
00:15:42.900,00:15:44.300,00:00:01.400,,,,,"like do you have to get k"
00:15:44.300,00:15:47.400,00:00:03.100,,,,,"is k alone like this k on its own"
00:15:47.400,00:15:49.300,00:00:01.900,,,,,"or is there anything next to k"
00:15:50.800,00:15:52.700,00:00:01.900,,,,"it's right here sweetheart (laughter)",
00:15:57.000,00:15:58.500,00:00:01.500,,,,,"what do you mean"
00:15:59.300,00:15:59.700,00:00:00.400,,,,,"wait"
00:16:00.100,00:16:01.900,00:00:01.800,,,,"nothing is right byk",
00:16:05.000,00:16:10.790,00:00:05.790,,,,,"no because there's nine over sixty-four right next to k right here see"
00:16:18.400,00:16:23.200,00:00:04.800,,,,"oh sorry I got this completely wrong okay so",
00:16:31.000,00:16:31.700,00:00:00.700,,,,"what",
00:16:32.000,00:16:33.500,00:00:01.500,,,,"I did it again",
00:16:34.900,00:16:35.700,00:00:00.800,,,,,"what did you do"
00:16:36.000,00:16:36.900,00:00:00.900,,,,"I erased it",
00:16:37.900,00:16:39.155,00:00:01.255,,,,,"what did you erase"
00:16:39.000,00:16:40.690,00:00:01.690,,,,"the problem",
00:16:40.690,00:16:41.000,00:00:00.310,,,,,"oh oh"
00:16:41.000,00:16:43.500,00:00:02.500,,,,,"oh no"
00:16:43.500,00:16:44.300,00:00:00.800,,,,,"don't do that"
00:17:07.450,00:17:08.400,00:00:00.950,,,,"what just happened",
00:17:09.800,00:17:10.600,00:00:00.800,,,,,"I have no idea"
00:17:15.300,00:17:15.500,00:00:00.200,,,,"oh",
00:17:20.500,00:17:22.000,00:00:01.500,,,,,"are you just going back"
00:17:25.200,00:17:28.400,00:00:03.200,,,,,"okay starting fresh"
00:17:34.200,00:17:37.200,00:00:03.000,,,,,"this is like relaxing let's just go back so"
00:17:37.300,00:17:37.900,00:00:00.600,,,,"yeah",
00:17:39.600,00:17:51.700,00:00:12.100,,,,"okay so first you have to do fourteen over one times eight over three",
00:17:52.200,00:17:53.900,00:00:01.700,,,,,"do you mean three over eight"
00:17:54.400,00:17:56.100,00:00:01.700,,,,"nope eight over three",
00:17:56.600,00:17:58.200,00:00:01.600,,,,,"why are you searching the fraction"
00:17:58.800,00:18:00.900,00:00:02.100,,,,"it just told me to do that",
00:18:02.100,00:18:02.700,00:00:00.600,,,,,"really"
00:18:03.000,00:18:03.900,00:00:00.900,,,,"yes",
00:18:06.300,00:18:06.800,00:00:00.500,,,,,"there"
00:18:07.000,00:18:08.300,00:00:01.300,,,,"you can just use this",
00:18:09.300,00:18:11.500,00:00:02.200,,,,,"what (laughter)"
00:18:13.600,00:18:15.300,00:00:01.700,,,,"what's this times that",
00:18:17.700,00:18:18.400,00:00:00.700,,,,,"okay"
00:18:18.400,00:18:20.700,00:00:02.300,,,,,"what's fourteen time wait"
00:18:20.700,00:18:21.700,00:00:01.000,,,,,"why are you switching it though"
00:18:22.600,00:18:24.200,00:00:01.600,,,,"it says it tells me to do that",
00:18:24.200,00:18:25.770,00:00:01.570,,,,"I have no idea",
00:18:31.400,00:18:36.100,00:00:04.700,,,,,"pause filler the last time didn't we do three over pause filler didn't we multiply each side by three over eight"
00:18:41.100,00:18:45.480,00:00:04.380,,,,"okay so let's go back to the first problem",
00:18:47.000,00:18:49.000,00:00:02.000,,,,"okay so we did this wrong sorry",
00:18:49.800,00:18:52.500,00:00:02.700,,,,"we're supposed to do seven over three",
00:18:53.300,00:18:53.900,00:00:00.600,,,,,"really"
00:18:54.800,00:19:04.500,00:00:09.700,,,,"so this is three and seven time forty is two eighty",
00:19:05.500,00:19:10.900,00:00:05.400,,,,,"yeah so two eighty over three equals"
00:19:12.000,00:19:12.300,00:00:00.300,,,,,"pause filler wait"
00:19:15.200,00:19:18.320,00:00:03.120,,,,,"wait is it pause filler"
00:19:16.700,00:19:18.200,00:00:01.500,,,,"wait no that's the answer",
00:19:19.000,00:19:29.070,00:00:10.070,,,,,"is it not a thing when you like switch it around the no"
00:19:29.600,00:19:30.800,00:00:01.200,,,,"it's an improper fraction",
00:19:31.100,00:19:34.400,00:00:03.300,,,,,"no like when you do three over seven times seven over three"
00:19:34.400,00:19:37.300,00:00:02.900,,,,,"isn't that like a don't be like cancel out"
00:19:40.000,00:19:40.700,00:00:00.700,,,,,"(laughter)"
00:19:43.900,00:19:44.900,00:00:01.000,,,,,"what's it called"
00:19:44.000,00:19:45.600,00:00:01.600,,,,"oh yeah you do cancel out",
00:19:44.900,00:19:48.450,00:00:03.550,,,,,"reciprocals is that what it's called"
00:19:49.250,00:19:49.700,00:00:00.450,,,,,"I don't know"
00:19:49.700,00:19:54.280,00:00:04.580,,,,,"but do they cancel this three when you do over three over seven time seven over three"
00:19:53.200,00:19:54.600,00:00:01.400,,,,"this is no more",
00:19:55.300,00:19:56.000,00:00:00.700,,,,,"bye"
