"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","Duration - hh:mm:ss.ms","default","Experimenter 1","P1","Experimenter 2","P2","Experiment 1"
00:25:22.203,00:25:25.927,00:00:03.724,,,,,"you get negative negative five (inaudible)",
00:25:30.270,00:25:31.060,00:00:00.790,,,,,"equals",
00:25:34.210,00:25:35.190,00:00:00.980,,,,,"yeah y",
00:25:36.520,00:25:37.590,00:00:01.070,,,,,"there you go ",
00:25:39.440,00:25:46.186,00:00:06.746,,,,,"okay so it's just the same principle you subtract all the ds you subtract them ",
00:25:46.572,00:25:52.525,00:00:05.953,,,"you could do the if you do the twenty-eight if you subtract the twenty-eight then you'll end up with a positive d",,,
00:25:52.574,00:25:53.641,00:00:01.067,,,,,"pause filler yeah it would be",
00:25:53.971,00:25:54.929,00:00:00.958,,,,,"it would be a nicer number",
00:25:54.929,00:25:56.236,00:00:01.307,,,,,"so you subtract the twenty-eight",
00:25:56.415,00:26:03.469,00:00:07.054,,,,,"pause filler you get fifty-three minus twenty-eight which is pause filler fifty minus twenty-five",
00:26:04.217,00:26:14.724,00:00:10.507,,,,,"so you have twenty-five d plus seventy equals equals nineteen",
00:26:15.572,00:26:18.844,00:00:03.272,,,,,"subtract seventy seventy",
00:26:18.844,00:26:22.735,00:00:03.891,,,,,"pause filler you subtract the seventy",
00:26:22.995,00:26:25.918,00:00:02.923,,,,,"you get twenty-five",
00:26:26.706,00:26:39.178,00:00:12.472,,,,,"twenty-five equals pause filler nineteen minus seventy is pause filler nine minus sixty is fifty-one",
00:26:39.986,00:26:43.907,00:00:03.921,,,,,"negative fifty-one that seems about",
00:26:43.907,00:26:44.895,00:00:00.988,,,"yes",,,
00:26:44.895,00:26:45.753,00:00:00.858,,,,,"that seems about right",
00:26:45.753,00:26:49.145,00:00:03.392,,,,,"you divide by twenty-five forgot the variable there",
00:26:49.515,00:26:54.597,00:00:05.082,,,,,"you get d equals pause filler fifty-one twenty-fifths",
00:27:01.320,00:27:01.810,00:00:00.490,,,,,"okay",
00:27:03.692,00:27:09.828,00:00:06.136,,,,,"pause filler it's probably easier to do if you subtract the nine",
00:27:09.828,00:27:13.161,00:00:03.333,,,,,"pause filler x nine x there we go",
00:27:13.161,00:27:14.188,00:00:01.027,,,,,"pause filler you subtract the nine x",
00:27:14.188,00:27:22.486,00:00:08.298,,,,,"you get one hundred two equals fifty-three pause filler plus ten x",
00:27:27.970,00:27:39.471,00:00:11.501,,,,,"so pause filler one hundred two minus fifty-three is fifty-two minus three is forty-nine equals ten x",
00:27:40.050,00:27:44.680,00:00:04.630,,,,,"so you get pause filler forty four-point-nine equals x ",
00:27:47.580,00:27:48.010,00:00:00.430,,,,,"okay",
00:27:51.510,00:27:55.754,00:00:04.244,,,,,"thirteen y plus twenty-seven pause filler it's easier to just subtract that y",
00:27:57.252,00:28:07.577,00:00:10.325,,,,,"so you get twelve y plus twenty-seven equals negative seventy-three",
00:28:09.652,00:28:11.608,00:00:01.956,,,,,"so you subtract the twenty-seven",
00:28:12.845,00:28:22.956,00:00:10.111,,,,,"you get twelve y equals pause filler twenty-seven negative seventy-three a hundred negative one hundred",
00:28:25.300,00:28:25.800,00:00:00.500,,,"pause filler",,,
00:28:26.255,00:28:37.010,00:00:10.755,,,,,"okay and negative one hundred twelfths or y equals negative pause filler twenty-five thirds",
00:28:38.138,00:28:45.730,00:00:07.592,,,,,"because you can reduce it okay pause filler a hundred okay",
00:28:45.730,00:28:47.846,00:00:02.116,,,,,"so you subtract the five p",
00:28:48.594,00:28:57.933,00:00:09.339,,,,,"so you get one hundred equals pause filler twenty p plus fifty",
00:28:59.240,00:29:00.287,00:00:01.047,,,,,"subtract the fifty",
00:29:00.287,00:29:05.675,00:00:05.388,,,,,"you get fifty equals twenty p",
00:29:05.675,00:29:07.621,00:00:01.946,,,,,"pause filler you divide by twenty",
00:29:07.621,00:29:13.228,00:00:05.607,,,,,"you get five halves equals p",
00:29:18.805,00:29:19.234,00:00:00.429,,,,,"that's it",
00:29:20.034,00:29:20.711,00:00:00.677,,,"I guess so",,,
00:29:21.711,00:29:22.210,00:00:00.499,,,,,"okay then",
00:29:26.510,00:29:28.526,00:00:02.016,,,,,"I'll go find the people",
00:29:29.570,00:29:30.250,00:00:00.680,,,"alright",,,
00:30:06.890,00:30:07.520,00:00:00.630,,"alright ",,,,
00:30:15.516,00:30:17.954,00:00:02.438,,,,"that's the end of the first tutoring (inaudible)",,
00:30:17.244,00:30:20.459,00:00:03.215,,"sorry we're gonna switch and have them they are gonna tutor you now",,,,
00:30:20.500,00:30:21.180,00:00:00.680,,,"okay",,,
00:30:21.715,00:30:41.863,00:00:20.148,,"so before you start with any math problems I'm gonna set something up on our end pause filler you can have this snack and just chat with them for a little while pause filler and pause filler yeah so you can put your headphones back on put your headphones on and I'll be back in a minute oh and can I have that worksheet ",,,,
00:30:41.846,00:30:42.006,00:00:00.160,,,,,"okay",
00:30:42.840,00:30:43.760,00:00:00.920,,"thank you ",,,,
00:31:30.962,00:31:32.781,00:00:01.819,,,,,"that's great free candy",
00:31:36.721,00:31:39.500,00:00:02.779,,,"it's even better when you're in a game design lab",,,
00:31:40.040,00:31:41.160,00:00:01.120,,,,,"you have got a good point",
00:31:49.672,00:31:51.299,00:00:01.627,,,,,"are you in a game design room",
00:31:51.668,00:31:51.837,00:00:00.169,,,"yup",,,
00:31:52.227,00:31:54.441,00:00:02.214,,,,,"oh I'm just sitting in some conference room",
00:31:54.701,00:31:56.527,00:00:01.826,,,,,"they have a lot of magnets on a fridge",
00:31:58.682,00:32:00.637,00:00:01.955,,,"mine has a kitchenette",,,
00:32:01.017,00:32:01.386,00:00:00.369,,,,,"really",
00:32:01.675,00:32:02.274,00:00:00.599,,,"yup",,,
00:32:02.393,00:32:07.183,00:00:04.790,,,,,"it has pause filler has a fridge sink coffee microwave toaster",
00:32:11.502,00:32:14.007,00:00:02.505,,,"mine has a giant Samsung TV",,,
00:32:14.914,00:32:15.620,00:00:00.706,,,,,"oh that's cool",
00:32:17.019,00:32:21.640,00:00:04.621,,,,,"yeah mine just has projectors and and a white board",
00:33:20.281,00:33:26.053,00:00:05.772,,,,,"so my math class pause filler my math teacher who works at the high school pause filler",
00:33:27.041,00:33:29.056,00:00:02.015,,,,,"so they just renovated our high school",
00:33:29.056,00:33:30.024,00:00:00.968,,,,,"I go to Mount Lebanon",
00:33:30.344,00:33:36.001,00:00:05.657,,,,,"and so his desk has punched through the tile before the first year of the high school",
00:33:36.599,00:33:37.487,00:00:00.888,,,"oh my gosh",,,
00:33:38.136,00:33:41.438,00:00:03.302,,,,,"because they decided to buy cheap tiles instead of like good tile",
00:33:42.586,00:33:52.647,00:00:10.061,,,"yeah at my school it's like over fifty years old and there's only single-paned windows and I swear there's no insulation it's awful",,,
00:33:59.347,00:34:02.300,00:00:02.953,,,,,"oh they've also had this strange bus problem",
00:34:03.129,00:34:06.861,00:00:03.732,,,,,"so they have to bus a handful of kids every day",
00:34:07.629,00:34:11.370,00:00:03.741,,,,,"and so the first day they had to bus like kids for between schools",
00:34:11.470,00:34:15.598,00:00:04.128,,,,,"so they sent a tiny bus for an entire classroom of kids",
00:34:17.037,00:34:18.793,00:00:01.756,,,,,"they couldn't fit everybody on the bus",
00:34:19.862,00:34:22.685,00:00:02.823,,,"that's that is like a bad idea",,,
00:34:24.471,00:34:31.515,00:00:07.044,,,,,"and then those same kids pause filler in the bus situation with those kids just got worse",
00:34:33.715,00:34:40.175,00:00:06.460,,,"wow yeah my one friend has like an old lady bus driver named Barb",,,
00:34:40.494,00:34:45.862,00:00:05.368,,,"it's it's crazy she yells at everybody and hates everybody",,,
00:34:46.301,00:34:47.388,00:00:01.087,,,,,"oh that's not good",
00:34:48.218,00:34:54.789,00:00:06.571,,,"yeah she called the principal of our school like at least once or twice about this one kid in my class who's just annoying",,,
00:35:00.658,00:35:07.363,00:00:06.705,,,,,"yeah so I have this English teacher and he manages to spend the entire period talking",
00:35:08.061,00:35:09.329,00:00:01.268,,,,,"we barely do anything",
00:35:09.329,00:35:11.593,00:00:02.264,,,,,"because for the first five minutes he's not there",
00:35:12.422,00:35:15.554,00:00:03.132,,,,,"and then for the last five minutes he lets us leave early",
00:35:15.634,00:35:17.171,00:00:01.537,,,,,"well he lets the other periods leave early",
00:35:17.171,00:35:18.308,00:00:01.137,,,,,"because they have to go to lunch",
00:35:18.318,00:35:24.155,00:00:05.837,,,,,"and so for the thirty-something minutes in between he talks",
00:35:24.155,00:35:25.212,00:00:01.057,,,,,"and we do worksheets",
00:35:25.252,00:35:26.240,00:00:00.988,,,,,"it's really boring",
00:35:27.946,00:35:33.015,00:00:05.069,,,"yeah my history teacher she'll start talking about the lesson",,,
00:35:33.015,00:35:39.251,00:00:06.236,,,"and she rambles a little bit and then she keeps talking and then we read and she gives us work and then we leave",,,
00:35:39.510,00:35:40.647,00:00:01.137,,,"and it's crazy",,,
00:35:43.038,00:35:46.975,00:00:03.937,,,"my homeroom teacher lectures us like at least once a week",,,
00:35:47.975,00:35:58.000,00:00:10.025,,,"like he yells at us and he gets really mad and it's almost funny and you hate him and it's just a routine now which is sort of bad but sort of funny",,,
00:36:02.538,00:36:06.329,00:00:03.791,,,,,"I had a homeroom teacher but I've only been there like two days",
00:36:07.047,00:36:12.415,00:00:05.368,,,,,"because the other days I've been sitting outside a stairwell waiting to go up to a class at the high school",
00:36:12.415,00:36:12.445,00:00:00.030,,,"oh",,,
00:36:14.405,00:36:17.264,00:00:02.859,,,,,"and I'm with a few other kids",
00:36:17.264,00:36:22.000,00:00:04.736,,,,,"and because no teacher is ever there we just play on our phones the entire time",
00:36:29.080,00:36:30.860,00:00:01.780,,,,," our school's administrative people",
00:36:31.761,00:36:33.058,00:00:01.297,,,,,"probably don't know about it",
00:36:35.958,00:36:38.715,00:00:02.757,,,"my one friend at she goes to Hampton",,,
00:36:38.925,00:36:40.880,00:00:01.955,,,"it was so funny",,,
00:36:41.320,00:36:42.976,00:00:01.656,,,"she said there was this one kid",,,
00:36:43.145,00:36:55.058,00:00:11.913,,,"and they were in the reading or something like that some sort of library or whatever and the teacher had turned around (laughs) and this kid had his camera on (laughter)",,,
00:36:57.558,00:37:03.147,00:00:05.589,,,"he took a picture (laughter) and it made it look like (laughter)",,,
00:37:05.086,00:37:07.433,00:00:02.347,,,"and she started yelling at everybody",,,
00:37:09.530,00:37:10.570,00:00:01.040,,,"it was so funny",,,
00:37:12.808,00:37:15.252,00:00:02.444,,,,,"I hate how when like one kid does something wrong",
00:37:15.412,00:37:17.278,00:00:01.866,,,,,"and then the teacher yells at everybody",
00:37:17.390,00:37:22.306,00:00:04.916,,,"thank you that is my class every single period of every single day",,,
00:37:31.040,00:37:33.460,00:00:02.420,,,"the teacher is gonna tell us all before we gonna graduate",,,
00:37:51.156,00:37:52.137,00:00:00.981,,"thank you for your patience",,,,
00:37:52.637,00:38:05.173,00:00:12.536,,"you have twenty minutes to work through any of these problems as you can no pressure if you don't complete them all go ahead and get started  and you guys can get going can you guys hear each other well enough with the headphones off",,,,
00:38:04.630,00:38:04.910,00:00:00.280,,,"mmhhm",,,
00:38:05.850,00:38:06.180,00:00:00.330,,"okay",,,,
00:38:07.730,00:38:08.160,00:00:00.430,,"great",,,,
00:38:09.460,00:38:14.030,00:00:04.570,,"I think that I will take your snack but you'll get them back at the end",,,,
00:38:14.190,00:38:14.700,00:00:00.510,,,"yay",,,
00:38:18.570,00:38:19.500,00:00:00.930,,,"okay so",,,
00:38:22.990,00:38:27.000,00:00:04.010,,,,,"so uh do you need any help solving this or do you think you know what you are doing",
00:38:27.100,00:38:28.360,00:00:01.260,,,"I think I got this",,,
00:38:28.720,00:38:28.960,00:00:00.240,,,,,"ok",
00:38:29.330,00:38:31.110,00:00:01.780,,,,,"if you do anything wrong I will just tell you",
00:38:33.170,00:38:33.990,00:00:00.820,,,,"what the",,
00:38:35.540,00:38:37.310,00:00:01.770,,,,,"yeah the pen's a little weird to use",
00:39:00.393,00:39:03.107,00:00:02.714,,,,,"so you're pause filler doing what here",
00:39:04.175,00:39:05.153,00:00:00.978,,,"I add the opposite",,,
00:39:05.153,00:39:06.430,00:00:01.277,,,"it's really weird",,,
00:39:06.589,00:39:07.797,00:00:01.208,,,,,"yeah yeah I I see",
00:39:07.797,00:39:11.269,00:00:03.472,,,"instead of subtracting my teacher yells at us to do it so",,,
00:39:12.047,00:39:14.451,00:00:02.404,,,,,"oh you guys add the inverse interesting",
00:39:14.731,00:39:19.071,00:00:04.340,,,"yeah it's really it's really weird my math teacher is a nut job",,,
00:39:20.071,00:39:23.222,00:00:03.151,,,,,"I had one math teacher who was just pause filler crazy",
00:39:23.222,00:39:26.684,00:00:03.462,,,,,"he spent one day like talking about pirates",
00:39:27.582,00:39:28.510,00:00:00.928,,,"what (laughs)",,,
00:39:29.846,00:39:35.900,00:00:06.054,,,,,"and skiers because it was for lines so twenty-three minus fifteen",
00:39:40.228,00:39:42.106,00:00:01.878,,,"wow this is really weird",,,
00:39:42.390,00:39:42.720,00:00:00.330,,,,"ya",,
00:39:52.854,00:39:57.115,00:00:04.261,,,"(inaudible) y is equal to negative five",,,
00:39:57.324,00:39:58.481,00:00:01.157,,,,,"yup that's it",
00:39:59.270,00:40:00.477,00:00:01.207,,,"that's easy",,,
00:40:01.854,00:40:09.150,00:00:07.296,,,"okay so that's negative k equals what the",,,
00:40:13.717,00:40:23.458,00:00:09.741,,,"fourteen equals thirty-six plus k",,,
00:40:24.800,00:40:25.430,00:00:00.630,,,,,"yeah",
00:40:26.161,00:40:31.277,00:00:05.116,,,"all right so k  ",,,
00:40:35.190,00:40:36.270,00:00:01.080,,,"add k",,,
00:40:39.040,00:40:50.048,00:00:11.008,,,"now you have fourteen is equal to thirty-six plus two k",,,
00:40:54.300,00:40:59.047,00:00:04.747,,,,,"you have some space kind of over on that side",
00:41:00.141,00:41:21.630,00:00:21.489,,,"okay moving over here now pause filler okay fourteen equal to thirty-six plus two k ",,,
00:41:29.630,00:41:39.851,00:00:10.221,,,"six okay thirty-six pause filler ",,,
00:41:57.900,00:42:07.110,00:00:09.210,,,"okay so that's negative twenty-five two k finally done",,,
00:42:07.651,00:42:09.166,00:00:01.515,,,,,"what did you get for that last one",
00:42:09.505,00:42:10.731,00:00:01.226,,,"negative twenty-five",,,
00:42:11.838,00:42:13.133,00:00:01.295,,,,,"yeah that seems right",
00:42:21.802,00:42:22.977,00:00:01.175,,,"okay that's weird pause filler",,,
00:42:29.506,00:42:31.244,00:00:01.738,,,"okay I see how I can do this",,,
00:42:33.454,00:42:51.279,00:00:17.825,,,"I guess that's seventeen plus negative b equals thirteen b no wait plus b sorry",,,
00:42:53.579,00:43:15.900,00:00:22.321,,,"so that's plus negative b negative two b equal what the what did I just do",,,
00:43:17.810,00:43:19.637,00:00:01.827,,,,,"it should equal thirteen I think",
