"Temps de départ - hh:mm:ss.ms","temps de fin - hh:mm:ss.ms","Durée - hh:mm:ss.ms","default","Experimenter","P2","P1","Experimenter 2"
00:08:08.849,00:08:10.800,00:00:01.951,,,,,"no pressure if you can't get through all of them"
00:08:10.800,00:08:16.400,00:00:05.600,,,,,"you just want to make sure that if you're going to be writing on the problem you don't want to work through the problem for them"
00:08:16.400,00:08:19.200,00:00:02.800,,,,,"you can just mainly use the pen to circle and underline things"
00:08:19.700,00:08:26.400,00:00:06.700,,,,,"so if you are finished early if you happen to finish all of the problems you can just call me (inaudible)"
00:08:26.400,00:08:31.800,00:00:05.400,,,,,"and we will set you up so good luck"
00:08:32.000,00:08:33.000,00:00:01.000,,,"all right (laughter)",,
00:08:34.916,00:08:37.708,00:00:02.792,,,,"this is very confusing",
00:08:38.400,00:08:41.100,00:00:02.700,,,"they just like tried to do it I guess",,
00:08:41.100,00:08:44.500,00:00:03.400,,,,"yeah I guess so",
00:08:45.300,00:08:46.300,00:00:01.000,,,"okay so",,
00:08:47.983,00:08:51.300,00:00:03.317,,,,"so first what you want to do is",
00:08:53.674,00:08:56.300,00:00:02.626,,,,"this is hard because I can't do the problem for you",
00:08:56.300,00:08:58.100,00:00:01.800,,,,"but I have to explain it",
00:08:58.100,00:09:01.900,00:00:03.800,,,"yeah okay so I think it says to add six right",,
00:09:02.158,00:09:02.491,00:00:00.333,,,,"yeah",
00:09:03.000,00:09:04.000,00:00:01.000,,,"so I guess I'll write that",,
00:09:06.300,00:09:08.449,00:00:02.149,,,"(laughter) it's like really big",,
00:09:09.400,00:09:13.600,00:00:04.200,,,"okay plus oh just like they're like so then",,
00:09:13.700,00:09:14.300,00:00:00.600,,,"oh my god",,
00:09:14.300,00:09:17.300,00:00:03.000,,,"okay that's x equals",,
00:09:18.300,00:09:22.800,00:00:04.500,,,"and then thirteen plus six is six seven okay eighteen",,
00:09:24.900,00:09:26.600,00:00:01.700,,,"no it's nineteen",,
00:09:27.800,00:09:30.700,00:00:02.900,,,"wait why am I okay",,
00:09:34.633,00:09:35.900,00:00:01.267,,,"how do you delete it okay",,
00:09:36.000,00:09:38.600,00:00:02.600,,,,"you have to do the back arrow",
00:09:39.600,00:09:41.300,00:00:01.700,,,"how do you",,
00:09:42.108,00:09:43.874,00:00:01.766,,,,"yes it's very confusing",
00:09:50.700,00:09:51.200,00:00:00.500,,,"I'm just like",,
00:09:52.466,00:09:53.991,00:00:01.525,,,,"why wouldn't it work",
00:09:57.200,00:10:00.000,00:00:02.800,,,"oh oh it's working",,
00:10:00.000,00:10:01.800,00:00:01.800,,,"wait oh oh oh",,
00:10:02.400,00:10:02.900,00:00:00.500,,,"yay",,
00:10:02.900,00:10:04.600,00:00:01.700,,,"oh no there are like dots okay",,
00:10:06.200,00:10:12.983,00:00:06.783,,,"so all right add six to each side",,
00:10:14.716,00:10:20.699,00:00:05.983,,,"and that's x equals",,
00:10:21.900,00:10:24.400,00:00:02.500,,,"and then three plus six nineteen",,
00:10:25.700,00:10:26.500,00:00:00.800,,,"oh okay",,
00:10:28.100,00:10:32.208,00:00:04.108,,,"so it's probably right I guess because x equals nineteen now",,
00:10:32.208,00:10:32.600,00:00:00.392,,,"so it's probably right I guess because x equals nineteen now","yeah I guess so",
00:10:32.600,00:10:33.741,00:00:01.141,,,,"yeah I guess so",
00:10:35.900,00:10:38.900,00:00:03.000,,,"yeah all right how do you go to the next one",,
00:10:39.591,00:10:40.600,00:00:01.009,,,"do you know",,
00:10:40.600,00:10:40.691,00:00:00.091,,,"do you know","yes",
00:10:40.691,00:10:41.900,00:00:01.209,,,,"yes",
00:10:43.300,00:10:44.800,00:00:01.500,,,"all right oh okay",,
00:10:46.200,00:10:47.800,00:00:01.600,,,,"so now it's your turn",
00:10:48.600,00:10:49.400,00:00:00.800,,,"okay",,
00:10:51.500,00:10:58.600,00:00:07.100,,,,"so pause filler I guess I do seven no eleven",
00:11:00.300,00:11:03.500,00:00:03.200,,,,"plus seventeen",
00:11:03.600,00:11:06.100,00:00:02.500,,,,"man my handwriting is horrible",
00:11:06.600,00:11:08.400,00:00:01.800,,,,"okay so",
00:11:09.900,00:11:13.200,00:00:03.300,,,,"and I do eleven plus k",
00:11:13.700,00:11:16.800,00:00:03.100,,,,"so that cancels out k so",
00:11:16.900,00:11:18.500,00:00:01.600,,,"like add eleven each side",,
00:11:19.000,00:11:23.900,00:00:04.900,,,,"yeah so then it's pretty much that's twenty-eight",
00:11:24.900,00:11:26.400,00:00:01.500,,,"yeah and then plus",,
00:11:28.000,00:11:30.800,00:00:02.800,,,"wait yeah or subtract",,
00:11:30.800,00:11:34.700,00:00:03.900,,,"are you subtracting eleven because that would cancel out eleven then",,
00:11:36.600,00:11:41.500,00:00:04.900,,,"if you subtract it eleven because then like then that would be zero",,
00:11:41.500,00:11:43.100,00:00:01.600,,,"and you can just like go like that",,
00:11:43.700,00:11:47.500,00:00:03.800,,,"and then that would be seven wait no that would be six",,
00:11:47.500,00:11:50.400,00:00:02.900,,,"(laughter) you got it",,
00:11:50.500,00:11:50.800,00:00:00.300,,,,"yeah",
00:11:50.800,00:11:51.900,00:00:01.100,,,"I think so yeah",,
00:11:52.400,00:11:54.200,00:00:01.800,,,,"maybe maybe not",
00:11:54.700,00:11:55.900,00:00:01.200,,,,"well I have no idea",
00:11:57.691,00:12:01.716,00:00:04.025,,,"okay let's start like let's start fresh I guess",,
00:12:01.716,00:12:04.600,00:00:02.884,,,"like here okay",,
00:12:04.800,00:12:06.900,00:00:02.100,,,,"okay so",
00:12:08.800,00:12:11.100,00:00:02.300,,,"let's subtract the eleven from each side",,
00:12:12.100,00:12:18.200,00:00:06.100,,,,"okay so seventeen minus eleven",
00:12:18.200,00:12:22.900,00:00:04.700,,,,"and k minus eleven",
00:12:22.900,00:12:24.400,00:00:01.500,,,,"if I did equals eleven",
00:12:25.399,00:12:25.408,00:00:00.009,,,"I just like scratch out the one",,
00:12:25.408,00:12:26.191,00:00:00.783,,,"I just like scratch out the one","I have no idea",
00:12:26.191,00:12:26.824,00:00:00.633,,,"I just like scratch out the one",,
00:12:30.800,00:12:34.200,00:00:03.400,,,"or did you like or you do eleven minus eleven",,
00:12:34.200,00:12:35.400,00:00:01.200,,,"and seventeen minus eleven",,
00:12:37.216,00:12:38.983,00:00:01.767,,,"and they like (inaudible) I don't know",,
00:12:39.116,00:12:46.291,00:00:07.175,,,,"yeah pause filler well k isn't going anywhere because it's not a number necessarily so",
00:12:47.200,00:12:48.800,00:00:01.600,,,"so then we can just cancel out the eleven then",,
00:12:48.800,00:12:50.200,00:00:01.400,,,"and would just be a k alone",,
00:12:50.500,00:12:53.800,00:00:03.300,,,,"yeah it's hardly like what I'm doing",
00:12:54.200,00:12:56.266,00:00:02.066,,,"then it could be yeah",,
00:12:56.266,00:12:56.600,00:00:00.334,,,"then it could be yeah","okay don't judge I have no idea what that is it looks like a fish",
00:12:56.600,00:13:01.266,00:00:04.666,,,,"okay don't judge I have no idea what that is it looks like a fish",
00:13:01.600,00:13:06.600,00:00:05.000,,,,"okay so then seventeen minus eleven would be six",
00:13:06.600,00:13:08.500,00:00:01.900,,,"six yeah",,
00:13:10.000,00:13:12.800,00:00:02.800,,,"so then six equals k oh",,
00:13:13.300,00:13:14.200,00:00:00.900,,,,"k equals six",
00:13:14.900,00:13:15.200,00:00:00.300,,,"yeah",,
00:13:15.900,00:13:16.900,00:00:01.000,,,,"we did it",
00:13:16.900,00:13:18.400,00:00:01.500,,,"circle out I'm trying to circle out",,
00:13:18.400,00:13:22.100,00:00:03.700,,,"okay so how do you go to the next one",,
00:13:22.300,00:13:26.399,00:00:04.099,,,,"and then nope",
00:13:27.091,00:13:32.300,00:00:05.209,,,,"(sfx) okay",
00:13:33.549,00:13:36.941,00:00:03.392,,,,"then add okay s I know how to do this one",
00:13:37.358,00:13:45.308,00:00:07.950,,,,"okay so what you'll have to do is you have to",
00:13:46.966,00:13:51.166,00:00:04.200,,,,"yeah add forty-four plus two",
00:13:53.758,00:13:55.824,00:00:02.066,,,,"hundred twenty",
00:13:56.699,00:13:57.322,00:00:00.623,,,"we add it",,
00:13:57.899,00:13:58.400,00:00:00.501,,,,"I think",
00:14:00.066,00:14:01.000,00:00:00.934,,,"like two hundred twenty divided forty-four",,
00:14:01.000,00:14:02.200,00:00:01.200,,,"pause filler",,
00:14:04.244,00:14:12.100,00:00:07.856,,,"because then if you did that you'd figure out how many times it goes and there's pretty much a twenty in it so x",,
00:14:12.100,00:14:13.100,00:00:01.000,,,,"ah okay I got it",
00:14:13.100,00:14:14.400,00:00:01.300,,,,"you have to divide it",
00:14:14.400,00:14:18.700,00:00:04.300,,,"oh yeah yeah yeah okay so I'll do",,
00:14:19.300,00:14:19.800,00:00:00.500,,,"oh gosh",,
00:14:19.800,00:14:20.700,00:00:00.900,,,"long equation",,
00:14:21.200,00:14:28.000,00:00:06.800,,,"(laughter) twenty-four divided by two hundred four",,
00:14:28.500,00:14:34.300,00:00:05.800,,,"pause filler okay so I'll just do like eighty-eight which should be like",,
00:14:36.000,00:14:40.200,00:00:04.200,,,"two there uh-oh",,
00:14:41.000,00:14:41.400,00:00:00.400,,,"oh my god",,
00:14:42.800,00:14:45.362,00:00:02.562,,,"okay and then two twenty okay",,
00:14:52.304,00:15:01.913,00:00:09.609,,,"pause filler what oh my gosh okay (laughter)",,
00:15:02.420,00:15:02.913,00:00:00.493,,,"oh (laughter)",,
00:15:03.855,00:15:05.159,00:00:01.304,,,"wait okay so I'll do okay let's try this again",,
00:15:06.500,00:15:16.500,00:00:10.000,,,"so forty-four divided by two hundred three",,
00:15:17.100,00:15:18.900,00:00:01.800,,,"it like fixes it when you write it",,
00:15:18.900,00:15:20.449,00:00:01.549,,,"like you write it and then",,
00:15:20.449,00:15:20.652,00:00:00.203,,,"like you write it and then","really",
00:15:20.652,00:15:21.200,00:00:00.548,,,"like you write it and then",,
00:15:21.400,00:15:23.900,00:00:02.500,,,"yeah like drawing a little like circle",,
00:15:23.900,00:15:25.400,00:00:01.500,,,"and then like changes a little",,
00:15:26.100,00:15:27.900,00:00:01.800,,,"do you see that like",,
00:15:32.400,00:15:35.029,00:00:02.629,,,,"well I don't want to write anything",
00:15:35.058,00:15:36.318,00:00:01.260,,,,"oh look at that",
00:15:36.463,00:15:36.550,00:00:00.087,,,"oh",,
00:15:37.492,00:15:37.695,00:00:00.203,,,,"okay (laughter)",
00:15:41.600,00:15:43.300,00:00:01.700,,,"oh okay",,
00:15:45.400,00:15:50.652,00:00:05.252,,,"okay so forty-four divided or two hundred twenty divided by forty-four",,
00:15:52.300,00:15:54.300,00:00:02.000,,,,"no I'm just joking (laughter)",
00:15:55.927,00:15:58.600,00:00:02.673,,,"okay I'm just going to try forty-four times",,
00:15:59.000,00:16:02.188,00:00:03.188,,,"I wish there was a calculator that would be nice",,
00:16:02.188,00:16:02.637,00:00:00.449,,,"I wish there was a calculator that would be nice","cheater",
00:16:02.637,00:16:03.405,00:00:00.768,,,,"cheater",
00:16:03.900,00:16:05.600,00:00:01.700,,,"no if there was a calculator",,
00:16:05.600,00:16:07.700,00:00:02.100,,,,"there might actually be a calculator",
00:16:08.000,00:16:09.400,00:00:01.400,,,,"calculator",
00:16:09.700,00:16:14.700,00:00:05.000,,,,"wait go to that box like that window box and see",
00:16:16.434,00:16:18.826,00:00:02.392,,,"that would be cheating though",,
00:16:19.300,00:16:22.400,00:00:03.100,,,,"you wanted a calculator",
00:16:23.000,00:16:24.200,00:00:01.200,,,"okay and then",,
00:16:28.000,00:16:28.300,00:00:00.300,,,,"wow",
00:16:28.300,00:16:30.400,00:00:02.100,,,,"I have no idea what you are doing",
00:16:31.100,00:16:32.300,00:00:01.200,,,"nor do I (laughter)",,
00:16:32.300,00:16:34.200,00:00:01.900,,,,"okay how about you just erase everything",
00:16:35.318,00:16:35.700,00:00:00.382,,,,"and then start",
00:16:35.700,00:16:36.826,00:00:01.126,,,"wait can you press delete","and then start",
00:16:36.826,00:16:36.900,00:00:00.074,,,"wait can you press delete",,
00:16:37.200,00:16:38.700,00:00:01.500,,,"can you press the delete thingy",,
00:16:38.900,00:16:41.724,00:00:02.824,,,"or that clear though or just like",,
00:16:42.900,00:16:44.400,00:00:01.500,,,,"pause filler don't hit the trash",
00:16:45.000,00:16:51.700,00:00:06.700,,,"yeah yeah okay it's going to take forever to go back (laughter) just like",,
00:16:53.087,00:16:55.898,00:00:02.811,,,,"hey you're making my stuff go back",
00:16:57.900,00:16:58.600,00:00:00.700,,,"wait I don't know",,
00:16:58.600,00:16:59.300,00:00:00.700,,,"I don't even know",,
00:16:59.300,00:17:00.700,00:00:01.400,,,,"oh I got it",
00:17:00.700,00:17:02.100,00:00:01.400,,,,"I got it",
00:17:02.100,00:17:02.400,00:00:00.300,,,"okay",,
00:17:03.700,00:17:05.000,00:00:01.300,,,,"don't click anything",
00:17:07.565,00:17:07.579,00:00:00.014,,,,"it might take a while but it's",
00:17:07.579,00:17:09.275,00:00:01.696,,,"is that like going to erase everything","it might take a while but it's",
00:17:09.275,00:17:10.100,00:00:00.825,,,"is that like going to erase everything",,
00:17:10.100,00:17:10.579,00:00:00.479,,,"is that like going to erase everything","yeah I'm doing",
00:17:10.579,00:17:11.100,00:00:00.521,,,,"yeah I'm doing",
00:17:12.400,00:17:13.300,00:00:00.900,,,"I don't see it",,
00:17:14.100,00:17:14.500,00:00:00.400,,,,"really",
00:17:14.500,00:17:15.700,00:00:01.200,,,,"it's on the side",
00:17:18.500,00:17:19.700,00:00:01.200,,,"I can hear it",,
00:17:19.700,00:17:21.300,00:00:01.600,,,"but I can't see it",,
00:17:27.900,00:17:29.600,00:00:01.700,,,,"this is going to take a while",
00:17:37.797,00:17:39.200,00:00:01.403,,,"how small is the eraser",,
00:17:39.500,00:17:40.500,00:00:01.000,,,,"very small",
00:17:40.550,00:17:40.652,00:00:00.102,,,"oh",,
00:17:43.782,00:17:45.710,00:00:01.928,,,"now I see it",,
00:17:48.637,00:17:48.739,00:00:00.102,,,,"huh",
00:17:50.400,00:17:51.200,00:00:00.800,,,"okay",,
00:17:53.200,00:17:56.600,00:00:03.400,,,"so how many time does forty-four",,
00:17:58.900,00:18:00.300,00:00:01.400,,,"go into two hundred twenty",,
00:18:00.900,00:18:02.200,00:00:01.300,,,,"oh I like this",
00:18:10.362,00:18:13.710,00:00:03.348,,,,"okay I think we're going to get in trouble if we keep tutoring",
00:18:13.710,00:18:14.217,00:00:00.507,,,"yeah okay","okay I think we're going to get in trouble if we keep tutoring",
00:18:14.217,00:18:14.500,00:00:00.283,,,,"okay I think we're going to get in trouble if we keep tutoring",
00:18:15.400,00:18:19.100,00:00:03.700,,,"that's the actual answer but",,
00:18:19.100,00:18:20.300,00:00:01.200,,,"okay pause filler okay",,
00:18:24.463,00:18:32.300,00:00:07.837,,,"I'm going to like try I'm going to see if forty-four goes into it five times",,
00:18:33.800,00:18:37.300,00:00:03.500,,,"and then if it does I can know if it's divisible by five",,
00:18:38.300,00:18:39.400,00:00:01.100,,,"wait it might work",,
00:18:39.400,00:18:39.900,00:00:00.500,,,"one minute",,
00:18:40.800,00:18:46.600,00:00:05.800,,,"two time four is twenty yeah x is five",,
00:18:47.600,00:18:48.000,00:00:00.400,,,"is it",,
00:18:48.300,00:18:50.400,00:00:02.100,,,"I don't know one minute",,
00:18:50.400,00:18:56.600,00:00:06.200,,,"let me okay because let's do forty-four yeah because forty-four times five is two hundred twenty",,
00:18:56.900,00:18:59.100,00:00:02.200,,,"so x equals five",,
00:19:00.000,00:19:01.000,00:00:01.000,,,,"congratulations",
00:19:01.000,00:19:02.600,00:00:01.600,,,,"I have no idea if that's right",
00:19:03.304,00:19:04.900,00:00:01.596,,,"let's just hope it is",,
00:19:04.900,00:19:05.600,00:00:00.700,,,,"yeah",
00:19:06.869,00:19:07.500,00:00:00.631,,,"all right",,
00:19:07.500,00:19:14.400,00:00:06.900,,,,"okay so next",
00:19:14.400,00:19:15.500,00:00:01.100,,,"erase that",,
00:19:15.900,00:19:17.600,00:00:01.700,,,"or clear oh okay",,
00:19:18.300,00:19:19.800,00:00:01.500,,,"oh gosh okay",,
00:19:22.000,00:19:24.500,00:00:02.500,,,,"so let's see here",
00:19:25.400,00:19:26.100,00:00:00.700,,,"do we add",,
00:19:26.500,00:19:27.200,00:00:00.700,,,"I think we add nine",,
00:19:27.200,00:19:28.300,00:00:01.100,,,,"wait hold on",
00:19:29.100,00:19:29.400,00:00:00.300,,,"what (laughter)",,
00:19:29.400,00:19:31.000,00:00:01.600,,,,"I'm cheating",
00:19:31.000,00:19:31.700,00:00:00.700,,,,"don't tell",
00:19:32.100,00:19:39.200,00:00:07.100,,,,"okay got it so okay so I have a paper in front of me",
00:19:39.300,00:19:40.000,00:00:00.700,,,,"cheating so",
00:19:40.681,00:19:42.376,00:00:01.695,,,"wait so wait",,
00:19:42.434,00:19:44.637,00:00:02.203,,,"are you the one tutoring me right now",,
00:19:44.700,00:19:48.400,00:00:03.700,,,,"I think so I have no idea",
00:19:48.400,00:19:50.300,00:00:01.900,,,"because I think like it switches off halfway through",,
00:19:50.300,00:19:52.600,00:00:02.300,,,"I think you tutor me for like half the time",,
00:19:52.600,00:19:53.500,00:00:00.900,,,"and then like it switches",,
00:19:53.500,00:19:55.600,00:00:02.100,,,"I don't know because like",,
00:19:55.600,00:19:56.000,00:00:00.400,,"(inaudible)","I don't know (laughter) because like if that's because you have the paper right",,
00:19:56.000,00:20:00.000,00:00:04.000,,,"I don't know (laughter) because like if that's because you have the paper right",,
00:20:00.400,00:20:00.900,00:00:00.500,,,,"yeah",
00:20:01.200,00:20:02.300,00:00:01.100,,,"like the cheat sheet thing",,
00:20:03.100,00:20:04.600,00:00:01.500,,,,"yeah I think so",
