,Dyad,Session,Temps de départ - hh:mm:ss.ms,temps de fin - hh:mm:ss.ms,Durée - hh:mm:ss.ms,P1,P2
140,7,1,00:11:00.300,00:11:03.500,00:00:03.200,plus seventeen,
141,7,1,00:11:03.600,00:11:06.100,00:00:02.500,man my handwriting is horrible,
142,7,1,00:11:06.600,00:11:08.400,00:00:01.800,okay so,
143,7,1,00:11:09.900,00:11:13.200,00:00:03.300,and I do eleven plus k,
144,7,1,00:11:13.700,00:11:16.800,00:00:03.100,so that cancels out k so,
145,7,1,00:11:16.900,00:11:18.500,00:00:01.600,,like add eleven each side
146,7,1,00:11:19.000,00:11:23.900,00:00:04.900,yeah so then it's pretty much that's twenty-eight,
147,7,1,00:11:24.900,00:11:26.400,00:00:01.500,,yeah and then plus
148,7,1,00:11:28.000,00:11:30.800,00:00:02.800,,wait yeah or subtract
149,7,1,00:11:30.800,00:11:34.700,00:00:03.900,,are you subtracting eleven because that would cancel out eleven then
150,7,1,00:11:36.600,00:11:41.500,00:00:04.900,,if you subtract it eleven because then like then that would be zero
151,7,1,00:11:41.500,00:11:43.100,00:00:01.600,,and you can just like go like that
152,7,1,00:11:43.700,00:11:47.500,00:00:03.800,,and then that would be seven wait no that would be six
153,7,1,00:11:47.500,00:11:50.400,00:00:02.900,,(laughter) you got it
154,7,1,00:11:50.500,00:11:50.800,00:00:00.300,yeah,
155,7,1,00:11:50.800,00:11:51.900,00:00:01.100,,I think so yeah
156,7,1,00:11:52.400,00:11:54.200,00:00:01.800,maybe maybe not,
157,7,1,00:11:54.700,00:11:55.900,00:00:01.200,well I have no idea,
158,7,1,00:11:57.691,00:12:01.716,00:00:04.025,,okay let's start like let's start fresh I guess
159,7,1,00:12:01.716,00:12:04.600,00:00:02.884,,like here okay
160,7,1,00:12:04.800,00:12:06.900,00:00:02.100,okay so,
161,7,1,00:12:08.800,00:12:11.100,00:00:02.300,,let's subtract the eleven from each side
162,7,1,00:12:12.100,00:12:18.200,00:00:06.100,okay so seventeen minus eleven,
163,7,1,00:12:18.200,00:12:22.900,00:00:04.700,and k minus eleven,
164,7,1,00:12:22.900,00:12:24.400,00:00:01.500,if I did equals eleven,
165,7,1,00:12:25.399,00:12:26.824,00:00:01.425,,I just like scratch out the one
166,7,1,00:12:25.408,00:12:26.191,00:00:00.783,I have no idea,
167,7,1,00:12:30.800,00:12:34.200,00:00:03.400,,or did you like or you do eleven minus eleven
168,7,1,00:12:34.200,00:12:35.400,00:00:01.200,,and seventeen minus eleven
169,7,1,00:12:37.216,00:12:38.983,00:00:01.767,,and they like (inaudible) I don't know
170,7,1,00:12:39.116,00:12:46.291,00:00:07.175,yeah pause filler well k isn't going anywhere because it's not a number necessarily so,
171,7,1,00:12:47.200,00:12:48.800,00:00:01.600,,so then we can just cancel out the eleven then
172,7,1,00:12:48.800,00:12:50.200,00:00:01.400,,and would just be a k alone
173,7,1,00:12:50.500,00:12:53.800,00:00:03.300,yeah it's hardly like what I'm doing,
174,7,1,00:12:54.200,00:12:56.600,00:00:02.400,,then it could be yeah
175,7,1,00:12:56.266,00:13:01.266,00:00:05.000,okay don't judge I have no idea what that is it looks like a fish,
176,7,1,00:13:01.600,00:13:06.600,00:00:05.000,okay so then seventeen minus eleven would be six,
177,7,1,00:13:06.600,00:13:08.500,00:00:01.900,,six yeah
178,7,1,00:13:10.000,00:13:12.800,00:00:02.800,,so then six equals k oh
179,7,1,00:13:13.300,00:13:14.200,00:00:00.900,k equals six,
180,7,1,00:13:14.900,00:13:15.200,00:00:00.300,,yeah
181,7,1,00:13:15.900,00:13:16.900,00:00:01.000,we did it,
182,7,1,00:13:16.900,00:13:18.400,00:00:01.500,,circle out I'm trying to circle out
183,7,1,00:13:18.400,00:13:22.100,00:00:03.700,,okay so how do you go to the next one
184,7,1,00:13:22.300,00:13:26.399,00:00:04.099,and then nope,
185,7,1,00:13:27.091,00:13:32.300,00:00:05.209,(sfx) okay,
186,7,1,00:13:33.549,00:13:36.941,00:00:03.392,then add okay s I know how to do this one,
187,7,1,00:13:37.358,00:13:45.308,00:00:07.950,okay so what you'll have to do is you have to,
188,7,1,00:13:46.966,00:13:51.166,00:00:04.200,yeah add forty-four plus two,
189,7,1,00:13:53.758,00:13:55.824,00:00:02.066,hundred twenty,
190,7,1,00:13:56.699,00:13:57.322,00:00:00.623,,we add it
191,7,1,00:13:57.899,00:13:58.400,00:00:00.501,I think,
192,7,1,00:14:00.066,00:14:01.000,00:00:00.934,,like two hundred twenty divided forty-four
193,7,1,00:14:01.000,00:14:02.200,00:00:01.200,,pause filler
194,7,1,00:14:04.244,00:14:12.100,00:00:07.856,,because then if you did that you'd figure out how many times it goes and there's pretty much a twenty in it so x
195,7,1,00:14:12.100,00:14:13.100,00:00:01.000,ah okay I got it,
196,7,1,00:14:13.100,00:14:14.400,00:00:01.300,you have to divide it,
197,7,1,00:14:14.400,00:14:18.700,00:00:04.300,,oh yeah yeah yeah okay so I'll do
198,7,1,00:14:19.300,00:14:19.800,00:00:00.500,,oh gosh
199,7,1,00:14:19.800,00:14:20.700,00:00:00.900,,long equation
200,7,1,00:14:21.200,00:14:28.000,00:00:06.800,,(laughter) twenty-four divided by two hundred four
201,7,1,00:14:28.500,00:14:34.300,00:00:05.800,,pause filler okay so I'll just do like eighty-eight which should be like
202,7,1,00:14:36.000,00:14:40.200,00:00:04.200,,two there uh-oh
203,7,1,00:14:41.000,00:14:41.400,00:00:00.400,,oh my god
204,7,1,00:14:42.800,00:14:45.362,00:00:02.562,,okay and then two twenty okay
205,7,1,00:14:52.304,00:15:01.913,00:00:09.609,,pause filler what oh my gosh okay (laughter)
206,7,1,00:15:02.420,00:15:02.913,00:00:00.493,,oh (laughter)
207,7,1,00:15:03.855,00:15:05.159,00:00:01.304,,wait okay so I'll do okay let's try this again
208,7,1,00:15:06.500,00:15:16.500,00:00:10.000,,so forty-four divided by two hundred three
209,7,1,00:15:17.100,00:15:18.900,00:00:01.800,,it like fixes it when you write it
210,7,1,00:15:18.900,00:15:21.200,00:00:02.300,,like you write it and then
211,7,1,00:15:20.449,00:15:20.652,00:00:00.203,really,
212,7,1,00:15:21.400,00:15:23.900,00:00:02.500,,yeah like drawing a little like circle
213,7,1,00:15:23.900,00:15:25.400,00:00:01.500,,and then like changes a little
214,7,1,00:15:26.100,00:15:27.900,00:00:01.800,,do you see that like
215,7,1,00:15:32.400,00:15:35.029,00:00:02.629,well I don't want to write anything,
216,7,1,00:15:35.058,00:15:36.318,00:00:01.260,oh look at that,
217,7,1,00:15:36.463,00:15:36.550,00:00:00.087,,oh
218,7,1,00:15:37.492,00:15:37.695,00:00:00.203,okay (laughter),
219,7,1,00:15:41.600,00:15:43.300,00:00:01.700,,oh okay
220,7,1,00:15:45.400,00:15:50.652,00:00:05.252,,okay so forty-four divided or two hundred twenty divided by forty-four
221,7,1,00:15:52.300,00:15:54.300,00:00:02.000,no I'm just joking (laughter),
222,7,1,00:15:55.927,00:15:58.600,00:00:02.673,,okay I'm just going to try forty-four times
223,7,1,00:15:59.000,00:16:02.637,00:00:03.637,,I wish there was a calculator that would be nice
224,7,1,00:16:02.188,00:16:03.405,00:00:01.217,cheater,
225,7,1,00:16:03.900,00:16:05.600,00:00:01.700,,no if there was a calculator
226,7,1,00:16:05.600,00:16:07.700,00:00:02.100,there might actually be a calculator,
227,7,1,00:16:08.000,00:16:09.400,00:00:01.400,calculator,
228,7,1,00:16:09.700,00:16:14.700,00:00:05.000,wait go to that box like that window box and see,
229,7,1,00:16:16.434,00:16:18.826,00:00:02.392,,that would be cheating though
230,7,1,00:16:19.300,00:16:22.400,00:00:03.100,you wanted a calculator,
231,7,1,00:16:23.000,00:16:24.200,00:00:01.200,,okay and then
232,7,1,00:16:28.000,00:16:28.300,00:00:00.300,wow,
233,7,1,00:16:28.300,00:16:30.400,00:00:02.100,I have no idea what you are doing,
234,7,1,00:16:31.100,00:16:32.300,00:00:01.200,,nor do I (laughter)
235,7,1,00:16:32.300,00:16:34.200,00:00:01.900,okay how about you just erase everything,
236,7,1,00:16:35.318,00:16:36.826,00:00:01.508,and then start,
237,7,1,00:16:35.700,00:16:36.900,00:00:01.200,,wait can you press delete
238,7,1,00:16:37.200,00:16:38.700,00:00:01.500,,can you press the delete thingy
239,7,1,00:16:38.900,00:16:41.724,00:00:02.824,,or that clear though or just like
240,7,1,00:16:42.900,00:16:44.400,00:00:01.500,pause filler don't hit the trash,
241,7,1,00:16:45.000,00:16:51.700,00:00:06.700,,yeah yeah okay it's going to take forever to go back (laughter) just like
242,7,1,00:16:53.087,00:16:55.898,00:00:02.811,hey you're making my stuff go back,
243,7,1,00:16:57.900,00:16:58.600,00:00:00.700,,wait I don't know
244,7,1,00:16:58.600,00:16:59.300,00:00:00.700,,I don't even know
245,7,1,00:16:59.300,00:17:00.700,00:00:01.400,oh I got it,
246,7,1,00:17:00.700,00:17:02.100,00:00:01.400,I got it,
247,7,1,00:17:02.100,00:17:02.400,00:00:00.300,,okay
248,7,1,00:17:03.700,00:17:05.000,00:00:01.300,don't click anything,
249,7,1,00:17:07.565,00:17:09.275,00:00:01.710,it might take a while but it's,
250,7,1,00:17:07.579,00:17:10.579,00:00:03.000,,is that like going to erase everything
251,7,1,00:17:10.100,00:17:11.100,00:00:01.000,yeah I'm doing,
252,7,1,00:17:12.400,00:17:13.300,00:00:00.900,,I don't see it
253,7,1,00:17:14.100,00:17:14.500,00:00:00.400,really,
254,7,1,00:17:14.500,00:17:15.700,00:00:01.200,it's on the side,
255,7,1,00:17:18.500,00:17:19.700,00:00:01.200,,I can hear it
256,7,1,00:17:19.700,00:17:21.300,00:00:01.600,,but I can't see it
257,7,1,00:17:27.900,00:17:29.600,00:00:01.700,this is going to take a while,
258,7,1,00:17:37.797,00:17:39.200,00:00:01.403,,how small is the eraser
259,7,1,00:17:39.500,00:17:40.500,00:00:01.000,very small,
260,7,1,00:17:40.550,00:17:40.652,00:00:00.102,,oh
261,7,1,00:17:43.782,00:17:45.710,00:00:01.928,,now I see it
262,7,1,00:17:48.637,00:17:48.739,00:00:00.102,huh,
263,7,1,00:17:50.400,00:17:51.200,00:00:00.800,,okay
264,7,1,00:17:53.200,00:17:56.600,00:00:03.400,,so how many time does forty-four
265,7,1,00:17:58.900,00:18:00.300,00:00:01.400,,go into two hundred twenty
266,7,1,00:18:00.900,00:18:02.200,00:00:01.300,oh I like this,
267,7,1,00:18:10.362,00:18:14.500,00:00:04.138,okay I think we're going to get in trouble if we keep tutoring,
268,7,1,00:18:13.710,00:18:14.217,00:00:00.507,,yeah okay
269,7,1,00:18:15.400,00:18:19.100,00:00:03.700,,that's the actual answer but
270,7,1,00:18:19.100,00:18:20.300,00:00:01.200,,okay pause filler okay
271,7,1,00:18:24.463,00:18:32.300,00:00:07.837,,I'm going to like try I'm going to see if forty-four goes into it five times
272,7,1,00:18:33.800,00:18:37.300,00:00:03.500,,and then if it does I can know if it's divisible by five
273,7,1,00:18:38.300,00:18:39.400,00:00:01.100,,wait it might work
274,7,1,00:18:39.400,00:18:39.900,00:00:00.500,,one minute
275,7,1,00:18:40.800,00:18:46.600,00:00:05.800,,two time four is twenty yeah x is five
276,7,1,00:18:47.600,00:18:48.000,00:00:00.400,,is it
277,7,1,00:18:48.300,00:18:50.400,00:00:02.100,,I don't know one minute
278,7,1,00:18:50.400,00:18:56.600,00:00:06.200,,let me okay because let's do forty-four yeah because forty-four times five is two hundred twenty
279,7,1,00:18:56.900,00:18:59.100,00:00:02.200,,so x equals five
280,7,1,00:19:00.000,00:19:01.000,00:00:01.000,congratulations,
281,7,1,00:19:01.000,00:19:02.600,00:00:01.600,I have no idea if that's right,
282,7,1,00:19:03.304,00:19:04.900,00:00:01.596,,let's just hope it is
283,7,1,00:19:04.900,00:19:05.600,00:00:00.700,yeah,
284,7,1,00:19:06.869,00:19:07.500,00:00:00.631,,all right
285,7,1,00:19:07.500,00:19:14.400,00:00:06.900,okay so next,
286,7,1,00:19:14.400,00:19:15.500,00:00:01.100,,erase that
287,7,1,00:19:15.900,00:19:17.600,00:00:01.700,,or clear oh okay
288,7,1,00:19:18.300,00:19:19.800,00:00:01.500,,oh gosh okay
289,7,1,00:19:22.000,00:19:24.500,00:00:02.500,so let's see here,
290,7,1,00:19:25.400,00:19:26.100,00:00:00.700,,do we add
291,7,1,00:19:26.500,00:19:27.200,00:00:00.700,,I think we add nine
292,7,1,00:19:27.200,00:19:28.300,00:00:01.100,wait hold on,
293,7,1,00:19:29.100,00:19:29.400,00:00:00.300,,what (laughter)
294,7,1,00:19:29.400,00:19:31.000,00:00:01.600,I'm cheating,
295,7,1,00:19:31.000,00:19:31.700,00:00:00.700,don't tell,
296,7,1,00:19:32.100,00:19:39.200,00:00:07.100,okay got it so okay so I have a paper in front of me,
297,7,1,00:19:39.300,00:19:40.000,00:00:00.700,cheating so,
298,7,1,00:19:40.681,00:19:42.376,00:00:01.695,,wait so wait
299,7,1,00:19:42.434,00:19:44.637,00:00:02.203,,are you the one tutoring me right now
300,7,1,00:19:44.700,00:19:48.400,00:00:03.700,I think so I have no idea,
301,7,1,00:19:48.400,00:19:50.300,00:00:01.900,,because I think like it switches off halfway through
302,7,1,00:19:50.300,00:19:52.600,00:00:02.300,,I think you tutor me for like half the time
303,7,1,00:19:52.600,00:19:53.500,00:00:00.900,,and then like it switches
304,7,1,00:19:53.500,00:19:55.600,00:00:02.100,,I don't know because like
305,7,1,00:19:55.600,00:20:00.000,00:00:04.400,,I don't know (laughter) because like if that's because you have the paper right
306,7,1,00:20:00.400,00:20:00.900,00:00:00.500,yeah,
307,7,1,00:20:01.200,00:20:02.300,00:00:01.100,,like the cheat sheet thing
308,7,1,00:20:03.100,00:20:04.600,00:00:01.500,yeah I think so,
309,7,1,00:20:04.800,00:20:07.400,00:00:02.600,,yeah well then yeah (laughter)
310,7,1,00:20:08.159,00:20:09.318,00:00:01.159,whoops,
311,7,1,00:20:09.768,00:20:15.100,00:00:05.332,okay so first you are going to take the nine,
312,7,1,00:20:16.000,00:20:23.800,00:00:07.800,and what you want to do is actually you want to add it to thirteen p,
313,7,1,00:20:24.200,00:20:25.800,00:00:01.600,,you want to add the nine to thirteen p
314,7,1,00:20:26.400,00:20:26.800,00:00:00.400,yeah,
315,7,1,00:20:28.400,00:20:29.200,00:00:00.800,,wait what do you mean
316,7,1,00:20:29.200,00:20:32.400,00:00:03.200,,like so or you want to add like add nine
317,7,1,00:20:32.900,00:20:35.400,00:00:02.500,,like do you want to cancel out the nine and
318,7,1,00:20:35.400,00:20:41.100,00:00:05.700,no what you want to do is you want to add nine plus negative nine which wait no,
319,7,1,00:20:41.100,00:20:42.600,00:00:01.500,,yeah yeah because (inaudible) yeah
320,7,1,00:20:42.600,00:20:44.700,00:00:02.100,,and then you could like cross that
321,7,1,00:20:44.700,00:20:46.200,00:00:01.500,yeah which would equal nine so,
322,7,1,00:20:46.200,00:20:48.500,00:00:02.300,,well wait negative nine plus nine
323,7,1,00:20:48.700,00:20:49.300,00:00:00.600,yeah,
324,7,1,00:20:49.500,00:20:50.000,00:00:00.500,,so it's zero
325,7,1,00:20:52.200,00:20:53.000,00:00:00.800,wait might be,
326,7,1,00:20:53.000,00:20:58.900,00:00:05.900,well anyway you want to make that nine to a positive,
327,7,1,00:20:59.100,00:21:01.600,00:00:02.500,so I don't know how to do that,
328,7,1,00:21:01.600,00:21:02.000,00:00:00.400,I forget,
329,7,1,00:21:02.000,00:21:05.600,00:00:03.600,,or a zero or a positive like okay
330,7,1,00:21:06.840,00:21:10.200,00:00:03.360,,I can hear my voice like going all along it's like
331,7,1,00:21:12.300,00:21:15.300,00:00:03.000,,I can hear like it goes that
332,7,1,00:21:15.300,00:21:18.000,00:00:02.700,,what are you drawing
333,7,1,00:21:18.000,00:21:19.400,00:00:01.400,,you're like hello
334,7,1,00:21:19.400,00:21:21.300,00:00:01.900,I have no idea,
335,7,1,00:21:21.300,00:21:24.100,00:00:02.800,okay let's go back to the point,
336,7,1,00:21:24.100,00:21:28.800,00:00:04.700,so what you want to do is you want to pause filler make that nine a positive,
337,7,1,00:21:29.500,00:21:30.700,00:00:01.200,,a positive so
338,7,1,00:21:31.100,00:21:34.400,00:00:03.300,yes so positive nine negative,
