Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,Duration - hh:mm:ss.ms,Experimenter,P1,P2
00:10:11.223,00:10:21.859,00:00:10.636,,,just subtract the thirteen that would be thirty-one
00:10:23.476,00:10:26.598,00:00:03.122,,,and then you would multiply this by two
00:10:28.953,00:10:33.163,00:00:04.210,,,that's x equals sixty-two
00:10:33.762,00:10:35.807,00:00:02.045,,,oh my gosh okay
00:10:35.807,00:10:36.376,00:00:00.569,,wow,
00:10:36.376,00:10:36.753,00:00:00.377,,wow,okay next one
00:10:36.753,00:10:37.324,00:00:00.571,,,okay next one
00:10:38.082,00:10:39.579,00:00:01.497,,,add the sixteen
00:10:41.644,00:10:44.693,00:00:03.049,,have you used the calligraphy pen it's a little bit easier,
00:10:44.700,00:10:46.273,00:00:01.573,,,wait where is that
00:10:46.273,00:10:46.313,00:00:00.040,,it's a socket pen option,wait where is that
00:10:46.313,00:10:48.006,00:00:01.693,,it's a socket pen option,
00:10:48.006,00:10:50.300,00:00:02.294,,you can select it with this one,
00:10:53.717,00:10:54.814,00:00:01.097,,,oh okay
00:10:54.944,00:11:01.958,00:00:07.014,,,forty equals three six over x
00:11:40.730,00:11:44.140,00:00:03.410,,,okay that was fun (sfx)
00:11:44.140,00:11:47.210,00:00:03.070,,,and ninety-seven minus forty-eight equals nine nine
00:11:47.744,00:11:50.647,00:00:02.903,,,so ninety-nine
00:11:50.647,00:11:53.820,00:00:03.173,,,okay next one
00:13:22.390,00:13:23.985,00:00:01.595,,I wonder if they're watching us,
00:13:24.484,00:13:24.843,00:00:00.359,,,they are
00:13:24.843,00:13:26.559,00:00:01.716,,,they're recording like the whole audio
00:13:26.559,00:13:29.812,00:00:03.253,,oh that's so creepy,
00:13:29.812,00:13:31.798,00:00:01.986,,oh my gosh my gosh,
00:13:32.985,00:13:34.222,00:00:01.237,,why did I agree to this,
00:13:41.810,00:13:43.202,00:00:01.392,,We both know how to do this,
00:13:43.202,00:13:45.985,00:00:02.783,,like I don't feel like we're teaching each other anything I mean the whole (inaudible),
00:13:45.985,00:13:46.165,00:00:00.180,,like I don't feel like we're teaching each other anything I mean the whole (inaudible),yeah
00:13:46.165,00:13:46.245,00:00:00.080,,like I don't feel like we're teaching each other anything I mean the whole (inaudible),
00:13:48.260,00:13:52.515,00:00:04.255,,if nothing they should have done the study earlier in the year when we didn't know as much about algebra,
00:13:53.179,00:13:53.368,00:00:00.189,,,yeah
00:13:53.718,00:13:56.681,00:00:02.963,,are you guys doing like radicals and stuff cuz that's what we're doing,
00:13:56.681,00:13:57.988,00:00:01.307,,and that's so boring,
00:13:57.988,00:13:58.080,00:00:00.092,,and that's so boring,pause filler we're doing like factoring polynomials or something
00:13:58.080,00:14:01.600,00:00:03.520,,,pause filler we're doing like factoring polynomials or something
00:14:02.140,00:14:04.340,00:00:02.200,,oh yeah we did that last year,
00:14:04.340,00:14:05.630,00:00:01.290,,and it was really boring,
00:14:08.065,00:14:09.240,00:00:01.175,,I hated it,
00:14:18.130,00:14:21.800,00:00:03.670,,okay that's a negative eight (inaudible) so yeah you should probably point that out there ,
00:14:23.448,00:14:25.103,00:00:01.655,,oh that's a negative ,
00:14:25.205,00:14:27.690,00:00:02.485,,so what do you do when you see a negative,
00:14:28.209,00:14:32.150,00:00:03.941,,,well you add eighty-three to seventeen
00:14:32.500,00:14:33.946,00:00:01.446,,and then what do you get,
00:14:33.946,00:14:34.285,00:00:00.339,,,oh my
00:14:34.285,00:14:40.990,00:00:06.705,,,lets just show our work here cuz we get a hundred (sfx)
00:14:41.430,00:14:45.450,00:00:04.020,,no no it's negative eighty oh yeah never mind never mind you're right you're right you're right (inaudible),
00:14:47.270,00:14:50.200,00:00:02.930,,it's a hundred,
00:15:09.450,00:15:14.710,00:00:05.260,,,equals one hundred plus ten third x minus three times three equals one hundred thirty-three three hundred
00:15:14.710,00:15:17.146,00:00:02.436,,,so hard to write with this thing
00:15:17.146,00:15:17.750,00:00:00.604,,I know,so hard to write with this thing
00:15:17.750,00:15:18.393,00:00:00.643,,I know,
00:15:20.540,00:15:22.420,00:00:01.880,,good job,
00:15:49.405,00:15:54.942,00:00:05.537,,,then you subtract
00:15:54.942,00:15:59.911,00:00:04.969,,,I'm going to back
00:15:59.911,00:16:00.909,00:00:00.998,,,x wait what oh
00:16:01.288,00:16:05.458,00:00:04.170,,,okay that was nice
00:16:05.458,00:16:08.511,00:00:03.053,,,pause filler fifty-five minus thirty-four equals twenty-one
00:16:08.511,00:16:22.061,00:00:13.550,,,so nineteen over four five plus twenty-one equals fourteen y
00:16:22.061,00:16:38.334,00:00:16.273,,,twenty-four equals one hundred over nineteen equals twenty-one
00:16:38.334,00:16:40.259,00:00:01.925,,,oh fifty-six
00:16:41.240,00:16:41.476,00:00:00.236,,mm-hmm,
00:16:41.476,00:16:42.240,00:00:00.764,,mm-hmm,nineteen y equals thirty-five equals
00:16:42.240,00:16:49.119,00:00:06.879,,,nineteen y equals thirty-five equals
00:16:51.833,00:16:53.798,00:00:01.965,,,okay next one
00:16:54.846,00:16:55.006,00:00:00.160,,,pause filler okay
00:17:06.679,00:17:09.822,00:00:03.143,,,oh no
00:17:17.175,00:17:17.345,00:00:00.170,,,pause filler wait
00:18:11.280,00:18:14.880,00:00:03.600,,,I'm just going to build on
00:18:18.420,00:18:23.973,00:00:05.553,,,oh it says stop come out
00:18:24.273,00:18:27.316,00:00:03.043,,,and get us
00:18:28.383,00:18:33.412,00:00:05.029,,,pause filler I don't know what to do
00:18:33.552,00:18:35.633,00:00:02.081,,,oh whatever we'll just move on
00:18:35.633,00:18:35.916,00:00:00.283,,no we have to go get them,oh whatever we'll just move on
00:18:35.916,00:18:37.862,00:00:01.946,,no we have to go get them,
00:18:43.680,00:18:46.133,00:00:02.453,,do you want to get them I'll get them next time,
00:18:46.133,00:18:46.383,00:00:00.250,,do you want to get them I'll get them next time,pause filler okay
00:18:46.383,00:18:46.700,00:00:00.317,,do you want to get them I'll get them next time,
00:18:48.188,00:18:53.337,00:00:05.149,,,it says come out
00:18:53.576,00:18:55.741,00:00:02.165,,,and get us
00:19:01.728,00:19:09.799,00:00:08.071,,,so I'm not going to do
00:19:09.799,00:19:14.280,00:00:04.481,I think you can press next down there,,
00:19:14.280,00:19:14.800,00:00:00.520,I think you can press next down there,did you,
00:19:14.800,00:19:16.055,00:00:01.255,I think you can press next down there,,
00:19:21.104,00:19:34.254,00:00:13.150,,,so next time that happens do we still have to go on
00:19:34.254,00:19:35.760,00:00:01.506,,,and get (inaudible)
00:19:35.880,00:19:41.378,00:00:05.498,I think you could go,,
00:19:41.378,00:19:42.056,00:00:00.678,,,thanks
00:19:42.206,00:19:42.814,00:00:00.608,,,okay so pause filler
00:19:44.220,00:19:47.124,00:00:02.904,,I don't know what I'm going I'm just like really bored,
00:19:47.124,00:19:47.440,00:00:00.316,,I don't know what I'm going I'm just like really bored,I think that you're going to add ninety so
00:19:47.440,00:19:57.870,00:00:10.430,,,I think that you're going to add ninety so
00:19:58.499,00:19:59.317,00:00:00.818,,good job,
00:20:03.767,00:20:05.034,00:00:01.267,,fifty-seven right,
00:20:06.920,00:20:13.355,00:00:06.435,,,pause filler well I'm doing ninety minus seven hundred forty-seven
00:20:13.355,00:20:14.582,00:00:01.227,,,yeah it would be forty-seven
00:20:15.460,00:20:16.420,00:00:00.960,,oh sorry,
00:20:16.528,00:20:17.595,00:00:01.067,,I can't math,
00:21:04.389,00:21:06.793,00:00:02.404,,,(sfx) okay next problem
00:21:11.942,00:22:23.529,00:01:11.587,,,oh yeah I'll go back
00:22:49.550,00:22:51.066,00:00:01.516,,,next one
00:22:52.064,00:22:57.392,00:00:05.328,,,pause filler a hundred fifty-five seventy
00:23:00.665,00:23:02.660,00:00:01.995,,wouldn't you subtract fifteen,
00:23:03.698,00:23:04.520,00:00:00.822,,,yeah I did
00:23:04.520,00:23:04.975,00:00:00.455,,well I thought you said times sorry ,yeah I did
00:23:04.975,00:23:06.960,00:00:01.985,,well I thought you said times sorry ,
00:27:19.760,00:27:20.170,00:00:00.410,,okay,
00:27:23.008,00:27:23.020,00:00:00.012,,,okay
00:27:23.020,00:27:23.208,00:00:00.188,,ew,okay
00:27:23.208,00:27:23.440,00:00:00.232,,ew,
00:27:24.600,00:27:26.770,00:00:02.170,,you've to change the denominator in this one,
00:27:26.770,00:27:26.949,00:00:00.179,,you've to change the denominator in this one,oh no
00:27:26.949,00:27:27.260,00:00:00.311,,you've to change the denominator in this one,
00:27:27.688,00:27:30.262,00:00:02.574,,,that's unfortunate
00:27:30.910,00:27:31.860,00:00:00.950,,uh-huh,
00:28:00.413,00:28:02.489,00:00:02.076,,,oh so wait should I just
00:28:04.734,00:28:06.549,00:00:01.815,,,multiply it by like twenty-eight
00:28:06.709,00:28:07.577,00:00:00.868,,,yeah I guess I should
00:28:07.956,00:28:13.760,00:00:05.804,,no multiply it until it equals twenty-eight to get negative twelve four,
00:28:13.963,00:28:14.531,00:00:00.568,,oh god,
00:28:14.531,00:28:15.100,00:00:00.569,,it just x out,
00:28:15.165,00:28:15.740,00:00:00.575,,sorry,
00:28:16.920,00:28:19.415,00:00:02.495,,oh I hate this thing there we go,
00:28:47.486,00:28:48.406,00:00:00.920,,,oh they're coming back
00:28:49.946,00:28:50.473,00:00:00.527,,oh fun,
00:28:51.507,00:28:58.232,00:00:06.725,,,is it over
00:29:00.257,00:29:03.720,00:00:03.463,yeah so it's over,,
00:29:03.849,00:29:13.587,00:00:09.738,pause filler I'm going to set you up to (inaudible),,
00:29:13.587,00:29:14.335,00:00:00.748,I have to take your (inaudible),,
00:29:17.113,00:29:17.640,00:00:00.527,,all right,
00:29:18.580,00:29:20.152,00:00:01.572,,we got a break in between today,
00:29:20.152,00:29:20.480,00:00:00.328,you could use that,we got a break in between today,
00:29:20.480,00:29:22.816,00:00:02.336,you could use that,,
00:29:22.816,00:29:24.183,00:00:01.367,,,oh thank you
00:29:25.141,00:29:28.144,00:00:03.003,,thank you for bringing me food,
00:29:37.313,00:29:39.219,00:00:01.906,,I hope they don't bring us skittles again,
00:29:39.518,00:29:43.150,00:00:03.632,,,I know I want like chips or Skittles
00:29:43.150,00:29:44.068,00:00:00.918,,,oh my gosh
00:29:44.068,00:29:44.766,00:00:00.698,,,it's Skittles
00:29:45.135,00:29:46.512,00:00:01.377,,,ah no please
00:29:48.348,00:29:49.700,00:00:01.352,,that's so disappointing,
00:29:50.543,00:29:50.743,00:00:00.200,,,yeah
00:29:50.743,00:29:53.000,00:00:02.257,you can just hang out for a second,,
00:29:53.000,00:29:54.000,0 days 00:00,(inaudible),,
00:30:00.693,00:30:01.226,00:00:00.533,,what,
00:30:01.269,00:30:01.408,00:00:00.139,,,okay
00:30:02.286,00:30:03.494,00:00:01.208,I'll come up with (inaudible) paper,,
00:30:04.580,00:30:05.360,00:00:00.780,,oh okay,
00:30:08.006,00:30:09.646,00:00:01.640,,I don't want some,
00:30:10.318,00:30:12.114,00:00:01.796,,,she likes open them for me
00:30:13.890,00:30:15.217,00:00:01.327,,they taste funny,
00:30:17.973,00:30:19.880,00:00:01.907,,I'm not even hungry I'm tired,
00:30:20.894,00:30:22.151,00:00:01.257,,,I want like real food
00:30:22.713,00:30:23.740,00:00:01.027,,I had a milkshake,
00:30:23.740,00:30:26.866,00:00:03.126,,but a milkshake's just kind of like drink it drinkable calories,
00:30:28.213,00:30:29.586,00:00:01.373,,like they don't give you energy,
00:30:29.586,00:30:30.492,00:00:00.906,,it just makes you fat,
00:30:30.971,00:30:33.146,00:00:02.175,,,these taste like horrible
00:30:36.090,00:30:38.105,00:00:02.015,,these are okay if you put them in the back of your tongue,
00:30:38.105,00:30:39.100,00:00:00.995,,and swallow them,
00:30:43.533,00:30:45.269,00:00:01.736,,I can't chew them because of my stupid braces,
00:30:45.269,00:30:46.766,00:00:01.497,,this wire popped out last night,
00:30:47.700,00:30:50.013,00:00:02.313,,and I can't like eat (inaudible),
00:30:51.337,00:30:52.533,00:00:01.196,,ah I hate this ,
00:30:54.373,00:30:56.993,00:00:02.620,,but now you get to tutor me cuz I'm stupid,
00:30:58.698,00:30:58.978,00:00:00.280,,,pause filler yeah
00:30:59.560,00:31:01.572,00:00:02.012,,I actually (inaudible) what I'm doing,
00:31:02.686,00:31:05.782,00:00:03.096,,it's okay we only have half an hour left I think,
00:31:06.000,00:31:08.793,00:00:02.793,,,hmm
00:31:08.793,00:31:09.003,00:00:00.210,,were you in the atrium earlier cuz that's where I was,hmm
00:31:09.003,00:31:11.878,00:00:02.875,,were you in the atrium earlier cuz that's where I was,
00:31:13.433,00:31:14.593,00:00:01.160,,were you in the atrium,
00:31:16.588,00:31:16.657,00:00:00.069,,,no
00:31:16.657,00:31:18.254,00:00:01.597,,oh where were you,
00:31:18.254,00:31:22.694,00:00:04.440,,"do they make, do they like not want us to see each other before we get tutored or something",
00:31:22.694,00:31:25.338,00:00:02.644,,,oh well I mean they told us to go to the atrium
00:31:25.338,00:31:27.203,00:00:01.865,,,but we like went the wrong way
00:31:27.203,00:31:30.705,00:00:03.502,,,so we ended up like on the upper level or something
00:31:31.304,00:31:32.282,00:00:00.978,,ohh okay,
00:31:32.913,00:31:33.326,00:00:00.413,,(inaudible) ,
00:31:35.664,00:31:35.973,00:00:00.309,,,yeah
00:31:41.112,00:31:43.756,00:00:02.644,,(inaudible) my mom is going to make us clean the house,
00:31:44.783,00:31:46.080,00:00:01.297,,,that sounds horrible
00:31:46.470,00:31:49.786,00:00:03.316,,so the longer I stay here hypothetically the better ,
00:31:57.433,00:32:00.040,00:00:02.607,,let's see what time it is I'll tell you how much time we have left,
00:32:00.386,00:32:02.446,00:00:02.060,,it's exactly five thirty,
00:32:04.449,00:32:04.708,00:00:00.259,,,okay
00:32:09.313,00:32:12.900,00:00:03.587,,now you're going to teach me how to I think (inaudible),
00:32:13.000,00:32:16.306,00:00:03.306,,,mm-hmm
00:32:16.306,00:32:19.380,00:00:03.074,,we have to see an opera at school this week right,mm-hmm
00:32:19.380,00:32:20.066,00:00:00.686,,,mm-hmm
00:32:20.066,00:32:21.297,00:00:01.231,,they bussed like forty k no no sixty no no actually seventy children to an opera,mm-hmm
00:32:21.297,00:32:28.580,00:00:07.283,,they bussed like forty k no no sixty no no actually seventy children to an opera,
00:32:28.773,00:32:30.246,00:00:01.473,,like it was terrible,
00:32:30.929,00:32:32.625,00:00:01.696,,and I slept through the first act,
00:32:33.972,00:32:35.388,00:00:01.416,,,that's impressive
00:32:36.905,00:32:41.564,00:00:04.659,,it's kind of exciting okay,
00:32:41.993,00:32:44.937,00:00:02.944,,for some reason this month we're going on like eight different field trips,
00:32:44.937,00:32:48.129,00:00:03.192,,but like only one of them is even slightly appealing,
00:32:51.003,00:32:53.737,00:00:02.734,,,yeah I haven't been on a field trip in like such a long time
00:32:54.256,00:32:57.179,00:00:02.923,,we did not really have any in seventh grade or sixth (inaudible) is this like,
00:32:57.249,00:33:03.584,00:00:06.335,,no we had one in sixth (inaudible) okay like this is our first year we've had like a ton of field trips since like secondary,
00:33:07.253,00:33:09.133,00:00:01.880,,but I don't really know,
00:33:11.655,00:33:13.693,00:00:02.038,,they're kind of nice cuz you miss a lot of school,
00:33:13.693,00:33:16.740,00:00:03.047,,and you just kind of you either sleep through it,
00:33:16.744,00:33:17.992,00:00:01.248,,or you get food or something,
00:33:17.992,00:33:19.049,00:00:01.057,,that makes it worth it,
00:33:19.319,00:33:19.548,00:00:00.229,,,yeah
00:33:23.212,00:33:25.225,00:00:02.013,,so it's like have that post right now,
00:33:27.265,00:33:32.479,00:00:05.214,,so I'm going to sleep if I don't get real food you have them,
00:33:37.045,00:33:40.910,00:00:03.865,,I did play the guitar for a few hours today so (inaudible),
00:33:41.395,00:33:42.862,00:00:01.467,,do you play any instruments,
00:33:43.444,00:33:46.367,00:00:02.923,,,piano and clarinet
00:33:46.367,00:33:46.487,00:00:00.120,,,yeah
00:33:47.544,00:33:48.692,00:00:01.148,,I used to play piano,
00:33:48.692,00:33:49.835,00:00:01.143,,but I was really bad at it,
00:33:51.675,00:33:52.882,00:00:01.207,,but I can play keyboards,
00:34:21.990,00:34:24.850,00:00:02.860,,I'm not I don't think we really have to reset because there's all the pack,
00:34:24.850,00:34:29.798,00:00:04.948,,and then it's just social time five minutes tutor time twenty-five minutes,
00:34:29.798,00:34:31.475,00:00:01.677,,,oh I just want to like
00:34:33.550,00:34:35.120,00:00:01.570,,go home and sleep,
00:34:36.145,00:34:39.915,00:00:03.770,,see I was debating over (inaudible) and X-men like the ninetieth time this week,
00:34:41.272,00:34:42.460,00:00:01.188,,,I've never seen X-men
00:34:42.529,00:34:43.637,00:00:01.108,,,but I really want to
00:34:43.637,00:34:44.595,00:00:00.958,,oh yeah absolutely yes,
00:34:45.167,00:34:50.192,00:00:05.025,,I watched the split second like the newer one like four times this week,
00:34:50.392,00:34:51.519,00:00:01.127,,it's really bad,
00:34:51.609,00:34:54.802,00:00:03.193,,yesterday I watched it into I watched two movies yesterday,
00:34:55.071,00:34:56.920,00:00:01.849,,so this is why I'm very tired,
00:34:58.193,00:34:59.813,00:00:01.620,,and got no sleep whatsoever,
00:34:59.990,00:35:02.193,00:00:02.203,,but you know it's okay,
00:35:06.492,00:35:09.638,00:00:03.146,,I've looked every time when I walked by the lake what is going on in that room,
00:35:09.638,00:35:12.641,00:00:03.003,,or the child with bright red hair doing weird things,
00:35:15.737,00:35:17.261,00:00:01.524,,the red ones are kind of okay,
00:35:18.448,00:35:21.511,00:00:03.063,,,yeah but they all taste like really weird and like medicine
00:35:21.511,00:35:22.598,00:00:01.087,,,but like a weird mecidine
00:35:22.802,00:35:24.803,00:00:02.001,,it tastes like children's Tylenol,
00:35:25.193,00:35:25.422,00:00:00.229,,,yeah
00:35:26.890,00:35:27.906,00:00:01.016,,that's what they taste like,
00:35:27.906,00:35:32.007,00:00:04.101,,that's why I don't like those because nobody likes children's Tylenol so,
00:35:32.007,00:35:32.220,00:00:00.213,,that's why I don't like those because nobody likes children's Tylenol so,oh they're coming back
00:35:32.220,00:35:32.705,00:00:00.485,,,oh they're coming back
00:35:32.785,00:35:33.384,00:00:00.599,,,woo
00:35:34.460,00:35:35.640,00:00:01.180,,I guess she's coming back,
00:35:35.640,00:35:36.000,00:00:00.360,,I don't see her,
00:35:36.000,00:35:36.380,00:00:00.380,(inaudible),I don't see her,
00:35:36.380,00:35:36.627,00:00:00.247,(inaudible),,
00:35:36.627,00:35:41.638,00:00:05.011,(inaudible),the problem is the glass on this door it's like on the right so I can't see her cuz the hall's on the left (inaudible),
00:35:41.638,00:35:43.913,00:00:02.275,,the problem is the glass on this door it's like on the right so I can't see her cuz the hall's on the left (inaudible),
00:35:44.090,00:35:44.339,00:00:00.249,okay (inaudible),,
00:35:45.122,00:35:45.732,00:00:00.610,,yeah sure,
00:35:53.027,00:35:53.387,00:00:00.360,,okay,
00:35:56.572,00:35:57.489,00:00:00.917,,this thing is going to take longer though,
00:35:57.489,00:35:57.938,00:00:00.449,yes,this thing is going to take longer though,
