"Begin Time - hh:mm:ss.ms","End Time - hh:mm:ss.ms","default","Experimenter","P1","P2",
00:10:48.006,00:10:50.300,,,"you can select it with this one",,
00:10:53.717,00:10:54.814,,,,"oh okay",
00:10:54.944,00:11:01.958,,,,"forty equals three six over x",
00:11:40.730,00:11:44.140,,,,"okay that was fun (sfx)",
00:11:44.140,00:11:47.210,,,,"and ninety-seven minus forty-eight equals nine nine",
00:11:47.744,00:11:50.647,,,,"so ninety-nine",
00:11:50.647,00:11:53.820,,,,"okay next one",
00:13:22.390,00:13:23.985,,,"I wonder if they're watching us",,
00:13:24.484,00:13:24.843,,,,"they are",
00:13:24.843,00:13:26.559,,,,"they're recording like the whole audio",
00:13:26.559,00:13:29.812,,,"oh that's so creepy",,
00:13:29.812,00:13:31.798,,,"oh my gosh my gosh",,
00:13:32.985,00:13:34.222,,,"why did I agree to this",,
00:13:41.810,00:13:43.202,,,"We both know how to do this",,
00:13:43.202,00:13:45.985,,,"like I don't feel like we're teaching each other anything I mean the whole (inaudible)",,
00:13:45.985,00:13:46.165,,,"like I don't feel like we're teaching each other anything I mean the whole (inaudible)","yeah",
00:13:46.165,00:13:46.245,,,"like I don't feel like we're teaching each other anything I mean the whole (inaudible)",,
00:13:48.260,00:13:52.515,,,"if nothing they should have done the study earlier in the year when we didn't know as much about algebra",,
00:13:53.179,00:13:53.368,,,,"yeah",
00:13:53.718,00:13:56.681,,,"are you guys doing like radicals and stuff cuz that's what we're doing",,
00:13:56.681,00:13:57.988,,,"and that's so boring",,
00:13:57.988,00:13:58.080,,,"and that's so boring","pause filler we're doing like factoring polynomials or something",
00:13:58.080,00:14:01.600,,,,"pause filler we're doing like factoring polynomials or something",
00:14:02.140,00:14:04.340,,,"oh yeah we did that last year",,
00:14:04.340,00:14:05.630,,,"and it was really boring",,
00:14:08.065,00:14:09.240,,,"I hated it",,
00:14:18.130,00:14:21.800,,,"okay that's a negative eight (inaudible) so yeah you should probably point that out there ",,
00:14:23.448,00:14:25.103,,,"oh that's a negative ",,
00:14:25.205,00:14:27.690,,,"so what do you do when you see a negative",,
00:14:28.209,00:14:32.150,,,,"well you add eighty-three to seventeen",
00:14:32.500,00:14:33.946,,,"and then what do you get",,
00:14:33.946,00:14:34.285,,,,"oh my",
00:14:34.285,00:14:40.990,,,,"lets just show our work here cuz we get a hundred (sfx)",
00:14:41.430,00:14:45.450,,,"no no it's negative eighty oh yeah never mind never mind you're right you're right you're right (inaudible)",,
00:14:47.270,00:14:50.200,,,"it's a hundred",,
00:15:09.450,00:15:14.710,,,,"equals one hundred plus ten third x minus three times three equals one hundred thirty-three three hundred",
00:15:14.710,00:15:17.146,,,,"so hard to write with this thing",
00:15:17.146,00:15:17.750,,,"I know","so hard to write with this thing",
00:15:17.750,00:15:18.393,,,"I know",,
00:15:20.540,00:15:22.420,,,"good job",,
00:15:49.405,00:15:54.942,,,,"then you subtract",
00:15:54.942,00:15:59.911,,,,"I'm going to back",
00:15:59.911,00:16:00.909,,,,"x wait what oh",
00:16:01.288,00:16:05.458,,,,"okay that was nice",
00:16:05.458,00:16:08.511,,,,"pause filler fifty-five minus thirty-four equals twenty-one",
00:16:08.511,00:16:22.061,,,,"so nineteen over four five plus twenty-one equals fourteen y",
00:16:22.061,00:16:38.334,,,,"twenty-four equals one hundred over nineteen equals twenty-one",
00:16:38.334,00:16:40.259,,,,"oh fifty-six",
00:16:41.240,00:16:41.476,,,"mm-hmm",,
00:16:41.476,00:16:42.240,,,"mm-hmm","nineteen y equals thirty-five equals",
00:16:42.240,00:16:49.119,,,,"nineteen y equals thirty-five equals",
00:16:51.833,00:16:53.798,,,,"okay next one",
00:16:54.846,00:16:55.006,,,,"pause filler okay",
00:17:06.679,00:17:09.822,,,,"oh no",
00:17:17.175,00:17:17.345,,,,"pause filler wait",
00:18:11.280,00:18:14.880,,,,"I'm just going to build on",
00:18:18.420,00:18:23.973,,,,"oh it says stop come out",
00:18:24.273,00:18:27.316,,,,"and get us",
00:18:28.383,00:18:33.412,,,,"pause filler I don't know what to do",
00:18:33.552,00:18:35.633,,,,"oh whatever we'll just move on",
00:18:35.633,00:18:35.916,,,"no we have to go get them","oh whatever we'll just move on",
00:18:35.916,00:18:37.862,,,"no we have to go get them",,
00:18:43.680,00:18:46.133,,,"do you want to get them I'll get them next time",,
00:18:46.133,00:18:46.383,,,"do you want to get them I'll get them next time","pause filler okay",
00:18:46.383,00:18:46.700,,,"do you want to get them I'll get them next time",,
00:18:48.188,00:18:53.337,,,,"it says come out",
00:18:53.576,00:18:55.741,,,,"and get us",
00:19:01.728,00:19:09.799,,,,"so I'm not going to do",
00:19:09.799,00:19:14.280,,"I think you can press next down there",,,
00:19:14.280,00:19:14.800,,"I think you can press next down there","did you",,
00:19:14.800,00:19:16.055,,"I think you can press next down there",,,
00:19:21.104,00:19:34.254,,,,"so next time that happens do we still have to go on",
00:19:34.254,00:19:35.760,,,,"and get (inaudible)",
00:19:35.880,00:19:41.378,,"I think you could go",,,
00:19:41.378,00:19:42.056,,,,"thanks",
00:19:42.206,00:19:42.814,,,,"okay so pause filler",
00:19:44.220,00:19:47.124,,,"I don't know what I'm going I'm just like really bored",,
00:19:47.124,00:19:47.440,,,"I don't know what I'm going I'm just like really bored","I think that you're going to add ninety so",
00:19:47.440,00:19:57.870,,,,"I think that you're going to add ninety so",
00:19:58.499,00:19:59.317,,,"good job",,
00:20:03.767,00:20:05.034,,,"fifty-seven right",,
00:20:06.920,00:20:13.355,,,,"pause filler well I'm doing ninety minus seven hundred forty-seven",
00:20:13.355,00:20:14.582,,,,"yeah it would be forty-seven",
00:20:15.460,00:20:16.420,,,"oh sorry",,
00:20:16.528,00:20:17.595,,,"I can't math",,
00:21:04.389,00:21:06.793,,,,"(sfx) okay next problem",
00:21:11.942,00:22:23.529,,,,"oh yeah I'll go back",
00:22:49.550,00:22:51.066,,,,"next one",
00:22:52.064,00:22:57.392,,,,"pause filler a hundred fifty-five seventy",
00:23:00.665,00:23:02.660,,,"wouldn't you subtract fifteen",,
00:23:03.698,00:23:04.520,,,,"yeah I did",
00:23:04.520,00:23:04.975,,,"well I thought you said times sorry ","yeah I did",
00:23:04.975,00:23:06.960,,,"well I thought you said times sorry ",,
00:27:19.760,00:27:20.170,,,"okay",,
00:27:23.008,00:27:23.020,,,,"okay",
00:27:23.020,00:27:23.208,,,"ew","okay",
00:27:23.208,00:27:23.440,,,"ew",,
00:27:24.600,00:27:26.770,,,"you've to change the denominator in this one",,
00:27:26.770,00:27:26.949,,,"you've to change the denominator in this one","oh no",
00:27:26.949,00:27:27.260,,,"you've to change the denominator in this one",,
00:27:27.688,00:27:30.262,,,,"that's unfortunate",
00:27:30.910,00:27:31.860,,,"uh-huh",,
00:28:00.413,00:28:02.489,,,,"oh so wait should I just",
00:28:04.734,00:28:06.549,,,,"multiply it by like twenty-eight",
00:28:06.709,00:28:07.577,,,,"yeah I guess I should",
00:28:07.956,00:28:13.760,,,"no multiply it until it equals twenty-eight to get negative twelve four",,
00:28:13.963,00:28:14.531,,,"oh god",,
00:28:14.531,00:28:15.100,,,"it just x out",,
00:28:15.165,00:28:15.740,,,"sorry",,
00:28:16.920,00:28:19.415,,,"oh I hate this thing there we go",,
00:28:47.486,00:28:48.406,,,,"oh they're coming back",
00:28:49.946,00:28:50.473,,,"oh fun",,
00:28:51.507,00:28:58.232,,,,"is it over",
00:29:00.257,00:29:03.720,,"yeah so it's over",,,
00:29:03.849,00:29:13.587,,"pause filler I'm going to set you up to (inaudible)",,,
00:29:13.587,00:29:14.335,,"I have to take your (inaudible)",,,
00:29:17.113,00:29:17.640,,,"all right",,
00:29:18.580,00:29:20.152,,,"we got a break in between today",,
00:29:20.152,00:29:20.480,,"you could use that","we got a break in between today",,
00:29:20.480,00:29:22.816,,"you could use that",,,
00:29:22.816,00:29:24.183,,,,"oh thank you",
00:29:25.141,00:29:28.144,,,"thank you for bringing me food",,
00:29:37.313,00:29:39.219,,,"I hope they don't bring us skittles again",,
00:29:39.518,00:29:43.150,,,,"I know I want like chips or Skittles",
00:29:43.150,00:29:44.068,,,,"oh my gosh",
00:29:44.068,00:29:44.766,,,,"it's Skittles",
00:29:45.135,00:29:46.512,,,,"ah no please",
00:29:48.348,00:29:49.700,,,"that's so disappointing",,
00:29:50.543,00:29:50.743,,,,"yeah",
00:29:50.743,00:29:53.000,,"you can just hang out for a second",,,
00:29:53.000,00:29:54.000,,"(inaudible)",,,
00:30:00.693,00:30:01.226,,,"what",,
00:30:01.269,00:30:01.408,,,,"okay",
00:30:02.286,00:30:03.494,,"I'll come up with (inaudible) paper",,,
00:30:04.580,00:30:05.360,,,"oh okay",,
00:30:08.006,00:30:09.646,,,"I don't want some",,
00:30:10.318,00:30:12.114,,,,"she likes open them for me",
00:30:13.890,00:30:15.217,,,"they taste funny",,
00:30:17.973,00:30:19.880,,,"I'm not even hungry I'm tired",,
00:30:20.894,00:30:22.151,,,,"I want like real food",
00:30:22.713,00:30:23.740,,,"I had a milkshake",,
00:30:23.740,00:30:26.866,,,"but a milkshake's just kind of like drink it drinkable calories",,
00:30:28.213,00:30:29.586,,,"like they don't give you energy",,
00:30:29.586,00:30:30.492,,,"it just makes you fat",,
00:30:30.971,00:30:33.146,,,,"these taste like horrible",
00:30:36.090,00:30:38.105,,,"these are okay if you put them in the back of your tongue",,
00:30:38.105,00:30:39.100,,,"and swallow them",,
00:30:43.533,00:30:45.269,,,"I can't chew them because of my stupid braces",,
00:30:45.269,00:30:46.766,,,"this wire popped out last night",,
00:30:47.700,00:30:50.013,,,"and I can't like eat (inaudible)",,
00:30:51.337,00:30:52.533,,,"ah I hate this ",,
00:30:54.373,00:30:56.993,,,"but now you get to tutor me cuz I'm stupid",,
00:30:58.698,00:30:58.978,,,,"pause filler yeah",
00:30:59.560,00:31:01.572,,,"I actually (inaudible) what I'm doing",,
00:31:02.686,00:31:05.782,,,"it's okay we only have half an hour left I think",,
00:31:06.000,00:31:08.793,,,,"hmm",
00:31:08.793,00:31:09.003,,,"were you in the atrium earlier cuz that's where I was","hmm",
00:31:09.003,00:31:11.878,,,"were you in the atrium earlier cuz that's where I was",,
00:31:13.433,00:31:14.593,,,"were you in the atrium",,
00:31:16.588,00:31:16.657,,,,"no",
00:31:16.657,00:31:18.254,,,"oh where were you",,
00:31:18.254,00:31:22.694,,,"do they make, do they like not want us to see each other before we get tutored or something",,
00:31:22.694,00:31:25.338,,,,"oh well I mean they told us to go to the atrium",
00:31:25.338,00:31:27.203,,,,"but we like went the wrong way",
00:31:27.203,00:31:30.705,,,,"so we ended up like on the upper level or something",
00:31:31.304,00:31:32.282,,,"ohh okay",,
00:31:32.913,00:31:33.326,,,"(inaudible) ",,
00:31:35.664,00:31:35.973,,,,"yeah",
00:31:41.112,00:31:43.756,,,"(inaudible) my mom is going to make us clean the house",,
00:31:44.783,00:31:46.080,,,,"that sounds horrible",
00:31:46.470,00:31:49.786,,,"so the longer I stay here hypothetically the better ",,
00:31:57.433,00:32:00.040,,,"let's see what time it is I'll tell you how much time we have left",,
00:32:00.386,00:32:02.446,,,"it's exactly five thirty",,
00:32:04.449,00:32:04.708,,,,"okay",
00:32:09.313,00:32:12.900,,,"now you're going to teach me how to I think (inaudible)",,
00:32:13.000,00:32:16.306,,,,"mm-hmm",
00:32:16.306,00:32:19.380,,,"we have to see an opera at school this week right","mm-hmm",
00:32:19.380,00:32:20.066,,,,"mm-hmm",
00:32:20.066,00:32:21.297,,,"they bussed like forty k no no sixty no no actually seventy children to an opera","mm-hmm",
00:32:21.297,00:32:28.580,,,"they bussed like forty k no no sixty no no actually seventy children to an opera",,
00:32:28.773,00:32:30.246,,,"like it was terrible",,
00:32:30.929,00:32:32.625,,,"and I slept through the first act",,
00:32:33.972,00:32:35.388,,,,"that's impressive",
00:32:36.905,00:32:41.564,,,"it's kind of exciting okay",,
00:32:41.993,00:32:44.937,,,"for some reason this month we're going on like eight different field trips",,
00:32:44.937,00:32:48.129,,,"but like only one of them is even slightly appealing",,
00:32:51.003,00:32:53.737,,,,"yeah I haven't been on a field trip in like such a long time",
00:32:54.256,00:32:57.179,,,"we did not really have any in seventh grade or sixth (inaudible) is this like",,
00:32:57.249,00:33:03.584,,,"no we had one in sixth (inaudible) okay like this is our first year we've had like a ton of field trips since like secondary",,
00:33:07.253,00:33:09.133,,,"but I don't really know",,
00:33:11.655,00:33:13.693,,,"they're kind of nice cuz you miss a lot of school",,
00:33:13.693,00:33:16.740,,,"and you just kind of you either sleep through it",,
00:33:16.744,00:33:17.992,,,"or you get food or something",,
00:33:17.992,00:33:19.049,,,"that makes it worth it",,
00:33:19.319,00:33:19.548,,,,"yeah",
00:33:23.212,00:33:25.225,,,"so it's like have that post right now",,
00:33:27.265,00:33:32.479,,,"so I'm going to sleep if I don't get real food you have them",,
00:33:37.045,00:33:40.910,,,"I did play the guitar for a few hours today so (inaudible)",,
00:33:41.395,00:33:42.862,,,"do you play any instruments",,
00:33:43.444,00:33:46.367,,,,"piano and clarinet",
00:33:46.367,00:33:46.487,,,,"yeah",
00:33:47.544,00:33:48.692,,,"I used to play piano",,
00:33:48.692,00:33:49.835,,,"but I was really bad at it",,
00:33:51.675,00:33:52.882,,,"but I can play keyboards",,
00:34:21.990,00:34:24.850,,,"I'm not I don't think we really have to reset because there's all the pack",,
00:34:24.850,00:34:29.798,,,"and then it's just social time five minutes tutor time twenty-five minutes",,
00:34:29.798,00:34:31.475,,,,"oh I just want to like",
00:34:33.550,00:34:35.120,,,"go home and sleep",,
00:34:36.145,00:34:39.915,,,"see I was debating over (inaudible) and X-men like the ninetieth time this week",,
00:34:41.272,00:34:42.460,,,,"I've never seen X-men",
00:34:42.529,00:34:43.637,,,,"but I really want to",
00:34:43.637,00:34:44.595,,,"oh yeah absolutely yes",,
00:34:45.167,00:34:50.192,,,"I watched the split second like the newer one like four times this week",,
00:34:50.392,00:34:51.519,,,"it's really bad",,
00:34:51.609,00:34:54.802,,,"yesterday I watched it into I watched two movies yesterday",,
00:34:55.071,00:34:56.920,,,"so this is why I'm very tired",,
00:34:58.193,00:34:59.813,,,"and got no sleep whatsoever",,
00:34:59.990,00:35:02.193,,,"but you know it's okay",,
00:35:06.492,00:35:09.638,,,"I've looked every time when I walked by the lake what is going on in that room",,
00:35:09.638,00:35:12.641,,,"or the child with bright red hair doing weird things",,
00:35:15.737,00:35:17.261,,,"the red ones are kind of okay",,
00:35:18.448,00:35:21.511,,,,"yeah but they all taste like really weird and like medicine",
00:35:21.511,00:35:22.598,,,,"but like a weird mecidine",
00:35:22.802,00:35:24.803,,,"it tastes like children's Tylenol",,
00:35:25.193,00:35:25.422,,,,"yeah",
00:35:26.890,00:35:27.906,,,"that's what they taste like",,
00:35:27.906,00:35:32.007,,,"that's why I don't like those because nobody likes children's Tylenol so",,
00:35:32.007,00:35:32.220,,,"that's why I don't like those because nobody likes children's Tylenol so","oh they're coming back",
00:35:32.220,00:35:32.705,,,,"oh they're coming back",
00:35:32.785,00:35:33.384,,,,"woo",
00:35:34.460,00:35:35.640,,,"I guess she's coming back",,
00:35:35.640,00:35:36.000,,,"I don't see her",,
00:35:36.000,00:35:36.380,,"(inaudible)","I don't see her",,
00:35:36.380,00:35:36.627,,"(inaudible)",,,
00:35:36.627,00:35:41.638,,"(inaudible)","the problem is the glass on this door it's like on the right so I can't see her cuz the hall's on the left (inaudible)",,
00:35:41.638,00:35:43.913,,,"the problem is the glass on this door it's like on the right so I can't see her cuz the hall's on the left (inaudible)",,
00:35:44.090,00:35:44.339,,"okay (inaudible)",,,
00:35:45.122,00:35:45.732,,,"yeah sure",,
00:35:53.027,00:35:53.387,,,"okay",,
00:35:56.572,00:35:57.489,,,"this thing is going to take longer though",,
00:35:57.489,00:35:57.938,,"yes","this thing is going to take longer though",,
00:35:57.938,00:35:58.980,,,"this thing is going to take longer though",,
00:35:59.819,00:36:00.113,,,"yeah",,
00:36:00.300,00:36:01.097,,,"so I go back to the beginning",,
00:36:02.510,00:36:03.052,,,"thank you",,
00:36:03.180,00:36:04.145,,,"(inaudible)",,
00:36:05.976,00:36:07.024,,,"all right",,
00:36:08.275,00:36:13.500,,,"let's times it by x that's right",,
00:36:13.842,00:36:15.927,,,,"she has to give me my pen",
00:36:17.194,00:36:19.848,,,"one equals twenty-five x",,
00:36:19.848,00:36:25.303,,,"one twenty fifth equals x ",,
00:36:27.750,00:36:28.638,,,,"that is great",
00:36:30.752,00:36:32.085,,,"that's called art",,
00:36:32.867,00:36:33.339,,,"(laughter)",,
00:36:34.545,00:36:38.767,,,"  x and circle and well I don't know why I'm doing it",,
00:36:38.880,00:36:40.232,,,"oh wait mine's the wrong color hold on",,
00:36:40.990,00:36:42.637,,,"I was supposed to write on black right",,
00:36:43.924,00:36:46.213,,,"okay so negative three (inaudible)",,
00:36:48.306,00:36:50.786,,," okay let's start over cross it out ",,
00:36:52.165,00:36:56.774,,,"so sixty-three plus seventeen is nine eighty right",,
00:36:57.922,00:37:02.950,,,"negative three y equals eighty times y times y",,
00:37:03.300,00:37:06.881,,,"so negative three equals eighty y",,
00:37:06.881,00:37:11.085,,,"so negative three over eighty equals y",,
00:37:12.319,00:37:12.549,,,,"yup",
00:37:13.647,00:37:13.920,,,"okay",,
00:37:15.512,00:37:17.807,,,"and we subtract the fifty-four",,
00:37:20.835,00:37:22.117,,,"what would that be hold on",,
00:37:22.117,00:37:23.414,,,,"sixty-two",
00:37:23.522,00:37:24.377,,,"thank you",,
00:37:25.312,00:37:26.590,,,"four k",,
00:37:27.980,00:37:29.350,,,"okay I didn't mention any word",,
00:37:30.102,00:37:31.101,,,"sixty-two ",,
00:37:32.277,00:37:35.420,,,"times k times k",,
00:37:35.905,00:37:44.436,,,"four equals sixty-two k divide that by sixty two divided by sixty two over thirty-one",,
00:37:44.745,00:37:49.564,,,,"wait wouldn't it just oh yeah yeah yeah yeah",
00:37:49.634,00:37:49.914,,,,"sorry",
00:37:51.201,00:37:51.473,,,,"continue",
00:37:51.473,00:37:51.769,,,"ops","continue",
00:37:51.769,00:37:52.387,,,"ops",,
00:37:52.893,00:37:55.487,,,"oh wait I don't know I'm going to do that",,
00:37:55.940,00:37:58.205,,,"two hundred and ten y",,
00:37:58.873,00:38:00.649,,,"I still can't write with the mouse",,
00:38:00.679,00:38:02.665,,,"equals negative fourteen",,
00:38:05.033,00:38:10.976,,,"so that would be like seven one zero five",,
00:38:12.941,00:38:13.739,,,,"pause filler yeah",
00:38:16.300,00:38:17.461,,,"that's probably right",,
00:38:17.461,00:38:18.090,,,"who cares",,
00:38:19.147,00:38:21.881,,,,"pause filler okay what do you do first",
00:38:22.031,00:38:24.156,,,"well let's see here",,
00:38:25.523,00:38:30.970,,,"okay so I would add thirty-nine because I don't know it makes sense",,
00:38:37.600,00:38:37.605,,,"seventeen over x equals twelve over x",,
00:38:37.605,00:38:37.805,,,"seventeen over x equals twelve over x","yeah",
00:38:37.805,00:38:44.500,,,"seventeen over x equals twelve over x",,
00:38:44.773,00:38:46.160,,,"and then it be plus",,
00:38:47.074,00:38:48.550,,,,"eighteen I'm pretty sure",
00:38:49.748,00:38:50.845,,,"yeah eighteen",,
00:38:50.845,00:38:51.234,,,"you're right",,
00:38:51.234,00:38:52.072,,,"you're right",,
00:38:52.072,00:38:56.453,,,"and then you multiply by x multiply by x",,
00:38:56.847,00:39:04.253,,,"and x times x is x squared equals twelve over x squared plus eighteen",,
00:39:04.260,00:39:07.457,,,"and then you got to multiply by x squared again to cancel out",,
